time,open,high,low,close,volume
2024-09-17T09:30:00-04:00,127.29,127.315,126.965,126.965,636.0
2024-09-17T09:35:00-04:00,126.735,126.77,126.735,126.77,300.0
2024-09-17T09:40:00-04:00,126.92,126.92,126.74,126.74,1051.0
2024-09-17T09:45:00-04:00,127.055,127.055,126.88,126.88,1361.0
2024-09-17T09:50:00-04:00,126.69,126.77,126.69,126.77,200.0
2024-09-17T09:55:00-04:00,126.76,126.76,126.76,126.76,150.0
2024-09-17T10:00:00-04:00,126.95,127.06,126.95,127.06,357.0
2024-09-17T10:05:00-04:00,127.14,127.19,127.14,127.19,293.0
2024-09-17T10:10:00-04:00,127.37,127.52,127.37,127.515,1379.0
2024-09-17T10:15:00-04:00,127.64,127.71,127.64,127.705,398.0
2024-09-17T10:20:00-04:00,127.88,128.035,127.88,128.035,700.0
2024-09-17T10:25:00-04:00,128.225,128.225,127.86,127.86,351.0
2024-09-17T10:30:00-04:00,127.825,127.83,127.7,127.71,463.0
2024-09-17T10:35:00-04:00,127.65,128.06,127.63,128.06,1059.0
2024-09-17T10:40:00-04:00,128.15,128.15,127.93,127.93,735.0
2024-09-17T10:45:00-04:00,127.87,127.87,127.87,127.87,159.0
2024-09-17T10:55:00-04:00,127.7,127.7,127.7,127.7,115.0
2024-09-17T11:00:00-04:00,127.75,128.04,127.75,128.04,915.0
2024-09-17T11:05:00-04:00,128.04,128.145,127.94,127.94,2318.0
2024-09-17T11:10:00-04:00,127.91,127.91,127.89,127.89,683.0
2024-09-17T11:15:00-04:00,127.96,128.0,127.96,128.0,200.0
2024-09-17T11:20:00-04:00,127.92,127.92,127.92,127.92,196.0
2024-09-17T11:25:00-04:00,127.98,128.18,127.98,128.18,884.0
2024-09-17T11:30:00-04:00,128.24,128.32,128.24,128.32,508.0
2024-09-17T11:35:00-04:00,128.48,128.48,128.48,128.48,316.0
2024-09-17T11:40:00-04:00,128.48,128.52,128.48,128.52,528.0
2024-09-17T11:45:00-04:00,128.53,128.53,128.53,128.53,228.0
2024-09-17T11:50:00-04:00,128.47,128.47,128.47,128.47,103.0
2024-09-17T11:55:00-04:00,128.4,128.46,128.395,128.46,400.0
2024-09-17T12:00:00-04:00,128.42,128.47,128.42,128.44,515.0
2024-09-17T12:05:00-04:00,128.43,128.47,128.29,128.29,1045.0
2024-09-17T12:10:00-04:00,128.315,128.46,128.315,128.46,444.0
2024-09-17T12:15:00-04:00,128.39,128.39,128.12,128.12,310.0
2024-09-17T12:20:00-04:00,127.85,127.85,127.85,127.85,116.0
2024-09-17T12:25:00-04:00,128.12,128.16,128.12,128.135,517.0
2024-09-17T12:30:00-04:00,128.03,128.03,127.86,127.975,878.0
2024-09-17T12:35:00-04:00,127.92,127.92,127.76,127.8,400.0
2024-09-17T12:40:00-04:00,127.81,127.9,127.715,127.725,1520.0
2024-09-17T12:45:00-04:00,127.7,127.71,127.12,127.13,4325.0
2024-09-17T12:50:00-04:00,127.13,127.415,127.07,127.415,920.0
2024-09-17T12:55:00-04:00,127.57,127.705,127.335,127.35,1532.0
2024-09-17T13:00:00-04:00,127.34,127.465,127.32,127.335,1770.0
2024-09-17T13:05:00-04:00,127.39,127.39,127.27,127.27,535.0
2024-09-17T13:10:00-04:00,127.06,127.37,127.06,127.37,1373.0
2024-09-17T13:15:00-04:00,127.33,127.545,127.33,127.545,304.0
2024-09-17T13:20:00-04:00,127.79,127.8,127.79,127.8,435.0
2024-09-17T13:25:00-04:00,127.97,127.97,127.94,127.95,360.0
2024-09-17T13:30:00-04:00,128.04,128.105,127.97,128.0,774.0
2024-09-17T13:40:00-04:00,128.18,128.18,128.05,128.125,1186.0
2024-09-17T13:45:00-04:00,128.14,128.155,128.0,128.15,1263.0
2024-09-17T13:50:00-04:00,128.385,128.54,128.385,128.54,216.0
2024-09-17T13:55:00-04:00,128.6,128.63,128.6,128.6,617.0
2024-09-17T14:00:00-04:00,128.555,128.7,128.555,128.7,515.0
2024-09-17T14:05:00-04:00,128.73,128.73,128.51,128.595,1189.0
2024-09-17T14:10:00-04:00,128.38,128.38,128.24,128.265,736.0
2024-09-17T14:15:00-04:00,128.09,128.09,128.08,128.08,220.0
2024-09-17T14:20:00-04:00,128.08,128.25,128.08,128.25,470.0
2024-09-17T14:25:00-04:00,128.28,128.3,128.22,128.25,429.0
2024-09-17T14:30:00-04:00,128.185,128.185,128.185,128.185,120.0
2024-09-17T14:40:00-04:00,128.13,128.18,128.13,128.18,202.0
