time,open,high,low,close,volume
2024-08-21T16:00:00-04:00,2.15,2.21,2.13,2.195,756729.0
2024-08-22T16:00:00-04:00,2.21,2.22,2.12,2.13,604360.0
2024-08-23T16:00:00-04:00,2.135,2.245,2.13,2.19,974258.0
2024-08-26T16:00:00-04:00,2.23,2.26,2.14,2.155,749830.0
2024-08-27T16:00:00-04:00,2.1,2.12,2.055,2.065,667381.0
2024-08-28T16:00:00-04:00,2.06,2.07,1.92,1.945,825939.0
2024-08-29T16:00:00-04:00,1.965,2.02,1.915,1.935,952517.0
2024-08-30T16:00:00-04:00,1.96,1.985,1.86,1.885,1087773.0
2024-09-03T16:00:00-04:00,1.865,1.865,1.735,1.74,729108.0
2024-09-04T16:00:00-04:00,1.73,1.8,1.71,1.74,672228.0
2024-09-05T16:00:00-04:00,1.75,1.77,1.71,1.715,614570.0
2024-09-06T16:00:00-04:00,1.72,1.725,1.605,1.61,1258549.0
2024-09-09T16:00:00-04:00,1.62,1.775,1.61,1.715,792771.0
2024-09-10T16:00:00-04:00,1.745,1.895,1.64,1.895,1184117.0
2024-09-11T16:00:00-04:00,1.93,2.0,1.815,1.945,1293620.0
2024-09-12T16:00:00-04:00,1.93,1.97,1.895,1.94,693060.0
2024-09-13T16:00:00-04:00,1.965,2.025,1.93,1.965,494075.0
2024-09-16T16:00:00-04:00,1.97,2.0,1.885,1.96,730714.0
2024-09-17T16:00:00-04:00,1.99,2.19,1.99,2.09,1170235.0
2024-09-18T16:00:00-04:00,2.11,2.29,2.045,2.105,1193612.0
2024-09-19T16:00:00-04:00,2.22,2.26,2.03,2.06,1101376.0
2024-09-20T16:00:00-04:00,2.025,2.035,1.875,1.945,1879467.0
2024-09-23T16:00:00-04:00,1.95,2.04,1.92,1.995,392970.0
2024-09-24T16:00:00-04:00,2.01,2.095,2.0,2.075,920087.0
2024-09-25T16:00:00-04:00,2.09,2.11,1.94,1.94,1055522.0
2024-09-26T16:00:00-04:00,2.0,2.1,1.995,2.065,719797.0
2024-09-27T16:00:00-04:00,2.1,2.29,2.1,2.27,2172918.0
2024-09-30T16:00:00-04:00,2.26,2.3,2.2,2.26,973867.0
2024-10-01T16:00:00-04:00,2.24,2.24,2.04,2.07,847815.0
2024-10-02T16:00:00-04:00,2.075,2.17,2.01,2.17,750632.0
2024-10-03T16:00:00-04:00,2.12,2.15,2.03,2.06,689307.0
2024-10-04T16:00:00-04:00,2.115,2.185,2.11,2.15,869416.0
2024-10-07T16:00:00-04:00,2.14,2.25,2.08,2.25,644436.0
2024-10-08T16:00:00-04:00,2.22,2.245,2.055,2.06,722675.0
2024-10-09T16:00:00-04:00,2.05,2.11,2.01,2.045,485575.0
2024-10-10T16:00:00-04:00,2.02,2.025,1.95,1.96,616293.0
2024-10-11T16:00:00-04:00,1.95,2.13,1.95,2.115,581463.0
2024-10-14T16:00:00-04:00,2.09,2.12,2.04,2.07,660923.0
2024-10-15T16:00:00-04:00,2.04,2.125,2.04,2.065,499707.0
2024-10-16T16:00:00-04:00,2.1,2.13,2.055,2.065,480090.0
2024-10-17T16:00:00-04:00,2.05,2.05,2.015,2.05,618737.0
2024-10-18T16:00:00-04:00,2.06,2.25,2.05,2.25,777385.0
2024-10-21T16:00:00-04:00,2.23,2.365,2.2,2.355,846467.0
2024-10-22T16:00:00-04:00,2.35,2.42,2.21,2.22,1224327.0
2024-10-23T16:00:00-04:00,2.16,2.185,2.05,2.09,813648.0
2024-10-24T16:00:00-04:00,2.11,2.18,2.06,2.12,403235.0
2024-10-25T16:00:00-04:00,2.15,2.265,2.13,2.15,1376742.0
2024-10-28T16:00:00-04:00,2.17,2.27,2.155,2.23,597892.0
2024-10-29T16:00:00-04:00,2.205,2.235,2.085,2.125,854545.0
2024-10-30T16:00:00-04:00,2.085,2.135,1.995,2.0,1151457.0
2024-10-31T16:00:00-04:00,2.005,2.01,1.94,1.96,991568.0
2024-11-01T16:00:00-04:00,2.0,2.185,1.98,2.08,868608.0
2024-11-04T16:00:00-05:00,2.11,2.54,2.11,2.52,2428127.0
2024-11-05T16:00:00-05:00,2.395,2.62,2.37,2.52,1856207.0
2024-11-06T16:00:00-05:00,2.105,2.195,1.88,1.965,3352828.0
2024-11-07T16:00:00-05:00,2.03,2.065,1.975,2.035,760167.0
2024-11-08T16:00:00-05:00,2.03,2.075,1.955,2.055,1484113.0
2024-11-11T16:00:00-05:00,2.07,2.07,1.92,1.985,1621003.0
2024-11-12T16:00:00-05:00,1.945,1.97,1.795,1.91,1794181.0
2024-11-13T16:00:00-05:00,1.92,2.09,1.915,1.975,2359254.0
2024-11-14T16:00:00-05:00,1.95,2.07,1.86,1.97,3370589.0
2024-11-15T16:00:00-05:00,1.99,2.02,1.85,1.865,2194057.0
2024-11-18T16:00:00-05:00,1.885,2.045,1.82,1.98,1522812.0
2024-11-19T16:00:00-05:00,1.95,2.04,1.9,1.92,1532441.0
2024-11-20T16:00:00-05:00,1.925,2.01,1.875,1.905,857624.0
2024-11-21T16:00:00-05:00,1.9,1.95,1.885,1.895,510699.0
2024-11-22T16:00:00-05:00,1.895,1.97,1.885,1.92,1058138.0
2024-11-25T16:00:00-05:00,1.955,2.25,1.955,2.205,3010418.0
2024-11-26T16:00:00-05:00,2.16,2.205,2.04,2.065,877667.0
2024-11-27T16:00:00-05:00,2.08,2.295,2.08,2.12,1879238.0
2024-11-29T16:00:00-05:00,2.19,2.275,2.16,2.22,1099854.0
2024-12-02T16:00:00-05:00,2.305,2.435,2.24,2.29,1865039.0
2024-12-03T16:00:00-05:00,2.23,2.24,2.005,2.01,2585630.0
2024-12-04T16:00:00-05:00,2.07,2.13,1.96,2.125,1697830.0
2024-12-05T16:00:00-05:00,2.1,2.56,2.065,2.44,4206736.0
2024-12-06T16:00:00-05:00,2.475,2.57,2.35,2.375,1902868.0
2024-12-09T16:00:00-05:00,2.435,2.86,2.435,2.67,3581500.0
2024-12-10T16:00:00-05:00,2.715,2.715,2.48,2.51,1725622.0
2024-12-11T16:00:00-05:00,2.54,2.58,2.38,2.495,1031558.0
2024-12-12T16:00:00-05:00,2.455,2.505,2.375,2.4,454608.0
2024-12-13T16:00:00-05:00,2.37,2.45,2.28,2.44,571916.0
2024-12-16T16:00:00-05:00,2.415,2.485,2.32,2.45,1655896.0
2024-12-17T16:00:00-05:00,2.425,2.56,2.345,2.455,998848.0
2024-12-18T16:00:00-05:00,2.45,2.515,2.185,2.22,1234245.0
2024-12-19T16:00:00-05:00,2.285,2.32,2.2,2.3,860834.0
2024-12-20T16:00:00-05:00,2.25,2.59,2.24,2.56,1819746.0
2024-12-23T16:00:00-05:00,2.55,2.625,2.52,2.53,525049.0
2024-12-24T16:00:00-05:00,2.45,2.45,2.305,2.415,880767.0
2024-12-26T16:00:00-05:00,2.35,2.43,2.33,2.38,603588.0
2024-12-27T16:00:00-05:00,2.36,2.52,2.29,2.38,537529.0
2024-12-30T16:00:00-05:00,2.345,2.345,2.21,2.27,491463.0
2024-12-31T16:00:00-05:00,2.32,2.32,2.125,2.14,750983.0
2025-01-02T16:00:00-05:00,2.2,2.425,2.195,2.33,1333174.0
2025-01-03T16:00:00-05:00,2.33,2.635,2.265,2.625,3059492.0
2025-01-06T16:00:00-05:00,2.85,3.26,2.74,3.155,2837171.0
2025-01-07T16:00:00-05:00,3.19,3.32,2.945,2.945,1971163.0
2025-01-08T16:00:00-05:00,2.79,2.82,2.565,2.665,1216784.0
2025-01-10T16:00:00-05:00,2.625,2.985,2.55,2.865,3020923.0
2025-01-13T16:00:00-05:00,2.84,2.84,2.635,2.72,1759362.0
2025-01-14T16:00:00-05:00,2.85,3.0,2.645,2.67,1274161.0
2025-01-15T16:00:00-05:00,2.85,2.915,2.665,2.71,2207175.0
2025-01-16T16:00:00-05:00,2.865,2.96,2.56,2.745,1254688.0
2025-01-17T16:00:00-05:00,2.75,2.76,2.4,2.43,3290523.0
2025-01-21T16:00:00-05:00,2.36,2.38,2.18,2.19,2797753.0
2025-01-22T16:00:00-05:00,2.25,2.265,2.02,2.025,1856841.0
2025-01-23T16:00:00-05:00,2.005,2.11,1.99,2.08,792867.0
2025-01-24T16:00:00-05:00,2.12,2.2,2.07,2.08,1965152.0
2025-01-27T16:00:00-05:00,2.03,2.03,1.9,1.95,2609427.0
2025-01-28T16:00:00-05:00,1.965,1.995,1.88,1.96,1470351.0
2025-01-29T16:00:00-05:00,1.94,1.94,1.82,1.875,1704108.0
2025-01-30T16:00:00-05:00,1.895,1.965,1.845,1.92,1088543.0
2025-01-31T16:00:00-05:00,1.945,1.98,1.855,1.865,1464318.0
2025-02-03T16:00:00-05:00,1.785,1.95,1.76,1.875,1139639.0
2025-02-04T16:00:00-05:00,1.88,2.025,1.865,1.955,1264748.0
2025-02-05T16:00:00-05:00,1.965,2.0,1.86,1.865,1550857.0
2025-02-06T16:00:00-05:00,1.89,1.935,1.87,1.91,915209.0
2025-02-07T16:00:00-05:00,1.905,1.925,1.81,1.84,1193865.0
2025-02-10T16:00:00-05:00,1.85,1.85,1.655,1.715,2283113.0
2025-02-11T16:00:00-05:00,1.69,1.69,1.615,1.62,1690896.0
2025-02-12T16:00:00-05:00,1.595,1.69,1.57,1.655,1800492.0
2025-02-13T16:00:00-05:00,1.69,1.795,1.69,1.76,1036617.0
2025-02-14T16:00:00-05:00,1.78,1.8,1.7,1.75,484762.0
2025-02-18T16:00:00-05:00,1.76,1.85,1.73,1.805,862642.0
2025-02-19T16:00:00-05:00,1.795,1.83,1.75,1.76,499740.0
2025-02-20T16:00:00-05:00,1.76,1.76,1.685,1.75,775132.0
2025-02-21T16:00:00-05:00,1.72,1.725,1.63,1.655,2083506.0
2025-02-24T16:00:00-05:00,1.64,1.65,1.53,1.58,2303948.0
2025-02-25T16:00:00-05:00,1.6,1.625,1.525,1.575,939524.0
2025-02-26T16:00:00-05:00,1.59,1.71,1.59,1.665,1125173.0
2025-02-27T16:00:00-05:00,1.69,1.7,1.62,1.625,857780.0
2025-02-28T16:00:00-05:00,1.58,1.63,1.55,1.61,1155431.0
2025-03-03T16:00:00-05:00,1.61,1.635,1.45,1.49,1843235.0
2025-03-04T16:00:00-05:00,1.385,1.68,1.37,1.61,1855663.0
2025-03-05T16:00:00-05:00,1.6,1.695,1.555,1.685,1469809.0
2025-03-06T16:00:00-05:00,1.64,1.685,1.585,1.645,1143181.0
2025-03-07T16:00:00-05:00,1.645,1.805,1.63,1.785,2294512.0
2025-03-10T16:00:00-04:00,1.72,1.81,1.675,1.72,1160636.0
2025-03-11T16:00:00-04:00,1.7,1.755,1.595,1.67,1965212.0
