time,open,high,low,close,volume
2025-09-10T09:30:00-04:00,14.93,14.93,14.61,14.61,593.0
2025-09-10T09:35:00-04:00,14.585,14.59,14.54,14.54,560.0
2025-09-10T09:40:00-04:00,14.49,14.84,14.49,14.84,628.0
2025-09-10T09:45:00-04:00,14.81,14.81,14.81,14.81,225.0
2025-09-10T09:50:00-04:00,14.795,14.795,14.725,14.755,1239.0
2025-09-10T10:00:00-04:00,14.815,14.9,14.815,14.9,302.0
2025-09-10T10:05:00-04:00,14.94,14.945,14.91,14.91,689.0
2025-09-10T10:10:00-04:00,14.88,14.88,14.87,14.87,511.0
2025-09-10T10:15:00-04:00,14.87,14.87,14.845,14.845,626.0
2025-09-10T10:20:00-04:00,14.865,14.925,14.865,14.925,727.0
2025-09-10T10:25:00-04:00,14.905,14.945,14.905,14.945,524.0
2025-09-10T10:30:00-04:00,14.97,14.97,14.69,14.69,614.0
2025-09-10T10:35:00-04:00,14.69,14.71,14.54,14.63,645.0
2025-09-10T10:40:00-04:00,14.71,14.71,14.515,14.515,448.0
2025-09-10T10:45:00-04:00,14.435,14.47,14.31,14.31,615.0
2025-09-10T10:50:00-04:00,14.3,14.375,14.3,14.375,521.0
2025-09-10T10:55:00-04:00,14.405,14.405,14.25,14.295,1467.0
2025-09-10T11:00:00-04:00,14.21,14.21,14.21,14.21,625.0
2025-09-10T11:05:00-04:00,14.24,14.24,14.185,14.23,1679.0
2025-09-10T11:10:00-04:00,14.27,14.29,14.235,14.235,1196.0
2025-09-10T11:15:00-04:00,14.335,14.335,14.3,14.3,451.0
2025-09-10T11:20:00-04:00,14.33,14.33,14.29,14.29,500.0
2025-09-10T11:25:00-04:00,14.275,14.285,14.22,14.285,1430.0
2025-09-10T11:30:00-04:00,14.26,14.26,14.14,14.14,287.0
2025-09-10T11:35:00-04:00,14.19,14.19,14.19,14.19,100.0
2025-09-10T11:40:00-04:00,14.17,14.17,14.14,14.14,592.0
2025-09-10T11:45:00-04:00,14.14,14.14,14.1,14.125,550.0
2025-09-10T11:55:00-04:00,14.06,14.06,14.05,14.05,300.0
2025-09-10T12:00:00-04:00,14.05,14.05,14.05,14.05,110.0
2025-09-10T12:05:00-04:00,14.14,14.265,14.14,14.265,717.0
2025-09-10T12:10:00-04:00,14.325,14.365,14.325,14.365,356.0
2025-09-10T12:15:00-04:00,14.23,14.23,14.23,14.23,650.0
2025-09-10T12:20:00-04:00,14.145,14.145,14.14,14.14,803.0
2025-09-10T12:25:00-04:00,14.13,14.155,14.13,14.155,365.0
2025-09-10T12:30:00-04:00,14.21,14.21,14.21,14.21,100.0
2025-09-10T12:35:00-04:00,14.215,14.215,14.215,14.215,215.0
2025-09-10T12:40:00-04:00,14.185,14.185,14.13,14.13,391.0
2025-09-10T12:45:00-04:00,14.125,14.125,14.125,14.125,200.0
2025-09-10T12:50:00-04:00,14.115,14.115,14.115,14.115,100.0
2025-09-10T13:00:00-04:00,14.22,14.22,14.215,14.215,245.0
2025-09-10T13:05:00-04:00,14.185,14.2,14.15,14.15,427.0
2025-09-10T13:10:00-04:00,14.105,14.105,14.105,14.105,200.0
2025-09-10T13:15:00-04:00,14.04,14.04,14.04,14.04,421.0
2025-09-10T13:20:00-04:00,14.12,14.12,14.055,14.055,300.0
2025-09-10T13:25:00-04:00,14.025,14.05,14.025,14.05,286.0
2025-09-10T13:30:00-04:00,14.05,14.05,14.045,14.045,224.0
2025-09-10T13:35:00-04:00,14.14,14.14,14.1,14.1,300.0
2025-09-10T13:40:00-04:00,14.1,14.1,14.1,14.1,100.0
2025-09-10T13:45:00-04:00,14.05,14.05,14.05,14.05,220.0
2025-09-10T13:50:00-04:00,14.05,14.05,14.03,14.03,770.0
2025-09-10T13:55:00-04:00,14.0,14.0,14.0,14.0,120.0
2025-09-10T14:00:00-04:00,14.04,14.06,14.04,14.06,536.0
2025-09-10T14:05:00-04:00,14.07,14.07,14.06,14.06,362.0
2025-09-10T14:10:00-04:00,14.08,14.23,14.08,14.23,1054.0
2025-09-10T14:15:00-04:00,14.13,14.15,14.13,14.135,1899.0
2025-09-10T14:20:00-04:00,14.15,14.15,14.12,14.12,435.0
2025-09-10T14:25:00-04:00,14.065,14.125,14.065,14.125,363.0
2025-09-10T14:30:00-04:00,14.145,14.145,14.145,14.145,103.0
2025-09-10T14:35:00-04:00,14.135,14.135,14.135,14.135,150.0
2025-09-10T14:40:00-04:00,14.175,14.175,14.17,14.17,527.0
