time,open,high,low,close,volume
2024-11-26T09:30:00-05:00,33.175,33.175,32.94,33.14,3226.0
2024-11-26T09:35:00-05:00,33.24,33.24,33.17,33.17,1994.0
2024-11-26T09:40:00-05:00,33.295,33.42,33.21,33.4,2267.0
2024-11-26T09:45:00-05:00,33.41,33.47,33.36,33.45,1390.0
2024-11-26T09:50:00-05:00,33.39,33.415,33.335,33.345,13282.0
2024-11-26T09:55:00-05:00,33.305,33.325,33.23,33.23,1315.0
2024-11-26T10:00:00-05:00,33.23,33.23,33.135,33.175,3086.0
2024-11-26T10:05:00-05:00,33.13,33.28,33.13,33.28,2411.0
2024-11-26T10:10:00-05:00,33.29,33.3,33.2,33.26,1646.0
2024-11-26T10:15:00-05:00,33.16,33.2,33.16,33.2,579.0
2024-11-26T10:20:00-05:00,33.19,33.3,33.14,33.14,1921.0
2024-11-26T10:25:00-05:00,33.15,33.22,33.15,33.19,1601.0
2024-11-26T10:30:00-05:00,33.125,33.14,33.125,33.14,720.0
2024-11-26T10:35:00-05:00,33.175,33.21,33.17,33.17,1259.0
2024-11-26T10:40:00-05:00,33.15,33.15,33.14,33.14,801.0
2024-11-26T10:45:00-05:00,33.11,33.11,33.08,33.09,532.0
2024-11-26T10:50:00-05:00,33.11,33.19,33.11,33.19,1146.0
2024-11-26T10:55:00-05:00,33.19,33.19,33.19,33.19,139.0
2024-11-26T11:00:00-05:00,33.12,33.18,33.12,33.18,546.0
2024-11-26T11:05:00-05:00,33.16,33.16,33.16,33.16,296.0
2024-11-26T11:10:00-05:00,33.06,33.06,33.04,33.05,1128.0
2024-11-26T11:15:00-05:00,33.05,33.09,33.05,33.09,802.0
2024-11-26T11:20:00-05:00,33.08,33.14,33.08,33.13,1217.0
2024-11-26T11:25:00-05:00,33.1,33.21,33.1,33.205,1871.0
2024-11-26T11:30:00-05:00,33.2,33.25,33.18,33.23,2641.0
2024-11-26T11:35:00-05:00,33.25,33.29,33.25,33.26,1503.0
2024-11-26T11:40:00-05:00,33.22,33.22,33.13,33.14,2508.0
2024-11-26T11:45:00-05:00,33.14,33.14,33.1,33.1,864.0
2024-11-26T11:50:00-05:00,33.045,33.045,33.01,33.01,1611.0
2024-11-26T11:55:00-05:00,33.0,33.0,32.98,32.98,440.0
2024-11-26T12:00:00-05:00,32.94,32.94,32.9,32.9,1108.0
2024-11-26T12:05:00-05:00,32.91,32.91,32.86,32.86,1036.0
2024-11-26T12:10:00-05:00,32.85,32.85,32.85,32.85,205.0
2024-11-26T12:15:00-05:00,32.845,32.91,32.845,32.9,1113.0
2024-11-26T12:20:00-05:00,32.92,32.94,32.89,32.94,1294.0
2024-11-26T12:25:00-05:00,32.93,32.95,32.93,32.95,776.0
2024-11-26T12:30:00-05:00,32.94,32.97,32.94,32.96,1590.0
2024-11-26T12:35:00-05:00,33.0,33.0,32.96,32.975,2768.0
2024-11-26T12:40:00-05:00,33.0,33.105,32.965,33.08,2843.0
2024-11-26T12:45:00-05:00,33.09,33.1,33.05,33.06,3405.0
2024-11-26T12:50:00-05:00,33.04,33.05,33.025,33.04,3413.0
2024-11-26T12:55:00-05:00,33.04,33.09,33.04,33.09,2751.0
2024-11-26T13:00:00-05:00,33.105,33.12,33.1,33.12,1004.0
