time,open,high,low,close,volume
2024-09-19T09:30:00-04:00,27.54,27.58,27.48,27.51,2757.0
2024-09-19T09:35:00-04:00,27.53,27.545,27.48,27.52,3619.0
2024-09-19T09:40:00-04:00,27.49,27.49,27.46,27.46,1146.0
2024-09-19T09:45:00-04:00,27.455,27.49,27.455,27.485,1077.0
2024-09-19T09:50:00-04:00,27.495,27.51,27.46,27.51,3197.0
2024-09-19T09:55:00-04:00,27.54,27.575,27.54,27.575,1862.0
2024-09-19T10:00:00-04:00,27.64,27.65,27.54,27.585,6567.0
2024-09-19T10:05:00-04:00,27.555,27.555,27.48,27.48,1719.0
2024-09-19T10:10:00-04:00,27.49,27.555,27.49,27.515,3564.0
2024-09-19T10:15:00-04:00,27.51,27.52,27.505,27.51,1355.0
2024-09-19T10:20:00-04:00,27.515,27.52,27.47,27.485,1821.0
2024-09-19T10:25:00-04:00,27.45,27.52,27.45,27.515,2401.0
2024-09-19T10:30:00-04:00,27.53,27.565,27.53,27.545,3230.0
2024-09-19T10:35:00-04:00,27.565,27.57,27.515,27.52,2552.0
2024-09-19T10:40:00-04:00,27.54,27.54,27.485,27.49,1755.0
2024-09-19T10:45:00-04:00,27.48,27.48,27.445,27.455,1626.0
2024-09-19T10:50:00-04:00,27.435,27.435,27.42,27.42,288.0
2024-09-19T10:55:00-04:00,27.43,27.49,27.43,27.485,1222.0
2024-09-19T11:00:00-04:00,27.49,27.525,27.485,27.525,2284.0
2024-09-19T11:05:00-04:00,27.51,27.525,27.5,27.525,2065.0
2024-09-19T11:10:00-04:00,27.53,27.545,27.525,27.535,3552.0
2024-09-19T11:15:00-04:00,27.56,27.605,27.545,27.605,11351.0
2024-09-19T11:20:00-04:00,27.595,27.605,27.59,27.59,1929.0
2024-09-19T11:25:00-04:00,27.595,27.61,27.57,27.61,1337.0
2024-09-19T11:30:00-04:00,27.655,27.685,27.645,27.685,2954.0
2024-09-19T11:35:00-04:00,27.67,27.685,27.67,27.685,1676.0
2024-09-19T11:40:00-04:00,27.7,27.7,27.65,27.665,1962.0
2024-09-19T11:45:00-04:00,27.685,27.695,27.67,27.68,1176.0
2024-09-19T11:50:00-04:00,27.69,27.74,27.69,27.73,2069.0
2024-09-19T11:55:00-04:00,27.725,27.725,27.64,27.64,7350.0
2024-09-19T12:00:00-04:00,27.65,27.67,27.64,27.645,1500.0
2024-09-19T12:05:00-04:00,27.64,27.655,27.64,27.64,696.0
2024-09-19T12:10:00-04:00,27.63,27.635,27.625,27.63,772.0
2024-09-19T12:15:00-04:00,27.655,27.655,27.645,27.655,2271.0
2024-09-19T12:20:00-04:00,27.65,27.655,27.63,27.655,681.0
2024-09-19T12:25:00-04:00,27.675,27.675,27.66,27.66,525.0
2024-09-19T12:30:00-04:00,27.655,27.675,27.64,27.655,7052.0
2024-09-19T12:35:00-04:00,27.63,27.645,27.62,27.645,746.0
2024-09-19T12:40:00-04:00,27.65,27.655,27.65,27.655,829.0
2024-09-19T12:45:00-04:00,27.655,27.665,27.655,27.665,258.0
2024-09-19T12:50:00-04:00,27.665,27.675,27.655,27.675,938.0
2024-09-19T12:55:00-04:00,27.66,27.66,27.635,27.655,1179.0
2024-09-19T13:00:00-04:00,27.715,27.715,27.71,27.71,205.0
2024-09-19T13:05:00-04:00,27.775,27.805,27.775,27.8,612.0
2024-09-19T13:10:00-04:00,27.78,27.78,27.78,27.78,338.0
2024-09-19T13:15:00-04:00,27.785,27.795,27.765,27.765,2556.0
2024-09-19T13:20:00-04:00,27.765,27.765,27.74,27.75,750.0
2024-09-19T13:25:00-04:00,27.725,27.725,27.725,27.725,311.0
2024-09-19T13:30:00-04:00,27.72,27.765,27.72,27.755,4697.0
2024-09-19T13:35:00-04:00,27.755,27.775,27.755,27.775,5342.0
2024-09-19T13:40:00-04:00,27.765,27.775,27.735,27.74,4359.0
2024-09-19T13:45:00-04:00,27.76,27.78,27.75,27.775,4751.0
2024-09-19T13:50:00-04:00,27.765,27.765,27.73,27.73,3090.0
2024-09-19T13:55:00-04:00,27.725,27.735,27.725,27.735,3800.0
2024-09-19T14:00:00-04:00,27.735,27.75,27.73,27.735,5003.0
2024-09-19T14:05:00-04:00,27.73,27.73,27.7,27.715,6303.0
2024-09-19T14:10:00-04:00,27.685,27.71,27.685,27.7,962.0
2024-09-19T14:15:00-04:00,27.66,27.66,27.65,27.65,201.0
2024-09-19T14:20:00-04:00,27.67,27.67,27.67,27.67,100.0
2024-09-19T14:30:00-04:00,27.7,27.725,27.7,27.705,1373.0
2024-09-19T14:35:00-04:00,27.705,27.735,27.705,27.735,633.0
2024-09-19T14:40:00-04:00,27.735,27.74,27.73,27.74,759.0
2024-09-19T14:45:00-04:00,27.74,27.745,27.735,27.735,1063.0
2024-09-19T14:50:00-04:00,27.73,27.73,27.715,27.73,1004.0
2024-09-19T14:55:00-04:00,27.745,27.745,27.73,27.73,702.0
2024-09-19T15:00:00-04:00,27.745,27.785,27.745,27.785,656.0
2024-09-19T15:05:00-04:00,27.785,27.825,27.78,27.785,6817.0
2024-09-19T15:10:00-04:00,27.79,27.79,27.77,27.77,1356.0
2024-09-19T15:15:00-04:00,27.745,27.77,27.745,27.77,1027.0
2024-09-19T15:20:00-04:00,27.76,27.78,27.735,27.78,1242.0
2024-09-19T15:25:00-04:00,27.77,27.77,27.75,27.765,1239.0
2024-09-19T15:30:00-04:00,27.73,27.745,27.655,27.655,4924.0
2024-09-19T15:35:00-04:00,27.655,27.665,27.64,27.66,4662.0
2024-09-19T15:40:00-04:00,27.665,27.69,27.635,27.635,6638.0
2024-09-19T15:45:00-04:00,27.635,27.645,27.595,27.635,6020.0
2024-09-19T15:50:00-04:00,27.625,27.665,27.595,27.665,6777.0
2024-09-19T15:55:00-04:00,27.655,27.75,27.65,27.69,23072.0
2024-09-20T09:35:00-04:00,27.255,27.255,27.13,27.21,2536.0
2024-09-20T09:40:00-04:00,27.2,27.2,26.91,26.92,1968.0
2024-09-20T09:45:00-04:00,27.03,27.03,26.87,27.01,2146.0
2024-09-20T09:50:00-04:00,27.015,27.015,26.88,26.905,3559.0
2024-09-20T09:55:00-04:00,26.885,26.89,26.83,26.855,2394.0
2024-09-20T10:00:00-04:00,26.875,26.895,26.825,26.855,2456.0
2024-09-20T10:05:00-04:00,26.855,26.855,26.83,26.83,804.0
2024-09-20T10:10:00-04:00,26.81,26.835,26.795,26.835,3975.0
2024-09-20T10:15:00-04:00,26.85,27.13,26.85,27.13,8548.0
2024-09-20T10:20:00-04:00,27.145,27.165,27.05,27.05,2918.0
2024-09-20T10:25:00-04:00,27.085,27.175,27.085,27.13,2129.0
2024-09-20T10:30:00-04:00,27.13,27.155,27.07,27.07,1634.0
2024-09-20T10:35:00-04:00,27.085,27.135,27.08,27.08,1976.0
2024-09-20T10:40:00-04:00,27.05,27.075,27.05,27.075,363.0
2024-09-20T10:45:00-04:00,27.07,27.075,27.05,27.075,2251.0
2024-09-20T10:50:00-04:00,27.085,27.115,27.085,27.115,1746.0
2024-09-20T10:55:00-04:00,27.11,27.115,27.08,27.08,2892.0
2024-09-20T11:00:00-04:00,27.095,27.105,27.075,27.105,2068.0
2024-09-20T11:05:00-04:00,27.145,27.15,27.13,27.14,2136.0
2024-09-20T11:15:00-04:00,27.005,27.01,26.995,27.01,370.0
2024-09-20T11:20:00-04:00,26.99,26.995,26.99,26.995,606.0
2024-09-20T11:25:00-04:00,26.98,27.025,26.98,27.025,1565.0
2024-09-20T11:30:00-04:00,27.02,27.04,26.99,27.04,2250.0
2024-09-20T11:35:00-04:00,27.07,27.075,27.04,27.055,968.0
