time,open,high,low,close,volume
2024-01-11T16:00:00-05:00,26.71,28.475,25.465,25.61,47602.0
2024-01-12T16:00:00-05:00,25.225,25.3,23.855,24.0,73909.0
2024-01-16T16:00:00-05:00,23.59,23.86,23.13,23.7,34991.0
2024-01-17T16:00:00-05:00,23.37,23.46,23.175,23.36,58444.0
2024-01-18T16:00:00-05:00,23.32,23.38,22.24,22.43,110404.0
2024-01-19T16:00:00-05:00,22.47,23.03,22.085,22.75,73683.0
2024-01-22T16:00:00-05:00,22.19,22.32,21.75,21.95,32549.0
2024-01-23T16:00:00-05:00,21.18,21.61,21.06,21.36,98609.0
2024-01-24T16:00:00-05:00,21.86,21.94,21.61,21.64,67850.0
2024-01-25T16:00:00-05:00,21.85,21.89,21.6,21.635,41141.0
2024-01-26T16:00:00-05:00,22.52,23.015,22.5,22.92,167864.0
2024-01-29T16:00:00-05:00,22.9,23.645,22.8,23.56,117102.0
2024-01-30T16:00:00-05:00,23.71,23.84,23.615,23.755,98827.0
2024-01-31T16:00:00-05:00,23.38,23.85,23.17,23.17,41766.0
2024-02-01T16:00:00-05:00,23.12,23.5,23.12,23.46,38454.0
2024-02-02T16:00:00-05:00,23.32,23.7,23.29,23.435,45385.0
2024-02-05T16:00:00-05:00,23.635,23.635,23.1,23.1,18932.0
2024-02-06T16:00:00-05:00,23.455,23.64,23.39,23.5,40121.0
2024-02-07T16:00:00-05:00,23.54,24.14,23.41,24.1,65475.0
2024-02-08T16:00:00-05:00,24.56,24.88,24.53,24.82,45186.0
2024-02-09T16:00:00-05:00,25.665,26.2,25.6,25.915,50680.0
2024-02-12T16:00:00-05:00,26.36,27.51,26.36,27.4,68049.0
2024-02-13T16:00:00-05:00,26.7,27.02,26.4,26.97,33678.0
2024-02-14T16:00:00-05:00,28.34,28.425,28.0,28.22,30543.0
2024-02-15T16:00:00-05:00,28.78,28.85,28.17,28.21,53903.0
2024-02-16T16:00:00-05:00,28.5,28.55,28.19,28.31,67287.0
2024-02-20T16:00:00-05:00,28.56,28.59,27.69,28.35,444289.0
2024-02-21T16:00:00-05:00,27.795,28.05,27.68,27.82,28509.0
2024-02-22T16:00:00-05:00,27.9,28.42,27.86,28.42,32497.0
2024-02-23T16:00:00-05:00,28.0,28.0,27.63,27.9,38167.0
2024-02-26T16:00:00-05:00,28.11,29.99,28.1,29.75,151519.0
2024-02-27T16:00:00-05:00,31.145,31.35,30.78,31.06,37379.0
2024-02-28T16:00:00-05:00,32.86,34.99,32.31,32.85,165043.0
2024-02-29T16:00:00-05:00,34.58,34.73,32.975,33.89,118855.0
2024-03-01T16:00:00-05:00,34.11,34.55,33.41,34.45,66329.0
2024-03-04T16:00:00-05:00,35.81,37.13,35.77,36.98,112767.0
2024-03-05T16:00:00-05:00,36.95,37.77,32.55,33.75,181074.0
2024-03-06T16:00:00-05:00,36.55,36.9,35.85,36.73,31513.0
2024-03-07T16:00:00-05:00,36.81,37.21,36.43,36.97,90087.0
2024-03-08T16:00:00-05:00,37.19,38.42,36.16,37.84,141887.0
2024-03-11T16:00:00-04:00,39.515,39.8,38.975,39.31,158973.0
2024-03-12T16:00:00-04:00,39.44,39.92,37.5,38.95,100874.0
2024-03-13T16:00:00-04:00,39.77,40.14,39.22,40.12,18281.0
2024-03-14T16:00:00-04:00,39.67,39.67,37.34,37.75,66342.0
2024-03-15T16:00:00-04:00,36.79,38.5,36.79,37.67,26951.0
2024-03-18T16:00:00-04:00,37.1,37.37,36.34,36.47,48360.0
2024-03-19T16:00:00-04:00,34.73,35.87,34.0,35.09,27795.0
2024-03-20T16:00:00-04:00,34.51,36.04,33.93,35.88,61800.0
2024-03-21T16:00:00-04:00,36.895,36.895,35.44,35.58,7081.0
2024-03-22T16:00:00-04:00,34.82,35.015,34.17,34.88,18045.0
2024-03-25T16:00:00-04:00,36.585,38.8,36.585,38.77,32353.0
2024-03-26T16:00:00-04:00,38.56,38.73,37.82,37.92,33737.0
2024-03-27T16:00:00-04:00,38.75,38.75,37.33,37.45,24473.0
2024-03-28T16:00:00-04:00,38.6,39.14,38.59,38.68,33715.0
2024-04-01T16:00:00-04:00,38.22,38.25,37.26,38.04,16917.0
2024-04-02T16:00:00-04:00,35.34,36.15,35.26,35.96,13688.0
2024-04-03T16:00:00-04:00,35.97,36.52,35.82,35.94,8306.0
2024-04-04T16:00:00-04:00,36.83,37.82,36.69,37.31,24250.0
2024-04-05T16:00:00-04:00,36.62,37.39,36.52,36.75,107718.0
2024-04-08T16:00:00-04:00,39.35,39.36,38.95,39.14,16728.0
2024-04-09T16:00:00-04:00,38.56,38.56,37.25,37.64,15841.0
2024-04-10T16:00:00-04:00,36.88,38.23,36.82,38.23,10844.0
2024-04-11T16:00:00-04:00,38.605,38.605,37.95,38.36,8930.0
2024-04-12T16:00:00-04:00,38.21,38.33,35.63,36.45,49228.0
2024-04-15T16:00:00-04:00,36.13,36.26,34.06,34.52,21028.0
2024-04-16T16:00:00-04:00,34.44,34.52,33.66,34.23,31225.0
2024-04-17T16:00:00-04:00,33.97,34.3,32.52,33.28,35853.0
2024-04-18T16:00:00-04:00,34.08,34.92,33.8,34.66,23951.0
2024-04-19T16:00:00-04:00,35.33,35.52,34.69,35.07,15871.0
2024-04-22T16:00:00-04:00,35.98,36.44,35.9,36.3,11363.0
2024-04-23T16:00:00-04:00,36.1,36.61,36.1,36.28,15606.0
2024-04-24T16:00:00-04:00,35.98,36.13,34.82,34.82,11391.0
2024-04-25T16:00:00-04:00,34.58,35.3,34.44,35.22,10020.0
2024-04-26T16:00:00-04:00,34.76,35.3,34.57,34.74,10709.0
2024-04-29T16:00:00-04:00,34.06,34.38,33.8,34.32,7952.0
2024-04-30T16:00:00-04:00,33.37,33.42,32.13,32.13,33009.0
2024-05-01T16:00:00-04:00,31.36,32.35,30.82,31.0,32697.0
2024-05-02T16:00:00-04:00,32.04,32.47,31.76,32.4,24487.0
2024-05-03T16:00:00-04:00,33.54,33.93,33.54,33.9,18950.0
2024-05-06T16:00:00-04:00,34.69,35.0,34.27,34.47,5086.0
2024-05-07T16:00:00-04:00,34.705,35.05,34.33,34.33,7651.0
2024-05-08T16:00:00-04:00,33.73,34.215,33.73,33.89,18479.0
2024-05-09T16:00:00-04:00,33.41,34.19,33.25,34.06,6305.0
2024-05-10T16:00:00-04:00,34.35,34.39,32.81,33.08,22383.0
2024-05-13T16:00:00-04:00,34.23,34.58,34.225,34.39,11156.0
2024-05-14T16:00:00-04:00,33.81,33.81,33.33,33.59,5241.0
2024-05-15T16:00:00-04:00,35.09,36.21,34.97,36.07,37939.0
2024-05-16T16:00:00-04:00,36.0,36.24,35.295,35.53,6842.0
2024-05-17T16:00:00-04:00,36.16,36.81,35.94,36.61,24031.0
2024-05-20T16:00:00-04:00,36.56,38.285,36.46,38.28,30892.0
2024-05-21T16:00:00-04:00,38.69,38.86,37.72,37.77,11507.0
2024-05-22T16:00:00-04:00,38.04,38.52,37.75,37.99,5075.0
2024-05-23T16:00:00-04:00,37.59,37.59,36.42,36.57,3228.0
2024-05-24T16:00:00-04:00,37.05,37.72,37.0,37.72,3691.0
2024-05-28T16:00:00-04:00,36.89,37.36,36.65,37.32,10480.0
2024-05-29T16:00:00-04:00,36.97,37.035,36.61,36.65,15441.0
2024-05-30T16:00:00-04:00,37.2,37.91,37.19,37.44,6823.0
2024-05-31T16:00:00-04:00,37.495,37.505,36.33,36.8,10539.0
2024-06-03T16:00:00-04:00,38.04,38.33,37.645,37.86,23002.0
2024-06-04T16:00:00-04:00,37.88,38.77,37.78,38.47,35116.0
2024-06-05T16:00:00-04:00,38.45,39.16,38.4,38.88,8461.0
2024-06-06T16:00:00-04:00,38.86,38.98,38.4,38.41,8176.0
2024-06-07T16:00:00-04:00,39.04,39.04,37.33,37.75,19009.0
2024-06-10T16:00:00-04:00,37.75,38.23,37.75,37.93,8995.0
2024-06-11T16:00:00-04:00,36.54,36.82,36.01,36.73,11401.0
2024-06-12T16:00:00-04:00,37.86,37.95,36.74,36.79,5721.0
2024-06-13T16:00:00-04:00,37.08,37.08,36.09,36.25,10447.0
2024-06-14T16:00:00-04:00,36.0,36.0,35.53,35.7,1767.0
2024-06-17T16:00:00-04:00,35.63,36.53,35.48,36.31,1515.0
2024-06-18T16:00:00-04:00,35.28,35.53,34.9,35.06,17175.0
2024-06-20T16:00:00-04:00,35.52,35.59,35.32,35.43,3628.0
2024-06-21T16:00:00-04:00,35.0,35.0,34.55,34.99,2320.0
2024-06-24T16:00:00-04:00,33.51,33.51,32.3,32.3,7731.0
2024-06-25T16:00:00-04:00,33.47,34.0,33.34,33.75,11108.0
2024-06-26T16:00:00-04:00,33.57,33.72,33.1,33.27,5488.0
2024-06-27T16:00:00-04:00,33.65,33.98,33.44,33.44,5772.0
2024-06-28T16:00:00-04:00,33.48,33.63,32.67,32.67,29816.0
2024-07-01T16:00:00-04:00,34.29,34.81,34.12,34.45,35824.0
2024-07-02T16:00:00-04:00,34.25,34.32,33.65,33.67,7887.0
2024-07-03T16:00:00-04:00,32.965,33.01,32.74,32.94,14356.0
2024-07-05T16:00:00-04:00,30.25,31.05,30.195,30.78,27718.0
2024-07-08T16:00:00-04:00,31.09,31.13,30.13,30.785,23024.0
2024-07-09T16:00:00-04:00,31.14,31.68,31.1,31.51,16399.0
2024-07-10T16:00:00-04:00,31.63,31.63,31.27,31.275,44426.0
2024-07-11T16:00:00-04:00,32.08,32.115,31.24,31.28,23939.0
2024-07-12T16:00:00-04:00,31.41,31.905,31.36,31.41,28336.0
2024-07-15T16:00:00-04:00,34.31,34.85,34.27,34.63,29387.0
2024-07-16T16:00:00-04:00,34.85,35.575,34.41,35.575,31262.0
2024-07-17T16:00:00-04:00,35.24,35.55,34.86,35.24,11972.0
2024-07-18T16:00:00-04:00,35.41,35.41,34.52,34.61,21579.0
2024-07-19T16:00:00-04:00,34.94,36.81,34.94,36.67,55336.0
2024-07-22T16:00:00-04:00,36.87,37.23,36.32,37.21,53443.0
2024-07-23T16:00:00-04:00,36.31,36.7,35.68,35.71,30236.0
