time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,69.12,69.44,68.83,69.115,29088.0
2023-11-07T16:00:00-05:00,68.53,69.03,68.2,68.91,17491.0
2023-11-08T16:00:00-05:00,68.9,68.97,68.11,68.12,13053.0
2023-11-09T16:00:00-05:00,67.91,68.11,66.83,67.36,17659.0
2023-11-10T16:00:00-05:00,67.66,67.985,67.315,67.98,13524.0
2023-11-13T16:00:00-05:00,67.24,68.255,67.24,68.03,20982.0
2023-11-14T16:00:00-05:00,69.485,72.43,69.485,71.9,29516.0
2023-11-15T16:00:00-05:00,72.265,73.25,72.195,72.85,10224.0
2023-11-16T16:00:00-05:00,72.255,72.49,71.54,72.37,10123.0
2023-11-17T16:00:00-05:00,73.015,73.35,72.64,72.815,19840.0
2023-11-20T16:00:00-05:00,72.54,72.64,71.92,72.39,24733.0
2023-11-21T16:00:00-05:00,72.06,72.225,71.465,71.69,18109.0
2023-11-22T16:00:00-05:00,72.19,72.33,71.7,72.235,8246.0
2023-11-24T16:00:00-05:00,72.275,72.275,71.715,72.19,6929.0
2023-11-27T16:00:00-05:00,71.35,72.0,71.27,71.755,22539.0
2023-11-28T16:00:00-05:00,71.27,72.21,71.27,72.14,11354.0
2023-11-29T16:00:00-05:00,72.74,74.57,72.74,73.45,19338.0
2023-11-30T16:00:00-05:00,73.56,74.865,73.56,73.795,21260.0
2023-12-01T16:00:00-05:00,73.37,76.64,73.37,76.64,15946.0
2023-12-04T16:00:00-05:00,76.74,77.96,76.395,77.84,12321.0
2023-12-05T16:00:00-05:00,77.76,77.76,76.61,76.71,14330.0
2023-12-06T16:00:00-05:00,76.74,77.4,74.985,75.07,21958.0
2023-12-07T16:00:00-05:00,75.31,76.92,75.28,76.895,21313.0
2023-12-08T16:00:00-05:00,77.125,78.0,76.905,77.375,19156.0
2023-12-11T16:00:00-05:00,77.07,77.07,76.48,76.73,27013.0
2023-12-12T16:00:00-05:00,76.48,77.13,76.21,76.24,26477.0
2023-12-13T16:00:00-05:00,76.295,79.76,75.63,79.715,35572.0
2023-12-14T16:00:00-05:00,80.705,82.06,80.705,81.08,28703.0
2023-12-15T16:00:00-05:00,80.79,80.79,79.505,80.47,27552.0
2023-12-18T16:00:00-05:00,80.305,80.575,79.87,80.34,14725.0
2023-12-19T16:00:00-05:00,80.67,81.57,80.67,81.57,29239.0
2023-12-20T16:00:00-05:00,81.55,82.065,79.89,79.9,21488.0
2023-12-21T16:00:00-05:00,80.44,80.65,80.03,80.11,27297.0
2023-12-22T16:00:00-05:00,80.56,81.175,80.56,80.76,14196.0
2023-12-26T16:00:00-05:00,81.27,82.59,81.27,82.38,13981.0
2023-12-27T16:00:00-05:00,81.975,82.4,81.975,82.05,8676.0
2023-12-28T16:00:00-05:00,82.24,82.725,82.0,82.66,10236.0
2023-12-29T16:00:00-05:00,82.485,82.565,81.94,82.03,18629.0
2024-01-02T16:00:00-05:00,81.3,82.8,81.3,82.095,18905.0
2024-01-03T16:00:00-05:00,80.785,81.19,80.22,80.38,11666.0
2024-01-04T16:00:00-05:00,80.385,80.66,79.62,79.82,16933.0
2024-01-05T16:00:00-05:00,79.665,81.61,79.665,81.06,11511.0
2024-01-08T16:00:00-05:00,80.855,82.41,80.855,82.395,7815.0
2024-01-09T16:00:00-05:00,81.8,82.22,81.54,81.77,13006.0
2024-01-10T16:00:00-05:00,81.47,82.305,81.245,82.305,11128.0
2024-01-11T16:00:00-05:00,81.445,81.8,80.685,81.8,16625.0
2024-01-12T16:00:00-05:00,82.305,82.305,80.395,81.12,5530.0
2024-01-16T16:00:00-05:00,79.69,80.675,79.69,80.425,20734.0
2024-01-17T16:00:00-05:00,79.43,80.64,79.13,79.35,18992.0
2024-01-18T16:00:00-05:00,79.875,80.53,79.72,80.04,12612.0
2024-01-19T16:00:00-05:00,80.13,81.29,79.685,81.29,13126.0
2024-01-22T16:00:00-05:00,82.0,82.74,81.68,82.57,14097.0
2024-01-23T16:00:00-05:00,82.66,82.75,81.84,82.14,22064.0
2024-01-24T16:00:00-05:00,82.65,84.93,82.65,83.5,30123.0
2024-01-25T16:00:00-05:00,85.37,86.95,82.97,85.89,46775.0
2024-01-26T16:00:00-05:00,86.01,87.71,85.92,87.57,30779.0
2024-01-29T16:00:00-05:00,88.03,88.96,87.345,88.96,30160.0
2024-01-30T16:00:00-05:00,89.17,89.69,88.81,89.51,18198.0
2024-01-31T16:00:00-05:00,87.25,88.29,84.96,85.59,37028.0
2024-02-01T16:00:00-05:00,85.79,85.79,81.7,85.28,48565.0
2024-02-02T16:00:00-05:00,84.4,86.56,84.4,86.23,24219.0
2024-02-05T16:00:00-05:00,85.705,85.94,84.08,85.36,24737.0
2024-02-06T16:00:00-05:00,85.755,85.755,83.29,83.91,17063.0
2024-02-07T16:00:00-05:00,83.58,84.22,81.73,84.18,24747.0
2024-02-08T16:00:00-05:00,84.54,84.54,83.01,83.38,28278.0
2024-02-09T16:00:00-05:00,83.0,84.73,83.0,84.53,19349.0
2024-02-12T16:00:00-05:00,84.595,85.84,84.595,84.805,17300.0
2024-02-13T16:00:00-05:00,82.535,82.83,81.005,82.41,32202.0
2024-02-14T16:00:00-05:00,83.21,83.45,82.54,83.45,19867.0
2024-02-15T16:00:00-05:00,84.345,86.75,84.345,86.725,33709.0
2024-02-16T16:00:00-05:00,85.685,86.5,84.935,85.12,40481.0
2024-02-20T16:00:00-05:00,84.465,85.59,84.27,84.82,15431.0
2024-02-21T16:00:00-05:00,84.35,84.36,83.575,84.03,33179.0
2024-02-22T16:00:00-05:00,84.55,84.55,83.3,83.57,19064.0
2024-02-23T16:00:00-05:00,83.065,84.12,83.065,83.47,15768.0
2024-02-26T16:00:00-05:00,83.0,84.1,82.76,82.925,13712.0
2024-02-27T16:00:00-05:00,83.42,84.26,83.185,84.11,19100.0
2024-02-28T16:00:00-05:00,83.525,83.94,82.705,82.75,9010.0
2024-02-29T16:00:00-05:00,83.9,84.14,82.77,83.67,19180.0
2024-03-01T16:00:00-05:00,83.25,83.345,81.21,82.6,25181.0
2024-03-04T16:00:00-05:00,83.03,83.57,81.925,81.98,23528.0
2024-03-05T16:00:00-05:00,81.75,85.43,81.75,85.43,21983.0
2024-03-06T16:00:00-05:00,85.03,85.25,82.565,83.5,29545.0
2024-03-07T16:00:00-05:00,84.18,84.755,83.7,84.47,14500.0
2024-03-08T16:00:00-05:00,85.3,85.3,84.11,84.91,23667.0
2024-03-11T16:00:00-04:00,83.29,85.0,83.29,84.7,34145.0
2024-03-12T16:00:00-04:00,83.71,84.78,83.42,84.36,35697.0
2024-03-13T16:00:00-04:00,83.835,84.35,83.5,83.735,24679.0
2024-03-14T16:00:00-04:00,83.865,83.87,81.72,81.96,27562.0
2024-03-15T16:00:00-04:00,82.365,83.345,81.94,82.27,37255.0
2024-03-18T16:00:00-04:00,82.21,83.27,81.88,82.35,23918.0
2024-03-19T16:00:00-04:00,82.615,83.13,82.47,82.57,20478.0
2024-03-20T16:00:00-04:00,82.44,85.795,82.44,85.19,17956.0
2024-03-21T16:00:00-04:00,86.25,86.91,86.25,86.67,32276.0
2024-03-22T16:00:00-04:00,86.545,86.625,85.05,85.23,30092.0
2024-03-25T16:00:00-04:00,85.96,86.75,85.585,86.27,33391.0
2024-03-26T16:00:00-04:00,86.55,86.65,85.805,86.63,19076.0
2024-03-27T16:00:00-04:00,86.69,87.42,86.56,87.13,37272.0
2024-03-28T16:00:00-04:00,87.465,88.3,87.12,88.12,22070.0
2024-04-01T16:00:00-04:00,88.135,88.135,86.95,87.4,30681.0
