time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,70.875,71.07,70.49,70.91,30098.0
2023-11-07T16:00:00-05:00,70.45,71.17,70.21,71.15,13881.0
2023-11-08T16:00:00-05:00,71.21,71.8,70.78,71.61,37686.0
2023-11-09T16:00:00-05:00,71.855,72.22,71.78,71.84,16787.0
2023-11-10T16:00:00-05:00,72.005,72.89,72.005,72.84,22246.0
2023-11-13T16:00:00-05:00,73.03,73.58,72.94,73.53,50033.0
2023-11-14T16:00:00-05:00,73.58,73.99,73.095,73.22,45416.0
2023-11-15T16:00:00-05:00,73.015,73.39,72.25,72.31,44779.0
2023-11-16T16:00:00-05:00,72.885,73.57,72.885,73.2,45442.0
2023-11-17T16:00:00-05:00,73.13,73.45,72.71,72.975,18659.0
2023-11-20T16:00:00-05:00,72.8,73.6,72.75,73.415,19820.0
2023-11-21T16:00:00-05:00,73.79,74.405,73.74,74.09,24116.0
2023-11-22T16:00:00-05:00,74.23,74.7,74.19,74.65,14694.0
2023-11-24T16:00:00-05:00,74.575,74.89,74.315,74.54,10172.0
2023-11-27T16:00:00-05:00,74.5,75.13,74.49,74.97,27025.0
2023-11-28T16:00:00-05:00,75.0,75.04,73.41,73.42,20686.0
2023-11-29T16:00:00-05:00,73.66,73.66,72.73,72.98,28618.0
2023-11-30T16:00:00-05:00,73.08,74.82,73.08,74.79,38464.0
2023-12-01T16:00:00-05:00,74.35,74.63,73.88,74.1,27945.0
2023-12-04T16:00:00-05:00,74.055,75.045,74.055,74.48,32284.0
2023-12-05T16:00:00-05:00,74.16,74.38,73.9,74.035,15287.0
2023-12-06T16:00:00-05:00,74.38,74.385,73.345,73.94,30558.0
2023-12-07T16:00:00-05:00,73.7,74.29,73.51,73.77,17676.0
2023-12-08T16:00:00-05:00,73.965,74.2,73.615,74.15,28611.0
2023-12-11T16:00:00-05:00,74.425,75.31,74.25,74.98,43280.0
2023-12-12T16:00:00-05:00,74.96,75.75,74.67,75.75,48433.0
2023-12-13T16:00:00-05:00,75.96,76.25,75.57,75.76,32186.0
2023-12-14T16:00:00-05:00,74.96,74.96,71.21,71.93,79746.0
2023-12-15T16:00:00-05:00,70.24,70.31,69.15,69.45,56866.0
2023-12-18T16:00:00-05:00,70.175,71.36,69.895,71.01,49402.0
2023-12-19T16:00:00-05:00,71.045,71.66,70.725,70.92,37195.0
2023-12-20T16:00:00-05:00,70.93,70.93,69.65,69.67,34183.0
2023-12-21T16:00:00-05:00,69.75,70.545,69.2,70.4,68487.0
2023-12-22T16:00:00-05:00,70.91,70.91,69.985,70.49,21913.0
2023-12-26T16:00:00-05:00,70.06,70.38,69.89,70.375,20918.0
2023-12-27T16:00:00-05:00,70.44,70.63,69.93,70.6,20507.0
2023-12-28T16:00:00-05:00,70.865,71.1,70.81,70.93,20112.0
2023-12-29T16:00:00-05:00,70.935,71.16,70.54,71.15,27928.0
2024-01-02T16:00:00-05:00,71.27,71.375,70.58,70.75,49233.0
2024-01-03T16:00:00-05:00,70.465,70.9,69.245,69.47,98099.0
2024-01-04T16:00:00-05:00,69.9,70.665,69.86,70.48,48432.0
2024-01-05T16:00:00-05:00,70.66,70.66,69.24,69.58,31920.0
2024-01-08T16:00:00-05:00,71.125,72.2,70.945,72.19,31117.0
2024-01-09T16:00:00-05:00,71.33,71.9,71.185,71.9,27136.0
2024-01-10T16:00:00-05:00,71.95,72.97,71.95,72.97,29246.0
2024-01-11T16:00:00-05:00,72.84,72.995,72.2,72.83,28676.0
2024-01-12T16:00:00-05:00,73.53,74.91,73.23,74.48,80386.0
2024-01-16T16:00:00-05:00,74.42,75.02,74.42,74.56,82439.0
2024-01-17T16:00:00-05:00,74.61,75.34,74.235,74.455,61574.0
2024-01-18T16:00:00-05:00,73.615,74.29,73.27,74.155,79717.0
2024-01-19T16:00:00-05:00,74.73,75.25,74.545,74.805,71880.0
2024-01-22T16:00:00-05:00,75.05,75.43,74.7,75.315,77830.0
2024-01-23T16:00:00-05:00,79.65,79.86,78.15,78.88,155158.0
2024-01-24T16:00:00-05:00,79.17,79.17,77.33,77.61,89868.0
2024-01-25T16:00:00-05:00,77.34,77.73,76.06,77.19,88717.0
2024-01-26T16:00:00-05:00,76.955,77.0,76.265,76.87,49082.0
2024-01-29T16:00:00-05:00,76.695,77.195,76.18,77.07,73500.0
2024-01-30T16:00:00-05:00,77.25,78.33,77.25,78.32,48695.0
2024-01-31T16:00:00-05:00,78.54,78.71,77.54,77.54,38942.0
2024-02-01T16:00:00-05:00,77.205,77.87,75.87,77.82,55663.0
2024-02-02T16:00:00-05:00,77.91,78.3,77.68,77.76,37200.0
2024-02-05T16:00:00-05:00,77.45,77.83,77.22,77.58,26149.0
2024-02-06T16:00:00-05:00,77.65,78.63,77.49,78.43,42494.0
2024-02-07T16:00:00-05:00,78.56,79.32,78.56,78.92,36425.0
2024-02-08T16:00:00-05:00,78.855,80.17,78.77,79.95,56420.0
2024-02-09T16:00:00-05:00,80.145,81.01,79.9,81.01,60443.0
2024-02-12T16:00:00-05:00,80.7,81.09,80.5,81.015,66173.0
2024-02-13T16:00:00-05:00,81.145,81.48,80.43,80.93,38814.0
2024-02-14T16:00:00-05:00,81.14,82.28,81.115,82.28,47177.0
2024-02-15T16:00:00-05:00,82.345,82.895,82.18,82.75,45792.0
2024-02-16T16:00:00-05:00,82.895,83.27,82.42,82.69,46254.0
2024-02-20T16:00:00-05:00,82.185,83.13,81.99,82.755,50296.0
2024-02-21T16:00:00-05:00,82.935,82.935,82.21,82.84,33669.0
2024-02-22T16:00:00-05:00,83.14,84.2,83.14,84.11,33483.0
2024-02-23T16:00:00-05:00,84.3,84.4,83.92,84.25,23418.0
2024-02-26T16:00:00-05:00,84.265,84.62,84.045,84.05,23311.0
2024-02-27T16:00:00-05:00,83.39,84.22,83.21,84.09,22829.0
2024-02-28T16:00:00-05:00,84.27,84.85,84.27,84.8,27884.0
2024-02-29T16:00:00-05:00,84.67,84.81,83.82,84.18,35325.0
2024-03-01T16:00:00-05:00,83.82,83.94,83.24,83.8,29625.0
2024-03-04T16:00:00-05:00,83.355,84.13,83.29,83.965,23476.0
2024-03-05T16:00:00-05:00,83.64,84.195,83.615,84.13,19275.0
2024-03-06T16:00:00-05:00,84.14,85.2,84.1,85.1,46624.0
