time,open,high,low,close,volume
2024-10-09T09:35:00-04:00,6.91,6.915,6.86,6.86,2002.0
2024-10-09T09:40:00-04:00,6.82,6.915,6.82,6.915,416.0
2024-10-09T09:50:00-04:00,6.94,6.94,6.92,6.92,336.0
2024-10-09T10:00:00-04:00,6.9,6.9,6.88,6.88,400.0
2024-10-09T10:05:00-04:00,6.825,6.85,6.81,6.85,1051.0
2024-10-09T10:10:00-04:00,6.85,6.85,6.85,6.85,100.0
2024-10-09T10:15:00-04:00,6.85,6.85,6.85,6.85,200.0
2024-10-09T10:20:00-04:00,6.81,6.81,6.79,6.79,549.0
2024-10-09T10:25:00-04:00,6.77,6.78,6.77,6.78,1231.0
2024-10-09T10:30:00-04:00,6.75,6.79,6.75,6.78,912.0
2024-10-09T10:35:00-04:00,6.75,6.75,6.74,6.74,711.0
2024-10-09T10:40:00-04:00,6.77,6.77,6.74,6.74,1938.0
2024-10-09T10:45:00-04:00,6.745,6.745,6.69,6.69,628.0
2024-10-09T10:55:00-04:00,6.71,6.8,6.71,6.8,418.0
2024-10-09T11:00:00-04:00,6.79,6.79,6.75,6.76,700.0
2024-10-09T11:05:00-04:00,6.745,6.745,6.745,6.745,100.0
2024-10-09T11:10:00-04:00,6.77,6.77,6.77,6.77,400.0
2024-10-09T11:15:00-04:00,6.78,6.78,6.78,6.78,200.0
2024-10-09T11:20:00-04:00,6.845,6.845,6.75,6.75,300.0
2024-10-09T11:30:00-04:00,6.87,6.87,6.87,6.87,400.0
2024-10-09T11:35:00-04:00,6.86,6.86,6.86,6.86,500.0
2024-10-09T11:40:00-04:00,6.86,6.86,6.83,6.855,948.0
2024-10-09T11:45:00-04:00,6.82,6.86,6.82,6.86,1044.0
2024-10-09T11:50:00-04:00,6.93,6.93,6.93,6.93,100.0
2024-10-09T11:55:00-04:00,6.91,6.91,6.91,6.91,100.0
2024-10-09T12:05:00-04:00,6.835,6.84,6.82,6.82,500.0
2024-10-09T12:15:00-04:00,6.805,6.81,6.805,6.81,723.0
2024-10-09T12:20:00-04:00,6.8,6.8,6.8,6.8,100.0
2024-10-09T12:25:00-04:00,6.84,6.84,6.84,6.84,300.0
2024-10-09T12:30:00-04:00,6.83,6.83,6.82,6.82,200.0
2024-10-09T12:35:00-04:00,6.815,6.83,6.815,6.83,399.0
2024-10-09T12:40:00-04:00,6.84,6.84,6.84,6.84,100.0
2024-10-09T12:45:00-04:00,6.83,6.83,6.83,6.83,200.0
2024-10-09T12:55:00-04:00,6.81,6.81,6.81,6.81,100.0
2024-10-09T13:05:00-04:00,6.79,6.79,6.79,6.79,100.0
2024-10-09T13:10:00-04:00,6.77,6.77,6.77,6.77,100.0
2024-10-09T13:15:00-04:00,6.77,6.77,6.76,6.765,400.0
2024-10-09T13:25:00-04:00,6.735,6.77,6.735,6.77,400.0
2024-10-09T13:30:00-04:00,6.765,6.765,6.765,6.765,100.0
2024-10-09T13:35:00-04:00,6.74,6.74,6.74,6.74,100.0
2024-10-09T13:40:00-04:00,6.76,6.76,6.755,6.755,269.0
2024-10-09T13:45:00-04:00,6.77,6.77,6.75,6.75,300.0
2024-10-09T13:50:00-04:00,6.725,6.73,6.725,6.73,200.0
2024-10-09T14:00:00-04:00,6.715,6.715,6.715,6.715,100.0
