time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,2.24,2.275,2.155,2.22,56440.0
2024-11-05T16:00:00-05:00,2.23,2.305,2.215,2.26,36763.0
2024-11-06T16:00:00-05:00,2.48,2.575,2.34,2.5,47134.0
2024-11-07T16:00:00-05:00,2.425,2.545,2.42,2.51,19044.0
2024-11-08T16:00:00-05:00,2.49,2.585,2.44,2.575,19989.0
2024-11-11T16:00:00-05:00,2.635,2.74,2.56,2.63,31977.0
2024-11-12T16:00:00-05:00,2.6,2.6,2.43,2.53,28169.0
2024-11-13T16:00:00-05:00,2.135,2.15,1.715,1.82,141829.0
2024-11-14T16:00:00-05:00,1.995,2.055,1.83,1.845,81534.0
2024-11-15T16:00:00-05:00,1.75,1.78,1.65,1.77,20200.0
2024-11-18T16:00:00-05:00,1.78,1.91,1.78,1.89,28049.0
2024-11-19T16:00:00-05:00,1.805,1.99,1.765,1.99,27735.0
2024-11-20T16:00:00-05:00,1.935,1.98,1.915,1.965,28718.0
2024-11-21T16:00:00-05:00,1.96,1.995,1.885,1.9,29985.0
2024-11-22T16:00:00-05:00,1.88,1.925,1.825,1.905,36488.0
2024-11-25T16:00:00-05:00,1.94,2.05,1.93,1.99,33952.0
2024-11-26T16:00:00-05:00,1.94,1.94,1.85,1.89,23845.0
2024-11-27T16:00:00-05:00,1.94,1.965,1.86,1.935,30214.0
2024-11-29T16:00:00-05:00,1.955,1.995,1.94,1.99,10024.0
2024-12-02T16:00:00-05:00,1.99,2.005,1.92,1.98,25082.0
2024-12-03T16:00:00-05:00,1.97,1.995,1.895,1.9,29281.0
2024-12-04T16:00:00-05:00,1.9,2.155,1.9,2.07,26227.0
2024-12-05T16:00:00-05:00,2.08,2.095,1.96,1.96,46312.0
2024-12-06T16:00:00-05:00,1.945,1.965,1.865,1.93,26363.0
2024-12-09T16:00:00-05:00,1.965,2.07,1.965,2.015,26131.0
2024-12-10T16:00:00-05:00,1.99,1.99,1.875,1.895,20326.0
2024-12-11T16:00:00-05:00,1.89,1.91,1.82,1.87,29295.0
2024-12-12T16:00:00-05:00,1.82,1.905,1.81,1.815,33319.0
2024-12-13T16:00:00-05:00,1.79,1.87,1.76,1.87,42535.0
2024-12-16T16:00:00-05:00,1.855,1.9,1.81,1.825,24561.0
2024-12-17T16:00:00-05:00,1.795,1.795,1.735,1.76,43018.0
