time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,38.2,38.635,37.585,37.675,16875.0
2024-11-05T16:00:00-05:00,37.695,38.59,37.64,37.67,7215.0
2024-11-06T16:00:00-05:00,39.995,46.07,39.71,45.85,69583.0
2024-11-07T16:00:00-05:00,44.925,46.78,44.525,45.86,26733.0
2024-11-08T16:00:00-05:00,46.03,53.52,45.87,53.065,32764.0
2024-11-11T16:00:00-05:00,57.23,59.5,55.21,59.28,33599.0
2024-11-12T16:00:00-05:00,61.25,63.525,59.36,62.64,49581.0
2024-11-13T16:00:00-05:00,79.11,94.85,76.415,90.61,98214.0
2024-11-14T16:00:00-05:00,88.16,88.16,79.39,79.94,28978.0
2024-11-15T16:00:00-05:00,77.05,80.49,75.97,80.01,21323.0
2024-11-18T16:00:00-05:00,80.15,80.675,78.25,79.68,10690.0
2024-11-19T16:00:00-05:00,79.74,85.06,79.74,81.44,12063.0
2024-11-20T16:00:00-05:00,81.905,84.06,76.96,77.9,14943.0
2024-11-21T16:00:00-05:00,80.98,83.565,77.83,82.29,17246.0
2024-11-22T16:00:00-05:00,84.59,89.785,83.25,86.2,20540.0
2024-11-25T16:00:00-05:00,88.68,91.235,83.57,85.155,15806.0
2024-11-26T16:00:00-05:00,86.24,89.275,86.125,87.415,7542.0
2024-11-27T16:00:00-05:00,93.275,95.875,88.685,91.03,29622.0
2024-11-29T16:00:00-05:00,93.6,103.1,92.64,98.725,19288.0
2024-12-02T16:00:00-05:00,99.82,101.26,90.4,93.12,20726.0
2024-12-03T16:00:00-05:00,90.44,91.83,88.06,89.77,15779.0
2024-12-04T16:00:00-05:00,87.91,90.22,80.69,87.52,17584.0
2024-12-05T16:00:00-05:00,88.37,90.27,86.58,88.195,14605.0
2024-12-06T16:00:00-05:00,91.99,94.5,88.735,91.94,14344.0
2024-12-09T16:00:00-05:00,93.58,93.58,83.255,84.215,11341.0
2024-12-10T16:00:00-05:00,88.75,91.66,83.685,83.99,27222.0
2024-12-11T16:00:00-05:00,84.95,90.175,84.95,88.535,7016.0
2024-12-12T16:00:00-05:00,91.41,91.76,85.015,85.94,9325.0
2024-12-13T16:00:00-05:00,89.98,93.265,89.98,91.58,12520.0
2024-12-16T16:00:00-05:00,92.17,103.91,91.755,102.09,13674.0
2024-12-17T16:00:00-05:00,105.98,108.32,101.875,104.175,32375.0
2024-12-18T16:00:00-05:00,101.9,103.105,89.415,89.88,15710.0
2024-12-19T16:00:00-05:00,90.31,90.31,86.1,86.38,13587.0
2024-12-20T16:00:00-05:00,81.13,88.71,81.01,87.9,7276.0
2024-12-23T16:00:00-05:00,88.785,88.785,84.99,86.59,1527.0
2024-12-24T16:00:00-05:00,91.75,96.605,91.62,96.31,9536.0
2024-12-26T16:00:00-05:00,95.37,102.31,95.37,100.73,7902.0
2024-12-27T16:00:00-05:00,98.25,99.045,94.5,97.75,15849.0
2024-12-30T16:00:00-05:00,94.27,96.535,92.9,94.805,10464.0
2024-12-31T16:00:00-05:00,85.0,88.0,82.02,86.76,37125.0
2025-01-02T16:00:00-05:00,88.23,89.705,83.895,86.405,27064.0
2025-01-03T16:00:00-05:00,86.955,90.12,86.36,89.74,9410.0
2025-01-06T16:00:00-05:00,91.63,93.805,90.645,91.27,7627.0
2025-01-07T16:00:00-05:00,90.46,91.31,84.66,85.665,10778.0
2025-01-08T16:00:00-05:00,84.155,85.54,82.97,85.35,7099.0
