time,open,high,low,close,volume
2025-03-11T09:35:00-04:00,27.31,27.34,27.31,27.34,400.0
2025-03-11T09:45:00-04:00,27.33,27.33,27.27,27.27,400.0
2025-03-11T10:00:00-04:00,27.36,27.43,27.27,27.43,1000.0
2025-03-11T10:10:00-04:00,27.42,27.42,27.42,27.42,100.0
2025-03-11T10:15:00-04:00,27.44,27.44,27.43,27.43,947.0
2025-03-11T10:30:00-04:00,27.46,27.46,27.46,27.46,400.0
2025-03-11T10:35:00-04:00,27.47,27.47,27.47,27.47,100.0
2025-03-11T10:40:00-04:00,27.54,27.56,27.54,27.56,500.0
2025-03-11T10:45:00-04:00,27.54,27.54,27.54,27.54,100.0
2025-03-11T10:50:00-04:00,27.54,27.54,27.54,27.54,100.0
2025-03-11T11:05:00-04:00,27.54,27.54,27.51,27.51,250.0
2025-03-11T11:15:00-04:00,27.43,27.43,27.43,27.43,751.0
2025-03-11T11:20:00-04:00,27.42,27.42,27.42,27.42,400.0
2025-03-11T11:35:00-04:00,27.44,27.44,27.44,27.44,100.0
2025-03-11T11:40:00-04:00,27.42,27.42,27.38,27.38,4200.0
2025-03-11T11:45:00-04:00,27.41,27.41,27.41,27.41,700.0
2025-03-11T12:05:00-04:00,27.51,27.51,27.5,27.5,1804.0
2025-03-11T12:15:00-04:00,27.55,27.55,27.55,27.55,700.0
2025-03-11T12:55:00-04:00,27.61,27.61,27.61,27.61,1600.0
2025-03-11T13:15:00-04:00,27.6,27.6,27.6,27.6,100.0
2025-03-11T13:20:00-04:00,27.65,27.65,27.65,27.65,400.0
2025-03-11T13:30:00-04:00,27.64,27.64,27.62,27.62,2700.0
2025-03-11T13:55:00-04:00,27.61,27.61,27.59,27.6,2000.0
2025-03-11T14:00:00-04:00,27.57,27.57,27.49,27.49,2040.0
2025-03-11T14:40:00-04:00,27.4,27.4,27.4,27.4,100.0
2025-03-11T14:50:00-04:00,27.31,27.31,27.27,27.27,2100.0
2025-03-11T14:55:00-04:00,27.3,27.31,27.3,27.31,400.0
2025-03-11T15:00:00-04:00,27.31,27.35,27.31,27.35,1400.0
2025-03-11T15:05:00-04:00,27.28,27.28,27.27,27.28,900.0
2025-03-11T15:10:00-04:00,27.32,27.33,27.32,27.33,1200.0
2025-03-11T15:20:00-04:00,27.34,27.34,27.34,27.34,400.0
2025-03-11T15:30:00-04:00,27.37,27.37,27.37,27.37,600.0
2025-03-11T15:35:00-04:00,27.36,27.37,27.36,27.37,600.0
2025-03-11T15:40:00-04:00,27.39,27.39,27.39,27.39,1600.0
2025-03-11T15:50:00-04:00,27.45,27.45,27.43,27.44,5817.0
2025-03-12T09:30:00-04:00,27.38,27.38,27.37,27.37,200.0
2025-03-12T09:50:00-04:00,27.495,27.495,27.45,27.46,3100.0
2025-03-12T09:55:00-04:00,27.59,27.59,27.59,27.59,1200.0
2025-03-12T10:00:00-04:00,27.61,27.61,27.61,27.61,300.0
2025-03-12T10:10:00-04:00,27.56,27.56,27.56,27.56,100.0
2025-03-12T10:15:00-04:00,27.62,27.62,27.62,27.62,100.0
2025-03-12T10:30:00-04:00,27.63,27.63,27.63,27.63,100.0
2025-03-12T10:40:00-04:00,27.7,27.7,27.7,27.7,400.0
2025-03-12T10:45:00-04:00,27.7,27.7,27.7,27.7,100.0
2025-03-12T11:00:00-04:00,27.73,27.73,27.73,27.73,100.0
2025-03-12T11:05:00-04:00,27.78,27.78,27.78,27.78,100.0
2025-03-12T11:20:00-04:00,27.72,27.72,27.72,27.72,1700.0
2025-03-12T11:30:00-04:00,27.64,27.64,27.64,27.64,1000.0
2025-03-12T11:45:00-04:00,27.61,27.61,27.61,27.61,400.0
2025-03-12T11:55:00-04:00,27.61,27.61,27.61,27.61,600.0
2025-03-12T12:10:00-04:00,27.54,27.57,27.54,27.57,1200.0
2025-03-12T12:15:00-04:00,27.52,27.52,27.52,27.52,1200.0
2025-03-12T12:25:00-04:00,27.52,27.535,27.52,27.535,800.0
2025-03-12T12:40:00-04:00,27.55,27.56,27.55,27.56,400.0
2025-03-12T12:55:00-04:00,27.56,27.56,27.56,27.56,100.0
2025-03-12T13:15:00-04:00,27.5,27.5,27.5,27.5,100.0
2025-03-12T13:30:00-04:00,27.45,27.45,27.43,27.43,1500.0
2025-03-12T13:35:00-04:00,27.45,27.45,27.45,27.45,100.0
2025-03-12T13:55:00-04:00,27.52,27.52,27.52,27.52,180.0
2025-03-12T15:10:00-04:00,27.48,27.48,27.48,27.48,100.0
2025-03-12T15:15:00-04:00,27.51,27.51,27.495,27.495,300.0
2025-03-12T15:20:00-04:00,27.53,27.53,27.53,27.53,100.0
2025-03-12T15:30:00-04:00,27.495,27.495,27.495,27.495,100.0
2025-03-12T15:50:00-04:00,27.56,27.56,27.54,27.54,3100.0
2025-03-12T15:55:00-04:00,27.55,27.55,27.55,27.55,200.0
2025-03-13T09:35:00-04:00,27.59,27.6,27.59,27.59,1500.0
2025-03-13T09:50:00-04:00,27.66,27.66,27.66,27.66,400.0
2025-03-13T09:55:00-04:00,27.7,27.7,27.7,27.7,300.0
2025-03-13T10:10:00-04:00,27.57,27.57,27.57,27.57,400.0
2025-03-13T10:25:00-04:00,27.56,27.56,27.56,27.56,200.0
2025-03-13T10:30:00-04:00,27.6,27.6,27.6,27.6,2000.0
2025-03-13T11:35:00-04:00,27.8,27.8,27.8,27.8,600.0
2025-03-13T11:40:00-04:00,27.82,27.82,27.76,27.76,8200.0
2025-03-13T11:45:00-04:00,27.8,27.8,27.8,27.8,1100.0
2025-03-13T12:00:00-04:00,27.86,27.86,27.86,27.86,600.0
2025-03-13T12:15:00-04:00,27.86,27.86,27.86,27.86,160.0
2025-03-13T12:30:00-04:00,27.88,27.88,27.88,27.88,400.0
2025-03-13T12:50:00-04:00,27.87,27.87,27.85,27.85,700.0
2025-03-13T12:55:00-04:00,27.88,27.88,27.88,27.88,600.0
2025-03-13T14:45:00-04:00,27.84,27.84,27.84,27.84,100.0
2025-03-13T15:00:00-04:00,27.8,27.845,27.8,27.845,982.0
2025-03-13T15:30:00-04:00,27.92,27.92,27.89,27.89,1300.0
2025-03-13T15:50:00-04:00,27.93,27.93,27.93,27.93,900.0
2025-03-13T15:55:00-04:00,27.91,27.91,27.91,27.91,179.0
2025-03-14T09:30:00-04:00,27.75,27.84,27.75,27.83,3367.0
2025-03-14T09:35:00-04:00,27.81,27.81,27.81,27.81,100.0
2025-03-14T10:00:00-04:00,27.75,27.76,27.72,27.74,5200.0
2025-03-14T10:40:00-04:00,27.67,27.67,27.67,27.67,100.0
2025-03-14T10:55:00-04:00,27.62,27.62,27.62,27.62,100.0
2025-03-14T11:00:00-04:00,27.575,27.575,27.575,27.575,200.0
2025-03-14T11:15:00-04:00,27.555,27.555,27.555,27.555,200.0
2025-03-14T12:00:00-04:00,27.505,27.51,27.505,27.51,500.0
2025-03-14T12:05:00-04:00,27.53,27.53,27.53,27.53,100.0
2025-03-14T12:15:00-04:00,27.575,27.575,27.575,27.575,1000.0
2025-03-14T12:25:00-04:00,27.595,27.595,27.595,27.595,100.0
2025-03-14T12:40:00-04:00,27.53,27.53,27.53,27.53,160.0
2025-03-14T13:00:00-04:00,27.47,27.5,27.47,27.495,2106.0
2025-03-14T13:05:00-04:00,27.495,27.495,27.495,27.495,200.0
2025-03-14T13:20:00-04:00,27.515,27.515,27.515,27.515,100.0
2025-03-14T13:25:00-04:00,27.515,27.515,27.515,27.515,200.0
2025-03-14T13:40:00-04:00,27.55,27.55,27.55,27.55,200.0
2025-03-14T14:00:00-04:00,27.54,27.54,27.54,27.54,700.0
2025-03-14T14:05:00-04:00,27.53,27.53,27.53,27.53,100.0
