time,open,high,low,close,volume
2024-10-09T09:45:00-04:00,14.01,14.01,14.01,14.01,100.0
2024-10-09T10:20:00-04:00,14.11,14.11,14.06,14.06,303.0
2024-10-09T10:25:00-04:00,14.06,14.06,14.06,14.06,250.0
2024-10-09T10:30:00-04:00,14.06,14.06,14.055,14.055,292.0
2024-10-09T10:35:00-04:00,14.06,14.06,14.06,14.06,100.0
2024-10-09T10:40:00-04:00,14.05,14.05,14.05,14.05,200.0
2024-10-09T10:55:00-04:00,14.1,14.1,14.1,14.1,150.0
2024-10-09T11:00:00-04:00,14.1,14.1,14.1,14.1,152.0
2024-10-09T11:15:00-04:00,14.05,14.05,14.05,14.05,100.0
2024-10-09T11:20:00-04:00,14.06,14.07,14.06,14.07,208.0
2024-10-09T11:25:00-04:00,14.06,14.06,14.05,14.05,576.0
2024-10-09T11:30:00-04:00,14.06,14.06,14.06,14.06,100.0
2024-10-09T11:50:00-04:00,14.05,14.05,14.05,14.05,343.0
2024-10-09T11:55:00-04:00,14.035,14.035,13.97,13.97,425.0
2024-10-09T12:10:00-04:00,13.945,13.945,13.945,13.945,241.0
2024-10-09T13:00:00-04:00,13.89,13.89,13.88,13.88,237.0
2024-10-09T13:20:00-04:00,13.92,13.92,13.92,13.92,128.0
2024-10-09T13:30:00-04:00,13.93,13.93,13.93,13.93,939.0
2024-10-09T13:50:00-04:00,13.915,13.915,13.91,13.91,615.0
2024-10-09T14:00:00-04:00,13.97,13.97,13.97,13.97,151.0
2024-10-09T14:05:00-04:00,13.965,13.965,13.965,13.965,400.0
2024-10-09T14:10:00-04:00,13.97,13.97,13.97,13.97,100.0
2024-10-09T14:20:00-04:00,13.96,13.96,13.96,13.96,100.0
2024-10-09T14:30:00-04:00,13.92,13.92,13.91,13.91,200.0
2024-10-09T14:45:00-04:00,13.88,13.89,13.88,13.89,393.0
2024-10-09T14:50:00-04:00,13.93,13.93,13.92,13.92,363.0
2024-10-09T15:00:00-04:00,13.92,13.925,13.92,13.925,386.0
2024-10-09T15:10:00-04:00,13.88,13.88,13.88,13.88,191.0
2024-10-09T15:15:00-04:00,13.895,13.895,13.895,13.895,466.0
2024-10-09T15:20:00-04:00,13.895,13.895,13.895,13.895,200.0
2024-10-09T15:25:00-04:00,13.9,13.9,13.895,13.895,200.0
2024-10-09T15:30:00-04:00,13.9,13.9,13.9,13.9,655.0
2024-10-09T15:40:00-04:00,13.9,13.91,13.9,13.905,3111.0
2024-10-09T15:45:00-04:00,13.9,13.9,13.855,13.855,916.0
2024-10-09T15:50:00-04:00,13.86,13.885,13.86,13.88,5831.0
2024-10-09T15:55:00-04:00,13.9,13.91,13.9,13.9,6187.0
2024-10-10T09:30:00-04:00,13.775,13.775,13.65,13.65,333.0
2024-10-10T09:35:00-04:00,13.61,13.61,13.61,13.61,100.0
2024-10-10T09:45:00-04:00,13.63,13.63,13.63,13.63,200.0
2024-10-10T09:55:00-04:00,13.74,13.74,13.74,13.74,241.0
2024-10-10T10:00:00-04:00,13.715,13.715,13.715,13.715,200.0
2024-10-10T10:05:00-04:00,13.7,13.7,13.685,13.685,200.0
2024-10-10T10:20:00-04:00,13.73,13.73,13.73,13.73,114.0
2024-10-10T10:35:00-04:00,13.765,13.765,13.765,13.765,128.0
2024-10-10T10:40:00-04:00,13.75,13.75,13.75,13.75,113.0
2024-10-10T10:50:00-04:00,13.71,13.71,13.7,13.7,223.0
2024-10-10T11:00:00-04:00,13.69,13.69,13.69,13.69,100.0
2024-10-10T11:10:00-04:00,13.745,13.745,13.745,13.745,301.0
2024-10-10T11:15:00-04:00,13.74,13.74,13.74,13.74,658.0
2024-10-10T11:20:00-04:00,13.74,13.74,13.74,13.74,103.0
2024-10-10T11:25:00-04:00,13.735,13.735,13.735,13.735,240.0
2024-10-10T11:30:00-04:00,13.7,13.7,13.7,13.7,100.0
2024-10-10T11:35:00-04:00,13.71,13.71,13.71,13.71,387.0
2024-10-10T11:45:00-04:00,13.69,13.69,13.69,13.69,123.0
2024-10-10T12:00:00-04:00,13.7,13.7,13.7,13.7,517.0
2024-10-10T12:15:00-04:00,13.7,13.7,13.7,13.7,106.0
2024-10-10T12:20:00-04:00,13.665,13.665,13.665,13.665,100.0
2024-10-10T12:25:00-04:00,13.65,13.65,13.65,13.65,400.0
2024-10-10T12:30:00-04:00,13.66,13.66,13.66,13.66,378.0
2024-10-10T12:40:00-04:00,13.7,13.7,13.7,13.7,110.0
2024-10-10T12:45:00-04:00,13.7,13.72,13.7,13.72,467.0
2024-10-10T12:50:00-04:00,13.71,13.71,13.71,13.71,100.0
2024-10-10T13:15:00-04:00,13.7,13.72,13.7,13.72,223.0
2024-10-10T13:25:00-04:00,13.695,13.695,13.695,13.695,100.0
2024-10-10T13:30:00-04:00,13.69,13.69,13.69,13.69,317.0
2024-10-10T13:35:00-04:00,13.7,13.7,13.7,13.7,100.0
2024-10-10T13:40:00-04:00,13.69,13.69,13.69,13.69,516.0
2024-10-10T13:45:00-04:00,13.665,13.665,13.665,13.665,204.0
2024-10-10T14:10:00-04:00,13.64,13.64,13.64,13.64,110.0
2024-10-10T14:15:00-04:00,13.62,13.62,13.6,13.6,266.0
2024-10-10T14:40:00-04:00,13.62,13.62,13.61,13.61,514.0
2024-10-10T14:50:00-04:00,13.62,13.62,13.62,13.62,106.0
2024-10-10T14:55:00-04:00,13.61,13.62,13.61,13.62,200.0
2024-10-10T15:00:00-04:00,13.615,13.615,13.605,13.605,793.0
2024-10-10T15:05:00-04:00,13.635,13.685,13.635,13.685,671.0
2024-10-10T15:15:00-04:00,13.67,13.67,13.66,13.66,226.0
2024-10-10T15:25:00-04:00,13.625,13.625,13.625,13.625,100.0
2024-10-10T15:30:00-04:00,13.61,13.61,13.61,13.61,105.0
2024-10-10T15:35:00-04:00,13.605,13.605,13.6,13.6,519.0
2024-10-10T15:50:00-04:00,13.6,13.6,13.59,13.595,1864.0
2024-10-10T15:55:00-04:00,13.57,13.575,13.54,13.56,4709.0
2024-10-11T09:55:00-04:00,13.605,13.605,13.605,13.605,100.0
2024-10-11T10:10:00-04:00,13.61,13.61,13.61,13.61,220.0
2024-10-11T10:15:00-04:00,13.59,13.63,13.59,13.63,319.0
2024-10-11T10:20:00-04:00,13.62,13.62,13.62,13.62,226.0
2024-10-11T10:25:00-04:00,13.575,13.575,13.575,13.575,134.0
2024-10-11T10:40:00-04:00,13.59,13.59,13.59,13.59,789.0
2024-10-11T10:45:00-04:00,13.57,13.57,13.57,13.57,100.0
2024-10-11T10:55:00-04:00,13.58,13.58,13.57,13.57,365.0
2024-10-11T11:00:00-04:00,13.56,13.56,13.56,13.56,100.0
2024-10-11T11:15:00-04:00,13.61,13.61,13.61,13.61,200.0
2024-10-11T11:25:00-04:00,13.59,13.59,13.59,13.59,151.0
2024-10-11T11:35:00-04:00,13.59,13.595,13.59,13.595,425.0
2024-10-11T11:40:00-04:00,13.585,13.585,13.585,13.585,200.0
2024-10-11T11:45:00-04:00,13.585,13.585,13.58,13.58,791.0
2024-10-11T11:55:00-04:00,13.58,13.58,13.58,13.58,147.0
2024-10-11T12:00:00-04:00,13.6,13.62,13.6,13.62,358.0
2024-10-11T12:05:00-04:00,13.58,13.58,13.58,13.58,104.0
2024-10-11T12:10:00-04:00,13.57,13.58,13.57,13.58,612.0
2024-10-11T12:15:00-04:00,13.57,13.57,13.57,13.57,100.0
2024-10-11T12:20:00-04:00,13.58,13.59,13.58,13.59,379.0
2024-10-11T12:25:00-04:00,13.58,13.58,13.58,13.58,420.0
2024-10-11T12:30:00-04:00,13.59,13.59,13.59,13.59,100.0
2024-10-11T12:45:00-04:00,13.56,13.57,13.525,13.525,631.0
2024-10-11T12:50:00-04:00,13.51,13.52,13.51,13.52,203.0
2024-10-11T12:55:00-04:00,13.51,13.51,13.5,13.51,518.0
2024-10-11T13:05:00-04:00,13.53,13.53,13.53,13.53,423.0
2024-10-11T13:10:00-04:00,13.54,13.54,13.54,13.54,137.0
2024-10-11T13:30:00-04:00,13.52,13.52,13.52,13.52,114.0
2024-10-11T13:40:00-04:00,13.53,13.53,13.49,13.49,992.0
2024-10-11T13:55:00-04:00,13.49,13.49,13.49,13.49,201.0
2024-10-11T14:00:00-04:00,13.5,13.5,13.5,13.5,407.0
2024-10-11T14:05:00-04:00,13.48,13.515,13.48,13.515,321.0
2024-10-11T14:15:00-04:00,13.54,13.54,13.54,13.54,100.0
2024-10-11T14:25:00-04:00,13.51,13.51,13.47,13.47,525.0
2024-10-11T14:30:00-04:00,13.49,13.49,13.49,13.49,100.0
2024-10-11T14:40:00-04:00,13.48,13.5,13.475,13.5,1506.0
2024-10-11T14:45:00-04:00,13.495,13.5,13.495,13.5,300.0
2024-10-11T14:50:00-04:00,13.495,13.495,13.495,13.495,100.0
2024-10-11T14:55:00-04:00,13.505,13.51,13.505,13.51,745.0
2024-10-11T15:00:00-04:00,13.51,13.54,13.51,13.53,1243.0
2024-10-11T15:05:00-04:00,13.54,13.54,13.52,13.52,548.0
2024-10-11T15:10:00-04:00,13.53,13.53,13.53,13.53,500.0
2024-10-11T15:15:00-04:00,13.53,13.54,13.53,13.53,1704.0
2024-10-11T15:20:00-04:00,13.54,13.54,13.54,13.54,306.0
2024-10-11T15:30:00-04:00,13.51,13.51,13.505,13.51,883.0
2024-10-11T15:35:00-04:00,13.51,13.51,13.51,13.51,100.0
2024-10-11T15:40:00-04:00,13.515,13.52,13.515,13.52,926.0
2024-10-11T15:45:00-04:00,13.52,13.52,13.515,13.515,1339.0
2024-10-11T15:50:00-04:00,13.515,13.61,13.515,13.585,2988.0
2024-10-11T15:55:00-04:00,13.6,13.6,13.54,13.56,4968.0
2024-10-14T09:30:00-04:00,13.545,13.545,13.545,13.545,506.0
2024-10-14T09:40:00-04:00,13.68,13.7,13.675,13.675,1009.0
2024-10-14T09:55:00-04:00,13.715,13.715,13.715,13.715,172.0
2024-10-14T10:05:00-04:00,13.7,13.7,13.7,13.7,235.0
2024-10-14T10:10:00-04:00,13.77,13.82,13.77,13.82,201.0
2024-10-14T10:15:00-04:00,13.8,13.81,13.8,13.81,1799.0
2024-10-14T10:20:00-04:00,13.81,13.81,13.81,13.81,100.0
2024-10-14T10:25:00-04:00,13.81,13.81,13.81,13.81,171.0
2024-10-14T10:30:00-04:00,13.87,13.87,13.87,13.87,100.0
2024-10-14T10:35:00-04:00,13.84,13.84,13.84,13.84,236.0
2024-10-14T10:45:00-04:00,13.77,13.79,13.77,13.79,427.0
2024-10-14T10:55:00-04:00,13.905,13.905,13.905,13.905,142.0
2024-10-14T11:00:00-04:00,13.91,13.91,13.91,13.91,212.0
2024-10-14T11:05:00-04:00,13.92,13.93,13.92,13.93,353.0
2024-10-14T11:15:00-04:00,14.02,14.02,14.02,14.02,203.0
2024-10-14T11:20:00-04:00,14.0,14.005,14.0,14.005,200.0
2024-10-14T11:25:00-04:00,14.005,14.005,13.95,13.98,565.0
2024-10-14T11:30:00-04:00,13.97,13.97,13.97,13.97,100.0
2024-10-14T11:45:00-04:00,13.88,13.88,13.86,13.86,480.0
2024-10-14T11:50:00-04:00,13.88,13.88,13.88,13.88,489.0
2024-10-14T11:55:00-04:00,13.9,13.91,13.9,13.91,230.0
2024-10-14T12:00:00-04:00,13.91,13.91,13.9,13.9,388.0
2024-10-14T12:05:00-04:00,13.89,13.89,13.89,13.89,100.0
2024-10-14T12:20:00-04:00,13.91,13.92,13.91,13.92,210.0
2024-10-14T12:25:00-04:00,13.93,13.93,13.93,13.93,106.0
2024-10-14T12:30:00-04:00,13.95,13.95,13.95,13.95,262.0
2024-10-14T12:35:00-04:00,13.94,13.94,13.94,13.94,102.0
2024-10-14T12:40:00-04:00,13.91,13.91,13.91,13.91,218.0
2024-10-14T12:55:00-04:00,13.92,13.92,13.92,13.92,576.0
2024-10-14T13:05:00-04:00,13.92,13.965,13.92,13.965,1134.0
2024-10-14T13:10:00-04:00,13.95,13.97,13.925,13.97,686.0
2024-10-14T13:25:00-04:00,13.975,14.0,13.975,14.0,305.0
2024-10-14T13:35:00-04:00,13.99,13.99,13.97,13.97,300.0
2024-10-14T13:40:00-04:00,13.98,13.985,13.98,13.985,346.0
2024-10-14T13:45:00-04:00,13.995,13.995,13.99,13.99,246.0
2024-10-14T13:50:00-04:00,13.98,14.0,13.98,14.0,384.0
2024-10-14T13:55:00-04:00,14.0,14.0,14.0,14.0,326.0
2024-10-14T14:00:00-04:00,14.0,14.0,14.0,14.0,402.0
2024-10-14T14:05:00-04:00,14.0,14.02,14.0,14.02,2166.0
2024-10-14T14:10:00-04:00,14.02,14.02,14.02,14.02,957.0
2024-10-14T14:15:00-04:00,14.02,14.02,14.005,14.01,404.0
2024-10-14T14:20:00-04:00,14.01,14.01,14.0,14.0,256.0
2024-10-14T14:25:00-04:00,14.02,14.02,14.02,14.02,100.0
2024-10-14T14:35:00-04:00,14.025,14.025,14.025,14.025,647.0
2024-10-14T14:50:00-04:00,14.04,14.04,14.01,14.01,903.0
2024-10-14T14:55:00-04:00,14.02,14.02,14.02,14.02,300.0
2024-10-14T15:00:00-04:00,14.0,14.0,14.0,14.0,300.0
2024-10-14T15:05:00-04:00,14.0,14.045,14.0,14.045,955.0
2024-10-14T15:10:00-04:00,14.085,14.085,14.085,14.085,200.0
2024-10-14T15:15:00-04:00,14.075,14.075,14.075,14.075,261.0
2024-10-14T15:20:00-04:00,14.08,14.08,14.08,14.08,100.0
2024-10-14T15:25:00-04:00,14.08,14.08,14.08,14.08,200.0
2024-10-14T15:30:00-04:00,14.085,14.105,14.08,14.1,1535.0
2024-10-14T15:35:00-04:00,14.09,14.1,14.08,14.1,615.0
2024-10-14T15:40:00-04:00,14.1,14.11,14.09,14.09,1515.0
2024-10-14T15:45:00-04:00,14.05,14.065,14.05,14.065,305.0
2024-10-14T15:50:00-04:00,14.07,14.1,14.05,14.05,4961.0
2024-10-14T15:55:00-04:00,14.06,14.075,14.0,14.005,5039.0
2024-10-15T09:30:00-04:00,14.08,14.08,14.0,14.0,334.0
2024-10-15T09:55:00-04:00,13.99,13.99,13.99,13.99,100.0
2024-10-15T10:00:00-04:00,14.0,14.0,14.0,14.0,201.0
2024-10-15T10:20:00-04:00,14.05,14.05,14.05,14.05,121.0
2024-10-15T10:25:00-04:00,14.04,14.04,14.04,14.04,100.0
2024-10-15T10:35:00-04:00,14.045,14.045,14.045,14.045,144.0
2024-10-15T10:40:00-04:00,14.02,14.02,14.02,14.02,120.0
2024-10-15T10:45:00-04:00,14.0,14.01,14.0,14.01,220.0
2024-10-15T10:50:00-04:00,14.0,14.015,14.0,14.01,531.0
2024-10-15T11:15:00-04:00,14.01,14.01,14.01,14.01,100.0
2024-10-15T11:30:00-04:00,14.06,14.06,14.06,14.06,272.0
2024-10-15T11:35:00-04:00,14.07,14.07,14.07,14.07,133.0
2024-10-15T11:40:00-04:00,14.14,14.14,14.14,14.14,126.0
2024-10-15T11:55:00-04:00,14.16,14.16,14.16,14.16,128.0
2024-10-15T12:00:00-04:00,14.165,14.165,14.165,14.165,100.0
2024-10-15T12:10:00-04:00,14.21,14.21,14.21,14.21,100.0
2024-10-15T12:15:00-04:00,14.21,14.22,14.21,14.22,201.0
2024-10-15T12:25:00-04:00,14.27,14.27,14.27,14.27,190.0
2024-10-15T12:30:00-04:00,14.26,14.26,14.26,14.26,100.0
2024-10-15T12:35:00-04:00,14.27,14.3,14.27,14.3,206.0
2024-10-15T12:40:00-04:00,14.3,14.3,14.3,14.3,190.0
2024-10-15T13:00:00-04:00,14.28,14.28,14.28,14.28,101.0
2024-10-15T13:05:00-04:00,14.3,14.35,14.3,14.345,1219.0
2024-10-15T13:10:00-04:00,14.38,14.38,14.38,14.38,408.0
2024-10-15T13:15:00-04:00,14.37,14.37,14.365,14.365,325.0
2024-10-15T13:25:00-04:00,14.36,14.36,14.36,14.36,110.0
2024-10-15T13:35:00-04:00,14.36,14.36,14.36,14.36,300.0
2024-10-15T13:40:00-04:00,14.375,14.375,14.375,14.375,182.0
2024-10-15T13:45:00-04:00,14.375,14.38,14.375,14.38,450.0
2024-10-15T13:55:00-04:00,14.38,14.38,14.38,14.38,794.0
2024-10-15T14:00:00-04:00,14.38,14.39,14.38,14.39,600.0
2024-10-15T14:05:00-04:00,14.4,14.4,14.4,14.4,303.0
2024-10-15T14:10:00-04:00,14.43,14.43,14.43,14.43,945.0
2024-10-15T14:15:00-04:00,14.45,14.45,14.45,14.45,258.0
2024-10-15T14:25:00-04:00,14.46,14.47,14.46,14.47,461.0
