time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,5.24,5.31,5.225,5.3,4688.0
2024-11-05T16:00:00-05:00,5.46,5.55,5.445,5.545,2820.0
2024-11-06T16:00:00-05:00,5.685,6.03,5.685,5.94,4902.0
2024-11-07T16:00:00-05:00,5.95,6.165,5.765,5.77,5190.0
2024-11-08T16:00:00-05:00,5.52,5.86,5.325,5.8,2866.0
2024-11-11T16:00:00-05:00,5.97,6.81,5.97,6.63,13875.0
2024-11-12T16:00:00-05:00,6.515,6.94,6.515,6.9,13522.0
2024-11-13T16:00:00-05:00,6.97,7.745,6.97,7.5,30438.0
2024-11-14T16:00:00-05:00,7.06,7.265,5.775,6.055,6528.0
2024-11-15T16:00:00-05:00,5.865,5.97,5.665,5.97,18793.0
2024-11-18T16:00:00-05:00,5.69,5.8,5.5,5.79,10379.0
2024-11-19T16:00:00-05:00,5.67,5.67,5.35,5.5,3407.0
2024-11-20T16:00:00-05:00,5.42,5.48,5.42,5.48,3722.0
2024-11-21T16:00:00-05:00,5.63,5.63,5.51,5.56,6026.0
2024-11-22T16:00:00-05:00,5.655,5.8,5.62,5.63,3457.0
2024-11-25T16:00:00-05:00,5.88,5.88,5.62,5.62,4135.0
2024-11-26T16:00:00-05:00,5.53,6.17,5.53,6.15,6612.0
2024-11-27T16:00:00-05:00,5.98,6.01,5.87,5.87,3500.0
2024-11-29T16:00:00-05:00,6.12,6.18,5.955,5.96,2667.0
2024-12-02T16:00:00-05:00,6.035,6.29,5.895,6.275,13951.0
2024-12-03T16:00:00-05:00,6.24,6.26,5.79,6.01,10265.0
2024-12-04T16:00:00-05:00,5.99,6.4,5.95,6.38,11979.0
2024-12-05T16:00:00-05:00,6.28,6.28,6.04,6.175,9472.0
2024-12-06T16:00:00-05:00,6.13,6.41,6.1,6.41,6162.0
2024-12-09T16:00:00-05:00,6.475,6.57,6.37,6.49,7279.0
2024-12-10T16:00:00-05:00,6.61,6.69,6.47,6.565,5538.0
2024-12-11T16:00:00-05:00,6.66,7.04,6.65,6.88,13302.0
2024-12-12T16:00:00-05:00,6.765,6.81,6.15,6.15,6296.0
2024-12-13T16:00:00-05:00,6.05,6.05,5.295,5.57,13273.0
2024-12-16T16:00:00-05:00,6.02,6.43,6.02,6.29,7850.0
2024-12-17T16:00:00-05:00,6.27,6.32,6.02,6.23,8916.0
2024-12-18T16:00:00-05:00,6.32,6.415,5.78,5.96,11599.0
2024-12-19T16:00:00-05:00,5.87,5.97,5.605,5.895,9683.0
2024-12-20T16:00:00-05:00,5.91,6.33,5.91,6.28,11313.0
2024-12-23T16:00:00-05:00,6.05,6.085,6.05,6.085,263.0
2024-12-24T16:00:00-05:00,6.26,6.35,6.21,6.35,2727.0
2024-12-26T16:00:00-05:00,6.34,6.53,6.3,6.51,5318.0
2024-12-27T16:00:00-05:00,6.46,6.46,6.16,6.23,3836.0
2024-12-30T16:00:00-05:00,6.33,6.33,6.08,6.18,4947.0
2024-12-31T16:00:00-05:00,6.17,6.28,6.105,6.14,4013.0
2025-01-02T16:00:00-05:00,6.21,6.34,6.1,6.155,14583.0
2025-01-03T16:00:00-05:00,6.315,6.62,6.22,6.62,4520.0
2025-01-06T16:00:00-05:00,6.705,6.76,6.28,6.33,9699.0
2025-01-07T16:00:00-05:00,6.3,6.3,5.89,5.91,6372.0
2025-01-08T16:00:00-05:00,5.54,5.57,5.06,5.08,15074.0
2025-01-10T16:00:00-05:00,4.925,4.975,4.44,4.52,20706.0
2025-01-13T16:00:00-05:00,4.3,4.3,3.74,4.1,11213.0
