time,open,high,low,close,volume
2025-03-13T09:50:00-04:00,28.98,28.98,28.97,28.97,840.0
2025-03-13T09:55:00-04:00,29.04,29.04,29.04,29.04,200.0
2025-03-13T10:00:00-04:00,28.92,28.92,28.92,28.92,100.0
2025-03-13T10:10:00-04:00,28.795,28.795,28.78,28.78,300.0
2025-03-13T10:25:00-04:00,28.77,28.77,28.77,28.77,200.0
2025-03-13T10:30:00-04:00,28.83,28.87,28.83,28.87,500.0
2025-03-13T10:35:00-04:00,28.87,28.87,28.87,28.87,100.0
2025-03-13T10:50:00-04:00,28.94,28.94,28.94,28.94,100.0
2025-03-13T11:00:00-04:00,29.01,29.01,29.01,29.01,200.0
2025-03-13T11:35:00-04:00,29.275,29.34,29.275,29.34,500.0
2025-03-13T11:40:00-04:00,29.265,29.3,29.18,29.25,1520.0
2025-03-13T11:45:00-04:00,29.28,29.28,29.28,29.28,200.0
2025-03-13T11:50:00-04:00,29.335,29.335,29.335,29.335,400.0
2025-03-13T12:00:00-04:00,29.4,29.4,29.4,29.4,200.0
2025-03-13T12:05:00-04:00,29.33,29.33,29.33,29.33,100.0
2025-03-13T12:10:00-04:00,29.33,29.33,29.32,29.32,200.0
2025-03-13T12:40:00-04:00,29.26,29.29,29.26,29.29,400.0
2025-03-13T13:05:00-04:00,29.425,29.425,29.425,29.425,100.0
2025-03-13T13:15:00-04:00,29.56,29.56,29.56,29.56,200.0
2025-03-13T13:20:00-04:00,29.53,29.53,29.5,29.5,1400.0
2025-03-13T13:25:00-04:00,29.54,29.54,29.52,29.52,900.0
2025-03-13T13:55:00-04:00,29.64,29.64,29.64,29.64,200.0
2025-03-13T14:05:00-04:00,29.5,29.5,29.5,29.5,100.0
2025-03-13T14:35:00-04:00,29.37,29.37,29.37,29.37,100.0
2025-03-13T14:40:00-04:00,29.36,29.36,29.36,29.36,200.0
2025-03-13T15:25:00-04:00,29.53,29.53,29.5,29.5,400.0
2025-03-13T15:30:00-04:00,29.52,29.52,29.52,29.52,200.0
2025-03-13T15:35:00-04:00,29.55,29.55,29.55,29.55,300.0
2025-03-13T15:40:00-04:00,29.53,29.53,29.505,29.505,334.0
2025-03-13T15:45:00-04:00,29.47,29.47,29.47,29.47,400.0
2025-03-13T15:50:00-04:00,29.53,29.55,29.53,29.53,1000.0
2025-03-13T15:55:00-04:00,29.52,29.52,29.52,29.52,213.0
2025-03-14T09:30:00-04:00,29.2,29.37,29.18,29.33,4829.0
2025-03-14T09:35:00-04:00,29.22,29.22,29.22,29.22,100.0
2025-03-14T09:40:00-04:00,29.17,29.17,29.17,29.17,100.0
2025-03-14T09:55:00-04:00,28.98,28.98,28.98,28.98,200.0
2025-03-14T10:00:00-04:00,29.22,29.22,29.09,29.09,1100.0
2025-03-14T10:05:00-04:00,29.0,29.0,29.0,29.0,200.0
2025-03-14T10:15:00-04:00,29.14,29.14,29.14,29.14,200.0
2025-03-14T10:40:00-04:00,29.02,29.02,29.02,29.02,200.0
2025-03-14T12:10:00-04:00,28.73,28.73,28.73,28.73,100.0
2025-03-14T13:00:00-04:00,28.595,28.62,28.56,28.62,1320.0
2025-03-14T13:15:00-04:00,28.62,28.62,28.62,28.62,200.0
2025-03-14T13:50:00-04:00,28.73,28.73,28.73,28.73,300.0
2025-03-14T14:05:00-04:00,28.69,28.69,28.69,28.69,200.0
2025-03-14T14:20:00-04:00,28.75,28.75,28.75,28.75,200.0
2025-03-14T15:20:00-04:00,28.64,28.65,28.64,28.65,400.0
2025-03-14T15:30:00-04:00,28.65,28.65,28.65,28.65,200.0
2025-03-14T15:40:00-04:00,28.69,28.7,28.69,28.7,400.0
2025-03-14T15:45:00-04:00,28.64,28.64,28.64,28.64,100.0
2025-03-14T15:50:00-04:00,28.63,28.63,28.53,28.53,800.0
2025-03-14T15:55:00-04:00,28.51,28.575,28.51,28.575,800.0
2025-03-17T09:30:00-04:00,28.61,28.61,28.61,28.61,100.0
2025-03-17T09:40:00-04:00,28.33,28.33,28.33,28.33,100.0
2025-03-17T09:55:00-04:00,28.25,28.31,28.25,28.31,600.0
2025-03-17T10:00:00-04:00,28.37,28.37,28.37,28.37,100.0
2025-03-17T10:20:00-04:00,28.28,28.28,28.28,28.28,200.0
2025-03-17T11:00:00-04:00,28.355,28.355,28.355,28.355,135.0
2025-03-17T11:05:00-04:00,28.335,28.335,28.335,28.335,135.0
2025-03-17T11:10:00-04:00,28.305,28.305,28.305,28.305,135.0
2025-03-17T11:15:00-04:00,28.265,28.265,28.265,28.265,135.0
2025-03-17T11:20:00-04:00,28.235,28.235,28.235,28.235,135.0
2025-03-17T11:45:00-04:00,28.37,28.37,28.37,28.37,100.0
2025-03-17T13:35:00-04:00,28.06,28.06,28.06,28.06,200.0
2025-03-17T14:00:00-04:00,27.985,27.985,27.96,27.97,900.0
2025-03-17T14:05:00-04:00,27.995,27.995,27.995,27.995,400.0
2025-03-17T15:50:00-04:00,27.94,27.95,27.94,27.95,600.0
2025-03-18T09:30:00-04:00,28.18,28.18,28.18,28.18,400.0
2025-03-18T09:40:00-04:00,28.33,28.34,28.28,28.34,900.0
2025-03-18T09:55:00-04:00,28.39,28.39,28.37,28.37,400.0
2025-03-18T10:05:00-04:00,28.38,28.38,28.38,28.38,100.0
2025-03-18T10:10:00-04:00,28.4,28.4,28.4,28.4,100.0
2025-03-18T10:15:00-04:00,28.355,28.355,28.355,28.355,400.0
2025-03-18T10:25:00-04:00,28.3,28.3,28.3,28.3,100.0
2025-03-18T10:30:00-04:00,28.33,28.33,28.33,28.33,100.0
2025-03-18T10:45:00-04:00,28.4,28.4,28.4,28.4,100.0
2025-03-18T10:55:00-04:00,28.35,28.35,28.35,28.35,300.0
2025-03-18T11:00:00-04:00,28.48,28.48,28.48,28.48,200.0
2025-03-18T11:15:00-04:00,28.5,28.5,28.5,28.5,100.0
2025-03-18T12:45:00-04:00,28.61,28.61,28.61,28.61,100.0
2025-03-18T13:00:00-04:00,28.56,28.57,28.56,28.57,300.0
2025-03-18T13:15:00-04:00,28.55,28.64,28.55,28.59,1971.0
2025-03-18T13:20:00-04:00,28.52,28.52,28.52,28.52,108.0
2025-03-18T13:25:00-04:00,28.48,28.51,28.48,28.51,200.0
2025-03-18T14:00:00-04:00,28.5,28.5,28.5,28.5,100.0
2025-03-18T14:45:00-04:00,28.39,28.39,28.39,28.39,100.0
2025-03-18T14:50:00-04:00,28.39,28.39,28.375,28.375,400.0
2025-03-18T15:50:00-04:00,28.43,28.47,28.38,28.39,1306.0
2025-03-18T15:55:00-04:00,28.445,28.445,28.445,28.445,164.0
2025-03-19T09:30:00-04:00,28.22,28.22,28.22,28.22,100.0
2025-03-19T09:45:00-04:00,28.22,28.22,28.14,28.14,400.0
2025-03-19T09:50:00-04:00,28.21,28.21,28.15,28.15,300.0
2025-03-19T10:55:00-04:00,28.16,28.16,28.16,28.16,100.0
2025-03-19T11:40:00-04:00,28.065,28.065,28.065,28.065,100.0
2025-03-19T12:10:00-04:00,28.0,28.0,28.0,28.0,200.0
2025-03-19T13:05:00-04:00,28.2,28.2,28.2,28.2,100.0
2025-03-19T14:00:00-04:00,28.35,28.35,28.18,28.18,776.0
2025-03-19T14:05:00-04:00,28.18,28.25,28.18,28.19,400.0
2025-03-19T14:10:00-04:00,28.11,28.11,28.11,28.11,100.0
2025-03-19T14:20:00-04:00,28.15,28.15,28.125,28.125,300.0
2025-03-19T14:25:00-04:00,28.13,28.13,28.13,28.13,100.0
2025-03-19T14:30:00-04:00,28.13,28.13,28.13,28.13,100.0
2025-03-19T14:40:00-04:00,28.055,28.055,28.055,28.055,100.0
2025-03-19T14:45:00-04:00,28.0,28.0,28.0,28.0,200.0
2025-03-19T14:50:00-04:00,27.97,27.97,27.91,27.91,300.0
2025-03-19T15:05:00-04:00,27.76,27.76,27.75,27.75,200.0
2025-03-19T15:10:00-04:00,27.685,27.71,27.68,27.71,600.0
2025-03-19T15:15:00-04:00,27.685,27.71,27.685,27.71,200.0
2025-03-19T15:20:00-04:00,27.82,27.82,27.81,27.81,300.0
2025-03-19T15:25:00-04:00,27.87,27.87,27.87,27.87,200.0
2025-03-19T15:30:00-04:00,27.91,27.91,27.81,27.81,500.0
2025-03-19T15:35:00-04:00,27.78,27.78,27.78,27.78,200.0
2025-03-19T15:45:00-04:00,27.75,27.75,27.75,27.75,100.0
2025-03-19T15:50:00-04:00,27.85,27.91,27.84,27.89,1100.0
2025-03-19T15:55:00-04:00,27.91,27.915,27.91,27.91,800.0
2025-03-20T09:30:00-04:00,28.25,28.25,28.23,28.23,1600.0
2025-03-20T09:35:00-04:00,28.17,28.17,28.17,28.17,200.0
2025-03-20T09:40:00-04:00,28.2,28.2,28.2,28.2,100.0
2025-03-20T10:30:00-04:00,27.66,27.67,27.66,27.67,200.0
2025-03-20T10:45:00-04:00,27.57,27.57,27.57,27.57,300.0
2025-03-20T10:50:00-04:00,27.61,27.61,27.61,27.61,100.0
2025-03-20T11:00:00-04:00,27.63,27.63,27.63,27.63,100.0
2025-03-20T12:00:00-04:00,27.68,27.68,27.68,27.68,200.0
2025-03-20T12:10:00-04:00,27.73,27.73,27.73,27.73,200.0
2025-03-20T12:25:00-04:00,27.795,27.795,27.79,27.79,830.0
2025-03-20T12:30:00-04:00,27.83,27.83,27.83,27.83,200.0
2025-03-20T13:05:00-04:00,27.8,27.8,27.8,27.8,200.0
2025-03-20T13:15:00-04:00,27.85,27.85,27.85,27.85,300.0
2025-03-20T13:30:00-04:00,28.01,28.01,28.01,28.01,200.0
2025-03-20T14:30:00-04:00,28.09,28.09,28.09,28.09,100.0
2025-03-20T14:35:00-04:00,28.01,28.01,28.01,28.01,200.0
2025-03-20T15:15:00-04:00,27.94,27.94,27.94,27.94,500.0
2025-03-20T15:25:00-04:00,27.95,27.95,27.95,27.95,300.0
2025-03-20T15:30:00-04:00,27.97,27.97,27.97,27.97,300.0
2025-03-20T15:35:00-04:00,27.99,27.99,27.99,27.99,300.0
2025-03-20T15:45:00-04:00,27.9,27.9,27.9,27.9,900.0
2025-03-20T15:50:00-04:00,27.94,27.94,27.915,27.915,300.0
2025-03-20T15:55:00-04:00,27.9,27.97,27.9,27.935,987.0
2025-03-21T09:25:00-04:00,28.46,28.46,28.46,28.46,200.0
2025-03-21T09:30:00-04:00,28.42,28.45,28.42,28.42,400.0
2025-03-21T09:40:00-04:00,28.42,28.42,28.42,28.42,300.0
2025-03-21T09:45:00-04:00,28.46,28.46,28.46,28.46,400.0
2025-03-21T09:50:00-04:00,28.5,28.5,28.5,28.5,200.0
2025-03-21T10:00:00-04:00,28.56,28.56,28.56,28.56,600.0
2025-03-21T10:30:00-04:00,28.48,28.49,28.48,28.49,400.0
2025-03-21T11:05:00-04:00,28.24,28.24,28.24,28.24,300.0
2025-03-21T11:15:00-04:00,28.29,28.29,28.29,28.29,1600.0
2025-03-21T11:50:00-04:00,28.42,28.42,28.42,28.42,300.0
2025-03-21T12:00:00-04:00,28.33,28.39,28.3,28.3,1100.0
2025-03-21T12:10:00-04:00,28.25,28.25,28.25,28.25,200.0
2025-03-21T12:30:00-04:00,28.1,28.1,28.1,28.1,100.0
2025-03-21T13:20:00-04:00,28.07,28.07,28.07,28.07,400.0
2025-03-21T13:45:00-04:00,27.95,27.95,27.95,27.95,1300.0
2025-03-21T14:00:00-04:00,28.0,28.0,28.0,28.0,100.0
2025-03-21T15:10:00-04:00,28.09,28.09,28.09,28.09,500.0
2025-03-21T15:20:00-04:00,28.09,28.09,28.09,28.09,200.0
2025-03-21T15:30:00-04:00,28.125,28.125,28.125,28.125,499.0
2025-03-21T15:50:00-04:00,28.02,28.02,28.02,28.02,100.0
2025-03-21T15:55:00-04:00,27.995,27.995,27.9,27.925,900.0
2025-03-24T09:30:00-04:00,27.45,27.46,27.45,27.46,600.0
2025-03-24T09:35:00-04:00,27.38,27.38,27.38,27.38,200.0
2025-03-24T09:40:00-04:00,27.35,27.35,27.34,27.34,200.0
2025-03-24T09:45:00-04:00,27.33,27.35,27.31,27.31,600.0
