time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,16.36,16.785,16.2,16.475,63614.0
2024-11-05T16:00:00-05:00,16.61,16.65,16.16,16.425,51012.0
2024-11-06T16:00:00-05:00,15.65,16.34,15.445,16.19,37420.0
2024-11-07T16:00:00-05:00,16.08,16.8,16.08,16.735,63928.0
2024-11-08T16:00:00-05:00,16.31,16.725,16.31,16.645,64902.0
2024-11-11T16:00:00-05:00,15.99,16.12,15.225,15.565,116031.0
2024-11-12T16:00:00-05:00,15.32,15.49,15.205,15.37,110242.0
2024-11-13T16:00:00-05:00,15.56,15.71,15.24,15.36,121366.0
2024-11-14T16:00:00-05:00,15.195,15.42,15.15,15.295,67330.0
2024-11-15T16:00:00-05:00,15.38,15.57,15.085,15.2,40733.0
2024-11-18T16:00:00-05:00,15.66,16.14,15.66,15.99,55354.0
2024-11-19T16:00:00-05:00,16.13,16.33,15.98,16.32,54152.0
2024-11-20T16:00:00-05:00,16.345,16.41,16.13,16.19,46612.0
2024-11-21T16:00:00-05:00,16.4,16.67,16.18,16.67,37677.0
2024-11-22T16:00:00-05:00,16.5,16.7,16.49,16.585,44138.0
2024-11-25T16:00:00-05:00,16.065,16.07,15.655,15.69,35084.0
2024-11-26T16:00:00-05:00,15.64,15.71,15.57,15.7,30686.0
2024-11-27T16:00:00-05:00,15.96,15.99,15.785,15.89,34399.0
2024-11-29T16:00:00-05:00,15.9,16.22,15.9,15.995,17159.0
2024-12-02T16:00:00-05:00,15.81,15.85,15.61,15.8,55606.0
2024-12-03T16:00:00-05:00,16.1,16.37,16.1,16.235,34383.0
2024-12-04T16:00:00-05:00,16.27,16.48,16.155,16.23,52835.0
2024-12-05T16:00:00-05:00,16.48,16.495,16.16,16.19,24871.0
2024-12-06T16:00:00-05:00,16.06,16.06,15.755,15.84,42169.0
2024-12-09T16:00:00-05:00,16.5,16.99,16.48,16.515,66192.0
2024-12-10T16:00:00-05:00,16.71,16.81,16.51,16.67,31837.0
2024-12-11T16:00:00-05:00,16.8,17.35,16.785,17.25,40424.0
2024-12-12T16:00:00-05:00,16.795,17.0,16.54,16.545,53600.0
2024-12-13T16:00:00-05:00,16.37,16.43,15.875,15.955,61600.0
2024-12-16T16:00:00-05:00,15.995,16.12,15.92,15.97,33590.0
2024-12-17T16:00:00-05:00,15.65,15.975,15.54,15.95,50476.0
2024-12-18T16:00:00-05:00,15.925,15.975,15.155,15.17,26915.0
2024-12-19T16:00:00-05:00,15.185,15.29,14.91,14.98,34471.0
2024-12-20T16:00:00-05:00,15.255,15.36,15.07,15.19,52740.0
2024-12-23T16:00:00-05:00,15.15,15.15,14.98,15.01,3331.0
2024-12-24T16:00:00-05:00,15.09,15.09,14.975,15.04,10260.0
2024-12-26T16:00:00-05:00,15.1,15.21,15.08,15.09,29257.0
2024-12-27T16:00:00-05:00,14.905,15.02,14.74,14.975,32672.0
2024-12-30T16:00:00-05:00,14.68,14.895,14.565,14.67,35336.0
2024-12-31T16:00:00-05:00,14.74,14.965,14.71,14.86,62769.0
2025-01-02T16:00:00-05:00,15.22,15.735,15.22,15.7,24560.0
2025-01-03T16:00:00-05:00,15.66,15.66,15.49,15.525,27673.0
2025-01-06T16:00:00-05:00,15.42,15.46,15.21,15.27,30852.0
2025-01-07T16:00:00-05:00,15.315,15.65,15.22,15.37,42313.0
2025-01-08T16:00:00-05:00,15.54,16.055,15.5,16.045,48123.0
2025-01-10T16:00:00-05:00,16.43,16.43,15.905,15.965,50008.0
2025-01-13T16:00:00-05:00,15.47,15.52,15.27,15.36,32332.0
2025-01-14T16:00:00-05:00,15.47,15.805,15.265,15.6,143269.0
2025-01-15T16:00:00-05:00,15.82,15.84,14.5,14.96,211996.0
2025-01-16T16:00:00-05:00,15.16,15.2,14.49,14.56,108413.0
