time,open,high,low,close,volume
2025-09-29T09:30:00-04:00,38.725,38.725,38.7,38.71,1211.0
2025-09-29T09:35:00-04:00,38.71,38.81,38.71,38.81,2792.0
2025-09-29T09:40:00-04:00,38.77,39.02,38.76,39.01,6488.0
2025-09-29T09:45:00-04:00,39.1,39.2,39.05,39.14,8397.0
2025-09-29T09:50:00-04:00,39.175,39.34,39.16,39.33,5985.0
2025-09-29T09:55:00-04:00,39.35,39.45,39.3,39.31,3690.0
2025-09-29T10:00:00-04:00,39.28,39.37,39.28,39.36,2310.0
2025-09-29T10:05:00-04:00,39.32,39.32,39.21,39.3,3512.0
2025-09-29T10:10:00-04:00,39.35,39.42,39.35,39.42,2885.0
2025-09-29T10:15:00-04:00,39.45,39.46,39.3,39.315,10248.0
2025-09-29T10:20:00-04:00,39.3,39.41,39.3,39.36,2288.0
2025-09-29T10:25:00-04:00,39.4,39.46,39.4,39.425,2658.0
2025-09-29T10:30:00-04:00,39.46,39.475,39.45,39.45,987.0
2025-09-29T10:35:00-04:00,39.45,39.49,39.42,39.49,2384.0
2025-09-29T10:40:00-04:00,39.51,39.55,39.465,39.52,2688.0
2025-09-29T10:45:00-04:00,39.53,39.58,39.52,39.58,2889.0
2025-09-29T10:50:00-04:00,39.59,39.66,39.54,39.54,2391.0
2025-09-29T10:55:00-04:00,39.55,39.585,39.55,39.56,2486.0
2025-09-29T11:00:00-04:00,39.5,39.55,39.475,39.53,2000.0
2025-09-29T11:05:00-04:00,39.565,39.57,39.475,39.475,1323.0
2025-09-29T11:10:00-04:00,39.41,39.41,39.41,39.41,1210.0
2025-09-29T11:15:00-04:00,39.41,39.42,39.41,39.41,1339.0
2025-09-29T11:20:00-04:00,39.44,39.44,39.42,39.42,700.0
2025-09-29T11:25:00-04:00,39.37,39.37,39.28,39.29,2300.0
2025-09-29T11:30:00-04:00,39.32,39.32,39.28,39.28,826.0
2025-09-29T11:35:00-04:00,39.35,39.35,39.28,39.28,680.0
2025-09-29T11:40:00-04:00,39.29,39.33,39.29,39.31,1000.0
2025-09-29T11:45:00-04:00,39.28,39.28,39.19,39.19,1700.0
2025-09-29T11:50:00-04:00,39.15,39.23,39.15,39.2,2624.0
2025-09-29T11:55:00-04:00,39.24,39.26,39.22,39.24,2250.0
2025-09-29T12:00:00-04:00,39.26,39.26,39.25,39.25,500.0
2025-09-29T12:05:00-04:00,39.22,39.255,39.21,39.255,1392.0
2025-09-29T12:10:00-04:00,39.265,39.3,39.265,39.29,1020.0
2025-09-29T12:15:00-04:00,39.31,39.35,39.18,39.21,4151.0
2025-09-29T12:20:00-04:00,39.19,39.24,39.19,39.22,1827.0
2025-09-29T12:25:00-04:00,39.22,39.24,39.2,39.2,2204.0
2025-09-29T12:30:00-04:00,39.25,39.25,39.25,39.25,300.0
2025-09-29T12:35:00-04:00,39.19,39.19,39.19,39.19,510.0
2025-09-29T12:40:00-04:00,39.17,39.175,39.13,39.13,1210.0
2025-09-29T12:45:00-04:00,39.12,39.14,39.11,39.11,1400.0
2025-09-29T12:50:00-04:00,39.11,39.13,39.07,39.07,2505.0
2025-09-29T12:55:00-04:00,39.06,39.06,39.01,39.01,1510.0
2025-09-29T13:00:00-04:00,39.05,39.05,38.95,38.95,760.0
2025-09-29T13:05:00-04:00,38.98,38.99,38.98,38.99,504.0
2025-09-29T13:10:00-04:00,39.07,39.07,39.05,39.07,2722.0
2025-09-29T13:15:00-04:00,38.98,39.06,38.93,39.06,1288.0
2025-09-29T13:25:00-04:00,39.1,39.1,39.09,39.09,900.0
2025-09-29T13:30:00-04:00,39.09,39.09,39.04,39.04,622.0
2025-09-29T13:35:00-04:00,39.04,39.08,39.04,39.08,1242.0
2025-09-29T13:40:00-04:00,39.09,39.09,39.085,39.085,410.0
2025-09-29T13:45:00-04:00,39.12,39.12,39.12,39.12,303.0
2025-09-29T13:50:00-04:00,39.16,39.21,39.16,39.21,1531.0
2025-09-29T13:55:00-04:00,39.17,39.17,39.165,39.165,980.0
2025-09-29T14:00:00-04:00,39.16,39.19,39.16,39.19,502.0
2025-09-29T14:05:00-04:00,39.17,39.17,39.17,39.17,100.0
2025-09-29T14:10:00-04:00,39.07,39.14,39.07,39.14,625.0
2025-09-29T14:15:00-04:00,39.11,39.12,39.08,39.08,442.0
2025-09-29T14:20:00-04:00,39.14,39.14,39.07,39.07,1100.0
2025-09-29T14:25:00-04:00,39.09,39.15,39.09,39.14,1300.0
2025-09-29T14:30:00-04:00,39.14,39.17,39.13,39.17,1585.0
