time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,60.08,60.27,59.4,59.76,1091.0
2023-11-07T16:00:00-05:00,59.58,59.66,59.58,59.66,696.0
2023-11-08T16:00:00-05:00,59.74,59.95,59.635,59.87,898.0
2023-11-09T16:00:00-05:00,60.37,60.37,58.865,59.14,1430.0
2023-11-10T16:00:00-05:00,59.63,60.63,59.63,60.63,564.0
2023-11-13T16:00:00-05:00,60.61,60.97,60.61,60.97,596.0
2023-11-14T16:00:00-05:00,63.01,65.14,63.01,64.38,1693.0
2023-11-15T16:00:00-05:00,65.1,65.79,64.96,65.62,2057.0
2023-11-16T16:00:00-05:00,65.29,65.86,65.29,65.86,322.0
2023-11-17T16:00:00-05:00,66.61,67.02,66.61,66.96,622.0
2023-11-20T16:00:00-05:00,66.885,68.17,66.885,68.17,751.0
2023-11-21T16:00:00-05:00,67.47,68.0,67.47,67.65,1359.0
2023-11-22T16:00:00-05:00,67.8,68.43,67.8,68.43,1610.0
2023-11-24T16:00:00-05:00,68.68,69.15,68.63,68.96,2596.0
2023-11-27T16:00:00-05:00,68.46,68.46,68.06,68.06,920.0
2023-11-28T16:00:00-05:00,68.39,68.57,67.68,68.57,781.0
2023-11-29T16:00:00-05:00,69.96,70.62,69.96,70.62,470.0
2023-11-30T16:00:00-05:00,69.87,71.76,69.87,71.75,2620.0
2023-12-01T16:00:00-05:00,71.44,73.44,71.34,73.32,2225.0
2023-12-04T16:00:00-05:00,72.92,73.36,72.65,73.34,1447.0
2023-12-05T16:00:00-05:00,71.68,72.195,71.19,72.195,3918.0
2023-12-06T16:00:00-05:00,73.53,73.77,71.05,71.05,1860.0
2023-12-07T16:00:00-05:00,71.75,72.06,71.49,71.91,4728.0
2023-12-08T16:00:00-05:00,72.425,73.03,72.02,72.99,1662.0
2023-12-11T16:00:00-05:00,74.19,74.49,74.19,74.49,489.0
2023-12-12T16:00:00-05:00,74.43,75.97,74.43,75.96,1897.0
2023-12-13T16:00:00-05:00,77.66,79.37,77.66,79.35,1141.0
2023-12-14T16:00:00-05:00,81.465,82.65,81.36,81.49,1981.0
2023-12-15T16:00:00-05:00,79.98,80.85,79.91,80.58,1338.0
2023-12-18T16:00:00-05:00,81.63,81.63,81.21,81.21,573.0
2023-12-19T16:00:00-05:00,82.14,82.76,82.14,82.76,320.0
2023-12-20T16:00:00-05:00,82.17,82.55,78.66,78.66,1184.0
2023-12-21T16:00:00-05:00,79.59,80.25,78.76,79.97,1866.0
2023-12-22T16:00:00-05:00,80.88,81.36,80.04,80.87,2202.0
2023-12-26T16:00:00-05:00,81.11,81.11,81.11,81.11,100.0
2023-12-27T16:00:00-05:00,81.87,82.35,81.68,82.35,2210.0
2023-12-28T16:00:00-05:00,83.2,83.44,83.2,83.29,964.0
2023-12-29T16:00:00-05:00,83.13,83.13,83.13,83.13,272.0
2024-01-02T16:00:00-05:00,81.565,83.4,81.48,82.63,3891.0
2024-01-03T16:00:00-05:00,81.97,82.48,81.3,81.96,600.0
2024-01-04T16:00:00-05:00,82.3,83.97,82.05,82.05,701.0
2024-01-05T16:00:00-05:00,83.36,83.36,83.36,83.36,238.0
2024-01-08T16:00:00-05:00,83.6,84.78,82.44,84.78,668.0
2024-01-09T16:00:00-05:00,83.22,83.22,82.56,82.93,770.0
2024-01-10T16:00:00-05:00,83.28,83.28,83.28,83.28,201.0
2024-01-11T16:00:00-05:00,82.87,82.87,80.66,82.14,1622.0
2024-01-12T16:00:00-05:00,84.21,84.21,81.05,82.14,1327.0
