time,open,high,low,close,volume
2024-12-06T11:15:00-05:00,181.505,181.505,181.505,181.505,100.0
2024-12-06T13:05:00-05:00,183.09,183.1,183.09,183.1,200.0
2024-12-06T13:10:00-05:00,183.12,183.42,183.12,183.4,712.0
2024-12-06T13:25:00-05:00,183.58,183.58,183.58,183.58,100.0
2024-12-06T13:30:00-05:00,183.38,183.38,183.38,183.38,220.0
2024-12-06T13:45:00-05:00,183.21,183.22,183.21,183.22,225.0
2024-12-06T13:55:00-05:00,183.16,183.16,183.16,183.16,100.0
2024-12-06T15:45:00-05:00,182.96,182.96,182.96,182.96,150.0
2024-12-09T09:35:00-05:00,181.04,181.04,181.04,181.04,100.0
2024-12-09T10:25:00-05:00,179.83,179.83,179.82,179.82,247.0
2024-12-09T10:30:00-05:00,179.33,179.33,179.33,179.33,110.0
2024-12-09T10:35:00-05:00,178.72,178.72,178.5,178.5,310.0
2024-12-09T10:45:00-05:00,178.65,178.65,178.65,178.65,100.0
2024-12-09T10:50:00-05:00,178.61,178.66,178.59,178.66,500.0
2024-12-09T10:55:00-05:00,178.43,178.43,178.43,178.43,152.0
2024-12-09T11:10:00-05:00,177.76,178.13,177.75,178.13,539.0
2024-12-09T15:05:00-05:00,178.65,178.65,178.64,178.64,200.0
2024-12-09T15:45:00-05:00,178.35,178.35,178.34,178.34,200.0
2024-12-10T10:15:00-05:00,184.06,184.06,184.06,184.06,100.0
2024-12-10T10:20:00-05:00,183.55,183.55,183.55,183.55,100.0
2024-12-10T11:20:00-05:00,181.11,181.11,181.11,181.11,100.0
2024-12-10T15:10:00-05:00,177.31,177.31,177.3,177.3,223.0
2024-12-10T15:15:00-05:00,177.22,177.22,177.22,177.22,150.0
2024-12-10T15:20:00-05:00,177.21,177.21,177.21,177.21,200.0
2024-12-10T15:35:00-05:00,177.26,177.5,177.25,177.5,762.0
2024-12-10T15:55:00-05:00,178.28,178.32,178.21,178.21,476.0
2024-12-11T09:35:00-05:00,184.9,184.9,184.9,184.9,100.0
2024-12-11T09:40:00-05:00,184.02,184.92,184.02,184.92,369.0
2024-12-11T09:45:00-05:00,185.19,185.34,185.19,185.34,367.0
2024-12-11T09:50:00-05:00,185.95,185.96,185.95,185.96,200.0
2024-12-11T09:55:00-05:00,186.46,186.46,186.46,186.46,200.0
2024-12-11T10:05:00-05:00,187.25,187.3,187.25,187.3,343.0
2024-12-11T10:20:00-05:00,186.49,186.49,186.49,186.49,100.0
2024-12-11T10:40:00-05:00,187.14,187.14,187.14,187.14,100.0
2024-12-11T11:00:00-05:00,187.18,187.24,187.18,187.24,593.0
2024-12-11T11:05:00-05:00,187.52,187.52,187.52,187.52,153.0
2024-12-11T11:10:00-05:00,187.7,187.7,187.7,187.7,100.0
2024-12-11T11:20:00-05:00,187.37,187.37,187.37,187.37,160.0
2024-12-11T12:00:00-05:00,188.46,188.53,188.46,188.53,700.0
2024-12-11T12:10:00-05:00,189.13,189.14,189.13,189.14,428.0
2024-12-11T12:40:00-05:00,189.8,189.8,189.8,189.8,100.0
2024-12-11T12:50:00-05:00,189.45,189.45,189.45,189.45,158.0
2024-12-11T13:15:00-05:00,189.27,189.29,189.27,189.29,300.0
2024-12-11T14:00:00-05:00,189.66,189.66,189.66,189.66,100.0
2024-12-11T14:25:00-05:00,189.34,189.35,189.34,189.35,205.0
