time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,7.21,7.21,6.975,7.09,135426.0
2024-11-05T16:00:00-05:00,7.18,7.67,7.18,7.67,202102.0
2024-11-06T16:00:00-05:00,7.975,8.3,7.885,8.16,336660.0
2024-11-07T16:00:00-05:00,8.455,8.66,7.86,8.17,205244.0
2024-11-08T16:00:00-05:00,8.05,8.105,7.49,7.67,157916.0
2024-11-11T16:00:00-05:00,7.71,7.73,7.15,7.18,91758.0
2024-11-12T16:00:00-05:00,7.09,7.34,7.06,7.07,105880.0
2024-11-13T16:00:00-05:00,7.085,7.57,7.07,7.29,283593.0
2024-11-14T16:00:00-05:00,7.31,7.31,6.95,7.11,125183.0
2024-11-15T16:00:00-05:00,6.98,6.98,6.31,6.4,213742.0
2024-11-18T16:00:00-05:00,6.325,6.45,6.25,6.32,91059.0
2024-11-19T16:00:00-05:00,6.315,6.725,6.315,6.72,114232.0
2024-11-20T16:00:00-05:00,6.645,6.65,6.45,6.49,56601.0
2024-11-21T16:00:00-05:00,6.57,7.61,6.57,7.61,148060.0
2024-11-22T16:00:00-05:00,7.73,8.07,7.58,7.9,250447.0
2024-11-25T16:00:00-05:00,8.095,8.31,7.92,8.14,104616.0
2024-11-26T16:00:00-05:00,8.05,8.05,7.79,7.955,77783.0
2024-11-27T16:00:00-05:00,8.06,8.11,7.87,7.93,56200.0
2024-11-29T16:00:00-05:00,8.03,8.52,8.02,8.52,129586.0
2024-12-02T16:00:00-05:00,9.25,10.32,9.25,9.89,288972.0
2024-12-03T16:00:00-05:00,9.73,9.73,9.11,9.39,116774.0
2024-12-04T16:00:00-05:00,9.6,9.98,9.515,9.81,89173.0
2024-12-05T16:00:00-05:00,9.885,10.05,9.64,9.935,237491.0
2024-12-06T16:00:00-05:00,10.0,10.95,10.0,10.9,228049.0
2024-12-09T16:00:00-05:00,10.98,11.61,10.98,11.33,248337.0
2024-12-10T16:00:00-05:00,11.145,11.195,10.125,10.3,264828.0
2024-12-11T16:00:00-05:00,10.505,10.92,10.505,10.545,123152.0
2024-12-12T16:00:00-05:00,10.54,10.6,10.215,10.595,121458.0
2024-12-13T16:00:00-05:00,10.615,10.68,10.395,10.49,120522.0
2024-12-16T16:00:00-05:00,10.4,11.16,10.35,11.15,131453.0
2024-12-17T16:00:00-05:00,11.155,11.675,11.02,11.32,102866.0
2024-12-18T16:00:00-05:00,11.79,12.06,10.29,10.51,165622.0
2024-12-19T16:00:00-05:00,10.6,10.63,9.785,9.97,151944.0
2024-12-20T16:00:00-05:00,9.74,10.46,9.69,10.06,112827.0
2024-12-23T16:00:00-05:00,10.05,10.24,9.91,9.91,16317.0
2024-12-24T16:00:00-05:00,10.17,10.17,10.0,10.07,30225.0
2024-12-26T16:00:00-05:00,10.01,10.255,9.86,10.13,65250.0
2024-12-27T16:00:00-05:00,10.04,10.04,9.46,9.6,82074.0
2024-12-30T16:00:00-05:00,9.425,9.575,9.305,9.44,97854.0
2024-12-31T16:00:00-05:00,9.58,9.66,9.335,9.45,97417.0
2025-01-02T16:00:00-05:00,9.715,9.75,9.1,9.21,80169.0
2025-01-03T16:00:00-05:00,9.4,9.58,9.23,9.55,59136.0
2025-01-06T16:00:00-05:00,9.85,10.14,9.79,9.795,111169.0
2025-01-07T16:00:00-05:00,9.875,10.12,9.59,9.725,54661.0
2025-01-08T16:00:00-05:00,9.515,9.615,9.16,9.425,192055.0
2025-01-10T16:00:00-05:00,9.13,9.13,8.69,8.98,76121.0
2025-01-13T16:00:00-05:00,8.845,8.96,8.675,8.88,83950.0
2025-01-14T16:00:00-05:00,9.09,9.16,8.755,8.82,55060.0
2025-01-15T16:00:00-05:00,9.26,9.55,9.12,9.45,54903.0
2025-01-16T16:00:00-05:00,9.635,9.64,9.41,9.42,59202.0
2025-01-17T16:00:00-05:00,9.655,9.675,9.28,9.285,63313.0
2025-01-21T16:00:00-05:00,9.44,9.64,9.305,9.6,45471.0
2025-01-22T16:00:00-05:00,9.59,9.93,9.46,9.69,94145.0
2025-01-23T16:00:00-05:00,9.61,10.46,9.545,10.43,48780.0
2025-01-24T16:00:00-05:00,10.6,10.72,10.195,10.295,65523.0
2025-01-27T16:00:00-05:00,9.95,10.465,9.86,10.13,86548.0
2025-01-28T16:00:00-05:00,10.11,10.945,9.95,10.935,95097.0
2025-01-29T16:00:00-05:00,10.72,10.805,10.405,10.65,105950.0
2025-01-30T16:00:00-05:00,10.66,10.84,10.51,10.72,63320.0
2025-01-31T16:00:00-05:00,11.055,11.08,10.42,10.47,79313.0
2025-02-03T16:00:00-05:00,9.99,10.34,9.915,10.19,69050.0
2025-02-04T16:00:00-05:00,10.26,10.635,10.245,10.53,121054.0
2025-02-05T16:00:00-05:00,10.51,10.51,10.17,10.22,79062.0
2025-02-06T16:00:00-05:00,10.24,10.32,9.97,9.995,86843.0
2025-02-07T16:00:00-05:00,10.045,10.2,9.905,10.11,81674.0
2025-02-10T16:00:00-05:00,10.31,10.75,10.155,10.59,120773.0
2025-02-11T16:00:00-05:00,10.375,10.54,9.97,10.065,97189.0
2025-02-12T16:00:00-05:00,9.815,10.125,9.66,10.08,237158.0
2025-02-13T16:00:00-05:00,7.93,8.165,7.46,7.96,333578.0
2025-02-14T16:00:00-05:00,8.005,8.38,7.81,8.075,161601.0
2025-02-18T16:00:00-05:00,8.12,8.22,7.845,8.18,106535.0
2025-02-19T16:00:00-05:00,8.045,8.095,7.845,7.88,132623.0
2025-02-20T16:00:00-05:00,7.865,8.01,7.675,7.81,65961.0
2025-02-21T16:00:00-05:00,7.805,7.805,7.27,7.27,129091.0
2025-02-24T16:00:00-05:00,7.16,7.25,6.825,6.92,104296.0
2025-02-25T16:00:00-05:00,6.89,6.94,6.65,6.76,94489.0
2025-02-26T16:00:00-05:00,6.875,7.03,6.82,6.98,98168.0
2025-02-27T16:00:00-05:00,7.115,7.115,6.73,6.73,112554.0
2025-02-28T16:00:00-05:00,6.63,6.82,6.535,6.82,208494.0
2025-03-03T16:00:00-05:00,6.885,7.06,6.53,6.55,164897.0
2025-03-04T16:00:00-05:00,6.39,6.725,6.315,6.585,133118.0
2025-03-05T16:00:00-05:00,6.725,7.03,6.57,7.0,100557.0
2025-03-06T16:00:00-05:00,6.775,6.82,6.43,6.5,143245.0
2025-03-07T16:00:00-05:00,6.46,6.73,6.32,6.64,136680.0
2025-03-10T16:00:00-04:00,6.5,6.765,6.455,6.61,114261.0
2025-03-11T16:00:00-04:00,6.66,6.79,6.36,6.58,153261.0
2025-03-12T16:00:00-04:00,6.89,6.905,6.66,6.75,56700.0
2025-03-13T16:00:00-04:00,6.68,6.745,6.585,6.6,48670.0
2025-03-14T16:00:00-04:00,6.75,6.905,6.75,6.84,69436.0
2025-03-17T16:00:00-04:00,6.93,7.405,6.93,7.25,99685.0
2025-03-18T16:00:00-04:00,7.17,7.245,7.035,7.07,83400.0
2025-03-19T16:00:00-04:00,7.05,7.345,7.005,7.105,82218.0
2025-03-20T16:00:00-04:00,6.895,7.07,6.86,7.01,132374.0
2025-03-21T16:00:00-04:00,6.82,7.195,6.82,7.12,77339.0
2025-03-24T16:00:00-04:00,7.325,7.335,7.09,7.21,114168.0
2025-03-25T16:00:00-04:00,7.275,7.37,7.02,7.035,98630.0
2025-03-26T16:00:00-04:00,7.07,7.11,6.81,6.88,80125.0
2025-03-27T16:00:00-04:00,6.85,6.895,6.685,6.69,71819.0
2025-03-28T16:00:00-04:00,6.68,6.715,6.35,6.51,101098.0
2025-03-31T16:00:00-04:00,6.285,6.43,6.19,6.34,63876.0
2025-04-01T16:00:00-04:00,6.365,6.44,6.245,6.42,60103.0
2025-04-02T16:00:00-04:00,6.33,6.63,6.33,6.61,73306.0
2025-04-03T16:00:00-04:00,6.235,6.235,5.92,5.935,93993.0
2025-04-04T16:00:00-04:00,5.62,5.675,5.01,5.155,143261.0
2025-04-07T16:00:00-04:00,4.9,5.31,4.66,5.135,178155.0
2025-04-08T16:00:00-04:00,5.3,5.33,4.865,5.01,142770.0
2025-04-09T16:00:00-04:00,5.065,5.915,4.91,5.79,102805.0
2025-04-10T16:00:00-04:00,5.5,5.56,5.23,5.38,96087.0
2025-04-11T16:00:00-04:00,5.39,5.47,5.2,5.465,57265.0
2025-04-14T16:00:00-04:00,5.755,5.755,5.37,5.375,70695.0
2025-04-15T16:00:00-04:00,5.345,5.515,5.25,5.36,173675.0
2025-04-16T16:00:00-04:00,5.23,5.435,5.215,5.32,92830.0
2025-04-17T16:00:00-04:00,5.32,5.42,5.24,5.39,62126.0
2025-04-21T16:00:00-04:00,5.295,5.315,5.13,5.2,53287.0
2025-04-22T16:00:00-04:00,5.27,5.415,5.18,5.35,47733.0
2025-04-23T16:00:00-04:00,5.73,5.75,5.46,5.5,68413.0
2025-04-24T16:00:00-04:00,5.6,5.85,5.585,5.84,63209.0
2025-04-25T16:00:00-04:00,5.8,5.9,5.74,5.86,38823.0
2025-04-28T16:00:00-04:00,5.895,5.955,5.81,5.85,57938.0
2025-04-29T16:00:00-04:00,5.905,5.995,5.87,5.89,57901.0
2025-04-30T16:00:00-04:00,5.59,5.77,5.59,5.755,78751.0
2025-05-01T16:00:00-04:00,5.98,5.98,5.765,5.775,70706.0
2025-05-02T16:00:00-04:00,5.91,5.95,5.835,5.845,82190.0
2025-05-05T16:00:00-04:00,5.795,5.93,5.785,5.795,83707.0
2025-05-06T16:00:00-04:00,5.735,5.9,5.63,5.82,185664.0
2025-05-07T16:00:00-04:00,5.865,6.14,5.84,6.0,205182.0
2025-05-08T16:00:00-04:00,6.775,7.66,6.775,7.63,371701.0
2025-05-09T16:00:00-04:00,7.725,7.8,7.54,7.67,160199.0
2025-05-12T16:00:00-04:00,7.89,8.14,7.77,8.11,162354.0
2025-05-13T16:00:00-04:00,8.225,8.315,8.11,8.175,130742.0
2025-05-14T16:00:00-04:00,8.27,8.345,8.185,8.26,80554.0
2025-05-15T16:00:00-04:00,8.225,8.225,8.0,8.04,68748.0
2025-05-16T16:00:00-04:00,8.1,8.11,7.93,8.04,83873.0
2025-05-19T16:00:00-04:00,7.74,7.795,7.66,7.75,66109.0
2025-05-20T16:00:00-04:00,7.74,7.78,7.62,7.685,80361.0
2025-05-21T16:00:00-04:00,7.56,7.57,7.235,7.31,50547.0
2025-05-22T16:00:00-04:00,7.27,7.545,7.245,7.45,67040.0
2025-05-23T16:00:00-04:00,7.3,7.325,7.185,7.19,49573.0
2025-05-27T16:00:00-04:00,7.23,7.445,7.21,7.385,95923.0
2025-05-28T16:00:00-04:00,7.41,7.43,7.27,7.32,63905.0
2025-05-29T16:00:00-04:00,7.405,7.44,7.3,7.34,55415.0
2025-05-30T16:00:00-04:00,7.23,7.36,7.18,7.26,55957.0
2025-06-02T16:00:00-04:00,7.315,7.515,7.185,7.45,128940.0
2025-06-03T16:00:00-04:00,7.49,7.73,7.34,7.73,96125.0
2025-06-04T16:00:00-04:00,7.8,7.8,7.615,7.67,43781.0
2025-06-05T16:00:00-04:00,7.79,7.8,7.505,7.56,65164.0
2025-06-06T16:00:00-04:00,7.635,7.76,7.615,7.65,76585.0
2025-06-09T16:00:00-04:00,7.735,8.36,7.735,8.285,338078.0
2025-06-10T16:00:00-04:00,8.26,8.26,7.99,8.09,85975.0
2025-06-11T16:00:00-04:00,8.09,8.145,7.995,8.03,53750.0
2025-06-12T16:00:00-04:00,7.92,8.025,7.795,7.81,37577.0
2025-06-13T16:00:00-04:00,7.27,7.42,7.01,7.01,190037.0
2025-06-16T16:00:00-04:00,7.2,7.255,7.05,7.235,109241.0
2025-06-17T16:00:00-04:00,7.02,7.02,6.575,6.63,178675.0
2025-06-18T16:00:00-04:00,6.58,6.855,6.52,6.79,150276.0
2025-06-20T16:00:00-04:00,6.93,6.945,6.645,6.765,222596.0
2025-06-23T16:00:00-04:00,6.67,6.78,6.54,6.78,83988.0
2025-06-24T16:00:00-04:00,6.895,7.05,6.8,6.97,113524.0
2025-06-25T16:00:00-04:00,6.93,7.09,6.86,6.86,70388.0
2025-06-26T16:00:00-04:00,6.8,6.985,6.735,6.89,47261.0
2025-06-27T16:00:00-04:00,6.91,6.985,6.825,6.925,68508.0
2025-06-30T16:00:00-04:00,6.945,7.08,6.935,7.06,88382.0
2025-07-01T16:00:00-04:00,6.97,7.08,6.85,6.97,100785.0
2025-07-02T16:00:00-04:00,6.915,7.02,6.855,6.94,95684.0
2025-07-03T16:00:00-04:00,7.01,7.18,7.0,7.03,72190.0
2025-07-07T16:00:00-04:00,6.93,7.12,6.93,7.055,74783.0
2025-07-08T16:00:00-04:00,7.17,7.37,7.09,7.31,157627.0
