time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,32.36,32.52,31.95,32.17,24783.0
2023-11-07T16:00:00-05:00,31.62,32.12,31.375,31.87,45276.0
2023-11-08T16:00:00-05:00,32.0,32.0,31.27,31.49,16407.0
2023-11-09T16:00:00-05:00,31.71,31.71,30.625,30.695,27270.0
2023-11-10T16:00:00-05:00,30.74,30.94,30.47,30.685,5732.0
2023-11-13T16:00:00-05:00,30.35,31.31,30.32,31.25,6667.0
2023-11-14T16:00:00-05:00,33.4,34.62,33.35,33.98,18748.0
2023-11-15T16:00:00-05:00,34.03,34.57,34.03,34.315,23722.0
2023-11-16T16:00:00-05:00,33.865,33.865,33.23,33.575,13958.0
2023-11-17T16:00:00-05:00,33.71,34.28,33.55,33.665,19400.0
2023-11-20T16:00:00-05:00,33.79,33.95,33.24,33.73,11761.0
2023-11-21T16:00:00-05:00,33.18,33.245,32.585,32.59,9426.0
2023-11-22T16:00:00-05:00,32.89,33.01,32.47,32.56,8590.0
2023-11-24T16:00:00-05:00,32.455,32.94,32.455,32.88,2700.0
2023-11-27T16:00:00-05:00,32.73,32.73,32.23,32.68,10707.0
2023-11-28T16:00:00-05:00,32.46,32.74,32.27,32.48,7016.0
2023-11-29T16:00:00-05:00,33.105,34.44,33.085,34.19,21147.0
2023-11-30T16:00:00-05:00,33.8,34.26,33.49,33.64,28656.0
2023-12-01T16:00:00-05:00,33.855,36.37,33.855,36.33,24030.0
2023-12-04T16:00:00-05:00,35.89,36.87,35.795,36.77,11351.0
2023-12-05T16:00:00-05:00,36.255,36.69,35.795,36.03,21922.0
2023-12-06T16:00:00-05:00,36.765,37.66,36.225,36.29,23552.0
2023-12-07T16:00:00-05:00,36.56,37.71,36.56,37.7,14535.0
2023-12-08T16:00:00-05:00,37.58,38.31,37.58,37.95,20964.0
2023-12-11T16:00:00-05:00,37.88,38.29,37.87,38.13,13659.0
2023-12-12T16:00:00-05:00,37.82,37.92,37.34,37.34,13533.0
2023-12-13T16:00:00-05:00,37.105,40.285,36.8,40.18,53587.0
2023-12-14T16:00:00-05:00,41.35,42.96,41.31,42.91,47646.0
2023-12-15T16:00:00-05:00,43.48,43.61,42.76,43.415,40551.0
2023-12-18T16:00:00-05:00,43.51,43.51,41.59,42.155,30312.0
2023-12-19T16:00:00-05:00,42.76,43.405,42.685,42.685,26743.0
2023-12-20T16:00:00-05:00,42.97,43.5,41.98,42.035,12431.0
2023-12-21T16:00:00-05:00,42.35,42.48,41.585,42.08,13502.0
2023-12-22T16:00:00-05:00,42.24,42.875,41.8,42.04,17399.0
2023-12-26T16:00:00-05:00,42.57,43.16,42.485,42.8,22279.0
2023-12-27T16:00:00-05:00,42.82,43.12,42.58,42.63,9117.0
2023-12-28T16:00:00-05:00,42.62,42.63,42.16,42.5,10184.0
2023-12-29T16:00:00-05:00,42.225,42.225,41.325,41.385,16660.0
2024-01-02T16:00:00-05:00,41.155,42.44,41.055,41.88,19878.0
2024-01-03T16:00:00-05:00,40.93,40.98,39.79,39.79,23665.0
2024-01-04T16:00:00-05:00,40.08,40.54,40.0,40.19,11508.0
2024-01-05T16:00:00-05:00,40.075,40.96,40.075,40.27,8865.0
2024-01-08T16:00:00-05:00,40.08,40.63,39.965,40.61,14848.0
2024-01-09T16:00:00-05:00,39.925,40.14,39.57,39.93,14532.0
2024-01-10T16:00:00-05:00,39.78,40.63,39.48,40.62,27445.0
2024-01-11T16:00:00-05:00,40.32,40.38,39.335,40.38,14392.0
2024-01-12T16:00:00-05:00,40.75,41.005,39.52,39.89,9942.0
2024-01-16T16:00:00-05:00,39.285,39.86,39.19,39.34,11154.0
2024-01-17T16:00:00-05:00,38.78,39.48,38.78,39.34,10798.0
2024-01-18T16:00:00-05:00,39.53,40.045,39.53,39.615,13558.0
2024-01-19T16:00:00-05:00,39.395,41.04,39.23,41.04,23022.0
2024-01-22T16:00:00-05:00,41.5,41.92,40.85,41.7,51405.0
2024-01-23T16:00:00-05:00,41.91,41.91,40.47,41.48,85031.0
2024-01-24T16:00:00-05:00,41.905,42.13,40.4,40.53,26843.0
2024-01-25T16:00:00-05:00,41.01,41.01,38.61,38.73,29616.0
2024-01-26T16:00:00-05:00,41.385,42.71,39.68,41.93,96926.0
2024-01-29T16:00:00-05:00,41.72,42.49,40.46,40.99,46511.0
2024-01-30T16:00:00-05:00,41.0,41.455,40.93,41.07,69834.0
2024-01-31T16:00:00-05:00,40.365,40.365,38.555,38.67,52540.0
2024-02-01T16:00:00-05:00,39.03,39.1,36.715,38.26,37673.0
2024-02-02T16:00:00-05:00,37.175,37.67,37.12,37.485,20296.0
2024-02-05T16:00:00-05:00,36.43,37.21,35.86,36.83,31443.0
2024-02-06T16:00:00-05:00,37.145,37.18,36.465,36.94,20434.0
2024-02-07T16:00:00-05:00,36.87,37.33,36.23,36.89,17364.0
2024-02-08T16:00:00-05:00,36.7,37.53,36.535,36.76,27295.0
2024-02-09T16:00:00-05:00,36.73,36.975,36.03,36.71,47359.0
2024-02-12T16:00:00-05:00,37.03,37.72,37.03,37.42,33817.0
2024-02-13T16:00:00-05:00,36.19,36.19,34.74,35.31,29646.0
2024-02-14T16:00:00-05:00,35.61,35.915,35.01,35.86,36273.0
2024-02-15T16:00:00-05:00,36.655,38.8,36.4,38.52,33816.0
2024-02-16T16:00:00-05:00,37.675,37.92,37.33,37.59,20005.0
2024-02-20T16:00:00-05:00,37.25,37.8,37.225,37.445,13991.0
2024-02-21T16:00:00-05:00,37.21,37.28,36.55,36.75,22598.0
2024-02-22T16:00:00-05:00,36.65,36.785,36.27,36.665,27748.0
2024-02-23T16:00:00-05:00,36.09,36.885,36.09,36.455,29815.0
2024-02-26T16:00:00-05:00,36.215,36.44,35.75,36.12,15331.0
2024-02-27T16:00:00-05:00,36.445,36.61,35.905,36.08,15334.0
2024-02-28T16:00:00-05:00,35.72,36.12,35.655,36.01,13552.0
2024-02-29T16:00:00-05:00,37.155,37.665,36.84,37.38,19654.0
2024-03-01T16:00:00-05:00,37.16,37.54,36.1,37.52,25328.0
2024-03-04T16:00:00-05:00,37.84,38.14,37.5,37.665,16350.0
2024-03-05T16:00:00-05:00,37.625,39.56,37.625,39.48,17081.0
2024-03-06T16:00:00-05:00,39.525,40.515,38.935,39.74,13657.0
2024-03-07T16:00:00-05:00,40.43,40.55,39.88,40.06,16705.0
2024-03-08T16:00:00-05:00,40.585,40.86,40.35,40.47,22535.0
2024-03-11T16:00:00-04:00,40.67,40.69,40.255,40.59,20754.0
2024-03-12T16:00:00-04:00,40.375,40.485,39.8,40.31,15563.0
2024-03-13T16:00:00-04:00,40.11,40.8,39.22,39.51,13898.0
2024-03-14T16:00:00-04:00,39.29,39.29,37.42,37.72,12960.0
2024-03-15T16:00:00-04:00,38.0,38.365,37.75,37.91,13976.0
2024-03-18T16:00:00-04:00,37.54,37.81,37.32,37.38,9694.0
2024-03-19T16:00:00-04:00,37.35,37.7,37.26,37.495,18471.0
2024-03-20T16:00:00-04:00,37.635,39.09,37.12,38.26,30967.0
2024-03-21T16:00:00-04:00,38.815,39.47,38.785,38.94,16498.0
2024-03-22T16:00:00-04:00,38.735,38.74,37.995,38.19,20898.0
2024-03-25T16:00:00-04:00,38.5,38.5,38.13,38.37,9944.0
2024-03-26T16:00:00-04:00,38.59,38.59,37.89,38.125,29784.0
2024-03-27T16:00:00-04:00,38.73,39.86,38.27,39.86,12939.0
2024-03-28T16:00:00-04:00,40.045,40.49,39.96,40.3,16782.0
2024-04-01T16:00:00-04:00,39.19,39.385,38.71,38.84,12462.0
2024-04-02T16:00:00-04:00,38.48,38.48,37.81,37.945,8365.0
2024-04-03T16:00:00-04:00,37.85,37.99,37.49,37.81,12648.0
2024-04-04T16:00:00-04:00,38.47,38.8,38.11,38.24,7956.0
2024-04-05T16:00:00-04:00,37.925,38.465,37.855,38.28,16066.0
2024-04-08T16:00:00-04:00,38.255,39.07,38.235,39.0,11047.0
2024-04-09T16:00:00-04:00,39.42,39.78,39.255,39.61,15686.0
2024-04-10T16:00:00-04:00,38.04,38.11,36.3,36.68,35980.0
2024-04-11T16:00:00-04:00,36.515,36.79,36.315,36.49,18075.0
2024-04-12T16:00:00-04:00,36.075,36.515,35.92,36.06,17313.0
2024-04-15T16:00:00-04:00,36.525,36.525,35.64,36.185,14053.0
2024-04-16T16:00:00-04:00,35.21,35.31,34.785,34.865,20374.0
2024-04-17T16:00:00-04:00,35.4,35.585,34.83,34.84,11666.0
2024-04-18T16:00:00-04:00,35.09,35.75,34.85,35.135,25117.0
2024-04-19T16:00:00-04:00,35.325,37.07,35.325,36.95,31571.0
2024-04-22T16:00:00-04:00,36.82,37.7,36.09,37.675,27832.0
2024-04-23T16:00:00-04:00,37.69,38.725,37.69,38.385,16866.0
2024-04-24T16:00:00-04:00,38.305,38.39,37.82,37.955,23449.0
2024-04-25T16:00:00-04:00,37.535,37.655,36.94,37.395,20788.0
2024-04-26T16:00:00-04:00,37.555,37.85,37.065,37.13,17441.0
2024-04-29T16:00:00-04:00,37.31,37.38,36.93,37.08,20026.0
2024-04-30T16:00:00-04:00,36.615,36.99,36.18,36.2,9149.0
2024-05-01T16:00:00-04:00,36.65,37.67,36.455,36.88,14458.0
2024-05-02T16:00:00-04:00,37.35,37.72,37.23,37.66,7210.0
2024-05-03T16:00:00-04:00,38.67,38.67,37.78,37.895,11354.0
2024-05-06T16:00:00-04:00,37.98,38.305,37.905,37.905,9012.0
2024-05-07T16:00:00-04:00,38.335,38.58,38.095,38.19,28701.0
2024-05-08T16:00:00-04:00,37.875,38.8,37.72,38.79,16420.0
2024-05-09T16:00:00-04:00,38.715,39.01,38.61,38.86,11350.0
2024-05-10T16:00:00-04:00,38.925,39.03,38.565,38.87,12448.0
2024-05-13T16:00:00-04:00,39.21,39.21,38.7,38.71,19226.0
2024-05-14T16:00:00-04:00,38.94,39.05,38.58,38.93,13814.0
2024-05-15T16:00:00-04:00,39.31,39.32,38.75,39.03,8503.0
2024-05-16T16:00:00-04:00,38.905,39.085,38.725,38.78,4665.0
2024-05-17T16:00:00-04:00,38.86,39.31,38.855,39.285,5472.0
2024-05-20T16:00:00-04:00,39.02,39.57,38.95,39.22,8852.0
2024-05-21T16:00:00-04:00,39.29,39.29,38.97,39.03,10362.0
2024-05-22T16:00:00-04:00,38.94,39.14,38.49,38.66,18694.0
2024-05-23T16:00:00-04:00,38.72,38.72,37.58,37.74,8200.0
2024-05-24T16:00:00-04:00,37.77,37.77,37.42,37.71,16080.0
2024-05-28T16:00:00-04:00,37.68,37.71,37.08,37.285,16775.0
2024-05-29T16:00:00-04:00,36.31,36.31,35.9,35.95,10145.0
2024-05-30T16:00:00-04:00,36.38,36.945,36.31,36.86,8225.0
2024-05-31T16:00:00-04:00,37.08,37.43,36.97,37.4,12762.0
2024-06-03T16:00:00-04:00,37.575,37.575,36.66,36.715,5524.0
2024-06-04T16:00:00-04:00,36.33,36.4,36.01,36.03,11080.0
2024-06-05T16:00:00-04:00,36.325,36.575,36.045,36.22,11155.0
2024-06-06T16:00:00-04:00,36.39,36.39,35.8,36.11,5569.0
2024-06-07T16:00:00-04:00,35.95,36.035,35.78,35.995,7381.0
2024-06-10T16:00:00-04:00,35.46,35.545,35.06,35.07,8384.0
2024-06-11T16:00:00-04:00,34.79,35.44,34.715,35.105,23943.0
2024-06-12T16:00:00-04:00,36.4,36.865,35.94,35.98,21952.0
2024-06-13T16:00:00-04:00,35.67,36.03,35.5,35.78,9683.0
2024-06-14T16:00:00-04:00,35.39,35.39,35.08,35.27,4741.0
2024-06-17T16:00:00-04:00,35.05,35.97,35.05,35.97,6932.0
2024-06-18T16:00:00-04:00,36.19,36.405,36.02,36.07,7351.0
2024-06-20T16:00:00-04:00,36.0,36.09,35.405,35.405,6199.0
2024-06-21T16:00:00-04:00,35.145,35.52,34.79,35.5,11016.0
2024-06-24T16:00:00-04:00,35.7,36.61,35.7,36.355,7921.0
2024-06-25T16:00:00-04:00,35.86,36.02,35.65,35.65,6384.0
2024-06-26T16:00:00-04:00,35.55,36.11,35.55,35.96,8168.0
2024-06-27T16:00:00-04:00,35.7,36.42,35.7,36.245,10887.0
2024-06-28T16:00:00-04:00,36.6,37.36,36.6,37.32,24113.0
2024-07-01T16:00:00-04:00,37.3,37.58,36.74,37.0,9530.0
2024-07-02T16:00:00-04:00,37.365,37.625,37.14,37.6,8065.0
2024-07-03T16:00:00-04:00,37.245,37.435,36.73,36.77,6865.0
2024-07-05T16:00:00-04:00,36.655,36.71,36.37,36.47,9629.0
2024-07-08T16:00:00-04:00,36.755,36.885,36.33,36.33,9475.0
2024-07-09T16:00:00-04:00,35.745,36.47,35.745,36.47,18846.0
2024-07-10T16:00:00-04:00,36.535,37.67,36.46,37.66,9931.0
2024-07-11T16:00:00-04:00,38.5,40.185,38.5,39.82,33716.0
2024-07-12T16:00:00-04:00,40.05,40.425,39.28,39.36,31023.0
2024-07-15T16:00:00-04:00,40.305,41.405,40.305,41.27,10288.0
2024-07-16T16:00:00-04:00,42.1,43.52,42.1,43.43,13232.0
2024-07-17T16:00:00-04:00,43.36,44.665,43.36,44.15,33644.0
2024-07-18T16:00:00-04:00,43.605,44.425,42.65,43.28,51381.0
2024-07-19T16:00:00-04:00,43.625,43.76,42.265,43.03,23913.0
2024-07-22T16:00:00-04:00,42.705,44.15,42.38,43.85,16905.0
2024-07-23T16:00:00-04:00,43.52,45.65,43.52,45.19,15335.0
2024-07-24T16:00:00-04:00,45.64,45.64,43.72,43.72,21753.0
2024-07-25T16:00:00-04:00,43.665,46.06,43.665,45.3,11877.0
2024-07-26T16:00:00-04:00,46.08,46.755,45.77,46.26,16404.0
2024-07-29T16:00:00-04:00,46.56,46.56,44.61,44.7,14293.0
2024-07-30T16:00:00-04:00,45.17,45.17,44.375,44.7,9483.0
2024-07-31T16:00:00-04:00,44.225,45.94,44.165,44.76,10057.0
2024-08-01T16:00:00-04:00,44.385,44.71,41.92,42.44,26915.0
2024-08-02T16:00:00-04:00,40.725,41.26,40.08,40.92,14069.0
2024-08-05T16:00:00-04:00,38.84,41.28,38.635,40.64,24208.0
2024-08-06T16:00:00-04:00,40.655,41.21,40.43,40.665,13286.0
2024-08-07T16:00:00-04:00,41.355,41.57,40.665,40.73,10874.0
2024-08-08T16:00:00-04:00,41.51,42.065,41.34,42.0,13279.0
2024-08-09T16:00:00-04:00,41.845,41.95,41.495,41.92,25822.0
2024-08-12T16:00:00-04:00,42.5,42.5,41.185,41.68,25354.0
2024-08-13T16:00:00-04:00,41.945,42.13,41.33,42.11,16360.0
2024-08-14T16:00:00-04:00,42.175,42.175,41.455,42.025,9192.0
2024-08-15T16:00:00-04:00,43.3,43.63,43.03,43.075,12202.0
2024-08-16T16:00:00-04:00,43.235,44.02,43.235,43.715,17039.0
2024-08-19T16:00:00-04:00,43.8,44.05,43.52,43.965,20567.0
2024-08-20T16:00:00-04:00,43.49,43.49,43.01,43.27,28326.0
2024-08-21T16:00:00-04:00,43.48,43.735,43.17,43.7,7740.0
2024-08-22T16:00:00-04:00,44.16,44.39,43.8,44.2,11458.0
2024-08-23T16:00:00-04:00,45.03,47.51,45.03,47.0,43731.0
2024-08-26T16:00:00-04:00,47.055,47.62,46.58,46.6,32409.0
2024-08-27T16:00:00-04:00,45.97,46.58,45.82,46.57,33979.0
2024-08-28T16:00:00-04:00,46.65,46.96,46.255,46.58,35353.0
2024-08-29T16:00:00-04:00,46.31,47.0,46.16,46.87,43585.0
2024-08-30T16:00:00-04:00,47.02,47.32,46.5,47.23,19194.0
2024-09-03T16:00:00-04:00,47.33,47.33,46.55,46.79,25628.0
2024-09-04T16:00:00-04:00,46.8,46.87,45.03,45.03,20161.0
2024-09-05T16:00:00-04:00,45.34,45.34,44.1,44.34,17330.0
2024-09-06T16:00:00-04:00,44.55,44.58,43.26,43.34,10910.0
2024-09-09T16:00:00-04:00,43.35,43.78,42.89,43.09,20614.0
2024-09-10T16:00:00-04:00,42.785,43.14,41.83,42.67,11225.0
2024-09-11T16:00:00-04:00,42.025,42.59,41.08,42.43,30662.0
2024-09-12T16:00:00-04:00,42.52,42.64,42.13,42.64,23819.0
2024-09-13T16:00:00-04:00,43.645,44.37,43.575,44.34,23907.0
2024-09-16T16:00:00-04:00,44.51,45.34,43.75,44.9,21751.0
2024-09-17T16:00:00-04:00,45.18,45.885,44.71,44.94,21821.0
2024-09-18T16:00:00-04:00,44.8,47.07,44.61,45.75,20476.0
2024-09-19T16:00:00-04:00,46.53,47.48,46.44,47.48,14942.0
2024-09-20T16:00:00-04:00,47.275,47.385,46.23,46.27,45969.0
2024-09-23T16:00:00-04:00,46.4,46.46,45.71,46.025,11150.0
2024-09-24T16:00:00-04:00,46.05,46.195,44.97,45.16,27771.0
2024-09-25T16:00:00-04:00,44.68,44.68,44.06,44.26,8246.0
2024-09-26T16:00:00-04:00,44.63,45.23,44.5,45.11,18166.0
2024-09-27T16:00:00-04:00,45.45,45.77,44.91,45.2,17984.0
2024-09-30T16:00:00-04:00,44.935,46.14,44.935,45.71,11608.0
2024-10-01T16:00:00-04:00,44.245,44.77,43.9,44.1,16447.0
2024-10-02T16:00:00-04:00,44.475,44.835,44.23,44.3,14229.0
