time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,22.49,23.26,22.44,22.69,12648.0
2024-11-05T16:00:00-05:00,23.37,23.375,22.775,22.92,14080.0
2024-11-06T16:00:00-05:00,21.96,22.25,21.13,21.74,49245.0
2024-11-07T16:00:00-05:00,22.44,24.79,22.42,23.85,72695.0
2024-11-08T16:00:00-05:00,25.39,28.055,25.39,27.96,99753.0
2024-11-11T16:00:00-05:00,28.86,28.97,25.69,26.9,58141.0
2024-11-12T16:00:00-05:00,25.875,25.965,23.4,23.405,78130.0
2024-11-13T16:00:00-05:00,23.895,23.895,21.39,21.61,66052.0
2024-11-14T16:00:00-05:00,21.62,21.675,20.38,20.78,65676.0
2024-11-15T16:00:00-05:00,21.09,21.09,20.21,20.85,26560.0
2024-11-18T16:00:00-05:00,21.195,22.55,20.79,22.53,33356.0
2024-11-19T16:00:00-05:00,22.38,24.61,21.62,24.17,58098.0
2024-11-20T16:00:00-05:00,24.405,25.11,22.92,23.28,32690.0
2024-11-21T16:00:00-05:00,23.66,24.51,22.94,24.12,19620.0
2024-11-22T16:00:00-05:00,23.8,26.11,23.8,25.48,29921.0
2024-11-25T16:00:00-05:00,26.0,26.015,25.21,25.48,26278.0
2024-11-26T16:00:00-05:00,25.265,25.34,24.67,24.74,23218.0
2024-11-27T16:00:00-05:00,25.13,25.27,24.05,24.82,21579.0
2024-11-29T16:00:00-05:00,24.89,25.1,24.52,24.68,6438.0
2024-12-02T16:00:00-05:00,24.8,25.41,23.575,23.63,32536.0
2024-12-03T16:00:00-05:00,23.77,24.3,23.5,23.85,26630.0
2024-12-04T16:00:00-05:00,24.12,25.44,24.12,25.3,34011.0
2024-12-05T16:00:00-05:00,25.63,25.63,24.235,24.235,19026.0
2024-12-06T16:00:00-05:00,22.08,22.5,21.51,22.2,144385.0
2024-12-09T16:00:00-05:00,23.25,24.51,23.09,23.145,49979.0
2024-12-10T16:00:00-05:00,22.91,22.91,21.74,21.98,36307.0
2024-12-11T16:00:00-05:00,22.28,22.28,20.64,21.43,41222.0
2024-12-12T16:00:00-05:00,21.345,21.345,20.725,20.73,27661.0
2024-12-13T16:00:00-05:00,20.45,20.73,20.06,20.69,46573.0
2024-12-16T16:00:00-05:00,20.65,21.305,19.94,19.975,34614.0
2024-12-17T16:00:00-05:00,19.92,20.17,19.56,19.71,23501.0
2024-12-18T16:00:00-05:00,19.895,19.895,18.18,18.34,18336.0
2024-12-19T16:00:00-05:00,18.95,18.95,17.72,17.73,25161.0
2024-12-20T16:00:00-05:00,17.455,18.11,17.455,17.9,18322.0
2024-12-23T16:00:00-05:00,18.25,19.16,18.04,18.12,3759.0
2024-12-24T16:00:00-05:00,18.09,18.19,17.93,18.06,8182.0
2024-12-26T16:00:00-05:00,17.975,18.5,17.83,18.095,26925.0
2024-12-27T16:00:00-05:00,17.865,17.92,17.435,17.565,12925.0
2024-12-30T16:00:00-05:00,17.2,17.42,16.85,17.18,22523.0
2024-12-31T16:00:00-05:00,17.785,19.265,17.78,18.54,48243.0
2025-01-02T16:00:00-05:00,18.48,19.48,18.48,19.06,32264.0
2025-01-03T16:00:00-05:00,19.555,19.98,19.26,19.585,16359.0
2025-01-06T16:00:00-05:00,20.365,21.9,20.22,21.41,47734.0
2025-01-07T16:00:00-05:00,21.45,21.45,19.865,20.05,31562.0
2025-01-08T16:00:00-05:00,19.645,19.86,18.89,19.6,42449.0
2025-01-10T16:00:00-05:00,19.275,19.76,18.5,19.21,24894.0
2025-01-13T16:00:00-05:00,18.355,18.75,18.07,18.57,28806.0
2025-01-14T16:00:00-05:00,19.18,19.43,18.71,18.99,28682.0
2025-01-15T16:00:00-05:00,20.065,20.47,19.65,19.78,32927.0
2025-01-16T16:00:00-05:00,20.015,20.015,19.52,19.53,12154.0
2025-01-17T16:00:00-05:00,19.84,20.255,19.7,19.83,20900.0
2025-01-21T16:00:00-05:00,20.225,20.63,19.72,20.63,21772.0
2025-01-22T16:00:00-05:00,20.45,21.26,20.42,21.17,24940.0
2025-01-23T16:00:00-05:00,20.9,21.61,20.875,21.0,25807.0
2025-01-24T16:00:00-05:00,21.43,21.705,20.985,21.07,34143.0
2025-01-27T16:00:00-05:00,20.395,20.665,19.695,19.9,14412.0
2025-01-28T16:00:00-05:00,19.92,20.77,19.6,20.77,17382.0
2025-01-29T16:00:00-05:00,20.885,21.455,20.72,21.25,21967.0
2025-01-30T16:00:00-05:00,21.62,23.155,21.57,22.7,79152.0
2025-01-31T16:00:00-05:00,22.72,22.73,21.22,21.35,26574.0
2025-02-03T16:00:00-05:00,19.86,20.015,18.96,19.73,68468.0
2025-02-04T16:00:00-05:00,19.7,20.775,19.5,20.72,22469.0
2025-02-05T16:00:00-05:00,20.15,20.24,19.72,20.11,24622.0
2025-02-06T16:00:00-05:00,20.425,20.5,19.845,19.87,18603.0
2025-02-07T16:00:00-05:00,20.22,20.65,19.64,19.81,14538.0
2025-02-10T16:00:00-05:00,20.135,20.52,19.88,20.35,16698.0
2025-02-11T16:00:00-05:00,20.515,21.305,20.37,20.45,20314.0
2025-02-12T16:00:00-05:00,20.03,20.49,19.77,20.07,12321.0
2025-02-13T16:00:00-05:00,20.055,20.705,20.055,20.22,11603.0
2025-02-14T16:00:00-05:00,20.96,21.18,20.27,20.46,14058.0
2025-02-18T16:00:00-05:00,20.965,20.97,19.98,20.29,26426.0
2025-02-19T16:00:00-05:00,19.79,20.09,19.56,19.64,29586.0
2025-02-20T16:00:00-05:00,19.46,19.645,19.17,19.33,18415.0
2025-02-21T16:00:00-05:00,19.46,19.46,18.69,18.69,20771.0
2025-02-24T16:00:00-05:00,18.7,18.7,17.82,18.01,13577.0
2025-02-25T16:00:00-05:00,18.14,18.3,17.71,18.03,31210.0
2025-02-26T16:00:00-05:00,18.42,18.97,18.21,18.75,21522.0
2025-02-27T16:00:00-05:00,18.665,18.79,17.46,17.48,39446.0
2025-02-28T16:00:00-05:00,17.04,17.36,16.615,16.96,39647.0
2025-03-03T16:00:00-05:00,17.28,17.32,15.78,16.01,89695.0
2025-03-04T16:00:00-05:00,13.99,16.35,13.64,15.57,56740.0
2025-03-05T16:00:00-05:00,16.04,16.68,15.795,16.485,41884.0
2025-03-06T16:00:00-05:00,16.14,16.635,15.62,15.63,33492.0
2025-03-07T16:00:00-05:00,15.61,16.18,15.38,15.69,39463.0
2025-03-10T16:00:00-04:00,15.23,15.625,14.46,15.11,58775.0
2025-03-11T16:00:00-04:00,15.29,15.625,14.965,15.325,35365.0
2025-03-12T16:00:00-04:00,15.71,15.71,14.42,14.42,30611.0
2025-03-13T16:00:00-04:00,14.36,14.635,14.16,14.37,45583.0
2025-03-14T16:00:00-04:00,14.72,15.09,14.72,14.92,22359.0
2025-03-17T16:00:00-04:00,14.84,15.1,14.76,14.89,19080.0
2025-03-18T16:00:00-04:00,14.63,14.835,14.4,14.43,19487.0
2025-03-19T16:00:00-04:00,14.725,15.01,14.57,14.815,23360.0
2025-03-20T16:00:00-04:00,14.81,15.095,14.775,14.865,33168.0
2025-03-21T16:00:00-04:00,14.63,15.21,14.56,15.06,28795.0
2025-03-24T16:00:00-04:00,15.37,15.91,15.37,15.68,30621.0
2025-03-25T16:00:00-04:00,15.98,16.01,15.73,15.91,17942.0
2025-03-26T16:00:00-04:00,15.87,16.2,15.225,15.34,26800.0
2025-03-27T16:00:00-04:00,15.18,16.25,15.16,15.92,25512.0
2025-03-28T16:00:00-04:00,15.745,15.745,14.86,15.11,26568.0
2025-03-31T16:00:00-04:00,14.56,14.56,14.01,14.195,48524.0
2025-04-01T16:00:00-04:00,14.14,14.74,14.1,14.71,25362.0
2025-04-02T16:00:00-04:00,14.42,14.84,14.19,14.72,29748.0
2025-04-03T16:00:00-04:00,14.39,14.39,13.69,13.76,54605.0
2025-04-04T16:00:00-04:00,12.83,13.48,11.87,13.3,61578.0
2025-04-07T16:00:00-04:00,12.18,13.61,12.07,12.67,67591.0
2025-04-08T16:00:00-04:00,13.22,13.22,11.69,11.8,61222.0
2025-04-09T16:00:00-04:00,11.82,13.66,11.49,12.99,171079.0
2025-04-10T16:00:00-04:00,12.635,12.635,11.51,11.57,64386.0
2025-04-11T16:00:00-04:00,11.54,11.705,11.18,11.695,36899.0
2025-04-14T16:00:00-04:00,11.965,12.32,11.88,12.16,32122.0
2025-04-15T16:00:00-04:00,12.24,12.37,12.03,12.37,25868.0
2025-04-16T16:00:00-04:00,12.33,12.39,11.8,12.06,21400.0
2025-04-17T16:00:00-04:00,12.44,12.82,12.285,12.73,54527.0
2025-04-21T16:00:00-04:00,12.39,12.415,11.98,12.04,26457.0
2025-04-22T16:00:00-04:00,12.38,12.82,12.125,12.64,15262.0
2025-04-23T16:00:00-04:00,13.56,13.78,12.98,13.0,25291.0
2025-04-24T16:00:00-04:00,12.965,13.6,12.89,13.43,52285.0
2025-04-25T16:00:00-04:00,13.2,13.36,13.09,13.31,13574.0
2025-04-28T16:00:00-04:00,13.31,13.355,12.79,13.14,26968.0
2025-04-29T16:00:00-04:00,13.23,13.23,12.9,12.97,19619.0
2025-04-30T16:00:00-04:00,12.55,12.575,12.195,12.525,16146.0
2025-05-01T16:00:00-04:00,12.69,12.94,12.59,12.8,14675.0
2025-05-02T16:00:00-04:00,13.21,13.83,13.21,13.63,20970.0
2025-05-05T16:00:00-04:00,13.515,13.61,13.18,13.18,22324.0
2025-05-06T16:00:00-04:00,13.18,13.85,13.11,13.76,13267.0
2025-05-07T16:00:00-04:00,13.7,13.93,13.59,13.83,20630.0
