time,open,high,low,close,volume
2024-08-22T09:30:00-04:00,41.92,41.97,41.92,41.95,559.0
2024-08-22T09:35:00-04:00,42.01,42.01,42.01,42.01,100.0
2024-08-22T09:40:00-04:00,42.04,42.04,41.87,41.87,1207.0
2024-08-22T09:45:00-04:00,41.87,41.87,41.69,41.74,1214.0
2024-08-22T09:50:00-04:00,41.76,41.76,41.53,41.53,2272.0
2024-08-22T09:55:00-04:00,41.53,41.53,41.47,41.47,1197.0
2024-08-22T10:00:00-04:00,41.595,41.67,41.595,41.65,2116.0
2024-08-22T10:05:00-04:00,41.595,41.595,41.595,41.595,100.0
2024-08-22T10:10:00-04:00,41.39,41.42,41.39,41.42,266.0
2024-08-22T10:15:00-04:00,41.43,41.44,41.425,41.44,631.0
2024-08-22T10:25:00-04:00,41.41,41.41,41.41,41.41,200.0
2024-08-22T10:30:00-04:00,41.32,41.34,41.32,41.34,318.0
2024-08-22T10:35:00-04:00,41.345,41.43,41.345,41.43,201.0
2024-08-22T10:40:00-04:00,41.44,41.455,41.44,41.455,581.0
2024-08-22T10:45:00-04:00,41.46,41.46,41.455,41.455,220.0
2024-08-22T10:55:00-04:00,41.485,41.485,41.455,41.46,1735.0
2024-08-22T11:00:00-04:00,41.46,41.46,41.445,41.445,245.0
2024-08-22T11:05:00-04:00,41.445,41.465,41.41,41.41,1142.0
2024-08-22T11:10:00-04:00,41.42,41.435,41.42,41.435,314.0
2024-08-22T11:15:00-04:00,41.435,41.435,41.36,41.37,887.0
2024-08-22T11:20:00-04:00,41.35,41.37,41.35,41.36,548.0
2024-08-22T11:25:00-04:00,41.38,41.385,41.38,41.385,248.0
2024-08-22T11:30:00-04:00,41.38,41.38,41.34,41.34,931.0
2024-08-22T11:35:00-04:00,41.34,41.365,41.34,41.35,702.0
2024-08-22T11:40:00-04:00,41.35,41.38,41.35,41.36,1177.0
2024-08-22T11:45:00-04:00,41.39,41.39,41.34,41.34,750.0
2024-08-22T11:50:00-04:00,41.315,41.35,41.31,41.33,574.0
2024-08-22T11:55:00-04:00,41.35,41.36,41.35,41.36,1210.0
2024-08-22T12:00:00-04:00,41.31,41.38,41.3,41.38,2203.0
2024-08-22T12:05:00-04:00,41.345,41.345,41.345,41.345,254.0
2024-08-22T12:10:00-04:00,41.35,41.35,41.325,41.325,590.0
2024-08-22T12:15:00-04:00,41.325,41.325,41.295,41.3,1632.0
2024-08-22T12:20:00-04:00,41.305,41.305,41.285,41.3,1029.0
2024-08-22T12:25:00-04:00,41.27,41.34,41.27,41.32,1058.0
2024-08-22T12:30:00-04:00,41.335,41.36,41.335,41.34,2012.0
2024-08-22T12:35:00-04:00,41.345,41.35,41.335,41.35,1504.0
2024-08-22T12:40:00-04:00,41.35,41.35,41.345,41.345,744.0
2024-08-22T12:45:00-04:00,41.355,41.41,41.355,41.41,925.0
2024-08-22T12:50:00-04:00,41.365,41.425,41.33,41.375,1400.0
2024-08-22T12:55:00-04:00,41.36,41.37,41.33,41.33,690.0
2024-08-22T13:00:00-04:00,41.33,41.33,41.28,41.28,397.0
2024-08-22T13:05:00-04:00,41.285,41.34,41.285,41.34,579.0
2024-08-22T13:10:00-04:00,41.33,41.39,41.33,41.385,735.0
2024-08-22T13:15:00-04:00,41.33,41.35,41.32,41.32,617.0
2024-08-22T13:25:00-04:00,41.35,41.35,41.35,41.35,100.0
2024-08-22T13:30:00-04:00,41.3,41.3,41.24,41.25,1200.0
2024-08-22T13:35:00-04:00,41.255,41.31,41.24,41.28,1771.0
2024-08-22T13:40:00-04:00,41.26,41.26,41.26,41.26,189.0
2024-08-22T13:50:00-04:00,41.305,41.305,41.3,41.3,200.0
2024-08-22T13:55:00-04:00,41.25,41.25,41.25,41.25,126.0
2024-08-22T14:00:00-04:00,41.265,41.265,41.235,41.235,367.0
2024-08-22T14:05:00-04:00,41.235,41.245,41.235,41.245,252.0
2024-08-22T14:10:00-04:00,41.26,41.26,41.26,41.26,100.0
2024-08-22T14:15:00-04:00,41.32,41.32,41.32,41.32,129.0
2024-08-22T14:20:00-04:00,41.29,41.29,41.29,41.29,200.0
2024-08-22T14:25:00-04:00,41.29,41.32,41.29,41.32,406.0
2024-08-22T14:40:00-04:00,41.32,41.36,41.32,41.35,639.0
2024-08-22T14:45:00-04:00,41.375,41.39,41.375,41.39,201.0
2024-08-22T14:50:00-04:00,41.395,41.41,41.39,41.39,442.0
2024-08-22T14:55:00-04:00,41.405,41.405,41.38,41.38,324.0
2024-08-22T15:00:00-04:00,41.385,41.47,41.385,41.46,769.0
2024-08-22T15:05:00-04:00,41.455,41.455,41.405,41.41,514.0
2024-08-22T15:10:00-04:00,41.42,41.46,41.42,41.455,475.0
2024-08-22T15:15:00-04:00,41.445,41.445,41.42,41.43,438.0
2024-08-22T15:20:00-04:00,41.43,41.43,41.36,41.36,314.0
2024-08-22T15:25:00-04:00,41.36,41.36,41.36,41.36,110.0
2024-08-22T15:30:00-04:00,41.34,41.35,41.32,41.35,624.0
2024-08-22T15:35:00-04:00,41.325,41.34,41.325,41.34,538.0
2024-08-22T15:40:00-04:00,41.27,41.29,41.245,41.245,1437.0
2024-08-22T15:45:00-04:00,41.29,41.325,41.275,41.315,1308.0
2024-08-22T15:50:00-04:00,41.33,41.33,41.26,41.275,4170.0
2024-08-22T15:55:00-04:00,41.295,41.295,41.225,41.28,11797.0
