time,open,high,low,close,volume
2025-03-11T09:30:00-04:00,9.56,9.56,9.56,9.56,100.0
2025-03-11T09:35:00-04:00,9.67,9.67,9.67,9.67,237.0
2025-03-11T09:40:00-04:00,9.74,9.75,9.635,9.64,1174.0
2025-03-11T09:45:00-04:00,9.6,9.6,9.56,9.6,707.0
2025-03-11T09:50:00-04:00,9.63,9.68,9.58,9.62,2381.0
2025-03-11T09:55:00-04:00,9.6,9.6,9.59,9.59,2400.0
2025-03-11T10:00:00-04:00,9.6,9.645,9.59,9.59,712.0
2025-03-11T10:05:00-04:00,9.595,9.595,9.57,9.58,716.0
2025-03-11T10:10:00-04:00,9.585,9.6,9.55,9.55,1108.0
2025-03-11T10:15:00-04:00,9.57,9.57,9.33,9.36,1489.0
2025-03-11T10:20:00-04:00,9.33,9.38,9.325,9.38,1297.0
2025-03-11T10:25:00-04:00,9.4,9.42,9.35,9.35,1500.0
2025-03-11T10:30:00-04:00,9.38,9.38,9.37,9.375,790.0
2025-03-11T10:35:00-04:00,9.36,9.36,9.33,9.35,919.0
2025-03-11T10:40:00-04:00,9.34,9.36,9.34,9.36,600.0
2025-03-11T10:45:00-04:00,9.43,9.48,9.36,9.4,1108.0
2025-03-11T10:50:00-04:00,9.38,9.42,9.38,9.42,983.0
2025-03-11T10:55:00-04:00,9.435,9.435,9.41,9.41,200.0
2025-03-11T11:00:00-04:00,9.37,9.37,9.365,9.365,200.0
2025-03-11T11:05:00-04:00,9.425,9.49,9.425,9.48,882.0
2025-03-11T11:10:00-04:00,9.52,9.565,9.52,9.565,401.0
2025-03-11T11:15:00-04:00,9.53,9.54,9.49,9.495,800.0
2025-03-11T11:20:00-04:00,9.49,9.5,9.49,9.5,680.0
2025-03-11T11:25:00-04:00,9.53,9.53,9.49,9.5,1862.0
2025-03-11T11:30:00-04:00,9.46,9.52,9.445,9.52,1329.0
2025-03-11T11:35:00-04:00,9.54,9.59,9.54,9.54,901.0
2025-03-11T11:40:00-04:00,9.59,9.6,9.58,9.58,2412.0
2025-03-11T11:45:00-04:00,9.6,9.6,9.585,9.585,816.0
2025-03-11T11:50:00-04:00,9.59,9.6,9.57,9.57,723.0
2025-03-11T11:55:00-04:00,9.645,9.645,9.54,9.55,1871.0
2025-03-11T12:00:00-04:00,9.575,9.575,9.575,9.575,200.0
2025-03-11T12:05:00-04:00,9.56,9.56,9.56,9.56,100.0
2025-03-11T12:10:00-04:00,9.52,9.52,9.49,9.52,427.0
2025-03-11T12:15:00-04:00,9.52,9.53,9.52,9.53,235.0
2025-03-11T12:20:00-04:00,9.51,9.55,9.51,9.55,504.0
2025-03-11T12:25:00-04:00,9.535,9.55,9.51,9.53,778.0
2025-03-11T12:30:00-04:00,9.515,9.515,9.48,9.5,646.0
2025-03-11T12:35:00-04:00,9.53,9.535,9.52,9.52,400.0
2025-03-11T12:40:00-04:00,9.505,9.51,9.49,9.49,420.0
2025-03-11T12:45:00-04:00,9.46,9.49,9.46,9.48,950.0
2025-03-11T12:50:00-04:00,9.45,9.45,9.37,9.41,1235.0
2025-03-11T12:55:00-04:00,9.41,9.42,9.385,9.39,890.0
2025-03-11T13:00:00-04:00,9.4,9.4,9.36,9.36,1540.0
2025-03-11T13:05:00-04:00,9.34,9.37,9.3,9.305,1974.0
2025-03-11T13:10:00-04:00,9.27,9.29,9.24,9.27,1592.0
2025-03-11T13:15:00-04:00,9.295,9.305,9.285,9.285,624.0
2025-03-11T13:20:00-04:00,9.28,9.31,9.25,9.31,2590.0
2025-03-11T13:25:00-04:00,9.28,9.28,9.25,9.25,1033.0
2025-03-11T13:30:00-04:00,9.26,9.28,9.22,9.24,1742.0
2025-03-11T13:35:00-04:00,9.21,9.27,9.21,9.27,1711.0
2025-03-11T13:40:00-04:00,9.28,9.28,9.27,9.28,708.0
