time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,5.81,5.82,5.72,5.72,12492.0
2024-11-05T16:00:00-05:00,5.72,5.86,5.72,5.86,16168.0
2024-11-06T16:00:00-05:00,5.99,5.995,5.85,5.95,22080.0
2024-11-07T16:00:00-05:00,6.29,6.29,5.77,5.77,34528.0
2024-11-08T16:00:00-05:00,5.79,5.93,5.745,5.895,22126.0
2024-11-11T16:00:00-05:00,5.89,5.89,5.69,5.69,28186.0
2024-11-12T16:00:00-05:00,5.64,5.665,5.46,5.5,28198.0
2024-11-13T16:00:00-05:00,5.48,5.48,5.315,5.355,16393.0
2024-11-14T16:00:00-05:00,5.35,5.37,5.31,5.32,26457.0
2024-11-15T16:00:00-05:00,5.24,5.25,5.155,5.18,20274.0
2024-11-18T16:00:00-05:00,5.205,5.275,5.18,5.22,15504.0
2024-11-19T16:00:00-05:00,5.26,5.345,5.21,5.23,22259.0
2024-11-20T16:00:00-05:00,5.21,5.23,5.16,5.22,12865.0
2024-11-21T16:00:00-05:00,5.19,5.27,5.18,5.24,15278.0
2024-11-22T16:00:00-05:00,5.21,5.265,5.21,5.24,8431.0
2024-11-25T16:00:00-05:00,5.29,5.45,5.29,5.37,12611.0
2024-11-26T16:00:00-05:00,5.36,5.36,5.21,5.22,24854.0
2024-11-27T16:00:00-05:00,5.23,5.23,5.12,5.14,14215.0
2024-11-29T16:00:00-05:00,5.21,5.52,5.21,5.41,9882.0
2024-12-02T16:00:00-05:00,5.41,5.495,5.4,5.46,17734.0
2024-12-03T16:00:00-05:00,5.43,5.47,5.34,5.44,17835.0
2024-12-04T16:00:00-05:00,5.63,6.21,5.6,6.05,47810.0
2024-12-05T16:00:00-05:00,6.01,6.25,6.005,6.17,23406.0
2024-12-06T16:00:00-05:00,6.26,6.765,6.26,6.69,38575.0
2024-12-09T16:00:00-05:00,6.71,6.985,6.71,6.845,25952.0
2024-12-10T16:00:00-05:00,6.97,6.99,6.77,6.8,23250.0
2024-12-11T16:00:00-05:00,6.79,6.79,6.48,6.7,33626.0
2024-12-12T16:00:00-05:00,6.605,9.8,6.605,9.8,327254.0
2024-12-13T16:00:00-05:00,9.48,9.505,8.11,8.585,318421.0
2024-12-16T16:00:00-05:00,8.685,8.73,7.995,8.145,66188.0
2024-12-17T16:00:00-05:00,7.975,7.975,7.55,7.73,72369.0
2024-12-18T16:00:00-05:00,7.89,8.25,7.54,7.645,40310.0
2024-12-19T16:00:00-05:00,7.86,7.86,7.51,7.57,26378.0
2024-12-20T16:00:00-05:00,7.455,7.815,7.43,7.72,32986.0
2024-12-23T16:00:00-05:00,7.8,7.92,7.685,7.7,3941.0
2024-12-24T16:00:00-05:00,8.07,8.14,7.885,8.1,12139.0
2024-12-26T16:00:00-05:00,8.08,8.3,8.08,8.12,21448.0
2024-12-27T16:00:00-05:00,8.24,8.24,7.915,7.97,20501.0
2024-12-30T16:00:00-05:00,7.9,8.2,7.865,8.13,91307.0
2024-12-31T16:00:00-05:00,8.24,8.395,7.975,8.06,74280.0
2025-01-02T16:00:00-05:00,7.88,7.88,7.42,7.49,48715.0
2025-01-03T16:00:00-05:00,7.445,7.6,7.37,7.58,24458.0
2025-01-06T16:00:00-05:00,7.535,8.29,7.535,8.19,136940.0
2025-01-07T16:00:00-05:00,8.31,8.605,8.075,8.145,85252.0
2025-01-08T16:00:00-05:00,7.92,8.11,7.735,7.87,56110.0
2025-01-10T16:00:00-05:00,7.83,7.83,7.49,7.68,109449.0
2025-01-13T16:00:00-05:00,7.45,7.51,7.25,7.495,32432.0
2025-01-14T16:00:00-05:00,7.54,7.54,7.105,7.2,36581.0
2025-01-15T16:00:00-05:00,7.735,8.5,7.7,8.265,104805.0
2025-01-16T16:00:00-05:00,8.47,8.96,8.47,8.77,113221.0
2025-01-17T16:00:00-05:00,8.855,9.125,8.63,8.845,56440.0
2025-01-21T16:00:00-05:00,8.96,9.7,8.61,9.555,126721.0
2025-01-22T16:00:00-05:00,9.7,11.14,9.7,9.915,234494.0
2025-01-23T16:00:00-05:00,9.945,12.39,9.945,11.8,350551.0
2025-01-24T16:00:00-05:00,12.01,13.9,11.855,12.85,336772.0
2025-01-27T16:00:00-05:00,10.28,10.31,8.8,9.275,360222.0
2025-01-28T16:00:00-05:00,9.985,9.985,9.105,9.52,209871.0
