time,open,high,low,close,volume
2025-11-10T09:35:00-05:00,10.215,10.215,10.215,10.215,307.0
2025-11-10T09:40:00-05:00,10.23,10.23,10.23,10.23,200.0
2025-11-10T09:45:00-05:00,10.24,10.24,10.24,10.24,122.0
2025-11-10T09:50:00-05:00,10.17,10.175,10.15,10.16,1186.0
2025-11-10T09:55:00-05:00,10.155,10.155,10.155,10.155,150.0
2025-11-10T10:00:00-05:00,10.15,10.15,10.15,10.15,390.0
2025-11-10T10:05:00-05:00,10.19,10.19,10.19,10.19,226.0
2025-11-10T10:10:00-05:00,10.13,10.13,10.13,10.13,104.0
2025-11-10T10:15:00-05:00,10.12,10.12,10.12,10.12,110.0
2025-11-10T10:20:00-05:00,10.14,10.14,10.14,10.14,445.0
2025-11-10T10:30:00-05:00,10.1,10.11,10.1,10.11,897.0
2025-11-10T10:35:00-05:00,10.11,10.11,10.11,10.11,325.0
2025-11-10T10:45:00-05:00,10.15,10.15,10.14,10.14,679.0
2025-11-10T10:50:00-05:00,10.11,10.11,10.105,10.105,568.0
2025-11-10T10:55:00-05:00,10.075,10.08,10.065,10.065,2241.0
2025-11-10T11:05:00-05:00,9.985,9.985,9.985,9.985,210.0
2025-11-10T11:15:00-05:00,9.965,9.99,9.965,9.99,472.0
2025-11-10T11:20:00-05:00,9.975,9.985,9.975,9.985,310.0
2025-11-10T11:25:00-05:00,9.985,9.985,9.975,9.975,400.0
2025-11-10T11:30:00-05:00,9.96,9.96,9.96,9.96,310.0
2025-11-10T11:35:00-05:00,9.97,9.97,9.97,9.97,109.0
2025-11-10T11:40:00-05:00,9.97,9.97,9.97,9.97,624.0
2025-11-10T11:45:00-05:00,9.985,10.005,9.98,10.005,1324.0
2025-11-10T11:50:00-05:00,10.0,10.01,10.0,10.01,514.0
2025-11-10T11:55:00-05:00,9.99,9.99,9.99,9.99,280.0
2025-11-10T12:05:00-05:00,10.015,10.015,10.015,10.015,311.0
2025-11-10T12:15:00-05:00,10.015,10.03,10.015,10.03,844.0
2025-11-10T12:30:00-05:00,9.995,9.995,9.995,9.995,646.0
2025-11-10T12:40:00-05:00,9.99,10.0,9.99,10.0,1004.0
2025-11-10T12:45:00-05:00,10.02,10.03,10.02,10.03,467.0
2025-11-10T12:50:00-05:00,10.015,10.015,10.015,10.015,113.0
2025-11-10T13:00:00-05:00,10.035,10.035,10.03,10.03,1074.0
2025-11-10T13:05:00-05:00,10.04,10.06,10.04,10.06,687.0
2025-11-10T13:25:00-05:00,10.045,10.045,10.045,10.045,376.0
2025-11-10T13:30:00-05:00,10.06,10.075,10.06,10.075,445.0
2025-11-10T13:35:00-05:00,10.075,10.075,10.075,10.075,100.0
2025-11-10T13:40:00-05:00,10.07,10.07,10.07,10.07,100.0
2025-11-10T13:45:00-05:00,10.085,10.09,10.085,10.09,408.0
2025-11-10T13:55:00-05:00,10.075,10.075,10.075,10.075,400.0
2025-11-10T14:15:00-05:00,10.055,10.055,10.055,10.055,120.0
2025-11-10T14:20:00-05:00,10.075,10.075,10.075,10.075,100.0
2025-11-10T14:25:00-05:00,10.08,10.12,10.08,10.12,1349.0
2025-11-10T14:30:00-05:00,10.105,10.105,10.105,10.105,517.0
2025-11-10T14:45:00-05:00,10.095,10.095,10.095,10.095,710.0
2025-11-10T14:50:00-05:00,10.095,10.095,10.095,10.095,100.0
2025-11-10T14:55:00-05:00,10.1,10.1,10.1,10.1,100.0
2025-11-10T15:00:00-05:00,10.1,10.1,10.095,10.095,337.0
2025-11-10T15:05:00-05:00,10.075,10.075,10.075,10.075,575.0
2025-11-10T15:15:00-05:00,10.09,10.09,10.085,10.085,228.0
2025-11-10T15:20:00-05:00,10.085,10.085,10.085,10.085,100.0
2025-11-10T15:25:00-05:00,10.095,10.105,10.095,10.105,1256.0
