time,open,high,low,close,volume
2024-10-09T09:30:00-04:00,81.645,81.645,81.645,81.645,100.0
2024-10-09T09:45:00-04:00,82.3,82.3,82.3,82.3,100.0
2024-10-09T09:50:00-04:00,82.405,82.405,82.405,82.405,240.0
2024-10-09T10:05:00-04:00,82.92,82.92,82.92,82.92,100.0
2024-10-09T10:10:00-04:00,83.16,83.16,83.14,83.14,256.0
2024-10-09T10:15:00-04:00,82.98,83.38,82.98,83.38,979.0
2024-10-09T10:20:00-04:00,83.3,83.3,83.3,83.3,100.0
2024-10-09T10:25:00-04:00,83.25,83.25,83.245,83.245,700.0
2024-10-09T10:30:00-04:00,83.13,83.17,83.075,83.075,835.0
2024-10-09T10:35:00-04:00,83.56,83.56,83.405,83.405,541.0
2024-10-09T10:40:00-04:00,83.33,83.33,83.18,83.18,335.0
2024-10-09T10:50:00-04:00,83.65,83.65,83.51,83.51,240.0
2024-10-09T10:55:00-04:00,83.64,83.64,83.64,83.64,397.0
2024-10-09T11:00:00-04:00,83.67,83.68,83.66,83.66,804.0
2024-10-09T11:05:00-04:00,83.69,83.69,83.66,83.66,343.0
2024-10-09T11:15:00-04:00,84.115,84.115,84.115,84.115,260.0
2024-10-09T11:20:00-04:00,84.18,84.18,84.105,84.105,213.0
2024-10-09T11:25:00-04:00,84.08,84.1,84.08,84.1,520.0
2024-10-09T11:30:00-04:00,84.095,84.15,84.095,84.15,206.0
2024-10-09T11:35:00-04:00,84.2,84.35,84.2,84.35,507.0
2024-10-09T11:45:00-04:00,84.455,84.455,84.28,84.28,744.0
2024-10-09T11:50:00-04:00,84.275,84.38,84.275,84.38,200.0
2024-10-09T11:55:00-04:00,84.355,84.48,84.355,84.48,200.0
2024-10-09T12:00:00-04:00,84.33,84.33,84.33,84.33,263.0
2024-10-09T12:05:00-04:00,84.345,84.345,84.345,84.345,274.0
2024-10-09T12:10:00-04:00,84.33,84.33,84.33,84.33,100.0
2024-10-09T12:15:00-04:00,84.1,84.1,84.01,84.01,469.0
2024-10-09T12:20:00-04:00,84.155,84.155,84.155,84.155,100.0
2024-10-09T12:30:00-04:00,83.915,83.915,83.915,83.915,100.0
2024-10-09T12:45:00-04:00,83.84,83.84,83.84,83.84,110.0
2024-10-09T12:50:00-04:00,83.66,83.66,83.66,83.66,148.0
2024-10-09T13:05:00-04:00,83.725,83.77,83.7,83.7,863.0
2024-10-09T13:20:00-04:00,83.72,83.73,83.72,83.73,334.0
2024-10-09T13:35:00-04:00,83.86,83.86,83.83,83.83,711.0
