time,open,high,low,close,volume
2025-09-11T09:45:00-04:00,8.89,8.89,8.87,8.88,400.0
2025-09-11T09:55:00-04:00,8.89,8.89,8.89,8.89,102.0
2025-09-11T10:10:00-04:00,8.875,8.875,8.855,8.855,626.0
2025-09-11T10:15:00-04:00,8.86,8.885,8.86,8.885,244.0
2025-09-11T10:25:00-04:00,8.875,8.875,8.85,8.85,300.0
2025-09-11T10:35:00-04:00,8.845,8.86,8.84,8.86,704.0
2025-09-11T10:40:00-04:00,8.855,8.855,8.85,8.85,404.0
2025-09-11T10:55:00-04:00,8.88,8.88,8.88,8.88,200.0
2025-09-11T11:05:00-04:00,8.82,8.82,8.82,8.82,100.0
2025-09-11T11:10:00-04:00,8.815,8.82,8.815,8.82,232.0
2025-09-11T11:15:00-04:00,8.805,8.81,8.805,8.81,217.0
2025-09-11T11:30:00-04:00,8.905,8.905,8.905,8.905,208.0
2025-09-11T11:35:00-04:00,8.88,8.88,8.88,8.88,106.0
2025-09-11T11:50:00-04:00,8.87,8.87,8.87,8.87,103.0
2025-09-11T11:55:00-04:00,8.88,8.88,8.88,8.88,195.0
2025-09-11T12:00:00-04:00,8.9,8.94,8.9,8.93,674.0
2025-09-11T12:05:00-04:00,8.945,8.945,8.945,8.945,246.0
2025-09-11T12:15:00-04:00,8.935,8.935,8.935,8.935,195.0
2025-09-11T12:20:00-04:00,8.94,8.94,8.94,8.94,100.0
2025-09-11T12:25:00-04:00,8.95,8.95,8.95,8.95,100.0
2025-09-11T12:30:00-04:00,8.94,8.96,8.94,8.96,500.0
2025-09-11T12:40:00-04:00,8.96,8.96,8.95,8.95,300.0
2025-09-11T12:50:00-04:00,8.97,8.97,8.97,8.97,107.0
2025-09-11T13:00:00-04:00,9.01,9.01,9.01,9.01,200.0
2025-09-11T13:05:00-04:00,8.995,8.995,8.995,8.995,100.0
2025-09-11T13:10:00-04:00,8.97,8.97,8.97,8.97,258.0
2025-09-11T13:15:00-04:00,8.975,8.975,8.96,8.96,580.0
2025-09-11T13:20:00-04:00,8.96,8.97,8.955,8.97,614.0
2025-09-11T13:25:00-04:00,8.97,8.97,8.97,8.97,100.0
2025-09-11T13:40:00-04:00,8.935,8.935,8.93,8.93,553.0
2025-09-11T13:45:00-04:00,8.915,8.915,8.91,8.91,364.0
2025-09-11T13:50:00-04:00,8.9,8.9,8.9,8.9,132.0
2025-09-11T13:55:00-04:00,8.91,8.91,8.91,8.91,393.0
2025-09-11T14:00:00-04:00,8.92,8.92,8.92,8.92,100.0
2025-09-11T14:10:00-04:00,8.92,8.92,8.905,8.905,600.0
2025-09-11T14:15:00-04:00,8.875,8.875,8.875,8.875,100.0
2025-09-11T14:20:00-04:00,8.89,8.89,8.89,8.89,542.0
2025-09-11T14:30:00-04:00,8.85,8.85,8.84,8.84,366.0
2025-09-11T14:35:00-04:00,8.845,8.85,8.845,8.85,414.0
2025-09-11T14:40:00-04:00,8.83,8.83,8.83,8.83,250.0
2025-09-11T14:50:00-04:00,8.8,8.8,8.8,8.8,141.0
2025-09-11T14:55:00-04:00,8.78,8.78,8.78,8.78,100.0
2025-09-11T15:00:00-04:00,8.795,8.8,8.795,8.8,200.0
2025-09-11T15:15:00-04:00,8.86,8.86,8.86,8.86,100.0
2025-09-11T15:30:00-04:00,8.88,8.88,8.88,8.88,316.0
2025-09-11T15:35:00-04:00,8.835,8.835,8.835,8.835,100.0
2025-09-11T15:40:00-04:00,8.8,8.8,8.8,8.8,228.0
2025-09-11T15:45:00-04:00,8.785,8.84,8.775,8.775,1543.0
2025-09-11T15:50:00-04:00,8.795,8.815,8.785,8.79,577.0
2025-09-11T15:55:00-04:00,8.79,8.85,8.79,8.795,3895.0
2025-09-12T09:35:00-04:00,8.79,8.79,8.79,8.79,191.0
2025-09-12T10:10:00-04:00,8.77,8.77,8.76,8.76,237.0
2025-09-12T10:15:00-04:00,8.77,8.77,8.77,8.77,231.0
2025-09-12T10:20:00-04:00,8.79,8.79,8.79,8.79,297.0
2025-09-12T10:25:00-04:00,8.76,8.76,8.76,8.76,244.0
2025-09-12T10:30:00-04:00,8.785,8.785,8.785,8.785,108.0
2025-09-12T10:40:00-04:00,8.75,8.75,8.75,8.75,526.0
2025-09-12T10:45:00-04:00,8.705,8.705,8.705,8.705,255.0
2025-09-12T11:00:00-04:00,8.7,8.7,8.68,8.68,1042.0
2025-09-12T11:10:00-04:00,8.685,8.685,8.685,8.685,100.0
2025-09-12T11:15:00-04:00,8.66,8.685,8.66,8.685,2230.0
2025-09-12T11:20:00-04:00,8.66,8.66,8.66,8.66,100.0
2025-09-12T11:35:00-04:00,8.685,8.71,8.68,8.71,825.0
2025-09-12T11:45:00-04:00,8.705,8.705,8.705,8.705,100.0
2025-09-12T12:05:00-04:00,8.65,8.65,8.65,8.65,291.0
2025-09-12T12:15:00-04:00,8.68,8.68,8.68,8.68,916.0
2025-09-12T12:20:00-04:00,8.68,8.685,8.68,8.68,350.0
2025-09-12T12:35:00-04:00,8.67,8.67,8.67,8.67,310.0
2025-09-12T12:45:00-04:00,8.69,8.69,8.69,8.69,854.0
2025-09-12T13:10:00-04:00,8.67,8.67,8.67,8.67,100.0
2025-09-12T13:15:00-04:00,8.69,8.69,8.69,8.69,194.0
2025-09-12T13:20:00-04:00,8.69,8.69,8.69,8.69,105.0
2025-09-12T13:25:00-04:00,8.675,8.69,8.675,8.69,594.0
2025-09-12T13:35:00-04:00,8.67,8.67,8.66,8.66,331.0
2025-09-12T13:40:00-04:00,8.655,8.66,8.64,8.655,1155.0
2025-09-12T13:45:00-04:00,8.66,8.66,8.66,8.66,342.0
2025-09-12T13:50:00-04:00,8.675,8.675,8.675,8.675,250.0
2025-09-12T14:05:00-04:00,8.67,8.67,8.67,8.67,288.0
