time,open,high,low,close,volume
2026-04-23T09:30:00-04:00,50.46,50.46,50.29,50.29,250.0
2026-04-23T09:35:00-04:00,50.77,51.45,50.77,51.45,545.0
2026-04-23T09:40:00-04:00,51.83,52.06,50.53,50.53,1205.0
2026-04-23T09:45:00-04:00,50.62,50.62,50.0,50.0,200.0
2026-04-23T09:50:00-04:00,49.57,49.77,48.78,48.78,847.0
2026-04-23T09:55:00-04:00,47.61,47.61,47.4,47.61,600.0
2026-04-23T10:00:00-04:00,47.48,47.48,45.47,45.47,1277.0
2026-04-23T10:05:00-04:00,45.78,46.21,45.57,45.85,1730.0
2026-04-23T10:10:00-04:00,44.01,44.01,43.67,43.67,404.0
2026-04-23T10:15:00-04:00,44.32,45.51,44.32,44.625,3244.0
2026-04-23T10:20:00-04:00,44.52,44.52,44.52,44.52,374.0
2026-04-23T10:25:00-04:00,45.11,45.11,44.95,44.96,348.0
2026-04-23T10:30:00-04:00,45.18,45.58,44.91,45.58,500.0
2026-04-23T10:35:00-04:00,45.875,45.88,45.7,45.7,990.0
2026-04-23T10:40:00-04:00,45.41,45.41,45.41,45.41,100.0
2026-04-23T10:50:00-04:00,45.62,45.8,45.62,45.76,600.0
2026-04-23T10:55:00-04:00,46.25,46.29,45.955,46.105,545.0
2026-04-23T11:05:00-04:00,45.99,45.99,45.99,45.99,200.0
2026-04-23T11:10:00-04:00,46.23,46.23,45.62,45.62,414.0
2026-04-23T11:15:00-04:00,45.42,45.42,45.42,45.42,466.0
2026-04-23T11:20:00-04:00,45.57,45.57,45.57,45.57,100.0
2026-04-23T11:25:00-04:00,45.12,45.12,45.12,45.12,465.0
2026-04-23T11:40:00-04:00,44.8,44.8,44.69,44.69,395.0
2026-04-23T11:45:00-04:00,44.61,44.61,44.61,44.61,100.0
2026-04-23T11:50:00-04:00,43.32,43.71,43.32,43.71,400.0
2026-04-23T12:15:00-04:00,44.405,44.405,44.405,44.405,162.0
2026-04-23T12:25:00-04:00,44.09,44.09,44.09,44.09,300.0
2026-04-23T12:35:00-04:00,43.7,43.74,43.7,43.74,500.0
2026-04-23T12:45:00-04:00,42.9,42.92,42.9,42.92,266.0
2026-04-23T12:50:00-04:00,42.66,42.7,42.48,42.48,438.0
2026-04-23T13:00:00-04:00,42.61,42.61,42.29,42.29,200.0
2026-04-23T13:05:00-04:00,41.92,41.92,41.6,41.6,342.0
2026-04-23T13:10:00-04:00,41.35,41.69,41.29,41.69,400.0
2026-04-23T13:15:00-04:00,41.275,41.42,41.06,41.25,3542.0
2026-04-23T13:25:00-04:00,41.62,41.62,41.32,41.345,400.0
2026-04-23T13:30:00-04:00,41.62,41.85,41.37,41.85,600.0
2026-04-23T13:35:00-04:00,41.57,41.57,41.57,41.57,100.0
2026-04-23T13:40:00-04:00,41.16,41.16,40.5,40.5,603.0
2026-04-23T13:50:00-04:00,40.66,41.27,40.66,41.27,400.0
2026-04-23T13:55:00-04:00,41.71,41.71,41.71,41.71,154.0
2026-04-23T14:00:00-04:00,42.9,42.9,42.9,42.9,145.0
2026-04-23T14:10:00-04:00,43.3,43.34,43.3,43.34,200.0
2026-04-23T14:15:00-04:00,42.83,42.83,42.83,42.83,100.0
2026-04-23T14:35:00-04:00,43.07,43.07,43.07,43.07,100.0
2026-04-23T14:50:00-04:00,42.23,42.23,42.23,42.23,100.0
2026-04-23T14:55:00-04:00,41.98,41.98,41.98,41.98,100.0
2026-04-23T15:00:00-04:00,42.12,42.12,42.12,42.12,100.0
2026-04-23T15:20:00-04:00,42.63,42.63,42.63,42.63,100.0
2026-04-23T15:25:00-04:00,42.42,42.57,42.42,42.57,200.0
2026-04-23T15:35:00-04:00,42.23,42.26,42.12,42.12,620.0
2026-04-23T15:45:00-04:00,42.52,42.52,42.52,42.52,100.0
2026-04-23T15:50:00-04:00,42.48,42.79,42.48,42.79,439.0
2026-04-24T09:30:00-04:00,44.335,44.335,42.24,42.24,1258.0
2026-04-24T09:35:00-04:00,42.09,43.28,42.07,43.28,1404.0
2026-04-24T09:40:00-04:00,43.27,43.28,42.63,42.63,830.0
2026-04-24T09:45:00-04:00,42.315,42.35,41.78,41.78,546.0
2026-04-24T09:50:00-04:00,41.39,41.39,40.22,40.22,900.0
2026-04-24T09:55:00-04:00,40.0,40.79,39.8,40.79,1209.0
2026-04-24T10:00:00-04:00,40.805,40.805,40.12,40.15,500.0
2026-04-24T10:05:00-04:00,40.23,40.23,40.23,40.23,100.0
2026-04-24T10:10:00-04:00,40.38,40.47,40.38,40.47,466.0
2026-04-24T10:15:00-04:00,40.23,40.3,40.14,40.21,580.0
2026-04-24T10:20:00-04:00,40.66,40.73,40.06,40.06,800.0
2026-04-24T10:25:00-04:00,39.605,39.605,38.79,38.92,1157.0
2026-04-24T10:30:00-04:00,39.02,39.04,38.47,38.7,1163.0
2026-04-24T10:35:00-04:00,39.55,39.55,39.125,39.125,1355.0
2026-04-24T10:40:00-04:00,40.17,40.22,40.17,40.22,300.0
2026-04-24T10:45:00-04:00,40.06,40.06,39.89,39.89,300.0
2026-04-24T10:55:00-04:00,39.5,39.5,39.5,39.5,100.0
2026-04-24T11:05:00-04:00,38.995,39.34,38.995,39.34,252.0
2026-04-24T11:10:00-04:00,39.17,39.17,39.17,39.17,199.0
2026-04-24T11:15:00-04:00,39.1,39.1,39.1,39.1,100.0
2026-04-24T11:20:00-04:00,39.03,39.03,39.01,39.01,200.0
2026-04-24T11:25:00-04:00,38.97,38.97,38.97,38.97,183.0
2026-04-24T11:30:00-04:00,39.69,39.69,39.68,39.68,900.0
2026-04-24T11:35:00-04:00,39.75,39.92,39.75,39.92,451.0
2026-04-24T11:45:00-04:00,41.085,41.085,40.87,40.87,500.0
2026-04-24T12:05:00-04:00,40.51,40.51,40.15,40.175,600.0
2026-04-24T12:10:00-04:00,40.39,40.39,40.39,40.39,100.0
2026-04-24T12:15:00-04:00,40.01,40.01,39.93,39.93,400.0
2026-04-24T12:20:00-04:00,40.09,40.09,40.09,40.09,100.0
2026-04-24T12:25:00-04:00,40.12,40.19,40.12,40.19,300.0
2026-04-24T12:35:00-04:00,40.78,40.78,40.78,40.78,100.0
2026-04-24T12:45:00-04:00,40.89,40.91,40.89,40.91,300.0
2026-04-24T12:50:00-04:00,40.665,40.82,40.665,40.82,300.0
2026-04-24T13:00:00-04:00,41.13,41.13,41.13,41.13,100.0
2026-04-24T13:05:00-04:00,41.33,41.33,41.33,41.33,100.0
2026-04-24T13:10:00-04:00,41.41,41.41,41.41,41.41,200.0
2026-04-24T13:20:00-04:00,40.82,40.82,40.82,40.82,200.0
2026-04-24T13:25:00-04:00,41.07,41.07,41.07,41.07,150.0
2026-04-24T13:30:00-04:00,40.91,40.97,40.91,40.97,200.0
2026-04-24T13:45:00-04:00,40.99,40.99,40.99,40.99,100.0
2026-04-24T13:50:00-04:00,41.535,41.76,41.53,41.76,430.0
2026-04-24T14:00:00-04:00,41.33,41.545,41.33,41.545,300.0
2026-04-24T14:05:00-04:00,41.32,41.32,41.32,41.32,100.0
2026-04-24T15:00:00-04:00,41.38,41.38,41.08,41.08,300.0
2026-04-24T15:15:00-04:00,41.14,41.14,41.14,41.14,100.0
2026-04-24T15:20:00-04:00,40.88,40.88,40.86,40.87,370.0
2026-04-24T15:25:00-04:00,40.85,40.85,40.85,40.85,220.0
2026-04-24T15:30:00-04:00,40.63,40.66,40.5,40.5,533.0
2026-04-24T15:40:00-04:00,40.48,40.48,40.48,40.48,100.0
2026-04-24T15:50:00-04:00,40.32,40.48,40.32,40.48,500.0
2026-04-27T09:30:00-04:00,40.26,41.21,39.57,41.21,477.0
2026-04-27T09:35:00-04:00,40.84,40.85,40.385,40.385,980.0
2026-04-27T09:40:00-04:00,40.06,40.06,39.71,40.05,800.0
2026-04-27T09:45:00-04:00,40.3,40.3,39.54,39.54,1150.0
2026-04-27T09:50:00-04:00,39.23,39.23,39.23,39.23,150.0
2026-04-27T09:55:00-04:00,39.76,40.01,39.76,40.01,547.0
2026-04-27T10:00:00-04:00,39.59,39.59,39.59,39.59,275.0
2026-04-27T10:05:00-04:00,38.65,38.65,38.5,38.5,700.0
2026-04-27T10:10:00-04:00,38.39,38.66,38.39,38.66,400.0
2026-04-27T10:15:00-04:00,38.29,38.63,38.29,38.48,697.0
2026-04-27T10:20:00-04:00,38.66,38.72,38.58,38.72,508.0
2026-04-27T10:30:00-04:00,39.21,39.21,39.21,39.21,100.0
2026-04-27T10:35:00-04:00,40.05,40.05,39.78,39.78,500.0
2026-04-27T10:40:00-04:00,40.0,40.0,40.0,40.0,150.0
2026-04-27T10:45:00-04:00,40.24,40.28,40.2,40.2,900.0
2026-04-27T10:50:00-04:00,40.08,40.08,39.97,39.97,200.0
2026-04-27T10:55:00-04:00,39.76,39.76,39.76,39.76,130.0
2026-04-27T11:00:00-04:00,39.45,39.5,39.45,39.5,200.0
