time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,31.71,31.95,31.6,31.76,5510.0
2024-11-05T16:00:00-05:00,32.34,32.385,32.085,32.22,2584.0
2024-11-06T16:00:00-05:00,32.34,32.62,32.14,32.26,19224.0
2024-11-07T16:00:00-05:00,32.275,32.445,32.04,32.315,6003.0
2024-11-08T16:00:00-05:00,32.065,32.065,31.715,31.8,2375.0
2024-11-11T16:00:00-05:00,32.51,32.68,32.36,32.675,3840.0
2024-11-12T16:00:00-05:00,31.96,32.12,31.8,31.8,3583.0
2024-11-13T16:00:00-05:00,34.665,34.84,34.24,34.76,3649.0
2024-11-14T16:00:00-05:00,35.55,35.55,34.98,35.19,2269.0
2024-11-15T16:00:00-05:00,36.055,36.11,35.9,36.11,3019.0
2024-11-18T16:00:00-05:00,35.6,35.865,35.6,35.71,2391.0
2024-11-19T16:00:00-05:00,35.79,36.12,35.65,35.96,8149.0
2024-11-20T16:00:00-05:00,35.15,35.45,35.15,35.45,1566.0
2024-11-21T16:00:00-05:00,35.05,35.23,34.88,34.89,1652.0
2024-11-22T16:00:00-05:00,35.465,35.65,35.32,35.46,3031.0
2024-11-25T16:00:00-05:00,36.65,37.28,36.58,37.17,6822.0
2024-11-26T16:00:00-05:00,37.05,37.05,36.69,36.98,5896.0
2024-11-27T16:00:00-05:00,36.52,36.57,36.45,36.57,786.0
2024-11-29T16:00:00-05:00,36.79,37.16,36.79,37.13,3863.0
2024-12-02T16:00:00-05:00,36.615,36.85,36.61,36.62,2782.0
2024-12-03T16:00:00-05:00,36.37,36.535,36.36,36.535,1545.0
2024-12-04T16:00:00-05:00,36.24,36.24,35.99,36.135,1238.0
2024-12-05T16:00:00-05:00,35.57,35.57,35.01,35.12,4122.0
2024-12-06T16:00:00-05:00,35.22,35.26,35.115,35.14,1950.0
2024-12-09T16:00:00-05:00,35.66,35.66,35.33,35.34,2000.0
2024-12-10T16:00:00-05:00,34.89,35.26,34.72,34.86,2102.0
2024-12-11T16:00:00-05:00,34.43,34.69,34.43,34.48,3530.0
2024-12-12T16:00:00-05:00,34.32,34.32,34.14,34.205,2567.0
2024-12-13T16:00:00-05:00,33.97,33.975,33.84,33.975,3153.0
2024-12-16T16:00:00-05:00,34.13,34.47,33.55,33.7,43858.0
2024-12-17T16:00:00-05:00,33.86,33.86,33.595,33.7,2831.0
2024-12-18T16:00:00-05:00,33.9,33.9,32.56,32.58,2818.0
2024-12-19T16:00:00-05:00,31.45,31.685,31.38,31.495,4805.0
2024-12-20T16:00:00-05:00,31.86,32.11,31.74,31.74,3610.0
2024-12-23T16:00:00-05:00,31.21,31.24,31.08,31.24,450.0
2024-12-24T16:00:00-05:00,32.005,32.005,31.24,31.85,4387.0
2024-12-26T16:00:00-05:00,31.53,31.72,31.53,31.72,5430.0
2024-12-27T16:00:00-05:00,31.4,31.665,31.23,31.53,8427.0
2024-12-30T16:00:00-05:00,30.805,31.125,30.64,30.9,2424.0
2024-12-31T16:00:00-05:00,30.8,30.81,30.67,30.81,1401.0
2025-01-02T16:00:00-05:00,30.87,30.87,30.405,30.62,4565.0
2025-01-03T16:00:00-05:00,30.8,31.08,30.79,31.03,3671.0
2025-01-06T16:00:00-05:00,31.28,31.43,30.92,31.02,7148.0
2025-01-07T16:00:00-05:00,31.32,31.32,30.9,30.91,1956.0
2025-01-08T16:00:00-05:00,30.65,31.255,30.65,31.19,3109.0
2025-01-10T16:00:00-05:00,30.89,31.16,30.645,30.825,4076.0
2025-01-13T16:00:00-05:00,30.785,31.12,30.755,31.12,3593.0
2025-01-14T16:00:00-05:00,31.15,31.79,31.15,31.67,2972.0
2025-01-15T16:00:00-05:00,32.16,32.94,32.16,32.785,1742.0
2025-01-16T16:00:00-05:00,33.435,34.32,33.435,34.305,1974.0
2025-01-17T16:00:00-05:00,33.95,34.12,33.8,33.8,3055.0
2025-01-21T16:00:00-05:00,34.67,34.9,34.565,34.64,3123.0
2025-01-22T16:00:00-05:00,34.15,34.345,34.1,34.15,3642.0
2025-01-23T16:00:00-05:00,34.26,34.46,34.26,34.46,1902.0
2025-01-24T16:00:00-05:00,34.06,34.32,34.01,34.01,3624.0
2025-01-27T16:00:00-05:00,34.2,34.71,34.2,34.51,14437.0
2025-01-28T16:00:00-05:00,33.785,33.785,33.21,33.39,4295.0
2025-01-29T16:00:00-05:00,33.35,33.505,33.2,33.31,3060.0
2025-01-30T16:00:00-05:00,34.085,34.12,33.78,33.78,5876.0
2025-01-31T16:00:00-05:00,34.07,34.53,33.81,33.84,2694.0
2025-02-03T16:00:00-05:00,32.33,32.8,32.33,32.49,5710.0
2025-02-04T16:00:00-05:00,32.94,32.985,32.81,32.81,725.0
2025-02-05T16:00:00-05:00,32.995,33.365,32.995,33.29,2248.0
2025-02-06T16:00:00-05:00,33.665,34.05,33.665,34.0,2297.0
2025-02-07T16:00:00-05:00,33.86,33.93,33.42,33.42,2057.0
2025-02-10T16:00:00-05:00,33.56,33.56,33.23,33.37,2320.0
2025-02-11T16:00:00-05:00,33.185,33.34,33.185,33.27,741.0
2025-02-12T16:00:00-05:00,32.655,32.78,32.655,32.78,1174.0
2025-02-13T16:00:00-05:00,32.465,32.54,32.335,32.54,1602.0
2025-02-14T16:00:00-05:00,32.49,32.605,32.39,32.43,1202.0
2025-02-18T16:00:00-05:00,31.845,31.845,31.575,31.72,2387.0
2025-02-19T16:00:00-05:00,32.33,32.595,32.25,32.54,2435.0
2025-02-20T16:00:00-05:00,32.29,32.29,32.11,32.11,1122.0
2025-02-21T16:00:00-05:00,32.18,32.18,31.74,31.745,1613.0
2025-02-24T16:00:00-05:00,31.105,31.34,31.105,31.14,5150.0
2025-02-25T16:00:00-05:00,31.76,31.76,30.92,31.33,4158.0
2025-02-26T16:00:00-05:00,32.23,32.23,32.23,32.23,668.0
2025-02-27T16:00:00-05:00,32.0,32.155,31.45,31.455,1775.0
2025-02-28T16:00:00-05:00,31.405,31.51,31.115,31.51,2102.0
2025-03-03T16:00:00-05:00,31.755,31.755,30.96,31.15,2521.0
2025-03-04T16:00:00-05:00,30.935,31.3,30.48,31.19,3008.0
2025-03-05T16:00:00-05:00,31.76,32.43,31.76,32.325,1249.0
2025-03-06T16:00:00-05:00,31.8,31.995,31.8,31.995,957.0
2025-03-07T16:00:00-05:00,32.13,32.13,32.13,32.13,1480.0
2025-03-10T16:00:00-04:00,31.855,31.99,31.52,31.76,2815.0
2025-03-11T16:00:00-04:00,31.425,31.77,31.34,31.59,2491.0
2025-03-12T16:00:00-04:00,31.345,31.5,31.345,31.42,815.0
2025-03-13T16:00:00-04:00,31.055,31.06,30.865,30.88,1643.0
2025-03-14T16:00:00-04:00,31.83,31.985,31.83,31.985,1161.0
2025-03-17T16:00:00-04:00,32.23,32.43,32.2,32.39,1341.0
2025-03-18T16:00:00-04:00,32.03,32.035,32.025,32.035,1927.0
2025-03-19T16:00:00-04:00,31.5,31.5,31.295,31.43,2034.0
2025-03-20T16:00:00-04:00,28.955,29.2,28.81,28.81,7248.0
2025-03-21T16:00:00-04:00,29.07,29.31,29.04,29.27,3055.0
2025-03-24T16:00:00-04:00,25.58,25.785,23.315,24.305,407375.0
2025-03-25T16:00:00-04:00,24.16,24.16,23.46,23.755,278243.0
2025-03-26T16:00:00-04:00,23.93,23.93,23.26,23.86,175689.0
2025-03-27T16:00:00-04:00,24.15,24.77,23.95,24.565,346469.0
2025-03-28T16:00:00-04:00,24.355,24.49,23.94,24.24,150976.0
2025-03-31T16:00:00-04:00,23.75,23.85,23.36,23.51,116963.0
2025-04-01T16:00:00-04:00,23.14,23.39,22.96,23.125,111239.0
2025-04-02T16:00:00-04:00,23.18,23.84,23.12,23.77,137103.0
2025-04-03T16:00:00-04:00,23.23,23.53,22.54,22.99,203589.0
2025-04-04T16:00:00-04:00,21.155,21.7,20.145,21.215,134736.0
2025-04-07T16:00:00-04:00,20.49,22.04,19.88,20.455,258679.0
2025-04-08T16:00:00-04:00,20.84,21.07,19.79,20.19,404071.0
2025-04-09T16:00:00-04:00,19.8,23.38,19.73,23.2,264766.0
2025-04-10T16:00:00-04:00,22.275,22.275,20.865,21.355,207513.0
2025-04-11T16:00:00-04:00,21.79,22.6,21.44,22.53,156040.0
2025-04-14T16:00:00-04:00,22.465,22.75,21.95,22.33,106392.0
2025-04-15T16:00:00-04:00,22.375,22.535,21.68,21.84,72229.0
2025-04-16T16:00:00-04:00,21.85,21.85,21.13,21.49,109400.0
2025-04-17T16:00:00-04:00,21.675,22.795,21.675,22.495,190209.0
2025-04-21T16:00:00-04:00,22.16,22.46,21.67,21.78,127311.0
2025-04-22T16:00:00-04:00,22.235,22.7,21.94,22.5,63395.0
2025-04-23T16:00:00-04:00,23.39,23.82,23.17,23.515,290546.0
2025-04-24T16:00:00-04:00,23.565,24.52,23.565,24.45,115613.0
2025-04-25T16:00:00-04:00,24.25,24.365,23.975,24.31,141198.0
2025-04-28T16:00:00-04:00,23.81,24.0,23.355,23.64,143074.0
2025-04-29T16:00:00-04:00,23.58,23.82,23.25,23.72,70461.0
2025-04-30T16:00:00-04:00,23.29,23.76,23.125,23.735,68230.0
2025-05-01T16:00:00-04:00,23.66,24.06,23.64,24.04,85187.0
2025-05-02T16:00:00-04:00,24.545,24.59,23.98,24.2,77991.0
2025-05-05T16:00:00-04:00,24.105,24.37,23.96,23.96,28652.0
2025-05-06T16:00:00-04:00,23.71,24.135,23.58,23.76,84752.0
2025-05-07T16:00:00-04:00,23.81,23.81,22.99,23.27,130755.0
2025-05-08T16:00:00-04:00,23.67,24.28,23.45,23.99,65200.0
2025-05-09T16:00:00-04:00,24.23,24.44,24.15,24.35,70838.0
2025-05-12T16:00:00-04:00,25.655,25.76,25.02,25.42,93075.0
2025-05-13T16:00:00-04:00,25.6,26.03,25.47,25.93,172251.0
2025-05-14T16:00:00-04:00,26.0,26.105,25.53,25.71,102571.0
2025-05-15T16:00:00-04:00,25.42,25.49,25.19,25.31,73396.0
2025-05-16T16:00:00-04:00,24.885,25.33,24.885,25.19,112005.0
2025-05-19T16:00:00-04:00,24.65,25.23,24.645,25.23,117906.0
2025-05-20T16:00:00-04:00,24.925,25.07,24.68,24.72,152646.0
2025-05-21T16:00:00-04:00,23.02,24.245,23.02,23.915,332255.0
2025-05-22T16:00:00-04:00,23.49,23.91,23.47,23.74,134420.0
2025-05-23T16:00:00-04:00,23.37,23.57,23.205,23.41,122240.0
2025-05-27T16:00:00-04:00,23.37,23.37,22.9,23.2,217469.0
2025-05-28T16:00:00-04:00,22.95,22.95,22.02,22.06,300865.0
2025-05-29T16:00:00-04:00,22.405,23.0,22.1,23.0,306468.0
2025-05-30T16:00:00-04:00,22.82,23.35,22.475,23.28,432761.0
2025-06-02T16:00:00-04:00,23.215,23.9,23.12,23.87,750088.0
2025-06-03T16:00:00-04:00,23.88,24.87,23.875,24.76,463255.0
