time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,6.415,6.415,5.91,5.955,80150.0
2023-11-07T16:00:00-05:00,5.95,6.045,5.78,5.83,109927.0
2023-11-08T16:00:00-05:00,5.85,5.88,5.57,5.57,150783.0
2023-11-09T16:00:00-05:00,5.59,5.61,5.3,5.31,132596.0
2023-11-10T16:00:00-05:00,5.295,5.295,5.16,5.19,158406.0
2023-11-13T16:00:00-05:00,5.25,5.485,5.14,5.47,166045.0
2023-11-14T16:00:00-05:00,5.86,6.05,5.62,5.78,296141.0
2023-11-15T16:00:00-05:00,5.895,6.29,5.865,6.14,250043.0
2023-11-16T16:00:00-05:00,6.11,6.23,5.885,5.995,158097.0
2023-11-17T16:00:00-05:00,6.2,6.23,5.99,6.15,131283.0
2023-11-20T16:00:00-05:00,6.2,6.38,6.115,6.15,75574.0
2023-11-21T16:00:00-05:00,6.11,6.11,5.59,5.6,150461.0
2023-11-22T16:00:00-05:00,5.72,5.84,5.69,5.74,127022.0
2023-11-24T16:00:00-05:00,5.78,5.86,5.7,5.765,37722.0
2023-11-27T16:00:00-05:00,5.675,5.76,5.61,5.655,87312.0
2023-11-28T16:00:00-05:00,5.625,5.955,5.625,5.93,57156.0
2023-11-29T16:00:00-05:00,6.1,6.21,5.84,6.07,105170.0
2023-11-30T16:00:00-05:00,6.11,6.11,5.92,5.96,66707.0
2023-12-01T16:00:00-05:00,5.97,6.625,5.895,6.59,182093.0
2023-12-04T16:00:00-05:00,6.4,6.62,6.35,6.495,66026.0
2023-12-05T16:00:00-05:00,6.335,6.51,6.26,6.29,56578.0
2023-12-06T16:00:00-05:00,6.41,6.58,6.3,6.305,85581.0
2023-12-07T16:00:00-05:00,6.3,6.45,6.25,6.37,50328.0
2023-12-08T16:00:00-05:00,6.31,6.64,6.31,6.57,188991.0
2023-12-11T16:00:00-05:00,6.56,6.56,6.37,6.5,73680.0
2023-12-12T16:00:00-05:00,6.5,6.58,6.36,6.415,99639.0
2023-12-13T16:00:00-05:00,6.39,6.79,6.125,6.76,118946.0
2023-12-14T16:00:00-05:00,6.98,7.575,6.97,7.09,318693.0
2023-12-15T16:00:00-05:00,7.2,7.2,6.81,6.86,234520.0
2023-12-18T16:00:00-05:00,6.89,7.05,6.75,6.83,85223.0
2023-12-19T16:00:00-05:00,6.865,7.03,6.84,6.97,126892.0
2023-12-20T16:00:00-05:00,6.835,7.01,6.57,6.575,79270.0
2023-12-21T16:00:00-05:00,6.78,6.965,6.78,6.94,88654.0
2023-12-22T16:00:00-05:00,6.855,6.95,6.79,6.91,47554.0
2023-12-26T16:00:00-05:00,6.935,7.075,6.89,6.99,45974.0
2023-12-27T16:00:00-05:00,7.01,7.09,6.9,6.99,41629.0
2023-12-28T16:00:00-05:00,6.95,7.01,6.84,6.89,50314.0
2023-12-29T16:00:00-05:00,6.88,6.92,6.62,6.655,45108.0
2024-01-02T16:00:00-05:00,6.59,6.595,6.125,6.175,155531.0
2024-01-03T16:00:00-05:00,6.07,6.11,5.94,5.98,114114.0
2024-01-04T16:00:00-05:00,5.94,6.225,5.94,6.055,91215.0
2024-01-05T16:00:00-05:00,5.98,6.18,5.98,6.1,79856.0
2024-01-08T16:00:00-05:00,6.17,6.405,6.095,6.36,62064.0
2024-01-09T16:00:00-05:00,6.25,6.31,6.11,6.15,53066.0
2024-01-10T16:00:00-05:00,6.12,6.16,5.99,6.06,115318.0
2024-01-11T16:00:00-05:00,6.01,6.09,5.87,5.99,61834.0
2024-01-12T16:00:00-05:00,5.985,6.11,5.86,5.89,40670.0
2024-01-16T16:00:00-05:00,5.77,5.79,5.67,5.69,95533.0
2024-01-17T16:00:00-05:00,5.59,5.7,5.57,5.695,78682.0
2024-01-18T16:00:00-05:00,5.855,5.88,5.485,5.595,73558.0
2024-01-19T16:00:00-05:00,5.63,5.67,5.435,5.625,100295.0
2024-01-22T16:00:00-05:00,5.865,6.265,5.725,5.88,186345.0
2024-01-23T16:00:00-05:00,6.13,6.13,5.88,5.965,174152.0
2024-01-24T16:00:00-05:00,6.005,6.08,5.74,5.755,62906.0
2024-01-25T16:00:00-05:00,5.83,5.84,5.7,5.72,131515.0
2024-01-26T16:00:00-05:00,5.765,5.9,5.61,5.62,39654.0
2024-01-29T16:00:00-05:00,5.64,6.19,5.64,6.135,103756.0
2024-01-30T16:00:00-05:00,5.94,5.94,5.71,5.725,83927.0
2024-01-31T16:00:00-05:00,5.71,5.8,5.45,5.45,102766.0
2024-02-01T16:00:00-05:00,5.615,5.71,5.48,5.68,97482.0
2024-02-02T16:00:00-05:00,5.465,5.74,5.455,5.72,69712.0
2024-02-05T16:00:00-05:00,5.58,5.58,5.43,5.52,114134.0
2024-02-06T16:00:00-05:00,5.59,5.85,5.59,5.85,53301.0
2024-02-07T16:00:00-05:00,5.73,5.735,5.5,5.65,122283.0
2024-02-08T16:00:00-05:00,5.69,5.87,5.67,5.78,93207.0
2024-02-09T16:00:00-05:00,5.94,5.96,5.78,5.93,123249.0
2024-02-12T16:00:00-05:00,6.47,6.49,6.1,6.32,240740.0
2024-02-13T16:00:00-05:00,5.9,6.075,5.85,5.98,159011.0
2024-02-14T16:00:00-05:00,6.1,6.255,5.99,6.23,295259.0
2024-02-15T16:00:00-05:00,6.225,6.485,6.225,6.365,115350.0
2024-02-16T16:00:00-05:00,6.18,6.315,6.13,6.19,78869.0
2024-02-20T16:00:00-05:00,6.195,6.29,6.06,6.21,87375.0
2024-02-21T16:00:00-05:00,6.39,6.42,5.965,6.08,126986.0
2024-02-22T16:00:00-05:00,5.91,5.92,5.45,5.45,177912.0
2024-02-23T16:00:00-05:00,5.6,5.625,5.41,5.415,152768.0
2024-02-26T16:00:00-05:00,5.41,5.55,5.36,5.465,110702.0
2024-02-27T16:00:00-05:00,5.57,5.88,5.53,5.685,140808.0
2024-02-28T16:00:00-05:00,5.56,5.625,5.47,5.5,78071.0
2024-02-29T16:00:00-05:00,5.625,5.775,5.57,5.625,129225.0
2024-03-01T16:00:00-05:00,5.53,5.6,5.4,5.475,75664.0
2024-03-04T16:00:00-05:00,5.56,5.56,5.27,5.345,94498.0
2024-03-05T16:00:00-05:00,5.32,5.355,5.125,5.13,157689.0
2024-03-06T16:00:00-05:00,5.29,5.385,5.15,5.26,86632.0
2024-03-07T16:00:00-05:00,5.33,5.45,5.24,5.345,84974.0
2024-03-08T16:00:00-05:00,5.52,5.59,5.34,5.41,99157.0
2024-03-11T16:00:00-04:00,5.39,5.59,5.39,5.455,98201.0
2024-03-12T16:00:00-04:00,5.405,5.5,5.34,5.415,176872.0
2024-03-13T16:00:00-04:00,5.35,5.54,5.34,5.36,77365.0
2024-03-14T16:00:00-04:00,5.305,5.365,5.04,5.09,103423.0
2024-03-15T16:00:00-04:00,5.12,5.21,5.05,5.08,143554.0
2024-03-18T16:00:00-04:00,5.08,5.19,5.04,5.12,89467.0
2024-03-19T16:00:00-04:00,5.05,5.11,4.96,5.03,59500.0
2024-03-20T16:00:00-04:00,5.065,5.265,5.01,5.19,50253.0
2024-03-21T16:00:00-04:00,5.23,5.31,5.2,5.255,89292.0
2024-03-22T16:00:00-04:00,5.235,5.4,5.13,5.22,105995.0
2024-03-25T16:00:00-04:00,5.225,5.415,5.205,5.255,162913.0
2024-03-26T16:00:00-04:00,5.35,5.43,5.295,5.38,126874.0
2024-03-27T16:00:00-04:00,5.36,5.42,5.27,5.41,64683.0
2024-03-28T16:00:00-04:00,5.39,5.43,5.345,5.36,60818.0
2024-04-01T16:00:00-04:00,5.355,5.355,5.13,5.145,100632.0
2024-04-02T16:00:00-04:00,5.035,5.08,4.92,4.925,125462.0
2024-04-03T16:00:00-04:00,4.89,4.98,4.86,4.935,53188.0
2024-04-04T16:00:00-04:00,4.99,5.1,4.87,4.91,94712.0
2024-04-05T16:00:00-04:00,4.865,5.01,4.83,4.92,27435.0
2024-04-08T16:00:00-04:00,4.9,4.97,4.9,4.91,29268.0
2024-04-09T16:00:00-04:00,4.935,4.99,4.91,4.945,27852.0
2024-04-10T16:00:00-04:00,4.75,4.82,4.69,4.72,105591.0
2024-04-11T16:00:00-04:00,4.79,4.915,4.7,4.835,98421.0
2024-04-12T16:00:00-04:00,4.78,4.78,4.58,4.625,155729.0
2024-04-15T16:00:00-04:00,4.65,4.76,4.615,4.68,75243.0
2024-04-16T16:00:00-04:00,4.59,4.715,4.55,4.6,44145.0
2024-04-17T16:00:00-04:00,4.65,4.72,4.61,4.615,58825.0
2024-04-18T16:00:00-04:00,4.585,4.7,4.55,4.585,36744.0
2024-04-19T16:00:00-04:00,4.545,4.67,4.53,4.54,87497.0
2024-04-22T16:00:00-04:00,4.545,4.73,4.51,4.715,71506.0
2024-04-23T16:00:00-04:00,4.72,5.02,4.72,4.88,60845.0
2024-04-24T16:00:00-04:00,4.97,4.99,4.745,4.88,118728.0
