time,open,high,low,close,volume
2024-10-10T09:30:00-04:00,9.52,9.53,9.475,9.475,2755.0
2024-10-10T09:35:00-04:00,9.475,9.49,9.455,9.48,5893.0
2024-10-10T09:40:00-04:00,9.505,9.55,9.5,9.505,5687.0
2024-10-10T09:45:00-04:00,9.51,9.55,9.51,9.55,6697.0
2024-10-10T09:50:00-04:00,9.55,9.6,9.55,9.6,9657.0
2024-10-10T09:55:00-04:00,9.595,9.625,9.595,9.62,1300.0
2024-10-10T10:00:00-04:00,9.625,9.66,9.62,9.625,8226.0
2024-10-10T10:05:00-04:00,9.64,9.64,9.59,9.59,9725.0
2024-10-10T10:10:00-04:00,9.58,9.625,9.58,9.62,6545.0
2024-10-10T10:15:00-04:00,9.64,9.645,9.635,9.635,6398.0
2024-10-10T10:20:00-04:00,9.63,9.64,9.62,9.62,4483.0
2024-10-10T10:25:00-04:00,9.62,9.64,9.62,9.63,4520.0
2024-10-10T10:30:00-04:00,9.63,9.63,9.61,9.62,5543.0
2024-10-10T10:35:00-04:00,9.63,9.63,9.61,9.63,7061.0
2024-10-10T10:40:00-04:00,9.62,9.635,9.62,9.63,4512.0
2024-10-10T10:45:00-04:00,9.63,9.635,9.625,9.625,7806.0
2024-10-10T10:50:00-04:00,9.62,9.63,9.62,9.62,4040.0
2024-10-10T10:55:00-04:00,9.62,9.63,9.62,9.63,1295.0
2024-10-10T11:00:00-04:00,9.62,9.62,9.59,9.59,5691.0
2024-10-10T11:05:00-04:00,9.59,9.615,9.59,9.595,8719.0
2024-10-10T11:10:00-04:00,9.59,9.625,9.59,9.625,9674.0
2024-10-10T11:15:00-04:00,9.63,9.635,9.62,9.63,7300.0
2024-10-10T11:20:00-04:00,9.62,9.63,9.62,9.62,9240.0
2024-10-10T11:25:00-04:00,9.625,9.64,9.625,9.64,13111.0
2024-10-10T11:30:00-04:00,9.63,9.63,9.59,9.59,5606.0
2024-10-10T11:35:00-04:00,9.595,9.6,9.59,9.6,8888.0
2024-10-10T11:40:00-04:00,9.62,9.625,9.62,9.62,6680.0
2024-10-10T11:45:00-04:00,9.62,9.645,9.62,9.64,2548.0
2024-10-10T11:50:00-04:00,9.625,9.64,9.625,9.64,6020.0
2024-10-10T11:55:00-04:00,9.645,9.65,9.64,9.65,9602.0
2024-10-10T12:00:00-04:00,9.65,9.685,9.65,9.68,5033.0
2024-10-10T12:05:00-04:00,9.69,9.69,9.68,9.68,10677.0
2024-10-10T12:10:00-04:00,9.67,9.69,9.67,9.69,3199.0
2024-10-10T12:15:00-04:00,9.69,9.7,9.69,9.69,3099.0
2024-10-10T12:20:00-04:00,9.69,9.69,9.69,9.69,3318.0
2024-10-10T12:25:00-04:00,9.7,9.71,9.7,9.71,4860.0
2024-10-10T12:30:00-04:00,9.71,9.71,9.69,9.69,3964.0
2024-10-10T12:35:00-04:00,9.69,9.69,9.69,9.69,3260.0
2024-10-10T12:40:00-04:00,9.7,9.71,9.7,9.71,4579.0
2024-10-10T12:45:00-04:00,9.69,9.69,9.69,9.69,2192.0
2024-10-10T12:50:00-04:00,9.7,9.7,9.69,9.7,9482.0
2024-10-10T12:55:00-04:00,9.705,9.705,9.69,9.69,2456.0
2024-10-10T13:00:00-04:00,9.7,9.71,9.7,9.705,5907.0
2024-10-10T13:05:00-04:00,9.7,9.7,9.69,9.69,5285.0
2024-10-10T13:10:00-04:00,9.69,9.69,9.68,9.68,3100.0
2024-10-10T13:15:00-04:00,9.7,9.715,9.7,9.715,5060.0
2024-10-10T13:20:00-04:00,9.72,9.72,9.72,9.72,3300.0
2024-10-10T13:25:00-04:00,9.73,9.73,9.72,9.72,4175.0
2024-10-10T13:30:00-04:00,9.73,9.735,9.73,9.73,2159.0
2024-10-10T13:35:00-04:00,9.73,9.745,9.73,9.745,600.0
2024-10-10T13:40:00-04:00,9.75,9.77,9.75,9.77,4368.0
2024-10-10T13:45:00-04:00,9.785,9.8,9.785,9.785,3100.0
2024-10-10T13:50:00-04:00,9.795,9.8,9.78,9.79,2377.0
2024-10-10T13:55:00-04:00,9.785,9.8,9.785,9.8,2824.0
2024-10-10T14:00:00-04:00,9.8,9.805,9.79,9.79,5997.0
2024-10-10T14:05:00-04:00,9.79,9.81,9.79,9.805,6547.0
2024-10-10T14:10:00-04:00,9.805,9.805,9.8,9.805,14591.0
