time,open,high,low,close,volume
2025-01-02T09:45:00-05:00,82.72,82.72,82.72,82.72,130.0
2025-01-02T09:50:00-05:00,82.77,82.77,82.77,82.77,153.0
2025-01-02T10:10:00-05:00,82.68,82.68,82.68,82.68,121.0
2025-01-02T10:15:00-05:00,82.735,82.735,82.735,82.735,230.0
2025-01-02T11:00:00-05:00,82.21,82.21,82.21,82.21,100.0
2025-01-02T11:10:00-05:00,82.19,82.205,82.19,82.205,414.0
2025-01-02T11:20:00-05:00,82.255,82.255,82.255,82.255,100.0
2025-01-02T11:45:00-05:00,82.245,82.245,82.245,82.245,100.0
2025-01-02T12:50:00-05:00,81.59,81.59,81.59,81.59,100.0
2025-01-02T13:05:00-05:00,81.63,81.675,81.63,81.675,201.0
2025-01-02T13:15:00-05:00,81.51,81.51,81.51,81.51,213.0
2025-01-02T13:50:00-05:00,81.55,81.55,81.55,81.55,100.0
2025-01-02T14:05:00-05:00,81.73,81.73,81.73,81.73,162.0
2025-01-02T14:10:00-05:00,81.54,81.54,81.54,81.54,152.0
2025-01-02T14:15:00-05:00,81.49,81.49,81.49,81.49,100.0
2025-01-02T15:05:00-05:00,81.57,81.57,81.57,81.57,100.0
2025-01-02T15:15:00-05:00,81.63,81.63,81.63,81.63,110.0
2025-01-02T15:20:00-05:00,81.71,81.71,81.71,81.71,101.0
2025-01-02T15:25:00-05:00,81.715,81.715,81.715,81.715,100.0
2025-01-02T15:40:00-05:00,81.66,81.66,81.66,81.66,318.0
2025-01-02T15:45:00-05:00,81.64,81.64,81.61,81.63,412.0
2025-01-02T15:50:00-05:00,81.66,81.68,81.66,81.675,1391.0
2025-01-02T15:55:00-05:00,81.73,81.75,81.62,81.65,1594.0
2025-01-03T09:45:00-05:00,82.12,82.12,82.12,82.12,100.0
2025-01-03T10:00:00-05:00,82.25,82.25,82.25,82.25,100.0
2025-01-03T10:15:00-05:00,81.96,81.96,81.96,81.96,105.0
2025-01-03T10:25:00-05:00,81.94,81.94,81.94,81.94,100.0
2025-01-03T10:30:00-05:00,81.93,81.93,81.93,81.93,102.0
2025-01-03T10:35:00-05:00,82.18,82.18,82.18,82.18,100.0
2025-01-03T10:45:00-05:00,82.22,82.22,82.22,82.22,100.0
2025-01-03T10:50:00-05:00,82.25,82.25,82.25,82.25,100.0
2025-01-03T11:00:00-05:00,82.24,82.24,82.24,82.24,100.0
2025-01-03T11:10:00-05:00,82.135,82.135,82.135,82.135,100.0
2025-01-03T11:15:00-05:00,82.205,82.205,82.205,82.205,101.0
2025-01-03T11:20:00-05:00,82.24,82.24,82.21,82.21,200.0
2025-01-03T11:25:00-05:00,82.32,82.325,82.31,82.325,313.0
2025-01-03T11:30:00-05:00,82.365,82.365,82.365,82.365,104.0
2025-01-03T12:00:00-05:00,82.32,82.32,82.32,82.32,104.0
2025-01-03T12:10:00-05:00,82.35,82.35,82.35,82.35,102.0
2025-01-03T12:40:00-05:00,82.325,82.325,82.325,82.325,222.0
2025-01-03T12:55:00-05:00,82.31,82.33,82.31,82.33,200.0
2025-01-03T13:10:00-05:00,82.31,82.31,82.31,82.31,100.0
2025-01-03T13:20:00-05:00,82.405,82.405,82.405,82.405,100.0
2025-01-03T13:25:00-05:00,82.45,82.45,82.45,82.45,171.0
2025-01-03T13:35:00-05:00,82.57,82.57,82.57,82.57,100.0
2025-01-03T13:45:00-05:00,82.59,82.59,82.59,82.59,100.0
2025-01-03T13:50:00-05:00,82.58,82.58,82.58,82.58,100.0
2025-01-03T14:10:00-05:00,82.75,82.75,82.74,82.74,201.0
2025-01-03T14:15:00-05:00,82.73,82.73,82.73,82.73,100.0
2025-01-03T14:45:00-05:00,82.705,82.705,82.705,82.705,100.0
2025-01-03T14:50:00-05:00,82.68,82.68,82.68,82.68,100.0
2025-01-03T15:10:00-05:00,82.705,82.73,82.705,82.73,208.0
2025-01-03T15:15:00-05:00,82.725,82.725,82.725,82.725,100.0
2025-01-03T15:20:00-05:00,82.72,82.745,82.72,82.745,204.0
2025-01-03T15:40:00-05:00,82.645,82.645,82.645,82.645,100.0
2025-01-03T15:45:00-05:00,82.545,82.55,82.545,82.55,210.0
2025-01-03T15:50:00-05:00,82.61,82.61,82.6,82.6,288.0
2025-01-03T15:55:00-05:00,82.625,82.69,82.625,82.69,994.0
2025-01-06T09:30:00-05:00,84.86,85.11,84.86,85.11,525.0
2025-01-06T09:50:00-05:00,85.62,85.62,85.62,85.62,100.0
2025-01-06T09:55:00-05:00,85.605,85.605,85.54,85.54,273.0
2025-01-06T10:00:00-05:00,85.555,85.555,85.555,85.555,136.0
2025-01-06T10:05:00-05:00,85.27,85.27,85.27,85.27,100.0
2025-01-06T10:10:00-05:00,85.13,85.13,85.1,85.1,383.0
2025-01-06T10:15:00-05:00,85.14,85.14,85.14,85.14,116.0
2025-01-06T10:20:00-05:00,85.22,85.22,85.22,85.22,100.0
2025-01-06T10:25:00-05:00,85.29,85.32,85.29,85.32,292.0
2025-01-06T10:30:00-05:00,85.27,85.27,85.27,85.27,100.0
2025-01-06T10:35:00-05:00,85.44,85.44,85.29,85.29,431.0
2025-01-06T10:40:00-05:00,85.33,85.33,85.33,85.33,210.0
2025-01-06T10:45:00-05:00,85.35,85.35,85.335,85.335,210.0
2025-01-06T11:00:00-05:00,85.57,85.57,85.57,85.57,110.0
2025-01-06T11:15:00-05:00,85.73,85.73,85.73,85.73,110.0
2025-01-06T11:25:00-05:00,85.69,85.805,85.69,85.805,446.0
2025-01-06T11:30:00-05:00,85.92,85.92,85.92,85.92,101.0
2025-01-06T12:05:00-05:00,86.06,86.06,86.06,86.06,104.0
2025-01-06T12:35:00-05:00,85.96,85.96,85.96,85.96,100.0
2025-01-06T13:00:00-05:00,85.91,85.91,85.91,85.91,112.0
2025-01-06T13:05:00-05:00,85.93,85.94,85.93,85.94,206.0
2025-01-06T13:15:00-05:00,86.065,86.065,86.065,86.065,100.0
2025-01-06T13:40:00-05:00,86.1,86.1,86.1,86.1,104.0
2025-01-06T13:45:00-05:00,86.1,86.1,86.04,86.065,401.0
2025-01-06T14:00:00-05:00,86.04,86.04,85.985,85.985,550.0
2025-01-06T14:05:00-05:00,85.99,85.99,85.99,85.99,166.0
2025-01-06T14:10:00-05:00,86.02,86.05,86.02,86.05,458.0
2025-01-06T14:15:00-05:00,86.04,86.08,86.04,86.08,411.0
