time,open,high,low,close,volume
2024-10-09T09:35:00-04:00,77.415,77.505,77.415,77.505,463.0
2024-10-09T09:40:00-04:00,77.705,77.715,77.705,77.715,200.0
2024-10-09T09:45:00-04:00,77.69,77.805,77.69,77.805,266.0
2024-10-09T09:50:00-04:00,77.925,77.925,77.925,77.925,100.0
2024-10-09T10:00:00-04:00,78.13,78.13,78.04,78.04,250.0
2024-10-09T10:05:00-04:00,77.91,77.91,77.91,77.91,165.0
2024-10-09T10:20:00-04:00,77.805,77.805,77.805,77.805,100.0
2024-10-09T10:30:00-04:00,77.77,77.77,77.77,77.77,153.0
2024-10-09T10:35:00-04:00,77.85,77.85,77.85,77.85,111.0
2024-10-09T10:45:00-04:00,77.99,78.01,77.99,78.01,200.0
2024-10-09T11:05:00-04:00,77.97,77.97,77.97,77.97,100.0
2024-10-09T11:10:00-04:00,78.0,78.0,78.0,78.0,148.0
2024-10-09T11:20:00-04:00,78.165,78.165,78.165,78.165,332.0
2024-10-09T11:25:00-04:00,78.19,78.19,78.19,78.19,140.0
2024-10-09T11:40:00-04:00,78.3,78.3,78.3,78.3,100.0
2024-10-09T11:50:00-04:00,78.44,78.44,78.44,78.44,100.0
2024-10-09T11:55:00-04:00,78.43,78.43,78.43,78.43,161.0
2024-10-09T12:35:00-04:00,78.32,78.32,78.32,78.32,100.0
2024-10-09T12:40:00-04:00,78.26,78.26,78.26,78.26,100.0
2024-10-09T13:00:00-04:00,78.155,78.155,78.13,78.13,340.0
2024-10-09T13:05:00-04:00,78.13,78.13,78.13,78.13,100.0
2024-10-09T13:40:00-04:00,78.18,78.18,78.18,78.18,242.0
2024-10-09T13:50:00-04:00,78.31,78.32,78.24,78.24,706.0
2024-10-09T14:05:00-04:00,78.32,78.32,78.32,78.32,201.0
2024-10-09T14:10:00-04:00,78.31,78.31,78.31,78.31,101.0
2024-10-09T14:15:00-04:00,78.31,78.31,78.31,78.31,121.0
2024-10-09T14:20:00-04:00,78.29,78.29,78.29,78.29,102.0
2024-10-09T14:25:00-04:00,78.18,78.18,78.125,78.125,554.0
2024-10-09T14:30:00-04:00,78.11,78.145,78.11,78.145,416.0
2024-10-09T14:40:00-04:00,78.21,78.21,78.21,78.21,250.0
2024-10-09T14:50:00-04:00,78.22,78.22,78.22,78.22,102.0
2024-10-09T14:55:00-04:00,78.2,78.2,78.145,78.145,235.0
2024-10-09T15:00:00-04:00,78.18,78.18,78.18,78.18,101.0
2024-10-09T15:05:00-04:00,78.17,78.17,78.17,78.17,320.0
2024-10-09T15:20:00-04:00,78.17,78.17,78.17,78.17,100.0
2024-10-09T15:30:00-04:00,78.13,78.13,78.13,78.13,163.0
2024-10-09T15:35:00-04:00,78.14,78.21,78.14,78.21,300.0
2024-10-09T15:40:00-04:00,78.11,78.11,78.11,78.11,100.0
2024-10-09T15:45:00-04:00,78.165,78.18,78.155,78.155,310.0
2024-10-09T15:50:00-04:00,78.19,78.34,78.19,78.34,361.0
2024-10-09T15:55:00-04:00,78.32,78.345,78.26,78.27,3700.0
2024-10-10T09:45:00-04:00,78.47,78.495,78.455,78.495,600.0
2024-10-10T09:50:00-04:00,78.52,78.63,78.52,78.63,400.0
2024-10-10T10:00:00-04:00,78.28,78.42,78.28,78.41,550.0
2024-10-10T10:05:00-04:00,78.46,78.61,78.46,78.61,605.0
2024-10-10T10:10:00-04:00,78.495,78.495,78.26,78.26,300.0
2024-10-10T10:15:00-04:00,78.23,78.26,78.2,78.21,501.0
2024-10-10T10:20:00-04:00,78.3,78.3,78.3,78.3,100.0
2024-10-10T10:30:00-04:00,78.13,78.14,78.13,78.14,211.0
2024-10-10T10:35:00-04:00,78.305,78.305,78.305,78.305,100.0
2024-10-10T10:40:00-04:00,78.325,78.325,78.25,78.25,200.0
2024-10-10T10:50:00-04:00,78.13,78.13,78.13,78.13,210.0
2024-10-10T10:55:00-04:00,78.13,78.13,78.12,78.12,219.0
2024-10-10T11:05:00-04:00,78.175,78.175,78.175,78.175,100.0
2024-10-10T11:10:00-04:00,78.27,78.27,78.27,78.27,100.0
2024-10-10T11:15:00-04:00,78.32,78.32,78.32,78.32,308.0
2024-10-10T11:20:00-04:00,78.325,78.325,78.32,78.32,543.0
2024-10-10T11:25:00-04:00,78.2,78.2,78.2,78.2,100.0
2024-10-10T11:30:00-04:00,78.22,78.22,78.185,78.185,325.0
2024-10-10T11:35:00-04:00,78.13,78.13,78.11,78.11,543.0
2024-10-10T11:45:00-04:00,78.14,78.14,78.14,78.14,100.0
2024-10-10T11:50:00-04:00,78.105,78.105,78.105,78.105,100.0
2024-10-10T12:00:00-04:00,78.07,78.07,78.02,78.035,333.0
2024-10-10T12:05:00-04:00,77.99,78.065,77.99,78.065,300.0
2024-10-10T12:15:00-04:00,78.04,78.04,78.04,78.04,100.0
2024-10-10T12:20:00-04:00,78.1,78.1,78.1,78.1,175.0
2024-10-10T12:25:00-04:00,78.09,78.09,78.09,78.09,100.0
2024-10-10T12:40:00-04:00,77.97,77.97,77.95,77.95,503.0
2024-10-10T12:45:00-04:00,77.995,77.995,77.995,77.995,100.0
2024-10-10T12:50:00-04:00,78.03,78.03,78.03,78.03,100.0
2024-10-10T12:55:00-04:00,78.055,78.055,78.005,78.005,201.0
2024-10-10T13:00:00-04:00,77.92,77.92,77.92,77.92,140.0
2024-10-10T13:05:00-04:00,77.93,77.95,77.93,77.94,700.0
2024-10-10T13:10:00-04:00,77.93,77.93,77.93,77.93,100.0
2024-10-10T13:15:00-04:00,77.94,77.94,77.93,77.93,200.0
2024-10-10T13:25:00-04:00,78.0,78.0,78.0,78.0,100.0
2024-10-10T13:35:00-04:00,78.03,78.03,78.01,78.01,305.0
2024-10-10T13:40:00-04:00,77.96,77.96,77.94,77.94,209.0
2024-10-10T13:45:00-04:00,77.99,77.99,77.99,77.99,134.0
2024-10-10T13:50:00-04:00,77.99,77.99,77.99,77.99,100.0
2024-10-10T13:55:00-04:00,78.02,78.02,78.02,78.02,125.0
2024-10-10T14:00:00-04:00,78.055,78.055,78.055,78.055,100.0
2024-10-10T14:05:00-04:00,77.99,77.99,77.99,77.99,230.0
2024-10-10T14:10:00-04:00,78.01,78.01,78.01,78.01,383.0
2024-10-10T14:15:00-04:00,77.98,77.98,77.98,77.98,100.0
2024-10-10T14:20:00-04:00,77.93,77.93,77.93,77.93,109.0
2024-10-10T14:30:00-04:00,77.88,77.88,77.87,77.87,405.0
2024-10-10T14:35:00-04:00,77.89,77.93,77.89,77.93,364.0
2024-10-10T14:40:00-04:00,77.93,77.93,77.92,77.92,253.0
2024-10-10T14:45:00-04:00,77.97,77.97,77.97,77.97,126.0
2024-10-10T14:50:00-04:00,77.91,77.91,77.91,77.91,105.0
2024-10-10T14:55:00-04:00,77.93,77.98,77.93,77.97,1196.0
2024-10-10T15:00:00-04:00,77.97,77.97,77.965,77.965,251.0
2024-10-10T15:10:00-04:00,78.02,78.02,78.02,78.02,101.0
2024-10-10T15:20:00-04:00,77.99,78.0,77.98,77.98,853.0
2024-10-10T15:25:00-04:00,78.015,78.015,77.995,78.0,506.0
2024-10-10T15:30:00-04:00,78.0,78.0,78.0,78.0,100.0
2024-10-10T15:35:00-04:00,78.05,78.05,78.05,78.05,707.0
2024-10-10T15:40:00-04:00,78.06,78.07,78.06,78.07,202.0
2024-10-10T15:45:00-04:00,78.05,78.05,78.05,78.05,102.0
2024-10-10T15:50:00-04:00,78.045,78.18,78.045,78.18,552.0
2024-10-10T15:55:00-04:00,78.19,78.235,78.18,78.2,2491.0
2024-10-11T09:45:00-04:00,79.22,79.22,79.08,79.08,200.0
2024-10-11T09:55:00-04:00,79.295,79.35,79.295,79.31,720.0
2024-10-11T10:00:00-04:00,79.36,79.36,79.305,79.31,1621.0
2024-10-11T10:05:00-04:00,79.32,79.32,79.32,79.32,260.0
2024-10-11T10:10:00-04:00,79.29,79.29,79.29,79.29,131.0
2024-10-11T10:15:00-04:00,79.46,79.495,79.46,79.495,300.0
2024-10-11T10:20:00-04:00,79.42,79.565,79.42,79.565,419.0
2024-10-11T10:25:00-04:00,79.62,79.62,79.62,79.62,100.0
2024-10-11T10:30:00-04:00,79.72,79.72,79.65,79.65,548.0
2024-10-11T10:45:00-04:00,79.645,79.67,79.64,79.67,461.0
2024-10-11T10:50:00-04:00,79.72,79.72,79.71,79.71,283.0
2024-10-11T10:55:00-04:00,79.615,79.63,79.61,79.63,401.0
2024-10-11T11:05:00-04:00,79.575,79.66,79.575,79.66,300.0
2024-10-11T11:10:00-04:00,79.64,79.65,79.64,79.65,295.0
2024-10-11T11:20:00-04:00,79.74,79.74,79.7,79.7,299.0
2024-10-11T11:25:00-04:00,79.66,79.665,79.59,79.615,728.0
2024-10-11T11:30:00-04:00,79.64,79.64,79.56,79.56,207.0
2024-10-11T11:35:00-04:00,79.58,79.58,79.58,79.58,100.0
2024-10-11T11:40:00-04:00,79.54,79.55,79.54,79.55,258.0
2024-10-11T11:45:00-04:00,79.48,79.48,79.42,79.42,351.0
2024-10-11T11:50:00-04:00,79.415,79.415,79.395,79.4,335.0
2024-10-11T11:55:00-04:00,79.4,79.4,79.34,79.34,364.0
2024-10-11T12:00:00-04:00,79.39,79.43,79.39,79.43,252.0
2024-10-11T12:05:00-04:00,79.5,79.5,79.455,79.46,617.0
2024-10-11T12:15:00-04:00,79.5,79.5,79.485,79.485,302.0
2024-10-11T12:20:00-04:00,79.42,79.42,79.42,79.42,437.0
2024-10-11T12:25:00-04:00,79.365,79.395,79.365,79.395,202.0
2024-10-11T12:30:00-04:00,79.4,79.4,79.4,79.4,105.0
2024-10-11T12:35:00-04:00,79.385,79.385,79.33,79.33,501.0
2024-10-11T12:40:00-04:00,79.35,79.35,79.35,79.35,100.0
2024-10-11T12:45:00-04:00,79.31,79.31,79.23,79.23,313.0
2024-10-11T12:50:00-04:00,79.22,79.22,79.22,79.22,123.0
2024-10-11T13:00:00-04:00,79.325,79.325,79.26,79.265,430.0
2024-10-11T13:05:00-04:00,79.27,79.27,79.27,79.27,200.0
2024-10-11T13:10:00-04:00,79.3,79.3,79.29,79.29,365.0
2024-10-11T13:15:00-04:00,79.28,79.28,79.28,79.28,100.0
2024-10-11T13:20:00-04:00,79.27,79.27,79.25,79.25,200.0
2024-10-11T13:25:00-04:00,79.27,79.27,79.27,79.27,200.0
2024-10-11T13:30:00-04:00,79.26,79.27,79.26,79.27,223.0
2024-10-11T13:35:00-04:00,79.24,79.3,79.24,79.3,426.0
2024-10-11T13:40:00-04:00,79.28,79.28,79.27,79.27,229.0
2024-10-11T13:45:00-04:00,79.34,79.34,79.34,79.34,105.0
2024-10-11T13:50:00-04:00,79.31,79.31,79.31,79.31,100.0
2024-10-11T13:55:00-04:00,79.3,79.3,79.3,79.3,195.0
2024-10-11T14:00:00-04:00,79.32,79.32,79.32,79.32,147.0
2024-10-11T14:05:00-04:00,79.335,79.335,79.335,79.335,101.0
2024-10-11T14:10:00-04:00,79.25,79.255,79.25,79.255,201.0
2024-10-11T14:15:00-04:00,79.29,79.3,79.285,79.3,428.0
2024-10-11T14:20:00-04:00,79.265,79.27,79.265,79.27,519.0
2024-10-11T14:25:00-04:00,79.24,79.24,79.24,79.24,200.0
2024-10-11T14:30:00-04:00,79.24,79.24,79.24,79.24,101.0
2024-10-11T14:35:00-04:00,79.16,79.16,79.16,79.16,180.0
2024-10-11T14:45:00-04:00,79.14,79.15,79.13,79.13,547.0
2024-10-11T14:50:00-04:00,79.1,79.1,79.1,79.1,120.0
2024-10-11T15:00:00-04:00,79.16,79.23,79.16,79.23,300.0
2024-10-11T15:05:00-04:00,79.21,79.25,79.21,79.25,353.0
2024-10-11T15:15:00-04:00,79.25,79.28,79.25,79.28,331.0
2024-10-11T15:25:00-04:00,79.27,79.27,79.26,79.26,400.0
2024-10-11T15:30:00-04:00,79.33,79.33,79.33,79.33,100.0
2024-10-11T15:35:00-04:00,79.35,79.35,79.35,79.35,138.0
2024-10-11T15:40:00-04:00,79.3,79.315,79.3,79.315,337.0
2024-10-11T15:45:00-04:00,79.34,79.34,79.32,79.32,209.0
2024-10-11T15:50:00-04:00,79.35,79.37,79.35,79.37,432.0
2024-10-11T15:55:00-04:00,79.39,79.41,79.32,79.36,2365.0
2024-10-14T09:40:00-04:00,79.045,79.045,79.045,79.045,100.0
2024-10-14T09:45:00-04:00,79.12,79.15,79.12,79.15,200.0
2024-10-14T09:55:00-04:00,79.27,79.27,79.27,79.27,104.0
2024-10-14T10:00:00-04:00,79.3,79.3,79.3,79.3,120.0
2024-10-14T10:10:00-04:00,79.39,79.39,79.39,79.39,100.0
2024-10-14T10:15:00-04:00,79.51,79.64,79.51,79.64,229.0
2024-10-14T10:30:00-04:00,79.54,79.54,79.54,79.54,209.0
2024-10-14T10:35:00-04:00,79.66,79.66,79.66,79.66,100.0
2024-10-14T10:45:00-04:00,79.63,79.63,79.63,79.63,125.0
2024-10-14T10:55:00-04:00,79.82,79.82,79.82,79.82,148.0
2024-10-14T11:05:00-04:00,79.87,79.87,79.87,79.87,198.0
2024-10-14T11:20:00-04:00,79.9,79.9,79.9,79.9,140.0
