time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,27.93,28.225,27.51,27.66,31293.0
2024-11-05T16:00:00-05:00,27.42,27.66,26.845,27.65,17385.0
2024-11-06T16:00:00-05:00,28.96,29.565,28.515,29.21,37283.0
2024-11-07T16:00:00-05:00,28.95,29.68,28.95,29.64,32914.0
2024-11-08T16:00:00-05:00,29.46,29.89,29.18,29.59,23762.0
2024-11-11T16:00:00-05:00,29.6,29.89,29.535,29.78,39793.0
2024-11-12T16:00:00-05:00,29.775,29.935,29.25,29.71,29542.0
2024-11-13T16:00:00-05:00,30.03,30.035,29.52,29.78,22396.0
2024-11-14T16:00:00-05:00,29.49,30.045,28.835,29.46,43920.0
2024-11-15T16:00:00-05:00,29.43,29.43,28.935,29.09,16678.0
2024-11-18T16:00:00-05:00,28.96,29.395,28.78,28.8,21981.0
2024-11-19T16:00:00-05:00,28.32,28.32,27.72,28.13,32790.0
2024-11-20T16:00:00-05:00,27.435,27.53,26.655,26.79,35203.0
2024-11-21T16:00:00-05:00,26.535,27.07,26.47,26.77,14212.0
2024-11-22T16:00:00-05:00,27.195,27.27,26.885,27.02,24537.0
2024-11-25T16:00:00-05:00,27.67,28.28,27.445,28.28,44803.0
2024-11-26T16:00:00-05:00,27.63,27.995,27.405,27.75,31805.0
2024-11-27T16:00:00-05:00,28.06,28.7,27.97,28.21,22955.0
2024-11-29T16:00:00-05:00,27.78,28.245,27.78,28.14,12481.0
2024-12-02T16:00:00-05:00,28.07,28.47,27.675,28.35,21685.0
2024-12-03T16:00:00-05:00,27.89,27.89,27.12,27.57,31965.0
2024-12-04T16:00:00-05:00,27.53,27.86,27.405,27.66,13833.0
2024-12-05T16:00:00-05:00,27.475,27.475,26.8,26.8,22080.0
2024-12-06T16:00:00-05:00,27.16,27.37,26.71,27.14,53368.0
2024-12-09T16:00:00-05:00,27.25,27.67,27.22,27.55,16508.0
2024-12-10T16:00:00-05:00,27.14,27.83,27.14,27.57,19877.0
2024-12-11T16:00:00-05:00,27.81,27.945,27.335,27.5,26978.0
2024-12-12T16:00:00-05:00,27.5,27.615,26.65,26.65,29078.0
2024-12-13T16:00:00-05:00,26.815,26.88,25.85,25.93,17564.0
2024-12-16T16:00:00-05:00,25.915,26.345,25.81,26.01,21967.0
2024-12-17T16:00:00-05:00,26.18,26.25,25.69,25.74,19911.0
2024-12-18T16:00:00-05:00,26.355,26.355,24.79,24.89,25408.0
2024-12-19T16:00:00-05:00,25.7,25.7,24.76,25.2,31717.0
2024-12-20T16:00:00-05:00,24.97,25.87,24.97,25.19,73025.0
2024-12-23T16:00:00-05:00,25.105,25.33,25.105,25.24,1493.0
2024-12-24T16:00:00-05:00,24.965,25.2,24.88,25.19,10782.0
2024-12-26T16:00:00-05:00,24.935,25.25,24.935,25.15,15211.0
2024-12-27T16:00:00-05:00,25.145,25.2,24.65,24.73,9770.0
2024-12-30T16:00:00-05:00,24.505,24.565,24.33,24.37,22981.0
2024-12-31T16:00:00-05:00,24.7,24.845,24.54,24.81,19448.0
2025-01-02T16:00:00-05:00,25.0,25.11,24.47,24.54,18860.0
2025-01-03T16:00:00-05:00,24.58,24.58,23.93,24.19,27926.0
2025-01-06T16:00:00-05:00,24.41,24.41,23.28,23.54,31735.0
2025-01-07T16:00:00-05:00,23.4,23.4,22.45,22.8,28736.0
2025-01-08T16:00:00-05:00,22.44,22.605,22.2,22.2,18522.0
2025-01-10T16:00:00-05:00,21.76,22.16,21.615,21.96,31342.0
2025-01-13T16:00:00-05:00,21.56,21.9,21.55,21.86,18216.0
2025-01-14T16:00:00-05:00,21.975,22.0,21.705,21.9,16136.0
2025-01-15T16:00:00-05:00,22.47,22.59,22.08,22.08,19135.0
2025-01-16T16:00:00-05:00,22.09,22.09,21.665,21.83,43443.0
2025-01-17T16:00:00-05:00,22.08,22.08,21.565,21.59,50350.0
2025-01-21T16:00:00-05:00,21.605,22.15,21.56,21.88,24772.0
2025-01-22T16:00:00-05:00,21.555,21.74,21.19,21.66,25510.0
2025-01-23T16:00:00-05:00,21.415,21.86,21.415,21.57,28906.0
2025-01-24T16:00:00-05:00,21.74,22.115,21.715,21.99,38112.0
2025-01-27T16:00:00-05:00,21.99,22.45,21.82,21.92,46741.0
2025-01-28T16:00:00-05:00,21.78,22.11,21.45,22.0,106738.0
2025-01-29T16:00:00-05:00,20.2,21.06,19.385,20.305,226950.0
2025-01-30T16:00:00-05:00,20.345,20.345,18.955,19.61,99067.0
2025-01-31T16:00:00-05:00,19.29,20.025,19.03,19.64,69447.0
2025-02-03T16:00:00-05:00,18.99,19.34,18.475,18.565,65716.0
2025-02-04T16:00:00-05:00,18.44,19.04,18.44,18.85,41726.0
2025-02-05T16:00:00-05:00,18.835,19.19,18.795,19.18,38328.0
2025-02-06T16:00:00-05:00,19.65,20.115,19.58,19.74,39341.0
2025-02-07T16:00:00-05:00,19.4,19.4,18.75,18.92,55420.0
2025-02-10T16:00:00-05:00,19.16,19.57,19.025,19.53,31387.0
2025-02-11T16:00:00-05:00,19.285,19.65,18.97,19.64,63048.0
2025-02-12T16:00:00-05:00,19.495,19.72,18.975,19.14,28855.0
2025-02-13T16:00:00-05:00,19.31,19.575,19.1,19.12,24661.0
2025-02-14T16:00:00-05:00,19.645,19.805,19.53,19.77,30245.0
2025-02-18T16:00:00-05:00,19.86,19.86,19.345,19.405,23336.0
2025-02-19T16:00:00-05:00,19.195,19.46,19.02,19.28,24769.0
