time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,26.19,26.72,26.13,26.695,28739.0
2024-11-05T16:00:00-05:00,26.72,27.77,26.715,27.65,29327.0
2024-11-06T16:00:00-05:00,29.17,29.89,28.845,29.32,28364.0
2024-11-07T16:00:00-05:00,29.05,29.2,28.27,28.275,16050.0
2024-11-08T16:00:00-05:00,28.315,28.76,28.315,28.48,15558.0
2024-11-11T16:00:00-05:00,29.5,30.2,29.5,29.64,14382.0
2024-11-12T16:00:00-05:00,29.735,29.925,28.9,29.075,18652.0
2024-11-13T16:00:00-05:00,29.72,32.775,29.72,30.43,27388.0
2024-11-14T16:00:00-05:00,30.55,30.55,29.07,29.405,34430.0
2024-11-15T16:00:00-05:00,29.505,29.65,29.07,29.45,7346.0
2024-11-18T16:00:00-05:00,29.46,29.68,28.7,28.9,20566.0
2024-11-19T16:00:00-05:00,29.265,29.85,29.265,29.695,7148.0
2024-11-20T16:00:00-05:00,29.505,30.3,29.39,30.3,23655.0
2024-11-21T16:00:00-05:00,30.705,31.375,30.7,31.3,29184.0
2024-11-22T16:00:00-05:00,31.83,32.035,31.28,31.455,40749.0
2024-11-25T16:00:00-05:00,31.885,32.49,31.07,31.215,34097.0
2024-11-26T16:00:00-05:00,30.785,32.38,30.5,32.21,23884.0
2024-11-27T16:00:00-05:00,32.555,33.585,32.34,32.635,16200.0
2024-11-29T16:00:00-05:00,32.76,33.06,32.52,32.8,8905.0
2024-12-02T16:00:00-05:00,33.015,33.905,33.015,33.78,9042.0
2024-12-03T16:00:00-05:00,33.67,33.925,32.73,32.98,6462.0
2024-12-04T16:00:00-05:00,33.425,34.765,33.415,34.435,22153.0
2024-12-05T16:00:00-05:00,34.345,34.395,33.935,34.03,9010.0
2024-12-06T16:00:00-05:00,34.095,34.095,33.225,33.37,17485.0
2024-12-09T16:00:00-05:00,33.625,34.46,33.26,33.27,29269.0
2024-12-10T16:00:00-05:00,33.385,34.845,33.225,34.31,55785.0
2024-12-11T16:00:00-05:00,34.305,34.58,33.94,34.05,22505.0
2024-12-12T16:00:00-05:00,34.06,34.325,33.68,33.83,31372.0
2024-12-13T16:00:00-05:00,34.04,34.2,33.23,33.28,18878.0
2024-12-16T16:00:00-05:00,33.12,33.86,33.115,33.52,12123.0
2024-12-17T16:00:00-05:00,33.35,33.47,32.64,32.885,14792.0
2024-12-18T16:00:00-05:00,33.19,33.3,31.64,31.81,18070.0
2024-12-19T16:00:00-05:00,32.25,32.73,31.28,31.82,16028.0
2024-12-20T16:00:00-05:00,31.78,32.41,31.78,32.22,21789.0
2024-12-23T16:00:00-05:00,33.205,33.835,32.885,33.835,1515.0
2024-12-24T16:00:00-05:00,33.96,34.19,33.86,34.19,7014.0
2024-12-26T16:00:00-05:00,34.18,35.46,34.18,35.4,7753.0
2024-12-27T16:00:00-05:00,34.5,34.5,33.78,34.24,9611.0
2024-12-30T16:00:00-05:00,33.5,34.145,33.42,33.46,12463.0
2024-12-31T16:00:00-05:00,33.85,34.16,33.81,33.94,6650.0
2025-01-02T16:00:00-05:00,34.46,34.88,33.98,34.11,9645.0
2025-01-03T16:00:00-05:00,34.54,35.06,34.31,34.98,7885.0
2025-01-06T16:00:00-05:00,34.87,35.09,34.0,34.02,18615.0
2025-01-07T16:00:00-05:00,34.06,34.17,33.15,33.52,12502.0
2025-01-08T16:00:00-05:00,33.26,33.37,32.64,33.005,14943.0
2025-01-10T16:00:00-05:00,32.17,32.17,30.765,31.99,15196.0
2025-01-13T16:00:00-05:00,31.595,31.825,31.435,31.73,7641.0
2025-01-14T16:00:00-05:00,31.95,32.14,30.995,31.24,15104.0
2025-01-15T16:00:00-05:00,32.605,32.99,32.28,32.69,11943.0
