time,open,high,low,close,volume
2025-09-04T09:30:00-04:00,65.54,66.12,65.1,65.91,2470.0
2025-09-04T09:35:00-04:00,66.285,66.35,65.58,65.58,2896.0
2025-09-04T09:40:00-04:00,65.375,65.375,64.41,64.67,3563.0
2025-09-04T09:45:00-04:00,64.82,64.93,64.53,64.78,8783.0
2025-09-04T09:50:00-04:00,64.79,65.06,64.79,64.935,7002.0
2025-09-04T09:55:00-04:00,64.88,65.24,64.61,65.24,4248.0
2025-09-04T10:00:00-04:00,65.24,65.47,65.06,65.06,8233.0
2025-09-04T10:05:00-04:00,64.86,64.98,64.68,64.885,1262.0
2025-09-04T10:10:00-04:00,65.03,65.225,64.97,65.17,1025.0
2025-09-04T10:15:00-04:00,64.81,64.95,64.81,64.95,201.0
2025-09-04T10:20:00-04:00,65.25,65.42,65.03,65.39,4740.0
2025-09-04T10:25:00-04:00,65.5,65.59,65.2,65.2,4578.0
2025-09-04T10:30:00-04:00,65.245,65.42,65.22,65.34,652.0
2025-09-04T10:35:00-04:00,65.35,65.77,65.35,65.61,4743.0
2025-09-04T10:40:00-04:00,65.49,65.65,65.42,65.65,1538.0
2025-09-04T10:45:00-04:00,65.43,65.455,65.43,65.455,268.0
2025-09-04T10:50:00-04:00,65.58,65.81,65.51,65.81,1859.0
2025-09-04T10:55:00-04:00,65.64,65.64,65.47,65.47,1149.0
2025-09-04T11:00:00-04:00,65.61,65.64,65.43,65.59,4298.0
2025-09-04T11:05:00-04:00,65.56,65.62,65.1,65.215,5102.0
2025-09-04T11:10:00-04:00,65.225,65.225,64.79,64.815,2001.0
2025-09-04T11:15:00-04:00,64.725,64.88,64.71,64.85,4557.0
2025-09-04T11:20:00-04:00,64.955,65.1,64.93,65.0,1625.0
2025-09-04T11:25:00-04:00,64.99,65.105,64.96,65.09,654.0
2025-09-04T11:30:00-04:00,65.1,65.1,64.92,64.98,827.0
2025-09-04T11:35:00-04:00,65.1,65.1,64.965,64.965,420.0
2025-09-04T11:40:00-04:00,65.17,65.17,65.15,65.15,200.0
