time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,5.23,5.285,5.23,5.26,26583.0
2024-11-05T16:00:00-05:00,5.61,5.695,5.51,5.6,163003.0
2024-11-06T16:00:00-05:00,5.675,5.68,5.57,5.67,42526.0
2024-11-07T16:00:00-05:00,5.74,5.785,5.74,5.755,50992.0
2024-11-08T16:00:00-05:00,5.875,5.875,5.81,5.85,71432.0
2024-11-11T16:00:00-05:00,5.87,5.915,5.87,5.89,17296.0
2024-11-12T16:00:00-05:00,5.93,5.94,5.84,5.87,73780.0
2024-11-13T16:00:00-05:00,5.79,5.805,5.75,5.75,36804.0
2024-11-14T16:00:00-05:00,5.865,5.935,5.86,5.9,73533.0
2024-11-15T16:00:00-05:00,5.835,5.88,5.82,5.85,71598.0
2024-11-18T16:00:00-05:00,5.93,6.035,5.93,6.02,51437.0
2024-11-19T16:00:00-05:00,5.97,6.055,5.97,6.03,30698.0
2024-11-20T16:00:00-05:00,5.99,5.99,5.94,5.96,22026.0
2024-11-21T16:00:00-05:00,6.015,6.09,6.01,6.06,27441.0
2024-11-22T16:00:00-05:00,6.005,6.065,6.005,6.06,15724.0
2024-11-25T16:00:00-05:00,6.06,6.09,6.02,6.08,16049.0
2024-11-26T16:00:00-05:00,6.0,6.0,5.945,5.97,16740.0
2024-11-27T16:00:00-05:00,5.945,5.955,5.91,5.935,13283.0
2024-11-29T16:00:00-05:00,6.0,6.075,6.0,6.075,16865.0
2024-12-02T16:00:00-05:00,6.14,6.22,6.135,6.175,22112.0
2024-12-03T16:00:00-05:00,6.235,6.26,6.215,6.26,30754.0
2024-12-04T16:00:00-05:00,6.175,6.21,6.175,6.185,39632.0
2024-12-05T16:00:00-05:00,6.255,6.26,6.24,6.25,19538.0
2024-12-06T16:00:00-05:00,6.195,6.2,6.14,6.155,20085.0
2024-12-09T16:00:00-05:00,6.18,6.18,6.1,6.11,27979.0
2024-12-10T16:00:00-05:00,6.06,6.095,6.04,6.04,19046.0
2024-12-11T16:00:00-05:00,6.11,6.135,6.075,6.13,16575.0
2024-12-12T16:00:00-05:00,6.025,6.035,5.995,6.0,10027.0
2024-12-13T16:00:00-05:00,5.965,5.985,5.95,5.955,13013.0
2024-12-16T16:00:00-05:00,5.91,5.95,5.9,5.92,14873.0
2024-12-17T16:00:00-05:00,5.76,5.79,5.75,5.75,20159.0
2024-12-18T16:00:00-05:00,5.89,5.935,5.68,5.695,17673.0
2024-12-19T16:00:00-05:00,5.74,5.79,5.68,5.7,17035.0
2024-12-20T16:00:00-05:00,5.68,5.775,5.68,5.73,12664.0
2024-12-23T16:00:00-05:00,5.74,5.74,5.7,5.71,3887.0
2024-12-24T16:00:00-05:00,5.79,5.795,5.765,5.79,11517.0
2024-12-26T16:00:00-05:00,5.81,5.87,5.81,5.86,31119.0
2024-12-27T16:00:00-05:00,5.89,5.89,5.83,5.85,12128.0
2024-12-30T16:00:00-05:00,5.81,5.83,5.77,5.82,47787.0
2024-12-31T16:00:00-05:00,5.83,5.83,5.78,5.79,14702.0
2025-01-02T16:00:00-05:00,5.8,5.85,5.765,5.81,22336.0
2025-01-03T16:00:00-05:00,5.84,5.85,5.79,5.84,15115.0
2025-01-06T16:00:00-05:00,5.845,5.9,5.82,5.825,12060.0
2025-01-07T16:00:00-05:00,5.89,5.89,5.78,5.8,29621.0
2025-01-08T16:00:00-05:00,5.685,5.76,5.675,5.76,23635.0
2025-01-10T16:00:00-05:00,5.645,5.65,5.56,5.56,14447.0
2025-01-13T16:00:00-05:00,5.57,5.59,5.545,5.58,33374.0
2025-01-14T16:00:00-05:00,5.65,5.68,5.635,5.66,27723.0
2025-01-15T16:00:00-05:00,5.75,5.77,5.71,5.755,26622.0
2025-01-16T16:00:00-05:00,5.87,5.88,5.85,5.87,21990.0
2025-01-17T16:00:00-05:00,5.98,5.99,5.96,5.985,34588.0
2025-01-21T16:00:00-05:00,6.085,6.14,6.075,6.135,28962.0
2025-01-22T16:00:00-05:00,6.165,6.185,6.1,6.1,60752.0
2025-01-23T16:00:00-05:00,6.085,6.15,6.085,6.15,57153.0
2025-01-24T16:00:00-05:00,6.22,6.27,6.22,6.265,17998.0
2025-01-27T16:00:00-05:00,6.285,6.3,6.25,6.3,45947.0
2025-01-28T16:00:00-05:00,6.355,6.43,6.35,6.37,36090.0
2025-01-29T16:00:00-05:00,6.42,6.45,6.4,6.41,67549.0
2025-01-30T16:00:00-05:00,6.43,6.495,6.43,6.45,12623.0
2025-01-31T16:00:00-05:00,6.555,6.56,6.47,6.485,16068.0
2025-02-03T16:00:00-05:00,6.39,6.46,6.36,6.46,25798.0
