time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,17.8,17.8,16.82,16.92,361148.0
2024-11-05T16:00:00-05:00,16.7,16.7,15.99,16.45,308482.0
2024-11-06T16:00:00-05:00,16.74,16.75,15.735,15.79,280617.0
2024-11-07T16:00:00-05:00,15.94,16.34,15.94,16.13,152053.0
2024-11-08T16:00:00-05:00,16.24,16.26,15.955,16.03,96692.0
2024-11-11T16:00:00-05:00,16.15,16.44,16.05,16.09,144737.0
2024-11-12T16:00:00-05:00,15.67,15.67,15.245,15.58,187630.0
2024-11-13T16:00:00-05:00,15.7,15.845,15.475,15.6,119995.0
2024-11-14T16:00:00-05:00,15.7,15.8,15.25,15.3,84758.0
2024-11-15T16:00:00-05:00,15.28,15.32,14.855,15.03,94198.0
2024-11-18T16:00:00-05:00,14.85,15.15,14.82,15.1,110451.0
2024-11-19T16:00:00-05:00,14.925,14.95,14.385,14.58,126423.0
2024-11-20T16:00:00-05:00,14.57,14.77,14.46,14.73,138048.0
2024-11-21T16:00:00-05:00,14.77,15.04,14.755,14.88,80499.0
2024-11-22T16:00:00-05:00,15.0,15.465,14.98,15.285,164694.0
2024-11-25T16:00:00-05:00,15.49,16.285,15.49,16.17,256891.0
2024-11-26T16:00:00-05:00,16.15,16.17,15.67,15.8,160002.0
2024-11-27T16:00:00-05:00,16.075,16.15,15.89,15.99,107744.0
2024-11-29T16:00:00-05:00,16.06,16.11,15.725,15.875,55696.0
2024-12-02T16:00:00-05:00,15.8,15.8,15.34,15.57,158973.0
2024-12-03T16:00:00-05:00,15.52,15.73,15.5,15.67,40009.0
2024-12-04T16:00:00-05:00,15.61,15.61,15.28,15.35,87912.0
2024-12-05T16:00:00-05:00,15.31,15.69,15.265,15.545,126880.0
2024-12-06T16:00:00-05:00,15.64,15.75,15.07,15.115,130844.0
2024-12-09T16:00:00-05:00,15.115,15.3,15.015,15.05,127451.0
2024-12-10T16:00:00-05:00,14.925,15.61,14.805,15.12,153139.0
2024-12-11T16:00:00-05:00,15.15,15.775,15.02,15.695,210120.0
2024-12-12T16:00:00-05:00,15.55,15.92,15.32,15.37,173888.0
2024-12-13T16:00:00-05:00,15.2,15.4,14.76,15.31,308037.0
2024-12-16T16:00:00-05:00,15.18,15.38,14.57,14.58,158828.0
2024-12-17T16:00:00-05:00,14.53,14.81,14.53,14.77,159781.0
2024-12-18T16:00:00-05:00,14.795,15.145,14.5,14.5,141954.0
2024-12-19T16:00:00-05:00,14.53,14.785,14.385,14.43,214231.0
2024-12-20T16:00:00-05:00,14.54,14.91,14.41,14.575,443375.0
2024-12-23T16:00:00-05:00,14.525,14.525,13.875,14.37,31747.0
2024-12-24T16:00:00-05:00,14.61,14.805,14.51,14.75,79058.0
2024-12-26T16:00:00-05:00,14.65,15.01,14.65,14.95,128334.0
2024-12-27T16:00:00-05:00,14.85,15.14,14.81,15.05,464100.0
2024-12-30T16:00:00-05:00,14.925,14.97,14.605,14.65,157860.0
2024-12-31T16:00:00-05:00,14.66,15.115,14.605,14.915,177435.0
2025-01-02T16:00:00-05:00,15.01,15.03,14.655,14.96,183620.0
2025-01-03T16:00:00-05:00,14.93,15.46,14.845,15.43,152680.0
2025-01-06T16:00:00-05:00,15.49,16.03,15.32,15.5,314423.0
2025-01-07T16:00:00-05:00,15.52,15.95,15.52,15.73,143840.0
2025-01-08T16:00:00-05:00,15.57,16.015,15.25,16.01,188050.0
2025-01-10T16:00:00-05:00,15.875,16.09,15.79,15.85,232792.0
2025-01-13T16:00:00-05:00,15.825,15.925,15.51,15.65,126839.0
2025-01-14T16:00:00-05:00,15.75,16.05,15.74,15.81,77043.0
2025-01-15T16:00:00-05:00,16.15,16.15,15.6,15.73,58997.0
2025-01-16T16:00:00-05:00,15.7,16.195,15.52,16.17,100757.0
2025-01-17T16:00:00-05:00,16.09,16.21,15.745,15.75,143579.0
2025-01-21T16:00:00-05:00,15.82,15.955,15.305,15.88,130110.0
2025-01-22T16:00:00-05:00,15.8,15.97,15.76,15.885,59703.0
2025-01-23T16:00:00-05:00,15.85,16.43,15.83,16.425,73172.0
2025-01-24T16:00:00-05:00,16.31,16.355,15.955,15.96,109905.0
2025-01-27T16:00:00-05:00,16.12,16.275,15.89,16.24,96036.0
2025-01-28T16:00:00-05:00,16.25,16.62,16.005,16.06,93953.0
2025-01-29T16:00:00-05:00,16.165,16.18,15.78,15.84,55735.0
