time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,28.17,28.17,27.905,27.975,26366.0
2023-11-07T16:00:00-05:00,27.765,27.815,27.61,27.68,31547.0
2023-11-08T16:00:00-05:00,27.715,27.86,27.69,27.73,24627.0
2023-11-09T16:00:00-05:00,27.74,27.875,27.595,27.65,52799.0
2023-11-10T16:00:00-05:00,27.73,27.935,27.68,27.925,28091.0
2023-11-13T16:00:00-05:00,27.96,28.045,27.85,27.965,17584.0
2023-11-14T16:00:00-05:00,28.07,28.36,27.965,28.28,48380.0
2023-11-15T16:00:00-05:00,28.255,28.32,28.055,28.075,47571.0
2023-11-16T16:00:00-05:00,28.16,28.355,28.085,28.345,37208.0
2023-11-17T16:00:00-05:00,28.36,28.555,28.295,28.36,27384.0
2023-11-20T16:00:00-05:00,28.11,28.43,28.11,28.355,25540.0
2023-11-21T16:00:00-05:00,28.44,28.795,28.44,28.67,30690.0
2023-11-22T16:00:00-05:00,28.61,28.8,28.61,28.74,28698.0
2023-11-24T16:00:00-05:00,28.83,29.13,28.83,28.95,9521.0
2023-11-27T16:00:00-05:00,28.87,29.155,28.81,29.14,30125.0
2023-11-28T16:00:00-05:00,29.035,29.035,28.72,28.78,43983.0
2023-11-29T16:00:00-05:00,28.87,28.885,28.67,28.72,41818.0
2023-11-30T16:00:00-05:00,28.8,29.36,28.77,29.31,28230.0
2023-12-01T16:00:00-05:00,29.21,29.485,29.21,29.39,33616.0
2023-12-04T16:00:00-05:00,29.22,29.625,29.22,29.6,31584.0
2023-12-05T16:00:00-05:00,29.49,29.635,29.4,29.42,26085.0
2023-12-06T16:00:00-05:00,29.44,29.615,29.035,29.1,27598.0
2023-12-07T16:00:00-05:00,29.2,29.2,28.835,28.97,33178.0
2023-12-08T16:00:00-05:00,28.96,29.055,28.775,28.99,23413.0
2023-12-11T16:00:00-05:00,29.075,29.235,28.995,29.175,57218.0
2023-12-12T16:00:00-05:00,29.14,29.34,29.08,29.22,40123.0
2023-12-13T16:00:00-05:00,29.21,29.4,29.135,29.36,37929.0
2023-12-14T16:00:00-05:00,29.43,29.43,29.02,29.09,44645.0
2023-12-15T16:00:00-05:00,28.825,28.995,28.725,28.96,60357.0
2023-12-18T16:00:00-05:00,29.26,29.26,28.925,29.17,40036.0
2023-12-19T16:00:00-05:00,29.14,29.385,29.115,29.285,22395.0
2023-12-20T16:00:00-05:00,29.25,29.315,28.86,28.86,37491.0
2023-12-21T16:00:00-05:00,28.83,29.12,28.64,29.105,23976.0
2023-12-22T16:00:00-05:00,29.3,29.365,29.215,29.3,19227.0
2023-12-26T16:00:00-05:00,29.21,29.285,29.15,29.15,22080.0
2023-12-27T16:00:00-05:00,29.09,29.255,29.06,29.2,29105.0
2023-12-28T16:00:00-05:00,29.33,29.47,29.285,29.47,18746.0
2023-12-29T16:00:00-05:00,29.37,29.45,29.27,29.39,23987.0
