time,open,high,low,close,volume
2025-11-28T09:30:00-05:00,131.09,131.47,131.09,131.46,575.0
2025-11-28T09:35:00-05:00,131.98,132.11,131.98,132.11,350.0
2025-11-28T09:40:00-05:00,131.93,132.03,131.8,131.8,1100.0
2025-11-28T10:05:00-05:00,132.025,132.025,132.025,132.025,145.0
2025-11-28T10:10:00-05:00,131.71,131.71,131.71,131.71,103.0
2025-11-28T10:15:00-05:00,131.385,131.385,131.385,131.385,100.0
2025-11-28T10:25:00-05:00,131.62,131.62,131.62,131.62,209.0
2025-11-28T10:30:00-05:00,131.79,131.79,131.77,131.77,200.0
2025-11-28T10:50:00-05:00,132.08,132.08,132.08,132.08,100.0
2025-11-28T11:00:00-05:00,132.56,132.56,132.56,132.56,102.0
2025-11-28T11:15:00-05:00,132.39,132.39,132.27,132.27,301.0
2025-11-28T11:20:00-05:00,132.45,132.52,132.45,132.52,200.0
2025-11-28T11:30:00-05:00,132.65,132.65,132.59,132.59,424.0
2025-11-28T11:35:00-05:00,133.04,133.04,133.04,133.04,100.0
2025-11-28T11:45:00-05:00,133.18,133.515,133.18,133.515,237.0
2025-11-28T11:55:00-05:00,133.16,133.16,133.16,133.16,100.0
2025-11-28T12:00:00-05:00,133.08,133.08,133.08,133.08,105.0
2025-11-28T12:15:00-05:00,132.43,132.43,132.43,132.43,216.0
2025-11-28T12:20:00-05:00,132.63,132.63,132.63,132.63,101.0
2025-11-28T12:25:00-05:00,132.55,132.55,132.55,132.55,100.0
2025-11-28T12:35:00-05:00,132.65,132.65,132.65,132.65,112.0
2025-11-28T12:50:00-05:00,132.48,132.96,132.48,132.96,250.0
2025-12-01T09:30:00-05:00,133.25,133.25,132.97,132.97,342.0
2025-12-01T10:00:00-05:00,133.685,133.685,133.685,133.685,100.0
2025-12-01T10:05:00-05:00,133.32,133.32,133.32,133.32,100.0
2025-12-01T10:15:00-05:00,132.6,132.72,132.6,132.72,200.0
2025-12-01T10:30:00-05:00,132.225,132.225,132.225,132.225,125.0
2025-12-01T10:40:00-05:00,131.64,131.64,131.64,131.64,137.0
2025-12-01T10:45:00-05:00,131.34,131.34,131.34,131.34,100.0
2025-12-01T10:50:00-05:00,130.72,130.72,130.72,130.72,100.0
2025-12-01T11:00:00-05:00,131.02,131.02,131.02,131.02,100.0
2025-12-01T11:05:00-05:00,131.07,131.07,131.07,131.07,100.0
2025-12-01T11:10:00-05:00,131.32,131.32,131.32,131.32,165.0
2025-12-01T11:30:00-05:00,131.63,131.63,131.3,131.3,269.0
2025-12-01T11:50:00-05:00,131.26,131.26,131.26,131.26,107.0
2025-12-01T11:55:00-05:00,130.76,130.76,130.76,130.76,207.0
2025-12-01T12:00:00-05:00,130.67,130.67,130.67,130.67,100.0
2025-12-01T12:05:00-05:00,130.355,130.355,130.355,130.355,100.0
2025-12-01T12:10:00-05:00,130.41,130.41,130.41,130.41,100.0
2025-12-01T12:15:00-05:00,130.695,130.875,130.69,130.875,466.0
2025-12-01T12:20:00-05:00,130.75,130.75,130.75,130.75,105.0
2025-12-01T12:30:00-05:00,131.0,131.0,131.0,131.0,100.0
2025-12-01T12:45:00-05:00,130.77,130.77,130.77,130.77,100.0
2025-12-01T12:50:00-05:00,130.46,130.46,130.46,130.46,100.0
2025-12-01T13:45:00-05:00,130.935,130.935,130.935,130.935,100.0
2025-12-01T13:55:00-05:00,130.89,130.92,130.89,130.92,202.0
2025-12-01T14:05:00-05:00,130.48,130.48,130.48,130.48,106.0
2025-12-01T14:45:00-05:00,129.62,129.62,129.62,129.62,100.0
2025-12-01T14:50:00-05:00,129.68,129.68,129.68,129.68,100.0
2025-12-01T15:05:00-05:00,129.51,129.51,129.42,129.42,205.0
2025-12-01T15:10:00-05:00,129.55,129.55,129.55,129.55,100.0
2025-12-01T15:20:00-05:00,129.645,129.805,129.645,129.805,425.0
2025-12-01T15:25:00-05:00,129.85,129.85,129.85,129.85,123.0
2025-12-01T15:30:00-05:00,129.8,129.8,129.74,129.74,500.0
2025-12-02T09:35:00-05:00,132.725,132.725,132.51,132.51,631.0
2025-12-02T09:40:00-05:00,131.3,131.3,131.3,131.3,100.0
2025-12-02T09:45:00-05:00,131.81,131.81,131.73,131.73,200.0
2025-12-02T09:50:00-05:00,131.42,131.42,131.42,131.42,100.0
2025-12-02T09:55:00-05:00,131.38,131.38,131.38,131.38,100.0
2025-12-02T10:00:00-05:00,131.59,131.76,131.59,131.76,300.0
2025-12-02T10:05:00-05:00,132.115,132.115,131.415,131.415,200.0
2025-12-02T10:10:00-05:00,131.565,131.725,131.36,131.725,300.0
2025-12-02T10:15:00-05:00,131.98,131.98,131.695,131.695,200.0
2025-12-02T10:25:00-05:00,131.63,131.805,131.63,131.805,200.0
2025-12-02T10:30:00-05:00,131.585,131.585,131.585,131.585,100.0
2025-12-02T10:35:00-05:00,131.62,131.62,131.62,131.62,100.0
2025-12-02T10:40:00-05:00,132.18,132.18,132.06,132.06,200.0
2025-12-02T10:45:00-05:00,132.12,132.12,131.975,131.975,200.0
2025-12-02T10:50:00-05:00,132.16,132.16,132.16,132.16,100.0
2025-12-02T10:55:00-05:00,132.42,132.42,132.42,132.42,100.0
2025-12-02T11:05:00-05:00,132.635,132.635,132.49,132.49,225.0
2025-12-02T11:10:00-05:00,132.525,132.525,131.9,132.175,400.0
2025-12-02T11:15:00-05:00,132.67,132.85,132.67,132.85,225.0
2025-12-02T11:20:00-05:00,132.97,132.97,132.97,132.97,100.0
2025-12-02T11:25:00-05:00,133.09,133.09,132.99,132.99,500.0
2025-12-02T11:30:00-05:00,133.02,133.22,132.98,133.22,500.0
2025-12-02T11:35:00-05:00,133.3,133.3,133.28,133.28,200.0
2025-12-02T11:40:00-05:00,133.175,133.215,133.175,133.215,200.0
2025-12-02T11:45:00-05:00,133.065,133.065,133.03,133.03,200.0
2025-12-02T11:50:00-05:00,133.01,133.07,132.97,132.97,300.0
2025-12-02T12:00:00-05:00,133.12,133.12,133.12,133.12,100.0
2025-12-02T12:05:00-05:00,133.265,133.265,133.265,133.265,100.0
2025-12-02T12:10:00-05:00,133.29,133.29,133.265,133.265,200.0
2025-12-02T12:25:00-05:00,133.405,133.44,133.405,133.44,200.0
2025-12-02T12:30:00-05:00,133.43,133.43,133.43,133.43,100.0
2025-12-02T12:40:00-05:00,133.28,133.28,133.28,133.28,100.0
2025-12-02T12:45:00-05:00,133.115,133.115,133.115,133.115,100.0
2025-12-02T12:50:00-05:00,133.02,133.02,133.02,133.02,100.0
2025-12-02T12:55:00-05:00,133.0,133.065,133.0,133.065,200.0
2025-12-02T13:00:00-05:00,133.38,133.38,133.38,133.38,100.0
2025-12-02T13:05:00-05:00,133.32,133.39,133.32,133.39,200.0
2025-12-02T13:15:00-05:00,133.26,133.26,133.19,133.205,400.0
2025-12-02T13:35:00-05:00,132.815,132.815,132.815,132.815,100.0
2025-12-02T13:40:00-05:00,132.855,132.92,132.855,132.92,247.0
2025-12-02T13:45:00-05:00,132.95,132.95,132.95,132.95,100.0
2025-12-02T13:50:00-05:00,133.01,133.01,133.01,133.01,100.0
2025-12-02T13:55:00-05:00,133.14,133.14,133.14,133.14,100.0
2025-12-02T14:00:00-05:00,133.24,133.24,133.24,133.24,100.0
2025-12-02T14:15:00-05:00,133.48,133.48,133.48,133.48,100.0
2025-12-02T14:20:00-05:00,133.44,133.44,133.39,133.39,200.0
2025-12-02T14:35:00-05:00,133.195,133.195,133.195,133.195,100.0
2025-12-02T14:40:00-05:00,133.27,133.27,133.27,133.27,100.0
2025-12-02T14:45:00-05:00,133.345,133.355,133.345,133.355,200.0
2025-12-02T14:50:00-05:00,133.19,133.19,133.19,133.19,100.0
2025-12-02T14:55:00-05:00,133.42,133.42,133.42,133.42,100.0
2025-12-02T15:00:00-05:00,133.26,133.37,133.26,133.37,225.0
2025-12-02T15:05:00-05:00,133.205,133.33,133.205,133.33,200.0
2025-12-02T15:15:00-05:00,133.315,133.315,133.315,133.315,100.0
2025-12-02T15:25:00-05:00,133.38,133.38,133.38,133.38,100.0
2025-12-02T15:30:00-05:00,133.56,133.56,133.505,133.51,300.0
2025-12-02T15:35:00-05:00,133.545,133.545,133.545,133.545,100.0
2025-12-02T15:40:00-05:00,133.76,133.76,133.76,133.76,100.0
2025-12-02T15:45:00-05:00,133.7,133.8,133.7,133.8,300.0
2025-12-02T15:50:00-05:00,133.58,133.58,133.53,133.53,200.0
