time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,36.11,36.175,35.515,35.99,17421.0
2023-11-07T16:00:00-05:00,35.77,36.35,35.77,36.325,10669.0
2023-11-08T16:00:00-05:00,36.66,36.97,35.92,35.92,12400.0
2023-11-09T16:00:00-05:00,36.19,36.21,34.6,34.87,25087.0
2023-11-10T16:00:00-05:00,34.715,35.47,34.63,35.37,18577.0
2023-11-13T16:00:00-05:00,35.09,35.675,34.505,35.675,45606.0
2023-11-14T16:00:00-05:00,36.47,38.405,36.47,38.25,40870.0
2023-11-15T16:00:00-05:00,38.63,39.58,38.35,38.7,29026.0
2023-11-16T16:00:00-05:00,38.78,39.0,37.835,37.86,35475.0
2023-11-17T16:00:00-05:00,38.085,38.5,38.085,38.41,35798.0
2023-11-20T16:00:00-05:00,38.33,38.955,38.33,38.955,15136.0
2023-11-21T16:00:00-05:00,38.365,38.52,37.82,38.38,38442.0
2023-11-22T16:00:00-05:00,38.77,39.45,38.65,38.94,12219.0
2023-11-24T16:00:00-05:00,38.63,39.13,38.63,39.09,6526.0
2023-11-27T16:00:00-05:00,38.55,39.96,38.55,39.96,28935.0
2023-11-28T16:00:00-05:00,39.15,39.87,38.95,39.66,20116.0
2023-11-29T16:00:00-05:00,40.115,40.76,40.115,40.76,37696.0
2023-11-30T16:00:00-05:00,40.475,41.235,40.325,41.03,29778.0
2023-12-01T16:00:00-05:00,40.77,43.16,40.66,43.14,27957.0
2023-12-04T16:00:00-05:00,42.83,44.13,42.405,42.67,61511.0
2023-12-05T16:00:00-05:00,42.36,43.26,41.885,41.9,63013.0
2023-12-06T16:00:00-05:00,42.865,47.28,42.865,43.82,127033.0
2023-12-07T16:00:00-05:00,44.225,45.86,43.8,45.68,65792.0
2023-12-08T16:00:00-05:00,45.325,47.45,45.145,47.3,65252.0
2023-12-11T16:00:00-05:00,47.24,47.68,46.7,47.64,42641.0
2023-12-12T16:00:00-05:00,47.46,47.58,45.79,46.35,59720.0
2023-12-13T16:00:00-05:00,46.625,48.745,46.08,48.18,74791.0
2023-12-14T16:00:00-05:00,49.545,51.525,49.23,51.15,68963.0
2023-12-15T16:00:00-05:00,50.525,50.825,49.325,49.78,51340.0
2023-12-18T16:00:00-05:00,50.005,50.11,48.96,49.4,31692.0
2023-12-19T16:00:00-05:00,50.155,51.87,50.0,51.81,34296.0
2023-12-20T16:00:00-05:00,51.24,52.79,51.06,51.19,44323.0
2023-12-21T16:00:00-05:00,51.63,52.775,51.5,52.535,89123.0
2023-12-22T16:00:00-05:00,52.53,53.55,52.45,53.19,30376.0
2023-12-26T16:00:00-05:00,53.0,55.275,52.975,54.86,46671.0
2023-12-27T16:00:00-05:00,55.37,55.625,54.69,55.2,48203.0
2023-12-28T16:00:00-05:00,55.655,55.655,54.28,54.37,22828.0
2023-12-29T16:00:00-05:00,54.4,54.4,53.41,53.875,36454.0
2024-01-02T16:00:00-05:00,53.445,54.825,53.06,54.17,43575.0
2024-01-03T16:00:00-05:00,53.44,53.44,51.07,51.28,42132.0
2024-01-04T16:00:00-05:00,51.19,51.405,50.74,51.04,91624.0
2024-01-05T16:00:00-05:00,50.785,51.525,49.28,50.63,75160.0
2024-01-08T16:00:00-05:00,50.64,51.94,50.33,51.66,33596.0
2024-01-09T16:00:00-05:00,51.15,51.38,49.42,49.755,63736.0
2024-01-10T16:00:00-05:00,49.955,50.97,49.31,50.81,34271.0
2024-01-11T16:00:00-05:00,50.41,50.44,49.435,49.825,46311.0
2024-01-12T16:00:00-05:00,50.43,50.43,48.505,49.205,38248.0
2024-01-16T16:00:00-05:00,48.26,49.645,48.03,49.21,40351.0
2024-01-17T16:00:00-05:00,48.69,49.12,48.55,48.94,34182.0
2024-01-18T16:00:00-05:00,48.94,49.22,47.94,48.63,46609.0
2024-01-19T16:00:00-05:00,48.17,49.07,47.97,48.54,72940.0
2024-01-22T16:00:00-05:00,48.98,51.065,48.98,50.72,30191.0
2024-01-23T16:00:00-05:00,51.92,52.07,51.135,51.25,31982.0
2024-01-24T16:00:00-05:00,51.81,51.92,50.36,50.65,24052.0
2024-01-25T16:00:00-05:00,52.11,52.99,51.15,52.04,21822.0
2024-01-26T16:00:00-05:00,52.46,52.46,51.25,51.37,15286.0
2024-01-29T16:00:00-05:00,51.05,53.19,51.05,52.815,21797.0
2024-01-30T16:00:00-05:00,52.84,53.66,52.645,53.61,18568.0
2024-01-31T16:00:00-05:00,53.625,54.94,53.51,53.51,45111.0
2024-02-01T16:00:00-05:00,53.84,54.395,52.34,54.22,48411.0
2024-02-02T16:00:00-05:00,53.57,55.31,53.57,55.135,19812.0
2024-02-05T16:00:00-05:00,54.365,54.365,53.2,53.57,37807.0
2024-02-06T16:00:00-05:00,53.505,54.38,53.26,54.37,20304.0
2024-02-07T16:00:00-05:00,54.83,54.83,53.88,54.27,17773.0
2024-02-08T16:00:00-05:00,54.915,58.06,54.915,58.06,34347.0
2024-02-09T16:00:00-05:00,58.305,59.715,58.2,59.48,26638.0
2024-02-12T16:00:00-05:00,59.46,61.25,59.46,61.24,31915.0
2024-02-13T16:00:00-05:00,58.3,59.46,57.35,58.56,32882.0
2024-02-14T16:00:00-05:00,58.755,58.755,57.255,58.31,23199.0
2024-02-15T16:00:00-05:00,58.5,59.6,58.24,59.46,27199.0
2024-02-16T16:00:00-05:00,58.85,61.615,58.56,60.81,23820.0
2024-02-20T16:00:00-05:00,60.06,61.23,60.03,60.76,15797.0
