time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,26.18,26.61,26.14,26.47,49317.0
2023-11-07T16:00:00-05:00,26.27,26.515,26.23,26.42,25995.0
2023-11-08T16:00:00-05:00,26.31,26.31,25.605,25.65,29974.0
2023-11-09T16:00:00-05:00,25.78,26.235,25.62,26.05,33486.0
2023-11-10T16:00:00-05:00,25.815,25.98,25.61,25.935,21176.0
2023-11-13T16:00:00-05:00,25.785,26.165,25.785,26.15,27472.0
2023-11-14T16:00:00-05:00,26.54,26.655,26.215,26.595,47646.0
2023-11-15T16:00:00-05:00,26.59,26.59,26.14,26.2,45580.0
2023-11-16T16:00:00-05:00,26.19,26.195,25.65,25.95,59025.0
2023-11-17T16:00:00-05:00,26.205,26.205,25.835,26.03,55757.0
2023-11-20T16:00:00-05:00,25.995,26.26,25.87,26.135,48154.0
2023-11-21T16:00:00-05:00,26.105,26.105,25.795,25.975,41733.0
2023-11-22T16:00:00-05:00,26.09,26.23,25.87,26.02,21812.0
2023-11-24T16:00:00-05:00,25.97,26.12,25.84,26.06,14970.0
2023-11-27T16:00:00-05:00,25.88,26.01,25.78,25.84,12787.0
2023-11-28T16:00:00-05:00,25.57,25.66,25.28,25.445,39315.0
2023-11-29T16:00:00-05:00,25.455,25.455,25.245,25.39,28794.0
2023-11-30T16:00:00-05:00,25.48,25.67,25.325,25.545,28454.0
2023-12-01T16:00:00-05:00,25.41,25.62,25.37,25.59,38660.0
2023-12-04T16:00:00-05:00,25.685,26.21,25.685,26.21,29755.0
2023-12-05T16:00:00-05:00,26.09,26.52,26.09,26.52,21537.0
2023-12-06T16:00:00-05:00,26.54,26.56,26.135,26.23,30152.0
2023-12-07T16:00:00-05:00,26.09,26.465,26.09,26.41,23958.0
2023-12-08T16:00:00-05:00,26.445,26.45,26.115,26.28,9166.0
2023-12-11T16:00:00-05:00,26.22,26.28,26.09,26.18,16532.0
2023-12-12T16:00:00-05:00,26.06,26.16,25.66,25.81,28096.0
2023-12-13T16:00:00-05:00,26.1,27.1,25.86,26.99,83647.0
2023-12-14T16:00:00-05:00,27.36,27.36,26.295,26.415,41089.0
2023-12-15T16:00:00-05:00,26.245,26.245,25.7,25.97,26835.0
2023-12-18T16:00:00-05:00,25.925,26.405,25.9,26.16,44783.0
2023-12-19T16:00:00-05:00,26.335,26.705,26.18,26.535,24759.0
2023-12-20T16:00:00-05:00,26.33,26.91,26.32,26.45,23824.0
2023-12-21T16:00:00-05:00,26.69,26.78,26.44,26.76,30594.0
2023-12-22T16:00:00-05:00,26.855,26.95,26.76,26.85,18071.0
2023-12-26T16:00:00-05:00,26.805,27.01,26.805,26.98,13890.0
2023-12-27T16:00:00-05:00,26.91,27.31,26.91,27.2,29132.0
2023-12-28T16:00:00-05:00,27.545,27.73,27.43,27.58,36882.0
2023-12-29T16:00:00-05:00,27.525,27.81,27.345,27.68,35357.0
2024-01-02T16:00:00-05:00,27.47,28.44,27.47,28.4,40473.0
2024-01-03T16:00:00-05:00,28.07,28.345,27.905,27.99,53548.0
2024-01-04T16:00:00-05:00,27.73,28.01,27.535,27.99,36904.0
2024-01-05T16:00:00-05:00,28.02,28.47,28.02,28.31,28114.0
2024-01-08T16:00:00-05:00,28.495,29.015,28.42,28.885,43054.0
2024-01-09T16:00:00-05:00,28.74,28.93,28.68,28.71,22459.0
2024-01-10T16:00:00-05:00,28.85,28.96,28.475,28.52,26420.0
2024-01-11T16:00:00-05:00,28.2,28.35,28.0,28.22,22346.0
2024-01-12T16:00:00-05:00,28.45,28.535,28.04,28.285,27866.0
2024-01-16T16:00:00-05:00,28.385,28.42,28.125,28.26,20523.0
2024-01-17T16:00:00-05:00,27.97,28.45,27.97,28.35,22945.0
2024-01-18T16:00:00-05:00,28.3,28.365,28.135,28.315,17858.0
2024-01-19T16:00:00-05:00,28.135,28.135,27.75,27.88,18799.0
2024-01-22T16:00:00-05:00,27.765,28.075,27.48,27.95,34107.0
2024-01-23T16:00:00-05:00,28.01,28.01,27.77,27.91,26653.0
2024-01-24T16:00:00-05:00,27.86,27.86,27.38,27.38,32271.0
2024-01-25T16:00:00-05:00,27.57,27.57,27.27,27.33,21968.0
2024-01-26T16:00:00-05:00,27.505,27.64,27.4,27.58,17716.0
2024-01-29T16:00:00-05:00,27.615,27.75,27.57,27.74,14122.0
2024-01-30T16:00:00-05:00,27.65,27.79,27.55,27.76,6400.0
2024-01-31T16:00:00-05:00,27.73,27.805,27.13,27.14,11784.0
2024-02-01T16:00:00-05:00,26.91,27.51,26.89,27.51,30201.0
2024-02-02T16:00:00-05:00,27.34,27.43,27.03,27.03,24220.0
2024-02-05T16:00:00-05:00,27.35,27.63,26.945,26.945,32930.0
2024-02-06T16:00:00-05:00,26.92,27.01,26.81,26.91,25203.0
2024-02-07T16:00:00-05:00,26.67,27.31,26.555,27.14,23957.0
2024-02-08T16:00:00-05:00,27.155,27.3,27.015,27.3,16516.0
2024-02-09T16:00:00-05:00,27.36,27.38,27.205,27.325,31395.0
2024-02-12T16:00:00-05:00,27.59,28.2,27.54,28.0,57203.0
2024-02-13T16:00:00-05:00,27.75,28.045,27.605,28.0,28965.0
2024-02-14T16:00:00-05:00,28.11,28.11,27.595,28.1,29963.0
2024-02-15T16:00:00-05:00,27.99,28.84,27.99,28.6,29403.0
2024-02-16T16:00:00-05:00,28.35,28.73,28.35,28.56,10555.0
2024-02-20T16:00:00-05:00,28.53,29.23,28.53,29.135,19880.0
2024-02-21T16:00:00-05:00,29.14,29.205,28.915,28.99,14384.0
2024-02-22T16:00:00-05:00,28.66,28.84,28.64,28.75,22409.0
2024-02-23T16:00:00-05:00,28.7,29.02,28.595,28.88,46277.0
2024-02-26T16:00:00-05:00,30.71,31.23,30.285,31.18,141433.0
2024-02-27T16:00:00-05:00,31.52,32.4,31.52,32.21,63482.0
2024-02-28T16:00:00-05:00,32.19,32.55,32.055,32.35,39546.0
2024-02-29T16:00:00-05:00,32.3,32.3,31.35,31.84,40230.0
2024-03-01T16:00:00-05:00,31.8,32.11,31.61,32.11,30730.0
2024-03-04T16:00:00-05:00,32.19,32.23,31.61,31.85,29265.0
2024-03-05T16:00:00-05:00,32.02,32.51,31.82,32.29,21706.0
2024-03-06T16:00:00-05:00,32.255,32.315,31.75,31.97,14526.0
2024-03-07T16:00:00-05:00,32.02,32.44,31.815,32.38,38001.0
2024-03-08T16:00:00-05:00,32.285,32.435,32.075,32.39,16695.0
2024-03-11T16:00:00-04:00,32.52,33.1,32.43,32.86,30117.0
2024-03-12T16:00:00-04:00,32.82,33.62,32.82,33.38,59019.0
2024-03-13T16:00:00-04:00,33.6,33.6,32.65,32.97,37375.0
