time,open,high,low,close,volume
2024-08-22T09:15:00-04:00,3.69,3.69,3.67,3.67,400.0
2024-08-22T09:20:00-04:00,3.72,3.74,3.72,3.72,500.0
2024-08-22T09:25:00-04:00,3.72,3.84,3.72,3.84,2727.0
2024-08-22T09:30:00-04:00,3.83,4.1,3.78,3.955,91248.0
2024-08-22T09:35:00-04:00,3.965,4.1,3.94,3.97,52766.0
2024-08-22T09:40:00-04:00,4.0,4.005,3.86,3.89,49490.0
2024-08-22T09:45:00-04:00,3.9,4.0,3.725,3.75,97213.0
2024-08-22T09:50:00-04:00,3.76,3.895,3.755,3.865,35777.0
2024-08-22T09:55:00-04:00,3.865,3.9,3.855,3.865,33685.0
2024-08-22T10:00:00-04:00,3.875,3.955,3.84,3.935,53265.0
2024-08-22T10:05:00-04:00,3.92,3.93,3.84,3.88,27926.0
2024-08-22T10:10:00-04:00,3.88,3.99,3.88,3.99,45022.0
2024-08-22T10:15:00-04:00,4.005,4.095,3.99,4.09,66064.0
2024-08-22T10:20:00-04:00,4.09,4.115,4.04,4.04,62131.0
2024-08-22T10:25:00-04:00,4.04,4.09,4.01,4.08,85912.0
2024-08-22T10:30:00-04:00,4.11,4.16,4.06,4.075,46691.0
2024-08-22T10:35:00-04:00,4.07,4.2,4.02,4.19,45764.0
2024-08-22T10:40:00-04:00,4.19,4.2,4.13,4.155,27704.0
2024-08-22T10:45:00-04:00,4.14,4.23,4.14,4.225,25324.0
2024-08-22T10:50:00-04:00,4.225,4.27,4.205,4.27,33597.0
2024-08-22T10:55:00-04:00,4.27,4.295,4.23,4.265,20588.0
2024-08-22T11:00:00-04:00,4.3,4.325,4.275,4.3,24553.0
2024-08-22T11:05:00-04:00,4.27,4.3,4.24,4.29,14779.0
2024-08-22T11:10:00-04:00,4.29,4.32,4.27,4.305,52991.0
2024-08-22T11:15:00-04:00,4.31,4.395,4.285,4.35,38881.0
2024-08-22T11:20:00-04:00,4.34,4.34,4.22,4.33,87737.0
2024-08-22T11:25:00-04:00,4.34,4.36,4.315,4.345,9264.0
2024-08-22T11:30:00-04:00,4.35,4.4,4.33,4.33,19019.0
2024-08-22T11:35:00-04:00,4.315,4.375,4.23,4.335,51840.0
2024-08-22T11:40:00-04:00,4.345,4.405,4.32,4.32,29743.0
2024-08-22T11:45:00-04:00,4.29,4.31,4.26,4.28,21749.0
2024-08-22T11:50:00-04:00,4.275,4.31,4.27,4.29,4753.0
2024-08-22T11:55:00-04:00,4.31,4.37,4.3,4.36,26415.0
2024-08-22T12:00:00-04:00,4.35,4.43,4.35,4.43,17413.0
2024-08-22T12:05:00-04:00,4.41,4.43,4.365,4.365,17703.0
