time,open,high,low,close,volume
2025-09-19T16:00:00-04:00,13.285,15.97,12.8,15.7,389797.0
2025-09-22T16:00:00-04:00,14.995,15.045,13.865,14.01,83327.0
2025-09-23T16:00:00-04:00,14.06,14.22,13.34,14.095,82217.0
2025-09-24T16:00:00-04:00,13.82,13.82,13.155,13.39,45777.0
2025-09-25T16:00:00-04:00,13.295,13.295,12.005,12.8,129601.0
2025-09-26T16:00:00-04:00,12.775,13.995,12.62,13.99,61311.0
2025-09-29T16:00:00-04:00,14.09,14.09,13.56,13.895,25655.0
2025-09-30T16:00:00-04:00,13.67,13.995,13.595,13.72,35554.0
2025-10-01T16:00:00-04:00,13.665,14.21,13.62,13.945,30036.0
2025-10-02T16:00:00-04:00,14.01,14.725,13.665,14.39,30197.0
2025-10-03T16:00:00-04:00,14.18,14.325,13.82,14.255,94604.0
2025-10-06T16:00:00-04:00,14.085,14.77,14.02,14.53,8774.0
2025-10-07T16:00:00-04:00,14.495,14.495,13.825,13.955,19709.0
2025-10-08T16:00:00-04:00,14.02,14.1,13.81,14.04,19261.0
2025-10-09T16:00:00-04:00,14.02,14.06,13.64,14.03,9376.0
2025-10-10T16:00:00-04:00,14.165,14.165,13.345,13.345,12371.0
2025-10-13T16:00:00-04:00,13.57,14.11,13.43,14.0,18362.0
2025-10-14T16:00:00-04:00,14.09,14.555,13.895,14.01,21948.0
2025-10-15T16:00:00-04:00,14.34,14.34,13.805,13.975,26467.0
2025-10-16T16:00:00-04:00,13.79,14.0,13.39,13.86,16029.0
2025-10-17T16:00:00-04:00,13.725,13.725,13.27,13.395,44028.0
2025-10-20T16:00:00-04:00,13.52,13.66,13.44,13.66,9301.0
2025-10-21T16:00:00-04:00,13.51,14.07,13.435,13.69,17153.0
2025-10-22T16:00:00-04:00,13.875,14.04,13.605,14.01,14062.0
2025-10-23T16:00:00-04:00,14.0,16.54,14.0,16.41,53466.0
2025-10-24T16:00:00-04:00,16.63,18.17,16.6,18.065,73581.0
2025-10-27T16:00:00-04:00,18.325,18.925,16.85,17.29,29137.0
2025-10-28T16:00:00-04:00,17.075,17.72,16.76,16.93,29509.0
2025-10-29T16:00:00-04:00,16.855,18.195,16.825,16.9,19920.0
2025-10-30T16:00:00-04:00,16.74,17.1,16.5,16.5,18997.0
2025-10-31T16:00:00-04:00,16.8,17.8,16.645,17.6,13743.0
2025-11-03T16:00:00-05:00,17.645,17.805,16.94,17.235,12786.0
2025-11-04T16:00:00-05:00,16.75,17.37,16.475,16.82,13808.0
2025-11-05T16:00:00-05:00,16.6,18.13,16.535,18.0,24833.0
2025-11-06T16:00:00-05:00,18.5,19.93,17.7,18.21,45200.0
2025-11-07T16:00:00-05:00,17.78,17.78,15.89,17.06,25880.0
2025-11-10T16:00:00-05:00,17.43,17.84,16.42,17.74,13170.0
2025-11-11T16:00:00-05:00,17.64,18.5,17.19,18.385,15730.0
2025-11-12T16:00:00-05:00,18.285,18.285,17.605,18.17,21214.0
2025-11-13T16:00:00-05:00,17.75,17.81,17.44,17.755,93320.0
