time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,4.05,4.05,3.99,3.99,230.0
2024-11-05T16:00:00-05:00,4.065,4.065,4.06,4.06,389.0
2024-11-06T16:00:00-05:00,4.6,4.6,4.44,4.44,700.0
2024-11-07T16:00:00-05:00,4.83,4.83,4.83,4.83,517.0
2024-11-08T16:00:00-05:00,4.83,4.83,4.83,4.83,0.0
2024-11-11T16:00:00-05:00,4.58,4.58,4.58,4.58,106.0
2024-11-12T16:00:00-05:00,4.31,4.31,4.31,4.31,100.0
2024-11-13T16:00:00-05:00,4.31,4.88,4.31,4.82,1272.0
2024-11-14T16:00:00-05:00,3.45,3.45,3.205,3.205,1940.0
2024-11-15T16:00:00-05:00,3.19,3.25,3.17,3.17,1110.0
2024-11-18T16:00:00-05:00,3.09,3.13,3.09,3.13,397.0
2024-11-19T16:00:00-05:00,2.93,2.93,2.93,2.93,100.0
2024-11-20T16:00:00-05:00,2.93,2.93,2.93,2.93,0.0
2024-11-21T16:00:00-05:00,3.25,4.545,3.05,4.02,13482.0
2024-11-22T16:00:00-05:00,4.46,10.46,4.33,8.96,188327.0
2024-11-25T16:00:00-05:00,13.78,26.8,13.78,21.81,152157.0
2024-11-26T16:00:00-05:00,15.165,32.93,14.56,17.165,155566.0
2024-11-27T16:00:00-05:00,22.75,25.01,17.11,17.795,72922.0
2024-11-29T16:00:00-05:00,17.11,19.11,16.61,17.35,40103.0
2024-12-02T16:00:00-05:00,17.38,17.4,11.22,12.27,16448.0
2024-12-03T16:00:00-05:00,11.37,14.39,11.235,14.09,16722.0
2024-12-04T16:00:00-05:00,13.42,14.9,12.58,12.685,9738.0
2024-12-05T16:00:00-05:00,13.13,13.61,11.98,12.65,11707.0
2024-12-06T16:00:00-05:00,13.52,15.71,12.55,13.675,24744.0
2024-12-09T16:00:00-05:00,16.92,17.99,14.87,15.7,16777.0
2024-12-10T16:00:00-05:00,15.91,21.32,15.385,20.82,32835.0
2024-12-11T16:00:00-05:00,23.23,26.15,17.48,19.655,48152.0
2024-12-12T16:00:00-05:00,18.82,20.29,16.84,17.05,9494.0
2024-12-13T16:00:00-05:00,17.605,18.315,16.755,17.875,9332.0
2024-12-16T16:00:00-05:00,18.59,25.105,18.07,22.87,49470.0
2024-12-17T16:00:00-05:00,29.79,30.75,22.4,23.68,48842.0
2024-12-18T16:00:00-05:00,22.265,64.04,22.24,60.085,275859.0
2024-12-19T16:00:00-05:00,48.04,48.04,31.595,36.12,65136.0
2024-12-20T16:00:00-05:00,33.0,48.86,33.0,44.65,70679.0
2024-12-23T16:00:00-05:00,51.96,52.135,45.72,47.0,15234.0
2024-12-24T16:00:00-05:00,45.47,48.01,41.48,44.16,8978.0
2024-12-26T16:00:00-05:00,44.77,71.8,44.77,67.51,72662.0
2024-12-27T16:00:00-05:00,69.9,90.14,65.77,70.85,69550.0
2024-12-30T16:00:00-05:00,62.98,67.49,56.94,62.38,21565.0
2024-12-31T16:00:00-05:00,64.38,64.38,51.96,53.755,18052.0
2025-01-02T16:00:00-05:00,55.13,58.05,50.54,54.19,21923.0
2025-01-03T16:00:00-05:00,54.49,56.55,50.33,54.18,20091.0
2025-01-06T16:00:00-05:00,53.19,60.18,51.06,51.79,19432.0
2025-01-07T16:00:00-05:00,51.395,51.63,44.81,44.9,12438.0
2025-01-08T16:00:00-05:00,32.39,34.71,29.89,31.64,35445.0
2025-01-10T16:00:00-05:00,30.51,32.9,27.2,27.38,9460.0
2025-01-13T16:00:00-05:00,24.24,24.24,19.46,20.75,11013.0
2025-01-14T16:00:00-05:00,23.75,24.43,20.51,22.355,11152.0
2025-01-15T16:00:00-05:00,27.91,34.73,27.84,33.38,41514.0
2025-01-16T16:00:00-05:00,30.58,38.825,29.985,38.535,37107.0
2025-01-17T16:00:00-05:00,35.325,37.005,32.33,32.5,18644.0
2025-01-21T16:00:00-05:00,32.775,37.69,32.415,37.04,22792.0
2025-01-22T16:00:00-05:00,40.43,40.43,34.65,35.73,19951.0
2025-01-23T16:00:00-05:00,35.08,35.08,33.22,33.59,4225.0
2025-01-24T16:00:00-05:00,34.39,35.42,32.03,32.5,10780.0
2025-01-27T16:00:00-05:00,28.85,30.41,27.94,29.345,7956.0
2025-01-28T16:00:00-05:00,29.26,29.26,24.05,25.09,21321.0
2025-01-29T16:00:00-05:00,25.0,25.525,22.11,22.47,15699.0
2025-01-30T16:00:00-05:00,23.01,23.56,21.82,22.57,8835.0
2025-01-31T16:00:00-05:00,23.59,25.59,22.4,22.41,13391.0
2025-02-03T16:00:00-05:00,20.31,21.85,20.25,21.34,7627.0
2025-02-04T16:00:00-05:00,21.98,22.42,20.935,21.27,8253.0
2025-02-05T16:00:00-05:00,20.865,21.51,20.54,21.23,8069.0
2025-02-06T16:00:00-05:00,21.375,21.41,19.6,19.78,7313.0
2025-02-07T16:00:00-05:00,20.44,21.0,18.67,18.91,13621.0
2025-02-10T16:00:00-05:00,18.3,19.72,17.49,18.91,8624.0
2025-02-11T16:00:00-05:00,18.5,18.54,17.47,17.795,3565.0
2025-02-12T16:00:00-05:00,17.39,25.37,17.37,23.31,25525.0
2025-02-13T16:00:00-05:00,20.75,20.75,19.0,19.94,9389.0
2025-02-14T16:00:00-05:00,18.78,18.78,16.405,17.17,21688.0
2025-02-18T16:00:00-05:00,16.51,16.61,14.835,15.27,20811.0
2025-02-19T16:00:00-05:00,15.335,16.06,14.57,15.78,24117.0
2025-02-20T16:00:00-05:00,16.375,17.28,15.775,16.35,31195.0
2025-02-21T16:00:00-05:00,16.39,16.5,14.79,15.17,13347.0
2025-02-24T16:00:00-05:00,14.76,14.76,13.09,13.13,14148.0
2025-02-25T16:00:00-05:00,12.71,13.95,12.38,13.44,10794.0
2025-02-26T16:00:00-05:00,13.51,14.2,13.51,13.64,12925.0
2025-02-27T16:00:00-05:00,13.68,13.68,11.915,11.915,7851.0
2025-02-28T16:00:00-05:00,11.29,11.79,11.29,11.73,6359.0
2025-03-03T16:00:00-05:00,12.35,12.35,11.0,11.03,7838.0
2025-03-04T16:00:00-05:00,10.825,11.79,10.7,11.58,10994.0
2025-03-05T16:00:00-05:00,11.85,12.47,11.785,12.47,6554.0
2025-03-06T16:00:00-05:00,12.14,12.29,11.37,11.42,8746.0
2025-03-07T16:00:00-05:00,11.32,11.75,10.96,11.745,3798.0
2025-03-10T16:00:00-04:00,11.28,11.29,10.36,10.83,6917.0
2025-03-11T16:00:00-04:00,10.705,10.72,10.13,10.35,3587.0
2025-03-12T16:00:00-04:00,11.05,11.57,10.475,11.28,5375.0
2025-03-13T16:00:00-04:00,11.48,15.4,11.48,14.89,24515.0
2025-03-14T16:00:00-04:00,16.86,18.585,15.0,15.25,82388.0
2025-03-17T16:00:00-04:00,16.08,21.57,15.735,21.445,57554.0
2025-03-18T16:00:00-04:00,19.4,24.145,17.66,19.865,46742.0
2025-03-19T16:00:00-04:00,22.7,22.7,18.87,19.5,25211.0
2025-03-20T16:00:00-04:00,18.99,19.3,15.61,16.5,24311.0
2025-03-21T16:00:00-04:00,16.15,18.43,16.15,16.795,21969.0
2025-03-24T16:00:00-04:00,18.09,18.39,17.04,17.18,15710.0
2025-03-25T16:00:00-04:00,17.39,17.4,16.05,16.275,9278.0
2025-03-26T16:00:00-04:00,16.5,17.015,14.8,15.03,11467.0
2025-03-27T16:00:00-04:00,14.54,16.94,14.54,15.41,10836.0
2025-03-28T16:00:00-04:00,15.13,15.13,14.16,14.2,3401.0
2025-03-31T16:00:00-04:00,13.04,14.39,12.875,14.34,7296.0
2025-04-01T16:00:00-04:00,14.625,15.23,13.7,14.02,6571.0
2025-04-02T16:00:00-04:00,13.45,13.72,12.89,13.02,9281.0
2025-04-03T16:00:00-04:00,12.24,12.47,11.89,12.43,4255.0
2025-04-04T16:00:00-04:00,11.835,11.835,10.83,11.305,9842.0
2025-04-07T16:00:00-04:00,10.5,12.28,10.31,11.19,11141.0
2025-04-08T16:00:00-04:00,12.42,12.42,10.375,10.49,7044.0
2025-04-09T16:00:00-04:00,10.625,12.32,10.625,12.06,5084.0
2025-04-10T16:00:00-04:00,11.45,11.73,10.7,11.09,9086.0
2025-04-11T16:00:00-04:00,11.24,11.24,10.68,11.21,4284.0
2025-04-14T16:00:00-04:00,12.19,12.2,11.57,12.2,10332.0
