time,open,high,low,close,volume
2024-11-07T15:30:00-05:00,4.83,4.83,4.83,4.83,100.0
2024-11-07T15:35:00-05:00,4.83,4.83,4.83,4.83,100.0
2024-11-07T15:40:00-05:00,4.83,4.83,4.83,4.83,100.0
2024-11-11T12:10:00-05:00,4.58,4.58,4.58,4.58,100.0
2024-11-12T13:15:00-05:00,4.31,4.31,4.31,4.31,100.0
2024-11-13T13:20:00-05:00,4.31,4.31,4.31,4.31,100.0
2024-11-13T13:40:00-05:00,4.31,4.31,4.31,4.31,100.0
2024-11-13T14:00:00-05:00,4.64,4.88,4.64,4.88,450.0
2024-11-13T14:10:00-05:00,4.75,4.75,4.75,4.75,100.0
2024-11-13T14:20:00-05:00,4.82,4.82,4.82,4.82,100.0
2024-11-14T12:00:00-05:00,3.45,3.45,3.45,3.45,100.0
2024-11-14T15:50:00-05:00,3.255,3.255,3.255,3.255,313.0
2024-11-14T15:55:00-05:00,3.205,3.205,3.205,3.205,1280.0
2024-11-15T09:45:00-05:00,3.19,3.25,3.19,3.25,742.0
2024-11-15T10:00:00-05:00,3.17,3.17,3.17,3.17,100.0
2024-11-18T11:45:00-05:00,3.09,3.09,3.09,3.09,100.0
2024-11-18T13:25:00-05:00,3.1,3.1,3.1,3.1,100.0
2024-11-18T14:15:00-05:00,3.13,3.13,3.13,3.13,100.0
2024-11-19T15:55:00-05:00,2.93,2.93,2.93,2.93,100.0
2024-11-21T09:30:00-05:00,3.25,3.25,3.25,3.25,100.0
2024-11-21T09:35:00-05:00,3.05,3.05,3.05,3.05,100.0
2024-11-21T11:15:00-05:00,3.3,3.3,3.3,3.3,100.0
2024-11-21T11:45:00-05:00,3.64,3.95,3.64,3.95,200.0
2024-11-21T11:50:00-05:00,4.05,4.21,3.945,4.21,824.0
2024-11-21T12:00:00-05:00,4.5,4.545,4.15,4.15,5998.0
2024-11-21T12:05:00-05:00,4.09,4.11,3.9,3.9,916.0
2024-11-21T12:10:00-05:00,3.7,3.7,3.41,3.41,737.0
2024-11-21T12:15:00-05:00,3.49,3.63,3.45,3.63,766.0
2024-11-21T12:25:00-05:00,3.57,3.57,3.57,3.57,133.0
2024-11-21T12:30:00-05:00,3.64,3.64,3.51,3.51,510.0
2024-11-21T12:35:00-05:00,3.47,3.47,3.47,3.47,100.0
2024-11-21T12:45:00-05:00,3.3,3.3,3.3,3.3,100.0
2024-11-21T13:00:00-05:00,3.255,3.255,3.255,3.255,100.0
2024-11-21T14:45:00-05:00,3.51,3.51,3.51,3.51,300.0
2024-11-21T15:00:00-05:00,3.59,3.63,3.59,3.63,300.0
2024-11-21T15:05:00-05:00,3.72,3.72,3.72,3.72,100.0
2024-11-21T15:15:00-05:00,3.87,3.87,3.87,3.87,100.0
2024-11-21T15:20:00-05:00,3.7,3.86,3.7,3.86,300.0
2024-11-21T15:30:00-05:00,3.74,3.74,3.74,3.74,100.0
2024-11-21T15:50:00-05:00,4.125,4.135,4.125,4.135,212.0
2024-11-21T15:55:00-05:00,4.02,4.02,4.02,4.02,134.0
2024-11-22T09:30:00-05:00,4.46,4.49,4.46,4.49,233.0
2024-11-22T09:35:00-05:00,4.33,4.33,4.33,4.33,100.0
2024-11-22T09:45:00-05:00,5.1,5.1,5.1,5.1,100.0
2024-11-22T09:50:00-05:00,5.445,5.445,4.945,5.19,1088.0
2024-11-22T09:55:00-05:00,5.04,5.04,5.04,5.04,195.0
2024-11-22T10:25:00-05:00,5.1,5.1,5.1,5.1,145.0
2024-11-22T10:30:00-05:00,5.75,6.45,5.655,6.45,2335.0
2024-11-22T10:40:00-05:00,6.78,7.2,6.255,6.26,8164.0
2024-11-22T10:45:00-05:00,6.455,6.455,6.12,6.12,1482.0
