time,open,high,low,close,volume
2025-11-10T09:40:00-05:00,30.95,30.95,30.95,30.95,220.0
2025-11-10T09:55:00-05:00,30.8,30.81,30.8,30.8,640.0
2025-11-10T10:10:00-05:00,30.98,30.98,30.98,30.98,434.0
2025-11-10T10:15:00-05:00,30.9,30.9,30.9,30.9,219.0
2025-11-10T10:20:00-05:00,30.84,30.84,30.71,30.785,645.0
2025-11-10T10:25:00-05:00,30.81,30.81,30.715,30.715,460.0
2025-11-10T10:30:00-05:00,30.81,30.81,30.81,30.81,125.0
2025-11-10T10:35:00-05:00,30.74,30.74,30.74,30.74,269.0
2025-11-10T10:40:00-05:00,30.735,30.735,30.735,30.735,100.0
2025-11-10T10:45:00-05:00,30.63,30.63,30.62,30.62,225.0
2025-11-10T10:50:00-05:00,30.56,30.56,30.48,30.49,402.0
2025-11-10T11:00:00-05:00,30.48,30.52,30.47,30.47,1682.0
2025-11-10T11:05:00-05:00,30.475,30.475,30.4,30.41,559.0
2025-11-10T11:10:00-05:00,30.41,30.45,30.41,30.41,1219.0
2025-11-10T11:15:00-05:00,30.415,30.42,30.415,30.415,525.0
2025-11-10T11:20:00-05:00,30.41,30.42,30.4,30.4,1011.0
2025-11-10T11:25:00-05:00,30.435,30.515,30.43,30.515,1474.0
2025-11-10T11:30:00-05:00,30.51,30.51,30.51,30.51,494.0
2025-11-10T11:35:00-05:00,30.625,30.625,30.625,30.625,100.0
2025-11-10T11:40:00-05:00,30.61,30.69,30.6,30.69,501.0
2025-11-10T11:45:00-05:00,30.65,30.685,30.65,30.685,220.0
2025-11-10T11:50:00-05:00,30.78,30.78,30.76,30.765,566.0
2025-11-10T12:00:00-05:00,30.94,31.04,30.94,31.04,377.0
2025-11-10T12:05:00-05:00,31.04,31.045,31.04,31.045,200.0
2025-11-10T12:10:00-05:00,31.02,31.04,30.96,30.96,618.0
2025-11-10T12:15:00-05:00,31.07,31.08,31.07,31.08,400.0
2025-11-10T12:20:00-05:00,31.08,31.095,31.08,31.095,356.0
2025-11-10T12:25:00-05:00,31.09,31.105,31.09,31.105,383.0
2025-11-10T12:30:00-05:00,31.17,31.23,31.17,31.23,903.0
2025-11-10T12:35:00-05:00,31.36,31.36,31.36,31.36,100.0
2025-11-10T12:45:00-05:00,31.295,31.3,31.295,31.3,356.0
