time,open,high,low,close,volume
2024-10-09T09:35:00-04:00,34.2,34.2,34.2,34.2,100.0
2024-10-09T09:55:00-04:00,34.41,34.41,34.41,34.41,114.0
2024-10-09T10:05:00-04:00,34.45,34.45,34.45,34.45,100.0
2024-10-09T10:10:00-04:00,34.46,34.46,34.41,34.43,400.0
2024-10-09T10:25:00-04:00,34.33,34.33,34.28,34.28,291.0
2024-10-09T10:30:00-04:00,34.31,34.325,34.31,34.325,437.0
2024-10-09T10:35:00-04:00,34.27,34.3,34.27,34.3,200.0
2024-10-09T10:40:00-04:00,34.35,34.35,34.35,34.35,108.0
2024-10-09T10:50:00-04:00,34.39,34.39,34.39,34.39,100.0
2024-10-09T11:05:00-04:00,34.41,34.41,34.41,34.41,109.0
2024-10-09T11:15:00-04:00,34.45,34.47,34.45,34.47,302.0
2024-10-09T11:20:00-04:00,34.505,34.51,34.505,34.51,300.0
2024-10-09T11:25:00-04:00,34.52,34.52,34.52,34.52,109.0
2024-10-09T11:40:00-04:00,34.54,34.54,34.54,34.54,100.0
2024-10-09T11:50:00-04:00,34.52,34.52,34.52,34.52,315.0
2024-10-09T11:55:00-04:00,34.45,34.45,34.45,34.45,122.0
2024-10-09T12:00:00-04:00,34.445,34.445,34.445,34.445,133.0
2024-10-09T12:10:00-04:00,34.47,34.47,34.47,34.47,161.0
2024-10-09T12:20:00-04:00,34.44,34.445,34.44,34.445,224.0
2024-10-09T12:25:00-04:00,34.44,34.44,34.44,34.44,208.0
2024-10-09T12:30:00-04:00,34.44,34.44,34.42,34.42,317.0
2024-10-09T12:35:00-04:00,34.43,34.43,34.43,34.43,100.0
2024-10-09T12:40:00-04:00,34.42,34.42,34.42,34.42,119.0
2024-10-09T12:45:00-04:00,34.36,34.4,34.36,34.4,516.0
2024-10-09T12:55:00-04:00,34.35,34.35,34.335,34.335,234.0
2024-10-09T13:05:00-04:00,34.27,34.27,34.27,34.27,212.0
2024-10-09T13:10:00-04:00,34.285,34.285,34.285,34.285,100.0
2024-10-09T13:25:00-04:00,34.305,34.305,34.29,34.29,405.0
2024-10-09T13:35:00-04:00,34.24,34.24,34.235,34.235,200.0
2024-10-09T13:40:00-04:00,34.235,34.25,34.235,34.25,200.0
2024-10-09T13:45:00-04:00,34.26,34.26,34.26,34.26,139.0
2024-10-09T13:50:00-04:00,34.235,34.245,34.2,34.2,500.0
2024-10-09T13:55:00-04:00,34.2,34.22,34.2,34.22,407.0
2024-10-09T14:00:00-04:00,34.19,34.21,34.19,34.21,220.0
2024-10-09T14:05:00-04:00,34.245,34.26,34.245,34.26,706.0
2024-10-09T14:10:00-04:00,34.245,34.245,34.22,34.22,458.0
2024-10-09T14:20:00-04:00,34.2,34.205,34.195,34.205,641.0
2024-10-09T14:25:00-04:00,34.21,34.21,34.19,34.19,516.0
2024-10-09T14:30:00-04:00,34.16,34.16,34.16,34.16,116.0
2024-10-09T14:40:00-04:00,34.17,34.17,34.155,34.16,372.0
2024-10-09T14:50:00-04:00,34.135,34.155,34.135,34.155,346.0
2024-10-09T14:55:00-04:00,34.115,34.12,34.115,34.12,222.0
2024-10-09T15:00:00-04:00,34.13,34.13,34.13,34.13,117.0
2024-10-09T15:05:00-04:00,34.12,34.12,34.11,34.11,442.0
2024-10-09T15:15:00-04:00,34.065,34.065,34.065,34.065,436.0
2024-10-09T15:20:00-04:00,34.08,34.13,34.08,34.11,961.0
2024-10-09T15:25:00-04:00,34.12,34.15,34.12,34.145,662.0
2024-10-09T15:30:00-04:00,34.135,34.14,34.11,34.14,551.0
2024-10-09T15:35:00-04:00,34.125,34.125,34.1,34.11,1065.0
2024-10-09T15:40:00-04:00,34.11,34.145,34.105,34.14,985.0
2024-10-09T15:50:00-04:00,34.16,34.18,34.16,34.17,1187.0
2024-10-09T15:55:00-04:00,34.135,34.18,34.105,34.18,9344.0
2024-10-10T09:35:00-04:00,34.115,34.115,34.05,34.05,475.0
2024-10-10T09:40:00-04:00,34.12,34.12,34.12,34.12,139.0
2024-10-10T09:45:00-04:00,33.98,33.98,33.98,33.98,141.0
2024-10-10T09:55:00-04:00,34.15,34.19,34.14,34.19,916.0
2024-10-10T10:00:00-04:00,34.21,34.21,34.21,34.21,155.0
2024-10-10T10:10:00-04:00,34.2,34.2,34.175,34.175,520.0
2024-10-10T10:15:00-04:00,34.2,34.2,34.2,34.2,100.0
2024-10-10T10:20:00-04:00,34.23,34.24,34.23,34.24,222.0
