time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,2.97,3.12,2.97,3.06,47024.0
2024-11-05T16:00:00-05:00,3.19,3.73,3.19,3.665,275709.0
2024-11-06T16:00:00-05:00,3.795,4.035,3.69,3.765,110158.0
2024-11-07T16:00:00-05:00,3.8,3.895,3.705,3.745,59489.0
2024-11-08T16:00:00-05:00,3.68,3.78,3.64,3.755,63417.0
2024-11-11T16:00:00-05:00,3.805,3.82,3.69,3.77,60925.0
2024-11-12T16:00:00-05:00,3.735,3.875,3.7,3.78,85544.0
2024-11-13T16:00:00-05:00,3.83,4.265,3.83,4.15,107995.0
2024-11-14T16:00:00-05:00,4.15,4.175,3.96,4.0,81858.0
2024-11-15T16:00:00-05:00,3.975,4.0,3.86,3.98,49354.0
2024-11-18T16:00:00-05:00,3.935,4.095,3.895,4.015,60179.0
2024-11-19T16:00:00-05:00,3.94,4.32,3.94,4.32,54188.0
2024-11-20T16:00:00-05:00,4.3,4.43,4.245,4.42,50193.0
2024-11-21T16:00:00-05:00,4.31,4.57,4.125,4.48,79230.0
2024-11-22T16:00:00-05:00,4.52,4.74,4.455,4.735,41826.0
2024-11-25T16:00:00-05:00,4.875,5.34,4.86,5.32,164464.0
2024-11-26T16:00:00-05:00,5.24,5.39,5.07,5.28,93309.0
2024-11-27T16:00:00-05:00,5.32,5.8,5.32,5.77,158280.0
2024-11-29T16:00:00-05:00,5.665,5.91,5.665,5.88,60424.0
2024-12-02T16:00:00-05:00,5.91,6.125,5.785,6.05,74172.0
2024-12-03T16:00:00-05:00,5.95,5.995,5.74,5.9,171407.0
2024-12-04T16:00:00-05:00,5.75,6.16,5.75,6.15,81160.0
2024-12-05T16:00:00-05:00,6.15,6.37,6.0,6.13,61425.0
2024-12-06T16:00:00-05:00,6.24,6.555,6.24,6.43,85297.0
2024-12-09T16:00:00-05:00,7.38,9.275,7.19,8.955,283774.0
2024-12-10T16:00:00-05:00,8.66,9.225,8.62,9.08,287072.0
2024-12-11T16:00:00-05:00,9.275,9.72,9.21,9.35,159615.0
2024-12-12T16:00:00-05:00,9.13,9.425,8.735,8.87,266409.0
2024-12-13T16:00:00-05:00,9.11,9.17,8.42,8.79,78706.0
2024-12-16T16:00:00-05:00,8.94,9.51,8.77,9.24,59180.0
2024-12-17T16:00:00-05:00,9.29,9.76,9.29,9.505,40738.0
2024-12-18T16:00:00-05:00,9.61,9.74,8.51,8.56,64358.0
2024-12-19T16:00:00-05:00,8.86,9.095,8.655,8.83,65302.0
2024-12-20T16:00:00-05:00,8.665,9.41,8.665,9.41,93984.0
2024-12-23T16:00:00-05:00,9.37,9.495,9.3,9.3,6537.0
2024-12-24T16:00:00-05:00,9.345,9.425,9.05,9.31,33770.0
2024-12-26T16:00:00-05:00,9.37,11.065,9.28,10.995,114059.0
2024-12-27T16:00:00-05:00,10.81,10.91,10.26,10.88,52292.0
2024-12-30T16:00:00-05:00,10.69,11.35,10.425,11.17,94967.0
2024-12-31T16:00:00-05:00,11.175,11.3,10.72,10.92,77491.0
2025-01-02T16:00:00-05:00,10.91,11.095,9.295,9.83,151801.0
