time,open,high,low,close,volume
2025-01-03T16:00:00-05:00,25.78,26.05,25.78,26.05,338.0
2025-01-06T16:00:00-05:00,28.11,29.93,27.58,29.52,9191.0
2025-01-07T16:00:00-05:00,27.56,29.21,26.86,27.46,2364.0
2025-01-08T16:00:00-05:00,25.73,25.75,23.89,25.47,962.0
2025-01-10T16:00:00-05:00,24.8,25.55,23.63,25.55,1150.0
2025-01-13T16:00:00-05:00,21.87,24.31,21.58,23.01,2302.0
2025-01-14T16:00:00-05:00,26.79,27.25,25.43,25.43,1672.0
2025-01-15T16:00:00-05:00,29.18,31.51,29.18,31.51,2420.0
2025-01-16T16:00:00-05:00,30.82,32.31,29.89,30.67,1849.0
2025-01-17T16:00:00-05:00,33.28,35.48,31.36,31.36,4378.0
2025-01-21T16:00:00-05:00,31.94,31.94,27.73,30.22,2144.0
2025-01-22T16:00:00-05:00,28.94,31.5,27.23,30.63,1802.0
2025-01-23T16:00:00-05:00,31.8,34.41,29.49,30.07,3954.0
2025-01-24T16:00:00-05:00,30.02,34.48,29.6,31.47,3409.0
2025-01-27T16:00:00-05:00,25.03,25.03,20.59,21.25,5058.0
2025-01-28T16:00:00-05:00,21.49,21.6,19.39,20.23,6153.0
2025-01-29T16:00:00-05:00,20.13,21.37,19.48,20.51,3274.0
2025-01-30T16:00:00-05:00,23.11,24.22,22.69,23.52,3964.0
2025-01-31T16:00:00-05:00,23.89,25.08,22.88,23.12,4225.0
2025-02-03T16:00:00-05:00,18.56,24.19,18.53,23.76,9372.0
2025-02-04T16:00:00-05:00,23.05,24.74,23.05,24.6,3125.0
2025-02-05T16:00:00-05:00,25.37,25.57,22.66,22.66,1881.0
2025-02-06T16:00:00-05:00,23.64,23.64,21.3,22.23,3003.0
2025-02-07T16:00:00-05:00,24.29,24.99,21.74,22.42,8536.0
2025-02-10T16:00:00-05:00,22.38,23.08,21.48,22.78,2015.0
2025-02-11T16:00:00-05:00,21.98,21.99,20.25,20.52,2366.0
2025-02-12T16:00:00-05:00,19.96,20.86,19.58,20.86,1291.0
2025-02-13T16:00:00-05:00,19.55,23.59,19.44,23.47,8633.0
2025-02-14T16:00:00-05:00,24.31,24.95,23.92,24.5,5104.0
2025-02-18T16:00:00-05:00,23.845,23.845,21.13,21.43,6159.0
2025-02-19T16:00:00-05:00,21.805,23.06,21.41,21.62,5176.0
2025-02-20T16:00:00-05:00,22.04,23.01,21.1,21.72,2740.0
2025-02-21T16:00:00-05:00,22.34,22.6,17.46,17.46,5054.0
2025-02-24T16:00:00-05:00,17.59,17.6,15.57,15.89,5275.0
2025-02-25T16:00:00-05:00,15.48,15.48,11.79,13.83,13302.0
2025-02-26T16:00:00-05:00,13.45,14.33,12.005,12.04,4678.0
2025-02-27T16:00:00-05:00,14.16,14.39,11.66,11.71,6381.0
2025-02-28T16:00:00-05:00,11.535,13.45,11.48,13.45,11549.0
2025-03-03T16:00:00-05:00,15.39,15.79,11.95,12.13,16621.0
2025-03-04T16:00:00-05:00,11.41,12.02,9.735,10.85,13518.0
2025-03-05T16:00:00-05:00,11.32,12.05,11.01,12.01,9135.0
2025-03-06T16:00:00-05:00,10.63,11.19,9.68,9.9,8074.0
2025-03-07T16:00:00-05:00,10.05,10.94,9.89,10.87,7348.0
2025-03-10T16:00:00-04:00,9.9,9.9,8.43,8.6,3823.0
2025-03-11T16:00:00-04:00,8.85,9.22,7.9,8.975,8162.0
2025-03-12T16:00:00-04:00,9.35,9.53,8.55,9.32,12641.0
2025-03-13T16:00:00-04:00,9.22,9.22,8.29,8.44,5325.0
2025-03-14T16:00:00-04:00,8.56,9.15,8.43,8.93,3949.0
2025-03-17T16:00:00-04:00,8.83,9.45,8.55,9.28,7069.0
2025-03-18T16:00:00-04:00,8.48,9.01,8.1,8.1,9215.0
2025-03-19T16:00:00-04:00,8.24,9.2,8.24,8.85,3428.0
2025-03-20T16:00:00-04:00,9.07,9.53,8.85,8.91,4892.0
2025-03-21T16:00:00-04:00,8.37,9.24,8.35,9.24,7320.0
2025-03-24T16:00:00-04:00,10.18,11.05,10.03,11.05,4629.0
2025-03-25T16:00:00-04:00,11.15,11.15,10.31,10.54,2471.0
2025-03-26T16:00:00-04:00,10.43,10.43,8.96,8.96,4243.0
2025-03-27T16:00:00-04:00,8.52,9.56,8.52,8.76,2064.0
2025-03-28T16:00:00-04:00,8.41,8.45,7.76,7.76,2555.0
2025-03-31T16:00:00-04:00,7.25,7.48,6.93,7.12,2221.0
2025-04-01T16:00:00-04:00,7.15,8.21,7.15,8.21,1569.0
2025-04-02T16:00:00-04:00,7.82,9.05,7.81,9.05,2694.0
2025-04-03T16:00:00-04:00,7.48,7.85,7.35,7.78,1653.0
2025-04-04T16:00:00-04:00,6.92,7.1,5.91,7.08,6726.0
2025-04-07T16:00:00-04:00,6.07,8.4,5.85,7.41,8999.0
2025-04-08T16:00:00-04:00,7.66,7.66,5.64,5.68,10189.0
2025-04-09T16:00:00-04:00,5.87,7.45,5.57,7.385,12331.0
2025-04-10T16:00:00-04:00,6.74,6.74,6.03,6.21,2461.0
2025-04-11T16:00:00-04:00,6.6,6.76,6.56,6.75,2785.0
2025-04-14T16:00:00-04:00,7.32,7.32,6.56,6.68,3706.0
2025-04-15T16:00:00-04:00,6.73,6.73,5.76,5.87,2340.0
2025-04-16T16:00:00-04:00,5.47,5.74,5.23,5.23,2279.0
2025-04-17T16:00:00-04:00,5.42,5.55,5.23,5.47,1357.0
2025-04-21T16:00:00-04:00,5.61,5.88,5.47,5.49,1842.0
2025-04-22T16:00:00-04:00,6.01,6.8,6.01,6.75,3211.0
2025-04-23T16:00:00-04:00,7.49,7.98,7.28,7.6,14494.0
2025-04-24T16:00:00-04:00,7.33,7.98,7.33,7.88,5963.0
2025-04-25T16:00:00-04:00,7.93,8.46,7.93,7.99,2003.0
2025-04-28T16:00:00-04:00,8.01,8.01,7.51,7.63,1214.0
2025-04-29T16:00:00-04:00,7.31,7.35,7.07,7.27,3138.0
2025-04-30T16:00:00-04:00,6.71,6.87,6.47,6.81,1150.0
2025-05-01T16:00:00-04:00,7.53,8.22,7.19,7.89,4125.0
2025-05-02T16:00:00-04:00,8.51,9.935,8.5,9.1,9986.0
2025-05-05T16:00:00-04:00,8.31,8.35,7.57,8.06,4976.0
2025-05-06T16:00:00-04:00,7.75,8.09,7.75,8.01,1909.0
2025-05-07T16:00:00-04:00,8.23,8.29,7.66,7.9,4377.0
2025-05-08T16:00:00-04:00,8.66,9.58,8.435,9.11,6248.0
2025-05-09T16:00:00-04:00,9.06,10.06,8.86,9.2,6080.0
2025-05-12T16:00:00-04:00,10.56,10.56,9.24,9.65,3840.0
2025-05-13T16:00:00-04:00,10.14,10.455,9.65,10.455,5850.0
2025-05-14T16:00:00-04:00,10.28,10.28,9.91,10.09,4267.0
2025-05-15T16:00:00-04:00,9.72,9.77,9.05,9.52,3587.0
2025-05-16T16:00:00-04:00,10.35,11.22,10.26,10.57,5378.0
2025-05-19T16:00:00-04:00,9.76,10.33,9.54,10.25,4857.0
2025-05-20T16:00:00-04:00,9.745,10.16,9.65,10.09,2495.0
2025-05-21T16:00:00-04:00,9.95,10.77,9.79,9.915,7332.0
2025-05-22T16:00:00-04:00,10.69,10.96,9.95,10.27,4381.0
2025-05-23T16:00:00-04:00,9.32,9.735,9.07,9.215,3853.0
2025-05-27T16:00:00-04:00,9.85,10.56,9.505,10.42,6607.0
2025-05-28T16:00:00-04:00,9.61,9.61,8.8,8.9,2493.0
2025-05-29T16:00:00-04:00,8.84,8.84,8.5,8.5,2000.0
2025-05-30T16:00:00-04:00,7.84,8.36,7.78,8.055,18143.0
2025-06-02T16:00:00-04:00,7.905,8.875,7.905,8.875,4936.0
2025-06-03T16:00:00-04:00,9.24,10.11,8.95,10.06,5651.0
2025-06-04T16:00:00-04:00,9.85,11.33,9.835,11.045,6581.0
2025-06-05T16:00:00-04:00,11.22,11.22,9.69,9.85,6670.0
2025-06-06T16:00:00-04:00,10.96,12.44,10.96,11.76,10924.0
2025-06-09T16:00:00-04:00,12.33,12.425,11.14,12.34,7827.0
2025-06-10T16:00:00-04:00,12.59,13.265,12.28,13.265,11298.0
2025-06-11T16:00:00-04:00,12.89,14.05,12.84,13.48,7634.0
2025-06-12T16:00:00-04:00,12.53,13.51,12.53,12.59,3330.0
2025-06-13T16:00:00-04:00,11.905,12.52,10.82,11.35,5540.0
2025-06-16T16:00:00-04:00,11.64,12.45,11.38,12.31,7459.0
2025-06-17T16:00:00-04:00,11.91,12.01,10.61,11.08,6615.0
2025-06-18T16:00:00-04:00,10.96,11.92,10.9,11.72,4335.0
2025-06-20T16:00:00-04:00,12.11,12.11,10.68,10.87,7031.0
2025-06-23T16:00:00-04:00,10.015,10.74,9.34,10.22,4952.0
2025-06-24T16:00:00-04:00,10.89,11.81,10.89,11.81,4061.0
2025-06-25T16:00:00-04:00,12.43,12.43,11.39,11.75,7366.0
2025-06-26T16:00:00-04:00,11.29,13.05,11.11,12.95,7584.0
2025-06-27T16:00:00-04:00,12.89,13.82,12.43,13.065,13039.0
