time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,0.6466,0.6742,0.6433,0.6456,1980.0
2024-11-05T16:00:00-05:00,0.6272,0.6272,0.6072,0.6072,3361.0
2024-11-06T16:00:00-05:00,0.6039,0.6039,0.56,0.5701,5068.0
2024-11-07T16:00:00-05:00,0.572,0.6246,0.5719,0.6211,5403.0
2024-11-08T16:00:00-05:00,0.6034,0.62,0.59,0.62,3556.0
2024-11-11T16:00:00-05:00,0.625,0.6518,0.625,0.6375,19213.0
2024-11-12T16:00:00-05:00,0.6197,0.6197,0.5982,0.6077,2999.0
2024-11-13T16:00:00-05:00,0.6068,0.6068,0.5957,0.6065,7150.0
2024-11-14T16:00:00-05:00,0.58,0.5959,0.5774,0.588,3546.0
2024-11-15T16:00:00-05:00,0.5358,0.5545,0.5358,0.5545,1467.0
2024-11-18T16:00:00-05:00,0.5539,0.5649,0.5382,0.5593,8329.0
2024-11-19T16:00:00-05:00,0.5507,0.5845,0.5507,0.575,11854.0
2024-11-20T16:00:00-05:00,0.5398,0.5443,0.53,0.5356,1533.0
2024-11-21T16:00:00-05:00,0.5254,0.5767,0.5254,0.5675,11970.0
2024-11-22T16:00:00-05:00,0.5611,0.6321,0.5611,0.6151,3179.0
2024-11-25T16:00:00-05:00,0.63,0.6462,0.601,0.6279,14103.0
2024-11-26T16:00:00-05:00,0.615,0.615,0.6044,0.6044,1291.0
2024-11-27T16:00:00-05:00,0.6101,0.664,0.6065,0.664,7438.0
2024-11-29T16:00:00-05:00,0.6701,0.7743,0.6701,0.7355,16754.0
2024-12-02T16:00:00-05:00,0.75,0.8199,0.67,0.6745,23572.0
2024-12-03T16:00:00-05:00,0.63,0.6766,0.63,0.67,8069.0
2024-12-04T16:00:00-05:00,0.729,0.809,0.7269,0.809,11862.0
2024-12-05T16:00:00-05:00,0.771,0.8427,0.733,0.7398,10153.0
2024-12-06T16:00:00-05:00,0.7681,0.824,0.7681,0.8044,6459.0
2024-12-09T16:00:00-05:00,0.8792,1.04,0.8792,0.9487,22413.0
2024-12-10T16:00:00-05:00,0.8951,1.06,0.8667,0.8742,39787.0
2024-12-11T16:00:00-05:00,0.9055,0.955,0.8106,0.8335,20548.0
2024-12-12T16:00:00-05:00,0.8482,0.895,0.736,0.7414,16548.0
2024-12-13T16:00:00-05:00,0.7901,0.8548,0.7556,0.8548,5163.0
2024-12-16T16:00:00-05:00,0.9282,1.06,0.8824,0.97,60611.0
2024-12-17T16:00:00-05:00,1.105,1.42,1.08,1.24,167455.0
2024-12-18T16:00:00-05:00,1.475,1.67,1.125,1.24,187603.0
2024-12-19T16:00:00-05:00,1.485,1.54,1.13,1.15,165835.0
2024-12-20T16:00:00-05:00,1.125,1.385,1.085,1.29,100156.0
2024-12-23T16:00:00-05:00,1.37,1.6,1.37,1.595,28279.0
2024-12-24T16:00:00-05:00,2.105,2.29,1.75,1.945,106012.0
2024-12-26T16:00:00-05:00,2.11,3.18,2.11,2.65,408846.0
2024-12-27T16:00:00-05:00,2.89,3.5,2.54,2.89,322393.0
2024-12-30T16:00:00-05:00,2.85,3.745,2.39,3.49,133316.0
2024-12-31T16:00:00-05:00,3.165,3.24,2.445,2.69,178779.0
2025-01-02T16:00:00-05:00,2.8,2.97,2.365,2.42,207330.0
2025-01-03T16:00:00-05:00,2.46,4.155,2.43,4.07,452087.0
