time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,25.605,25.73,25.395,25.57,35090.0
2024-11-05T16:00:00-05:00,26.11,26.5,26.055,26.455,33329.0
2024-11-06T16:00:00-05:00,26.34,26.565,26.205,26.51,12814.0
2024-11-07T16:00:00-05:00,26.8,27.04,26.66,27.01,24184.0
2024-11-08T16:00:00-05:00,26.56,26.71,26.45,26.46,19148.0
2024-11-11T16:00:00-05:00,26.55,26.775,26.44,26.73,27023.0
2024-11-12T16:00:00-05:00,26.19,26.25,25.805,26.105,47880.0
2024-11-13T16:00:00-05:00,25.76,26.03,25.59,25.845,25793.0
2024-11-14T16:00:00-05:00,25.95,26.0,25.61,25.63,19788.0
2024-11-15T16:00:00-05:00,25.87,25.92,25.435,25.53,80420.0
2024-11-18T16:00:00-05:00,25.71,26.05,25.69,26.0,42426.0
2024-11-19T16:00:00-05:00,26.0,26.06,25.75,26.02,46560.0
2024-11-20T16:00:00-05:00,25.89,25.89,25.58,25.69,23319.0
2024-11-21T16:00:00-05:00,25.455,25.675,25.395,25.635,66585.0
2024-11-22T16:00:00-05:00,25.79,25.995,25.77,25.975,18618.0
2024-11-25T16:00:00-05:00,26.51,26.7,26.3,26.39,27332.0
2024-11-26T16:00:00-05:00,25.8,26.03,25.66,25.99,43163.0
2024-11-27T16:00:00-05:00,25.56,25.83,25.56,25.71,44789.0
2024-11-29T16:00:00-05:00,25.085,25.58,25.085,25.55,13253.0
2024-12-02T16:00:00-05:00,25.655,25.98,25.63,25.94,24487.0
2024-12-03T16:00:00-05:00,25.75,26.01,25.71,25.83,30208.0
2024-12-04T16:00:00-05:00,25.84,26.19,25.81,26.11,19737.0
2024-12-05T16:00:00-05:00,25.98,26.13,25.89,26.02,19114.0
2024-12-06T16:00:00-05:00,26.28,26.56,26.28,26.51,29858.0
2024-12-09T16:00:00-05:00,26.67,26.83,26.57,26.64,22215.0
2024-12-10T16:00:00-05:00,26.6,26.6,26.29,26.36,22564.0
2024-12-11T16:00:00-05:00,26.92,27.14,26.815,26.86,25570.0
2024-12-12T16:00:00-05:00,25.92,25.97,25.47,25.53,37562.0
2024-12-13T16:00:00-05:00,26.47,26.63,26.25,26.35,45958.0
2024-12-16T16:00:00-05:00,26.2,26.48,26.11,26.29,41351.0
