time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,6.44,6.69,6.24,6.62,135729.0
2024-11-05T16:00:00-05:00,6.57,6.83,6.465,6.83,169414.0
2024-11-06T16:00:00-05:00,6.95,7.03,6.77,6.98,173383.0
2024-11-07T16:00:00-05:00,6.93,7.06,6.7,6.93,100675.0
2024-11-08T16:00:00-05:00,6.88,7.2,6.88,7.1,182539.0
2024-11-11T16:00:00-05:00,7.37,8.485,7.24,7.85,445127.0
2024-11-12T16:00:00-05:00,7.53,8.04,7.43,7.575,163368.0
2024-11-13T16:00:00-05:00,7.77,8.02,7.31,7.31,143218.0
2024-11-14T16:00:00-05:00,7.39,7.56,6.88,6.92,218149.0
2024-11-15T16:00:00-05:00,6.89,6.9,6.155,6.175,309142.0
2024-11-18T16:00:00-05:00,6.245,6.245,5.9,6.095,431346.0
2024-11-19T16:00:00-05:00,5.965,6.32,5.84,6.29,203903.0
2024-11-20T16:00:00-05:00,6.32,6.36,5.705,6.04,407308.0
2024-11-21T16:00:00-05:00,6.015,6.02,5.63,5.76,525534.0
2024-11-22T16:00:00-05:00,5.775,5.97,5.61,5.695,409094.0
2024-11-25T16:00:00-05:00,5.9,6.47,5.83,5.99,583901.0
2024-11-26T16:00:00-05:00,5.97,6.04,5.83,5.885,205549.0
2024-11-27T16:00:00-05:00,5.98,6.445,5.94,6.37,276137.0
2024-11-29T16:00:00-05:00,6.45,7.13,6.44,7.065,325308.0
2024-12-02T16:00:00-05:00,7.255,7.975,7.22,7.57,339051.0
2024-12-03T16:00:00-05:00,7.425,7.65,7.06,7.1,258951.0
2024-12-04T16:00:00-05:00,7.18,7.43,7.02,7.12,249642.0
2024-12-05T16:00:00-05:00,7.08,7.08,6.57,6.595,277456.0
2024-12-06T16:00:00-05:00,6.7,8.15,6.7,8.01,757355.0
2024-12-09T16:00:00-05:00,8.87,9.55,8.17,8.26,816491.0
2024-12-10T16:00:00-05:00,8.18,8.215,7.285,7.46,292202.0
2024-12-11T16:00:00-05:00,7.83,7.83,7.235,7.56,343183.0
2024-12-12T16:00:00-05:00,7.51,7.51,6.97,6.97,316178.0
2024-12-13T16:00:00-05:00,7.0,7.14,6.75,6.97,260142.0
2024-12-16T16:00:00-05:00,6.96,7.83,6.87,7.43,346762.0
2024-12-17T16:00:00-05:00,7.3,7.35,6.96,7.11,378725.0
2024-12-18T16:00:00-05:00,7.1,7.1,6.04,6.22,500411.0
2024-12-19T16:00:00-05:00,6.52,6.52,6.035,6.08,449395.0
2024-12-20T16:00:00-05:00,6.02,6.195,5.94,6.04,375827.0
2024-12-23T16:00:00-05:00,6.16,6.32,6.1,6.15,29206.0
2024-12-24T16:00:00-05:00,7.25,7.33,6.94,7.235,186418.0
2024-12-26T16:00:00-05:00,7.085,7.86,7.01,7.655,525946.0
2024-12-27T16:00:00-05:00,7.51,7.72,7.05,7.4,672963.0
2024-12-30T16:00:00-05:00,7.15,7.22,6.72,6.77,215927.0
2024-12-31T16:00:00-05:00,6.84,7.195,6.65,6.75,221428.0
2025-01-02T16:00:00-05:00,6.86,7.47,6.72,7.205,304576.0
2025-01-03T16:00:00-05:00,7.3,7.81,7.2,7.78,305247.0
2025-01-06T16:00:00-05:00,7.995,8.65,7.905,7.94,654152.0
2025-01-07T16:00:00-05:00,8.06,8.42,7.43,7.5,307497.0
2025-01-08T16:00:00-05:00,7.32,7.4,6.98,7.27,867656.0
2025-01-10T16:00:00-05:00,7.05,7.075,6.79,6.88,408459.0
2025-01-13T16:00:00-05:00,6.66,6.77,6.31,6.75,295509.0
2025-01-14T16:00:00-05:00,6.91,6.94,6.21,6.32,672943.0
2025-01-15T16:00:00-05:00,6.595,6.82,6.4,6.43,602386.0
2025-01-16T16:00:00-05:00,6.57,6.57,6.33,6.41,368768.0
2025-01-17T16:00:00-05:00,6.58,6.79,6.48,6.52,113230.0
2025-01-21T16:00:00-05:00,6.75,7.165,6.67,6.88,242884.0
2025-01-22T16:00:00-05:00,7.185,8.045,7.185,7.475,838396.0
2025-01-23T16:00:00-05:00,7.24,7.715,7.14,7.52,291335.0
2025-01-24T16:00:00-05:00,7.64,8.25,7.26,7.33,364202.0
