time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,4.065,4.09,3.565,3.565,118182.0
2023-11-07T16:00:00-05:00,3.57,3.66,3.33,3.345,226064.0
2023-11-08T16:00:00-05:00,3.405,3.53,3.305,3.44,106128.0
2023-11-09T16:00:00-05:00,3.48,3.5,3.245,3.255,101214.0
2023-11-10T16:00:00-05:00,3.3,3.36,3.24,3.355,95379.0
2023-11-13T16:00:00-05:00,3.28,3.415,3.25,3.345,44210.0
2023-11-14T16:00:00-05:00,3.61,3.71,3.56,3.67,138036.0
2023-11-15T16:00:00-05:00,3.745,3.95,3.69,3.77,120567.0
2023-11-16T16:00:00-05:00,3.7,3.73,3.55,3.705,98715.0
2023-11-17T16:00:00-05:00,3.75,3.91,3.69,3.875,97142.0
2023-11-20T16:00:00-05:00,3.845,3.94,3.82,3.855,94864.0
2023-11-21T16:00:00-05:00,3.81,3.82,3.64,3.69,99572.0
2023-11-22T16:00:00-05:00,3.8,3.95,3.74,3.755,78833.0
2023-11-24T16:00:00-05:00,3.775,3.85,3.75,3.84,25997.0
2023-11-27T16:00:00-05:00,3.725,3.775,3.645,3.715,82635.0
2023-11-28T16:00:00-05:00,3.635,3.69,3.565,3.655,61709.0
2023-11-29T16:00:00-05:00,3.77,3.845,3.63,3.635,26447.0
2023-11-30T16:00:00-05:00,3.73,3.73,3.5,3.53,62079.0
2023-12-01T16:00:00-05:00,3.53,3.805,3.435,3.79,70787.0
2023-12-04T16:00:00-05:00,3.85,3.915,3.76,3.845,142220.0
2023-12-05T16:00:00-05:00,3.77,3.77,3.54,3.55,294676.0
2023-12-06T16:00:00-05:00,3.6,3.76,3.52,3.52,186479.0
2023-12-07T16:00:00-05:00,3.595,3.67,3.56,3.67,68467.0
2023-12-08T16:00:00-05:00,3.655,3.96,3.655,3.87,124845.0
2023-12-11T16:00:00-05:00,3.855,4.09,3.835,4.065,186074.0
2023-12-12T16:00:00-05:00,4.0,4.06,3.905,3.995,74993.0
2023-12-13T16:00:00-05:00,4.025,4.31,3.94,4.305,188563.0
2023-12-14T16:00:00-05:00,4.54,4.665,4.31,4.425,228553.0
2023-12-15T16:00:00-05:00,4.47,4.47,4.275,4.315,111715.0
2023-12-18T16:00:00-05:00,4.22,4.36,4.2,4.245,117311.0
2023-12-19T16:00:00-05:00,4.33,4.57,4.33,4.42,91729.0
2023-12-20T16:00:00-05:00,4.395,4.43,4.19,4.195,72679.0
2023-12-21T16:00:00-05:00,4.35,4.56,4.32,4.54,155081.0
2023-12-22T16:00:00-05:00,4.54,4.555,4.41,4.49,55286.0
2023-12-26T16:00:00-05:00,4.505,4.57,4.48,4.55,33515.0
2023-12-27T16:00:00-05:00,4.575,4.61,4.515,4.53,38195.0
2023-12-28T16:00:00-05:00,4.5,4.545,4.41,4.465,38224.0
2023-12-29T16:00:00-05:00,4.405,4.545,4.39,4.405,46928.0
2024-01-02T16:00:00-05:00,4.28,4.28,4.125,4.27,147252.0
2024-01-03T16:00:00-05:00,4.12,4.335,4.095,4.21,128868.0
2024-01-04T16:00:00-05:00,4.17,4.3,4.15,4.265,130958.0
2024-01-05T16:00:00-05:00,4.23,4.48,4.225,4.35,95170.0
2024-01-08T16:00:00-05:00,4.39,4.625,4.365,4.61,90842.0
2024-01-09T16:00:00-05:00,4.52,4.52,4.37,4.375,68339.0
2024-01-10T16:00:00-05:00,4.31,4.43,4.28,4.365,51465.0
2024-01-11T16:00:00-05:00,4.26,4.33,4.17,4.32,70696.0
2024-01-12T16:00:00-05:00,4.415,4.415,4.19,4.23,51596.0
2024-01-16T16:00:00-05:00,4.1,4.27,4.065,4.25,68935.0
2024-01-17T16:00:00-05:00,4.145,4.175,4.02,4.15,72190.0
2024-01-18T16:00:00-05:00,4.205,4.215,4.08,4.19,65319.0
2024-01-19T16:00:00-05:00,4.215,4.36,4.2,4.335,53180.0
2024-01-22T16:00:00-05:00,4.445,4.475,4.285,4.365,57992.0
2024-01-23T16:00:00-05:00,4.48,4.49,4.36,4.415,47644.0
2024-01-24T16:00:00-05:00,4.48,4.5,4.32,4.335,58284.0
2024-01-25T16:00:00-05:00,4.45,4.5,4.39,4.49,50806.0
2024-01-26T16:00:00-05:00,4.54,4.595,4.495,4.505,47168.0
2024-01-29T16:00:00-05:00,4.4,4.535,4.39,4.53,70210.0
2024-01-30T16:00:00-05:00,4.355,4.38,4.2,4.275,187366.0
2024-01-31T16:00:00-05:00,4.22,4.36,4.09,4.1,147730.0
2024-02-01T16:00:00-05:00,4.2,4.22,4.08,4.18,50830.0
2024-02-02T16:00:00-05:00,4.06,4.21,4.06,4.15,66266.0
2024-02-05T16:00:00-05:00,4.03,4.065,3.95,4.03,98235.0
2024-02-06T16:00:00-05:00,4.0,4.17,4.0,4.16,67737.0
2024-02-07T16:00:00-05:00,4.14,4.145,4.005,4.04,66325.0
2024-02-08T16:00:00-05:00,4.015,4.14,3.99,4.135,42827.0
2024-02-09T16:00:00-05:00,4.11,4.16,4.04,4.14,53175.0
2024-02-12T16:00:00-05:00,4.26,4.4,4.23,4.4,120103.0
2024-02-13T16:00:00-05:00,4.11,4.315,4.085,4.16,169130.0
2024-02-14T16:00:00-05:00,4.245,4.44,4.2,4.4,100797.0
2024-02-15T16:00:00-05:00,3.615,3.635,3.115,3.42,732031.0
2024-02-16T16:00:00-05:00,3.38,3.38,2.825,2.95,337845.0
2024-02-20T16:00:00-05:00,2.98,2.98,2.69,2.77,281584.0
2024-02-21T16:00:00-05:00,2.73,2.93,2.72,2.895,171891.0
2024-02-22T16:00:00-05:00,2.865,2.985,2.825,2.84,160200.0
2024-02-23T16:00:00-05:00,2.81,2.82,2.715,2.725,99440.0
2024-02-26T16:00:00-05:00,2.69,2.71,2.63,2.66,132610.0
2024-02-27T16:00:00-05:00,2.74,2.81,2.66,2.675,128061.0
2024-02-28T16:00:00-05:00,2.635,2.68,2.59,2.615,91103.0
2024-02-29T16:00:00-05:00,2.64,2.76,2.63,2.65,50000.0
2024-03-01T16:00:00-05:00,2.64,2.7,2.59,2.61,56152.0
2024-03-04T16:00:00-05:00,2.06,2.46,2.06,2.415,566279.0
2024-03-05T16:00:00-05:00,2.365,2.37,2.125,2.155,412206.0
2024-03-06T16:00:00-05:00,2.18,2.24,2.04,2.19,306971.0
2024-03-07T16:00:00-05:00,2.21,2.265,2.175,2.19,155601.0
2024-03-08T16:00:00-05:00,2.205,2.24,2.105,2.125,191676.0
2024-03-11T16:00:00-04:00,2.11,2.155,2.015,2.02,146361.0
2024-03-12T16:00:00-04:00,2.0,2.04,1.95,1.955,129788.0
2024-03-13T16:00:00-04:00,1.925,1.985,1.92,1.925,295836.0
2024-03-14T16:00:00-04:00,1.875,1.915,1.815,1.9,150127.0
2024-03-15T16:00:00-04:00,1.955,2.0,1.9,1.985,120329.0
2024-03-18T16:00:00-04:00,1.965,2.01,1.94,1.955,120733.0
2024-03-19T16:00:00-04:00,1.95,2.05,1.94,2.025,85950.0
2024-03-20T16:00:00-04:00,2.015,2.35,2.005,2.3,204537.0
2024-03-21T16:00:00-04:00,2.33,2.35,2.285,2.325,91574.0
2024-03-22T16:00:00-04:00,2.29,2.32,2.2,2.305,77720.0
2024-03-25T16:00:00-04:00,2.37,2.405,2.3,2.305,91906.0
2024-03-26T16:00:00-04:00,2.39,2.395,2.27,2.3,118579.0
2024-03-27T16:00:00-04:00,2.31,2.43,2.3,2.42,102527.0
2024-03-28T16:00:00-04:00,2.44,2.46,2.315,2.41,116455.0
2024-04-01T16:00:00-04:00,2.43,2.51,2.37,2.415,181814.0
2024-04-02T16:00:00-04:00,2.355,2.6,2.295,2.6,150676.0
2024-04-03T16:00:00-04:00,2.555,2.64,2.555,2.635,182334.0
2024-04-04T16:00:00-04:00,2.68,2.76,2.565,2.575,252626.0
2024-04-05T16:00:00-04:00,2.51,2.665,2.51,2.66,274619.0
2024-04-08T16:00:00-04:00,2.67,2.795,2.605,2.635,319679.0
2024-04-09T16:00:00-04:00,2.65,2.745,2.65,2.705,85170.0
2024-04-10T16:00:00-04:00,2.58,2.695,2.56,2.66,117413.0
2024-04-11T16:00:00-04:00,2.69,2.78,2.59,2.745,88732.0
2024-04-12T16:00:00-04:00,2.7,2.715,2.625,2.655,181322.0
2024-04-15T16:00:00-04:00,2.61,2.65,2.52,2.585,208566.0
2024-04-16T16:00:00-04:00,2.485,2.595,2.485,2.555,93428.0
2024-04-17T16:00:00-04:00,2.6,2.675,2.545,2.615,116029.0
2024-04-18T16:00:00-04:00,2.615,2.69,2.565,2.57,82477.0
2024-04-19T16:00:00-04:00,2.545,2.61,2.47,2.485,64032.0
2024-04-22T16:00:00-04:00,2.48,2.69,2.45,2.65,83693.0
2024-04-23T16:00:00-04:00,2.685,2.795,2.635,2.755,95655.0
2024-04-24T16:00:00-04:00,2.76,2.76,2.64,2.755,57685.0
2024-04-25T16:00:00-04:00,2.71,2.78,2.655,2.755,64057.0
2024-04-26T16:00:00-04:00,2.78,2.83,2.735,2.79,82848.0
2024-04-29T16:00:00-04:00,2.89,2.92,2.81,2.86,123099.0
2024-04-30T16:00:00-04:00,2.86,2.915,2.835,2.87,94883.0
2024-05-01T16:00:00-04:00,2.78,3.05,2.78,2.905,221656.0
2024-05-02T16:00:00-04:00,3.125,3.125,2.805,2.905,168175.0
2024-05-03T16:00:00-04:00,2.965,3.06,2.5,2.57,221706.0
2024-05-06T16:00:00-04:00,2.65,2.71,2.59,2.645,86307.0
2024-05-07T16:00:00-04:00,2.775,2.775,2.62,2.665,86479.0
2024-05-08T16:00:00-04:00,2.62,2.645,2.52,2.64,149262.0
2024-05-09T16:00:00-04:00,2.645,2.86,2.645,2.795,75103.0
2024-05-10T16:00:00-04:00,2.97,2.97,2.81,2.84,78276.0
2024-05-13T16:00:00-04:00,2.9,3.115,2.895,3.02,160401.0
2024-05-14T16:00:00-04:00,3.11,3.175,3.03,3.1,87959.0
2024-05-15T16:00:00-04:00,3.115,3.19,3.06,3.165,93735.0
2024-05-16T16:00:00-04:00,3.24,3.26,3.08,3.09,88381.0
2024-05-17T16:00:00-04:00,3.06,3.15,3.03,3.04,26954.0
2024-05-20T16:00:00-04:00,3.04,3.115,3.025,3.05,77062.0
2024-05-21T16:00:00-04:00,3.04,3.155,3.005,3.015,238152.0
2024-05-22T16:00:00-04:00,3.04,3.075,2.92,2.92,33040.0
2024-05-23T16:00:00-04:00,2.895,2.99,2.83,2.99,53720.0
2024-05-24T16:00:00-04:00,2.975,3.09,2.975,3.09,50742.0
2024-05-28T16:00:00-04:00,3.18,3.18,3.03,3.065,42393.0
2024-05-29T16:00:00-04:00,3.01,3.06,2.96,2.98,50005.0
2024-05-30T16:00:00-04:00,3.035,3.125,3.005,3.045,45850.0
2024-05-31T16:00:00-04:00,3.14,3.185,3.03,3.135,51947.0
2024-06-03T16:00:00-04:00,3.19,3.325,3.1,3.18,108106.0
2024-06-04T16:00:00-04:00,3.145,3.145,3.0,3.045,169264.0
2024-06-05T16:00:00-04:00,3.075,3.13,3.035,3.085,34217.0
2024-06-06T16:00:00-04:00,3.04,3.09,2.965,2.97,50218.0
2024-06-07T16:00:00-04:00,2.885,2.885,2.76,2.805,82872.0
2024-06-10T16:00:00-04:00,2.76,2.95,2.735,2.91,28662.0
2024-06-11T16:00:00-04:00,2.855,2.95,2.83,2.89,52385.0
