time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,3.52,3.66,3.425,3.43,581199.0
2023-11-07T16:00:00-05:00,3.405,3.88,3.38,3.88,141861.0
2023-11-08T16:00:00-05:00,3.905,3.905,3.33,3.335,58097.0
2023-11-09T16:00:00-05:00,3.39,3.86,3.295,3.3,52107.0
2023-11-10T16:00:00-05:00,3.23,3.355,3.06,3.35,69403.0
2023-11-13T16:00:00-05:00,3.37,3.515,3.25,3.49,62466.0
2023-11-14T16:00:00-05:00,3.71,3.885,3.69,3.81,50523.0
2023-11-15T16:00:00-05:00,3.935,4.395,3.925,4.25,47883.0
2023-11-16T16:00:00-05:00,4.22,4.23,3.855,3.93,53255.0
2023-11-17T16:00:00-05:00,4.02,4.265,3.91,4.2,70985.0
2023-11-20T16:00:00-05:00,4.22,4.495,4.21,4.31,76683.0
2023-11-21T16:00:00-05:00,4.22,4.22,4.01,4.01,52756.0
2023-11-22T16:00:00-05:00,4.08,4.3,4.08,4.25,34127.0
2023-11-24T16:00:00-05:00,4.26,4.41,4.26,4.38,20080.0
2023-11-27T16:00:00-05:00,4.325,4.325,4.145,4.235,65174.0
2023-11-28T16:00:00-05:00,4.23,4.355,4.21,4.23,26938.0
2023-11-29T16:00:00-05:00,4.325,4.39,4.115,4.18,42161.0
2023-11-30T16:00:00-05:00,4.3,4.395,3.99,4.05,26557.0
2023-12-01T16:00:00-05:00,3.9,4.095,3.78,4.04,53094.0
2023-12-04T16:00:00-05:00,4.025,4.095,3.52,4.075,56533.0
2023-12-05T16:00:00-05:00,4.0,4.16,4.0,4.0,26589.0
2023-12-06T16:00:00-05:00,4.075,4.075,3.84,3.845,56214.0
2023-12-07T16:00:00-05:00,3.9,3.955,3.85,3.89,37015.0
2023-12-08T16:00:00-05:00,3.89,3.93,3.71,3.71,33913.0
2023-12-11T16:00:00-05:00,3.78,3.78,3.565,3.645,76344.0
2023-12-12T16:00:00-05:00,3.58,3.58,3.37,3.4,49863.0
2023-12-13T16:00:00-05:00,3.47,3.64,3.37,3.63,118727.0
2023-12-14T16:00:00-05:00,3.92,4.14,3.835,3.97,98486.0
2023-12-15T16:00:00-05:00,4.055,4.1,3.925,4.0,66178.0
2023-12-18T16:00:00-05:00,3.97,4.005,3.75,3.755,43861.0
2023-12-19T16:00:00-05:00,3.95,4.27,3.92,4.27,71763.0
2023-12-20T16:00:00-05:00,4.15,4.185,3.995,4.1,63376.0
2023-12-21T16:00:00-05:00,4.25,4.25,4.045,4.1,44967.0
2023-12-22T16:00:00-05:00,4.175,4.41,4.175,4.38,53391.0
2023-12-26T16:00:00-05:00,4.54,4.61,4.445,4.54,33806.0
2023-12-27T16:00:00-05:00,4.475,4.475,4.1,4.27,29338.0
2023-12-28T16:00:00-05:00,4.21,4.505,4.21,4.35,15194.0
2023-12-29T16:00:00-05:00,4.25,4.26,4.07,4.075,52650.0
2024-01-02T16:00:00-05:00,4.05,4.295,3.935,4.19,55789.0
2024-01-03T16:00:00-05:00,4.09,4.755,4.04,4.7,92705.0
2024-01-04T16:00:00-05:00,4.905,4.965,4.47,4.89,125836.0
2024-01-05T16:00:00-05:00,4.975,5.53,4.64,5.09,178293.0
2024-01-08T16:00:00-05:00,5.1,5.285,4.925,5.08,102125.0
2024-01-09T16:00:00-05:00,4.65,5.25,4.615,5.125,54863.0
2024-01-10T16:00:00-05:00,5.495,9.09,5.495,7.16,1427690.0
2024-01-11T16:00:00-05:00,6.94,7.055,5.835,6.615,248929.0
2024-01-12T16:00:00-05:00,6.705,6.895,5.965,6.32,102730.0
2024-01-16T16:00:00-05:00,6.51,6.82,6.025,6.37,67213.0
2024-01-17T16:00:00-05:00,6.155,6.34,5.93,6.13,40914.0
2024-01-18T16:00:00-05:00,5.94,6.045,5.505,5.65,52783.0
2024-01-19T16:00:00-05:00,5.545,5.545,4.855,5.06,141091.0
2024-01-22T16:00:00-05:00,5.18,5.585,5.18,5.385,53361.0
2024-01-23T16:00:00-05:00,5.49,5.5,5.24,5.33,26075.0
2024-01-24T16:00:00-05:00,5.56,5.945,5.255,5.315,35049.0
2024-01-25T16:00:00-05:00,5.39,5.485,5.275,5.34,125205.0
2024-01-26T16:00:00-05:00,5.57,5.57,5.33,5.465,53337.0
2024-01-29T16:00:00-05:00,5.43,5.98,5.24,5.98,25367.0
2024-01-30T16:00:00-05:00,5.925,5.935,5.64,5.655,25595.0
2024-01-31T16:00:00-05:00,5.66,5.815,5.47,5.49,30191.0
2024-02-01T16:00:00-05:00,5.435,5.825,5.435,5.825,26261.0
2024-02-02T16:00:00-05:00,5.7,5.815,5.59,5.745,25004.0
2024-02-05T16:00:00-05:00,5.55,6.035,5.55,6.02,23955.0
2024-02-06T16:00:00-05:00,5.94,6.33,5.895,6.25,26724.0
2024-02-07T16:00:00-05:00,6.21,6.21,6.005,6.1,28715.0
2024-02-08T16:00:00-05:00,6.39,6.83,5.865,6.14,278292.0
2024-02-09T16:00:00-05:00,6.22,6.54,6.165,6.48,67336.0
2024-02-12T16:00:00-05:00,6.45,6.475,6.055,6.32,94763.0
2024-02-13T16:00:00-05:00,6.28,6.565,6.23,6.265,70141.0
2024-02-14T16:00:00-05:00,6.42,7.425,6.365,7.23,80214.0
2024-02-15T16:00:00-05:00,7.32,8.74,7.3,8.53,131875.0
2024-02-16T16:00:00-05:00,8.2,8.925,8.165,8.66,72966.0
2024-02-20T16:00:00-05:00,8.7,8.91,8.105,8.15,51102.0
2024-02-21T16:00:00-05:00,8.0,8.11,7.6,8.01,49009.0
2024-02-22T16:00:00-05:00,7.975,8.305,7.89,8.08,42075.0
2024-02-23T16:00:00-05:00,8.145,8.73,8.145,8.28,33583.0
2024-02-26T16:00:00-05:00,8.21,8.505,8.205,8.455,42899.0
2024-02-27T16:00:00-05:00,8.505,9.99,8.5,9.96,77958.0
2024-02-28T16:00:00-05:00,9.695,10.84,9.695,10.67,69481.0
2024-02-29T16:00:00-05:00,10.82,10.82,9.905,10.02,104680.0
2024-03-01T16:00:00-05:00,11.59,12.0,10.905,11.26,133295.0
2024-03-04T16:00:00-05:00,11.43,11.43,9.3,9.455,69635.0
2024-03-05T16:00:00-05:00,9.4,9.895,9.18,9.8,70549.0
2024-03-06T16:00:00-05:00,9.835,9.835,8.325,9.72,110119.0
2024-03-07T16:00:00-05:00,9.99,10.14,9.525,9.575,39181.0
2024-03-08T16:00:00-05:00,9.75,10.2,9.36,9.49,29902.0
2024-03-11T16:00:00-04:00,9.86,10.0,9.435,9.51,24213.0
2024-03-12T16:00:00-04:00,9.39,9.525,9.105,9.27,14030.0
2024-03-13T16:00:00-04:00,9.5,9.88,9.495,9.88,28953.0
2024-03-14T16:00:00-04:00,9.805,9.805,8.955,9.07,33715.0
2024-03-15T16:00:00-04:00,8.985,9.375,8.875,8.9,52640.0
2024-03-18T16:00:00-04:00,8.825,9.085,8.54,8.91,39356.0
2024-03-19T16:00:00-04:00,8.735,8.76,8.25,8.645,76581.0
2024-03-20T16:00:00-04:00,8.605,9.0,8.415,8.96,82117.0
2024-03-21T16:00:00-04:00,9.03,9.36,9.03,9.14,18710.0
2024-03-22T16:00:00-04:00,9.1,9.285,8.975,9.14,34217.0
2024-03-25T16:00:00-04:00,9.185,9.595,8.965,9.1,27035.0
2024-03-26T16:00:00-04:00,9.23,9.55,9.015,9.46,26913.0
2024-03-27T16:00:00-04:00,9.395,10.0,9.255,10.0,22053.0
2024-03-28T16:00:00-04:00,9.98,10.085,9.77,9.98,20129.0
2024-04-01T16:00:00-04:00,9.91,10.135,9.855,10.12,22557.0
2024-04-02T16:00:00-04:00,9.26,9.65,8.785,8.815,33606.0
2024-04-03T16:00:00-04:00,8.72,9.205,8.72,9.175,63757.0
2024-04-04T16:00:00-04:00,9.375,9.375,8.46,8.49,34896.0
2024-04-05T16:00:00-04:00,8.35,9.045,8.31,9.01,21780.0
2024-04-08T16:00:00-04:00,9.1,9.19,8.81,9.1,32116.0
2024-04-09T16:00:00-04:00,8.98,9.35,8.93,9.34,18386.0
2024-04-10T16:00:00-04:00,8.79,9.04,8.75,8.99,39327.0
2024-04-11T16:00:00-04:00,9.075,9.37,8.955,9.36,34873.0
2024-04-12T16:00:00-04:00,9.33,9.39,8.8,8.95,43326.0
2024-04-15T16:00:00-04:00,9.01,9.15,8.54,8.55,51456.0
2024-04-16T16:00:00-04:00,8.5,8.595,8.33,8.39,33193.0
2024-04-17T16:00:00-04:00,8.46,8.475,8.17,8.265,32271.0
2024-04-18T16:00:00-04:00,8.05,8.05,7.66,7.73,42776.0
2024-04-19T16:00:00-04:00,7.56,7.825,7.255,7.6,61203.0
2024-04-22T16:00:00-04:00,7.635,7.96,7.515,7.96,44212.0
2024-04-23T16:00:00-04:00,8.04,8.3,8.0,8.09,43569.0
2024-04-24T16:00:00-04:00,8.065,8.6,8.065,8.58,40045.0
2024-04-25T16:00:00-04:00,8.355,8.55,8.26,8.52,59388.0
2024-04-26T16:00:00-04:00,8.59,8.88,8.495,8.71,33642.0
2024-04-29T16:00:00-04:00,8.94,9.18,8.72,9.1,54005.0
2024-04-30T16:00:00-04:00,8.99,9.11,8.68,9.005,54859.0
2024-05-01T16:00:00-04:00,8.915,10.02,8.795,9.63,68262.0
2024-05-02T16:00:00-04:00,9.485,9.93,9.445,9.78,21581.0
2024-05-03T16:00:00-04:00,10.05,10.465,9.98,10.45,40086.0
2024-05-06T16:00:00-04:00,10.275,10.435,9.965,9.975,38223.0
2024-05-07T16:00:00-04:00,10.09,10.23,9.83,10.03,21518.0
2024-05-08T16:00:00-04:00,9.755,9.865,9.275,9.485,45761.0
2024-05-09T16:00:00-04:00,9.24,9.39,7.26,7.5,170958.0
2024-05-10T16:00:00-04:00,7.48,7.965,7.405,7.555,104241.0
2024-05-13T16:00:00-04:00,7.77,7.985,7.455,7.89,59806.0
2024-05-14T16:00:00-04:00,8.125,8.9,8.125,8.6,39830.0
2024-05-15T16:00:00-04:00,8.785,9.285,8.73,9.285,33014.0
2024-05-16T16:00:00-04:00,9.03,9.03,8.55,8.55,33967.0
2024-05-17T16:00:00-04:00,8.55,8.78,8.4,8.72,42938.0
2024-05-20T16:00:00-04:00,8.59,8.97,8.59,8.635,25492.0
2024-05-21T16:00:00-04:00,8.53,8.695,8.29,8.305,23164.0
2024-05-22T16:00:00-04:00,8.31,8.46,8.185,8.28,28500.0
2024-05-23T16:00:00-04:00,8.21,8.25,7.815,7.98,20649.0
2024-05-24T16:00:00-04:00,8.085,8.245,8.0,8.02,12929.0
2024-05-28T16:00:00-04:00,8.195,8.2,7.555,7.8,28438.0
2024-05-29T16:00:00-04:00,7.615,7.825,7.51,7.755,28290.0
2024-05-30T16:00:00-04:00,7.865,7.865,7.6,7.61,42676.0
2024-05-31T16:00:00-04:00,7.68,7.885,7.49,7.49,61687.0
2024-06-03T16:00:00-04:00,7.51,8.13,7.5,7.815,57364.0
2024-06-04T16:00:00-04:00,7.715,7.875,7.5,7.51,27500.0
2024-06-05T16:00:00-04:00,7.5,7.855,7.48,7.83,30824.0
2024-06-06T16:00:00-04:00,7.69,7.85,7.335,7.355,19957.0
2024-06-07T16:00:00-04:00,7.215,7.32,6.98,6.98,27339.0
2024-06-10T16:00:00-04:00,6.855,7.065,6.7,6.905,113949.0
2024-06-11T16:00:00-04:00,6.685,6.985,6.615,6.885,30256.0
2024-06-12T16:00:00-04:00,7.275,7.275,6.8,6.8,22608.0
2024-06-13T16:00:00-04:00,6.83,7.185,6.83,7.14,43512.0
