time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,4.96,5.06,4.85,4.955,1620.0
2023-11-07T16:00:00-05:00,5.255,5.255,4.95,4.95,1757.0
2023-11-08T16:00:00-05:00,4.965,5.17,4.76,5.115,10342.0
2023-11-09T16:00:00-05:00,5.06,5.1,5.035,5.045,7056.0
2023-11-10T16:00:00-05:00,5.25,5.25,5.09,5.16,14565.0
2023-11-13T16:00:00-05:00,5.35,5.35,4.75,4.77,6400.0
2023-11-14T16:00:00-05:00,4.97,5.2,4.97,5.13,8061.0
2023-11-15T16:00:00-05:00,5.2,5.24,5.1,5.1,22054.0
2023-11-16T16:00:00-05:00,5.1,5.28,5.1,5.24,10852.0
2023-11-17T16:00:00-05:00,5.23,5.3,5.15,5.25,11740.0
2023-11-20T16:00:00-05:00,5.24,5.275,5.21,5.27,10376.0
2023-11-21T16:00:00-05:00,5.25,5.26,5.1,5.13,1343.0
2023-11-22T16:00:00-05:00,5.1,5.23,5.04,5.195,7585.0
2023-11-24T16:00:00-05:00,5.21,5.21,5.18,5.18,380.0
2023-11-27T16:00:00-05:00,5.19,5.19,5.05,5.05,4175.0
2023-11-28T16:00:00-05:00,4.99,4.99,4.91,4.93,10157.0
2023-11-29T16:00:00-05:00,5.08,5.165,5.05,5.11,4544.0
2023-11-30T16:00:00-05:00,5.1,5.1,5.01,5.01,1537.0
2023-12-01T16:00:00-05:00,4.98,5.0,4.91,4.93,8129.0
2023-12-04T16:00:00-05:00,5.06,5.06,4.87,4.87,3394.0
2023-12-05T16:00:00-05:00,4.89,5.01,4.875,4.88,5626.0
2023-12-06T16:00:00-05:00,4.9,4.9,4.8,4.84,4583.0
2023-12-07T16:00:00-05:00,4.77,4.82,4.685,4.82,2022.0
2023-12-08T16:00:00-05:00,4.89,5.13,4.88,4.99,2981.0
2023-12-11T16:00:00-05:00,5.035,5.075,4.96,4.98,2531.0
2023-12-12T16:00:00-05:00,4.98,5.09,4.98,5.07,4993.0
2023-12-13T16:00:00-05:00,5.15,5.15,5.035,5.045,2753.0
2023-12-14T16:00:00-05:00,5.21,5.21,5.15,5.165,1197.0
2023-12-15T16:00:00-05:00,5.14,5.14,4.93,4.98,9897.0
2023-12-18T16:00:00-05:00,5.0,5.09,4.97,4.97,5910.0
2023-12-19T16:00:00-05:00,5.05,5.1,5.05,5.1,748.0
2023-12-20T16:00:00-05:00,5.1,5.11,4.975,4.975,1341.0
2023-12-21T16:00:00-05:00,5.0,5.11,5.0,5.1,1193.0
2023-12-22T16:00:00-05:00,5.08,5.26,5.075,5.21,4677.0
2023-12-26T16:00:00-05:00,5.28,5.34,5.28,5.33,1046.0
2023-12-27T16:00:00-05:00,5.22,5.32,5.22,5.31,1011.0
2023-12-28T16:00:00-05:00,5.245,5.26,5.125,5.235,4119.0
2023-12-29T16:00:00-05:00,5.26,5.36,5.26,5.36,2957.0
2024-01-02T16:00:00-05:00,5.29,5.29,5.195,5.27,4850.0
2024-01-03T16:00:00-05:00,5.195,5.3,5.195,5.29,2045.0
2024-01-04T16:00:00-05:00,5.27,5.49,5.27,5.4,5339.0
2024-01-05T16:00:00-05:00,5.54,5.61,5.39,5.45,5007.0
2024-01-08T16:00:00-05:00,5.51,5.555,5.47,5.555,1034.0
2024-01-09T16:00:00-05:00,5.59,5.69,5.565,5.69,2246.0
2024-01-10T16:00:00-05:00,5.69,5.69,5.64,5.64,397.0
2024-01-11T16:00:00-05:00,5.52,5.585,5.43,5.585,2468.0
2024-01-12T16:00:00-05:00,5.4,5.44,5.39,5.4,2369.0
2024-01-16T16:00:00-05:00,5.37,5.66,5.34,5.65,2644.0
2024-01-17T16:00:00-05:00,5.36,5.5,5.355,5.47,2026.0
2024-01-18T16:00:00-05:00,5.41,5.61,5.41,5.59,1338.0
2024-01-19T16:00:00-05:00,5.51,5.51,5.47,5.51,800.0
2024-01-22T16:00:00-05:00,5.465,5.945,5.465,5.945,661.0
2024-01-23T16:00:00-05:00,6.16,6.32,6.01,6.29,2946.0
2024-01-24T16:00:00-05:00,6.32,6.32,6.16,6.24,829.0
2024-01-25T16:00:00-05:00,6.13,6.17,6.13,6.165,841.0
2024-01-26T16:00:00-05:00,6.22,6.22,6.22,6.22,242.0
