time,open,high,low,close,volume
2025-01-16T16:00:00-05:00,21.17,22.15,21.17,22.15,239.0
2025-01-17T16:00:00-05:00,21.93,23.19,21.93,22.6,6278.0
2025-01-21T16:00:00-05:00,24.58,26.87,24.58,26.41,1722.0
2025-01-22T16:00:00-05:00,25.75,25.75,25.34,25.47,401.0
2025-01-23T16:00:00-05:00,25.31,27.13,25.31,27.13,1429.0
2025-01-24T16:00:00-05:00,27.44,27.56,26.27,26.27,2199.0
2025-01-27T16:00:00-05:00,20.26,22.41,20.04,21.01,6070.0
2025-01-28T16:00:00-05:00,19.2,21.22,18.95,21.22,4600.0
2025-01-29T16:00:00-05:00,20.81,20.81,20.61,20.65,988.0
2025-01-30T16:00:00-05:00,22.32,22.4,22.1,22.1,3230.0
2025-01-31T16:00:00-05:00,20.38,20.38,19.65,19.65,1818.0
2025-02-03T16:00:00-05:00,19.37,19.5,19.01,19.01,300.0
2025-02-04T16:00:00-05:00,19.32,19.36,18.76,18.77,1231.0
2025-02-05T16:00:00-05:00,18.82,19.21,18.82,19.21,850.0
2025-02-06T16:00:00-05:00,19.15,19.15,19.15,19.15,123.0
2025-02-07T16:00:00-05:00,17.72,18.53,17.72,18.29,1837.0
2025-02-10T16:00:00-05:00,18.175,18.95,18.175,18.34,576.0
2025-02-11T16:00:00-05:00,17.71,18.07,17.65,17.65,570.0
2025-02-12T16:00:00-05:00,17.36,17.5,17.03,17.17,1318.0
2025-02-13T16:00:00-05:00,18.51,18.51,17.8,17.8,831.0
2025-02-14T16:00:00-05:00,18.67,21.19,18.67,20.81,4697.0
2025-02-18T16:00:00-05:00,21.79,22.62,21.79,22.26,2124.0
2025-02-19T16:00:00-05:00,21.61,21.61,20.54,20.54,2150.0
2025-02-20T16:00:00-05:00,19.62,19.62,18.18,18.88,2888.0
2025-02-21T16:00:00-05:00,18.66,18.79,16.71,16.81,5110.0
2025-02-24T16:00:00-05:00,16.96,17.05,15.08,16.2,2123.0
2025-02-25T16:00:00-05:00,14.16,15.29,14.16,15.15,1261.0
2025-02-26T16:00:00-05:00,15.89,16.19,15.76,16.19,579.0
2025-02-27T16:00:00-05:00,16.74,16.79,15.47,15.47,1162.0
2025-02-28T16:00:00-05:00,14.79,16.3,14.79,16.01,1812.0
2025-03-03T16:00:00-05:00,17.03,17.09,14.5,14.5,2835.0
2025-03-04T16:00:00-05:00,13.01,13.64,11.46,13.14,2522.0
2025-03-05T16:00:00-05:00,13.33,13.94,13.065,13.94,1564.0
2025-03-06T16:00:00-05:00,12.65,13.45,12.65,12.91,550.0
2025-03-07T16:00:00-05:00,12.11,12.17,10.81,11.82,2405.0
2025-03-10T16:00:00-04:00,10.97,10.98,9.38,9.73,2224.0
2025-03-11T16:00:00-04:00,9.58,9.84,9.17,9.67,1807.0
2025-03-12T16:00:00-04:00,10.73,10.9,10.1,10.74,5209.0
2025-03-13T16:00:00-04:00,10.87,10.88,9.74,9.74,4078.0
2025-03-14T16:00:00-04:00,10.27,10.9,10.24,10.88,7950.0
2025-03-17T16:00:00-04:00,10.88,10.88,10.88,10.88,0.0
2025-03-18T16:00:00-04:00,10.64,10.64,10.49,10.6,1200.0
2025-03-19T16:00:00-04:00,10.78,11.86,10.78,11.86,500.0
2025-03-20T16:00:00-04:00,11.84,12.23,11.74,11.8,1500.0
2025-03-21T16:00:00-04:00,11.56,11.56,11.56,11.56,100.0
2025-03-24T16:00:00-04:00,13.18,13.67,12.99,13.67,800.0
2025-03-25T16:00:00-04:00,13.74,14.0,13.61,13.64,2111.0
2025-03-26T16:00:00-04:00,12.54,12.79,12.5,12.6,1369.0
2025-03-27T16:00:00-04:00,11.13,11.46,10.85,10.92,1449.0
2025-03-28T16:00:00-04:00,10.75,10.75,10.12,10.15,598.0
2025-03-31T16:00:00-04:00,9.56,9.75,8.77,9.75,780.0
2025-04-01T16:00:00-04:00,10.06,10.06,10.06,10.06,365.0
2025-04-02T16:00:00-04:00,10.36,11.1,10.34,10.79,2317.0
2025-04-03T16:00:00-04:00,9.17,9.17,7.97,7.97,1699.0
2025-04-04T16:00:00-04:00,7.26,7.26,5.46,6.27,6877.0
2025-04-07T16:00:00-04:00,5.15,7.18,5.15,6.88,27125.0
2025-04-08T16:00:00-04:00,7.66,7.66,6.02,6.17,24729.0
2025-04-09T16:00:00-04:00,6.27,9.01,6.24,8.84,88391.0
2025-04-10T16:00:00-04:00,8.06,8.06,6.96,7.39,10782.0
2025-04-11T16:00:00-04:00,7.1,7.63,6.82,7.61,5308.0
2025-04-14T16:00:00-04:00,8.26,8.27,7.45,7.81,7560.0
2025-04-15T16:00:00-04:00,7.93,8.01,7.79,7.83,2755.0
2025-04-16T16:00:00-04:00,7.79,7.85,7.29,7.54,7282.0
2025-04-17T16:00:00-04:00,7.64,8.075,7.53,8.03,7580.0
2025-04-21T16:00:00-04:00,8.1,8.14,7.44,7.62,5348.0
2025-04-22T16:00:00-04:00,8.04,8.57,8.04,8.35,8145.0
2025-04-23T16:00:00-04:00,9.48,9.89,9.13,9.13,17137.0
2025-04-24T16:00:00-04:00,9.18,10.01,9.18,10.01,5211.0
2025-04-25T16:00:00-04:00,10.59,11.11,10.59,10.83,7836.0
2025-04-28T16:00:00-04:00,11.66,11.71,10.76,11.39,6322.0
2025-04-29T16:00:00-04:00,13.19,13.47,11.56,11.58,11411.0
2025-04-30T16:00:00-04:00,10.29,10.29,9.84,10.26,5457.0
2025-05-01T16:00:00-04:00,10.32,10.75,10.22,10.59,1709.0
2025-05-02T16:00:00-04:00,10.46,10.74,10.42,10.465,1830.0
2025-05-05T16:00:00-04:00,10.75,10.88,10.75,10.84,962.0
2025-05-06T16:00:00-04:00,10.26,10.58,10.26,10.56,950.0
2025-05-07T16:00:00-04:00,10.84,11.37,10.78,11.04,835.0
2025-05-08T16:00:00-04:00,11.32,11.55,11.32,11.49,6595.0
2025-05-09T16:00:00-04:00,11.385,11.385,10.81,11.32,672.0
2025-05-12T16:00:00-04:00,12.51,12.8,12.36,12.795,13421.0
2025-05-13T16:00:00-04:00,12.86,13.29,12.86,13.29,1892.0
2025-05-14T16:00:00-04:00,12.88,12.88,12.68,12.68,893.0
2025-05-15T16:00:00-04:00,12.24,12.24,11.48,11.88,3173.0
2025-05-16T16:00:00-04:00,11.88,12.54,11.87,12.47,1188.0
2025-05-19T16:00:00-04:00,11.78,12.28,11.76,12.22,1250.0
2025-05-20T16:00:00-04:00,11.515,11.58,11.28,11.28,475.0
2025-05-21T16:00:00-04:00,11.07,11.16,10.46,10.49,1924.0
2025-05-22T16:00:00-04:00,10.65,11.14,10.65,11.14,400.0
2025-05-23T16:00:00-04:00,10.66,11.04,10.66,10.97,1705.0
2025-05-27T16:00:00-04:00,11.34,11.38,11.01,11.33,1144.0
2025-05-28T16:00:00-04:00,11.33,11.33,11.33,11.33,0.0
2025-05-29T16:00:00-04:00,11.12,11.12,11.12,11.12,101.0
2025-05-30T16:00:00-04:00,10.88,11.26,10.64,11.26,300.0
2025-06-02T16:00:00-04:00,11.67,11.93,10.98,11.93,1917.0
2025-06-03T16:00:00-04:00,11.77,11.87,11.77,11.84,2444.0
2025-06-04T16:00:00-04:00,11.25,11.565,11.25,11.565,1022.0
2025-06-05T16:00:00-04:00,11.81,12.89,11.79,11.9,11964.0
2025-06-06T16:00:00-04:00,12.69,13.06,12.34,12.81,2867.0
2025-06-09T16:00:00-04:00,12.86,13.09,12.465,12.53,1300.0
2025-06-10T16:00:00-04:00,12.465,13.09,12.465,13.09,1217.0
2025-06-11T16:00:00-04:00,13.93,14.27,13.87,14.27,400.0
2025-06-12T16:00:00-04:00,14.12,14.16,14.02,14.02,900.0
2025-06-13T16:00:00-04:00,12.98,13.47,12.23,12.415,7201.0
2025-06-16T16:00:00-04:00,13.04,13.84,13.04,13.84,2537.0
2025-06-17T16:00:00-04:00,13.57,13.58,12.68,12.96,1105.0
2025-06-18T16:00:00-04:00,13.76,14.73,13.76,14.62,2843.0
2025-06-20T16:00:00-04:00,15.055,15.06,13.95,14.385,2201.0
2025-06-23T16:00:00-04:00,14.08,14.76,13.55,14.6,2361.0
2025-06-24T16:00:00-04:00,15.29,15.66,15.29,15.55,950.0
2025-06-25T16:00:00-04:00,16.11,16.11,15.87,16.02,835.0
2025-06-26T16:00:00-04:00,16.465,17.38,16.465,17.38,1784.0
