time,open,high,low,close,volume
2023-11-06T16:00:00-05:00,56.07,56.07,56.07,56.07,0.0
2023-11-07T16:00:00-05:00,59.18,59.18,59.05,59.16,1278.0
2023-11-08T16:00:00-05:00,59.17,59.565,58.99,59.48,1540.0
2023-11-09T16:00:00-05:00,59.67,59.84,59.27,59.27,2123.0
2023-11-10T16:00:00-05:00,59.27,59.27,59.27,59.27,0.0
2023-11-13T16:00:00-05:00,60.37,60.37,60.37,60.37,161.0
2023-11-14T16:00:00-05:00,61.6,61.6,61.6,61.6,200.0
2023-11-15T16:00:00-05:00,61.6,61.6,61.6,61.6,0.0
2023-11-16T16:00:00-05:00,61.3,61.3,61.3,61.3,319.0
2023-11-17T16:00:00-05:00,61.5,61.73,61.5,61.67,3845.0
2023-11-20T16:00:00-05:00,61.71,62.05,61.71,62.05,213.0
2023-11-21T16:00:00-05:00,62.13,62.17,62.1,62.12,7865.0
2023-11-22T16:00:00-05:00,62.12,62.12,62.12,62.12,0.0
2023-11-24T16:00:00-05:00,62.01,62.01,62.01,62.01,112.0
2023-11-27T16:00:00-05:00,62.01,62.01,62.01,62.01,0.0
2023-11-28T16:00:00-05:00,62.01,62.01,62.01,62.01,0.0
2023-11-29T16:00:00-05:00,62.01,62.01,62.01,62.01,0.0
2023-11-30T16:00:00-05:00,61.3,61.3,61.295,61.295,334.0
2023-12-01T16:00:00-05:00,61.61,61.83,61.61,61.83,401.0
2023-12-04T16:00:00-05:00,61.83,61.83,61.83,61.83,0.0
2023-12-05T16:00:00-05:00,61.83,61.83,61.83,61.83,0.0
2023-12-06T16:00:00-05:00,61.71,61.71,61.22,61.27,1062.0
2023-12-07T16:00:00-05:00,61.22,61.33,61.22,61.33,461.0
2023-12-08T16:00:00-05:00,61.86,61.99,61.58,61.99,1444.0
2023-12-11T16:00:00-05:00,62.34,62.63,62.34,62.63,217.0
2023-12-12T16:00:00-05:00,62.89,62.9,62.85,62.88,684.0
2023-12-13T16:00:00-05:00,63.71,63.71,63.71,63.71,905.0
2023-12-14T16:00:00-05:00,64.09,64.23,63.92,64.06,2795.0
2023-12-15T16:00:00-05:00,64.39,64.45,64.39,64.45,295.0
