time,open,high,low,close,volume
2024-10-09T09:35:00-04:00,88.81,88.945,88.8,88.945,3999.0
2024-10-09T09:40:00-04:00,88.955,89.06,88.955,89.06,1199.0
2024-10-09T09:45:00-04:00,88.99,88.99,88.88,88.895,476.0
2024-10-09T09:50:00-04:00,88.835,88.88,88.835,88.88,392.0
2024-10-09T09:55:00-04:00,89.16,89.16,89.04,89.04,618.0
2024-10-09T10:00:00-04:00,89.05,89.19,88.905,88.905,2635.0
2024-10-09T10:05:00-04:00,88.93,88.93,88.87,88.89,1125.0
2024-10-09T10:10:00-04:00,88.845,88.93,88.83,88.83,1326.0
2024-10-09T10:15:00-04:00,88.7,88.7,88.635,88.635,200.0
2024-10-09T10:20:00-04:00,88.57,88.58,88.545,88.58,939.0
2024-10-09T10:25:00-04:00,88.52,88.6,88.475,88.475,1150.0
2024-10-09T10:30:00-04:00,88.56,88.56,88.455,88.455,1373.0
2024-10-09T10:35:00-04:00,88.44,88.58,88.44,88.58,1111.0
2024-10-09T10:40:00-04:00,88.55,88.56,88.515,88.56,703.0
2024-10-09T10:45:00-04:00,88.61,88.68,88.61,88.68,518.0
2024-10-09T10:50:00-04:00,88.775,88.85,88.775,88.85,542.0
2024-10-09T10:55:00-04:00,88.835,88.835,88.825,88.825,220.0
2024-10-09T11:00:00-04:00,88.84,88.84,88.75,88.75,498.0
2024-10-09T11:05:00-04:00,88.75,88.82,88.73,88.82,512.0
2024-10-09T11:10:00-04:00,88.83,88.87,88.81,88.87,511.0
2024-10-09T11:15:00-04:00,88.96,88.96,88.96,88.96,634.0
2024-10-09T11:20:00-04:00,89.01,89.01,89.01,89.01,176.0
2024-10-09T11:25:00-04:00,89.005,89.07,89.005,89.07,633.0
2024-10-09T11:30:00-04:00,89.08,89.08,89.065,89.065,204.0
2024-10-09T11:35:00-04:00,89.07,89.07,88.97,89.03,1038.0
2024-10-09T11:40:00-04:00,88.985,88.99,88.975,88.98,1235.0
2024-10-09T11:45:00-04:00,88.975,89.11,88.975,89.11,569.0
2024-10-09T11:50:00-04:00,89.11,89.13,89.11,89.11,676.0
2024-10-09T11:55:00-04:00,89.12,89.12,89.035,89.035,1683.0
2024-10-09T12:00:00-04:00,88.965,88.965,88.91,88.91,875.0
2024-10-09T12:05:00-04:00,88.94,88.94,88.85,88.85,676.0
2024-10-09T12:10:00-04:00,88.87,88.92,88.87,88.905,944.0
2024-10-09T12:15:00-04:00,88.89,88.89,88.79,88.79,838.0
2024-10-09T12:20:00-04:00,88.795,88.82,88.795,88.8,747.0
2024-10-09T12:25:00-04:00,88.82,88.84,88.76,88.76,1778.0
2024-10-09T12:30:00-04:00,88.745,88.745,88.695,88.73,2050.0
2024-10-09T12:35:00-04:00,88.755,88.755,88.72,88.72,629.0
2024-10-09T12:40:00-04:00,88.775,88.775,88.7,88.7,380.0
2024-10-09T12:45:00-04:00,88.695,88.695,88.695,88.695,113.0
2024-10-09T12:50:00-04:00,88.69,88.69,88.69,88.69,100.0
2024-10-09T12:55:00-04:00,88.65,88.65,88.65,88.65,169.0
2024-10-09T13:00:00-04:00,88.65,88.69,88.65,88.675,485.0
2024-10-09T13:05:00-04:00,88.78,88.81,88.78,88.81,327.0
2024-10-09T13:10:00-04:00,88.83,88.84,88.8,88.84,492.0
2024-10-09T13:20:00-04:00,88.89,88.9,88.875,88.875,312.0
2024-10-09T13:25:00-04:00,88.855,88.855,88.75,88.75,500.0
2024-10-09T13:30:00-04:00,88.705,88.745,88.695,88.725,898.0
2024-10-09T13:35:00-04:00,88.73,88.75,88.73,88.74,330.0
2024-10-09T13:40:00-04:00,88.75,88.75,88.715,88.73,501.0
2024-10-09T13:45:00-04:00,88.71,88.74,88.71,88.74,750.0
2024-10-09T13:50:00-04:00,88.73,88.73,88.62,88.67,2324.0
2024-10-09T13:55:00-04:00,88.71,88.71,88.56,88.71,2076.0
2024-10-09T14:00:00-04:00,88.64,88.64,88.53,88.53,515.0
2024-10-09T14:05:00-04:00,88.56,88.56,88.5,88.56,998.0
2024-10-09T14:10:00-04:00,88.53,88.53,88.515,88.515,338.0
2024-10-09T14:15:00-04:00,88.51,88.51,88.5,88.5,202.0
2024-10-09T14:20:00-04:00,88.37,88.37,88.19,88.21,1004.0
2024-10-09T14:25:00-04:00,88.29,88.375,88.29,88.375,583.0
2024-10-09T14:30:00-04:00,88.32,88.34,88.3,88.34,1094.0
2024-10-09T14:35:00-04:00,88.375,88.41,88.35,88.41,974.0
2024-10-09T14:40:00-04:00,88.4,88.41,88.385,88.39,533.0
2024-10-09T14:45:00-04:00,88.45,88.51,88.45,88.51,602.0
2024-10-09T14:50:00-04:00,88.54,88.54,88.465,88.465,999.0
2024-10-09T14:55:00-04:00,88.405,88.43,88.38,88.4,527.0
2024-10-09T15:00:00-04:00,88.4,88.44,88.4,88.44,480.0
2024-10-09T15:05:00-04:00,88.355,88.43,88.355,88.43,739.0
2024-10-09T15:10:00-04:00,88.47,88.47,88.45,88.47,1172.0
2024-10-09T15:15:00-04:00,88.52,88.53,88.52,88.53,508.0
2024-10-09T15:20:00-04:00,88.53,88.53,88.485,88.49,1024.0
2024-10-09T15:25:00-04:00,88.5,88.65,88.5,88.65,996.0
2024-10-09T15:30:00-04:00,88.585,88.585,88.585,88.585,153.0
2024-10-09T15:35:00-04:00,88.57,88.595,88.56,88.59,1058.0
2024-10-09T15:40:00-04:00,88.635,88.675,88.61,88.63,981.0
2024-10-09T15:45:00-04:00,88.645,88.69,88.63,88.69,1793.0
2024-10-09T15:50:00-04:00,88.675,88.955,88.675,88.955,2547.0
2024-10-09T15:55:00-04:00,88.975,88.99,88.84,88.9,9736.0
2024-10-10T09:35:00-04:00,88.87,88.91,88.87,88.91,400.0
2024-10-10T09:45:00-04:00,88.95,88.95,88.78,88.83,1550.0
2024-10-10T09:50:00-04:00,88.85,89.335,88.8,89.32,4841.0
2024-10-10T09:55:00-04:00,89.32,89.32,89.06,89.065,1983.0
2024-10-10T10:00:00-04:00,89.06,89.295,89.06,89.285,3229.0
2024-10-10T10:05:00-04:00,89.3,89.49,89.3,89.46,2162.0
2024-10-10T10:10:00-04:00,89.46,89.46,89.26,89.26,998.0
2024-10-10T10:15:00-04:00,89.38,89.42,89.38,89.42,426.0
2024-10-10T10:20:00-04:00,89.42,89.43,89.41,89.41,684.0
2024-10-10T10:25:00-04:00,89.49,89.49,89.43,89.43,918.0
2024-10-10T10:30:00-04:00,89.5,89.67,89.5,89.67,1289.0
2024-10-10T10:35:00-04:00,89.69,89.73,89.69,89.73,1332.0
2024-10-10T10:40:00-04:00,89.76,89.76,89.7,89.72,864.0
2024-10-10T10:45:00-04:00,89.57,89.57,89.47,89.54,1398.0
2024-10-10T10:50:00-04:00,89.54,89.615,89.52,89.55,1679.0
2024-10-10T10:55:00-04:00,89.465,89.48,89.33,89.33,2192.0
2024-10-10T11:00:00-04:00,89.16,89.16,89.16,89.16,129.0
2024-10-10T11:05:00-04:00,89.245,89.32,89.245,89.32,291.0
2024-10-10T11:10:00-04:00,89.31,89.34,89.31,89.34,317.0
2024-10-10T11:15:00-04:00,89.4,89.41,89.4,89.41,251.0
2024-10-10T11:20:00-04:00,89.39,89.39,89.31,89.31,322.0
2024-10-10T11:25:00-04:00,89.27,89.27,89.27,89.27,102.0
2024-10-10T11:30:00-04:00,89.29,89.29,89.25,89.28,670.0
2024-10-10T11:35:00-04:00,89.28,89.28,89.23,89.23,402.0
2024-10-10T11:40:00-04:00,89.19,89.19,89.12,89.12,1097.0
2024-10-10T11:45:00-04:00,89.26,89.26,89.22,89.22,1101.0
2024-10-10T11:50:00-04:00,89.2,89.2,89.2,89.2,370.0
2024-10-10T11:55:00-04:00,89.24,89.28,89.24,89.28,401.0
2024-10-10T12:00:00-04:00,89.29,89.34,89.29,89.34,520.0
2024-10-10T12:05:00-04:00,89.37,89.37,89.37,89.37,104.0
2024-10-10T12:10:00-04:00,89.5,89.5,89.47,89.49,405.0
2024-10-10T12:15:00-04:00,89.49,89.49,89.49,89.49,100.0
2024-10-10T12:20:00-04:00,89.58,89.62,89.58,89.61,530.0
2024-10-10T12:25:00-04:00,89.63,89.68,89.63,89.66,993.0
2024-10-10T12:30:00-04:00,89.66,89.66,89.61,89.64,1124.0
2024-10-10T12:35:00-04:00,89.62,89.62,89.62,89.62,201.0
2024-10-10T12:40:00-04:00,89.59,89.59,89.36,89.37,1297.0
2024-10-10T12:45:00-04:00,89.41,89.41,89.36,89.36,803.0
2024-10-10T12:55:00-04:00,89.48,89.5,89.45,89.46,1775.0
2024-10-10T13:00:00-04:00,89.39,89.39,89.32,89.32,202.0
2024-10-10T13:05:00-04:00,89.26,89.28,89.26,89.27,700.0
2024-10-10T13:15:00-04:00,89.23,89.23,89.225,89.225,322.0
2024-10-10T13:25:00-04:00,89.42,89.43,89.38,89.38,577.0
2024-10-10T13:40:00-04:00,89.24,89.24,89.24,89.24,311.0
2024-10-10T13:45:00-04:00,89.24,89.24,89.17,89.17,699.0
2024-10-10T13:50:00-04:00,89.14,89.14,89.07,89.07,200.0
2024-10-10T13:55:00-04:00,89.13,89.22,89.13,89.22,210.0
2024-10-10T14:00:00-04:00,89.19,89.19,89.1,89.1,550.0
2024-10-10T14:05:00-04:00,89.17,89.18,89.15,89.18,982.0
2024-10-10T14:10:00-04:00,89.22,89.22,89.2,89.21,707.0
2024-10-10T14:15:00-04:00,89.17,89.18,89.11,89.11,704.0
2024-10-10T14:20:00-04:00,89.11,89.13,89.06,89.13,1647.0
2024-10-10T14:25:00-04:00,89.12,89.22,89.12,89.22,746.0
2024-10-10T14:30:00-04:00,89.2,89.2,89.16,89.16,657.0
2024-10-10T14:35:00-04:00,89.15,89.16,89.15,89.15,745.0
2024-10-10T14:40:00-04:00,89.15,89.15,89.07,89.07,1004.0
2024-10-10T14:45:00-04:00,89.11,89.21,89.11,89.2,679.0
2024-10-10T14:50:00-04:00,89.17,89.17,89.12,89.12,462.0
2024-10-10T14:55:00-04:00,89.12,89.14,89.11,89.11,996.0
2024-10-10T15:00:00-04:00,89.18,89.18,89.1,89.1,759.0
2024-10-10T15:05:00-04:00,89.07,89.07,89.07,89.07,233.0
2024-10-10T15:10:00-04:00,89.15,89.16,89.1,89.1,1091.0
2024-10-10T15:15:00-04:00,89.1,89.17,89.07,89.17,449.0
2024-10-10T15:20:00-04:00,89.12,89.135,89.12,89.135,398.0
2024-10-10T15:25:00-04:00,89.12,89.12,89.12,89.12,500.0
2024-10-10T15:30:00-04:00,89.13,89.21,89.13,89.21,615.0
2024-10-10T15:35:00-04:00,89.17,89.23,89.17,89.23,1800.0
2024-10-10T15:40:00-04:00,89.27,89.32,89.26,89.27,1766.0
2024-10-10T15:45:00-04:00,89.25,89.265,89.19,89.19,1040.0
2024-10-10T15:50:00-04:00,89.14,89.305,89.14,89.305,1932.0
2024-10-10T15:55:00-04:00,89.29,89.395,89.24,89.35,16893.0
2024-10-11T09:30:00-04:00,90.055,90.515,90.055,90.515,657.0
2024-10-11T09:35:00-04:00,90.03,90.03,89.845,89.845,1980.0
2024-10-11T09:40:00-04:00,90.27,90.27,89.905,89.905,551.0
2024-10-11T09:45:00-04:00,90.005,90.06,89.975,89.975,654.0
2024-10-11T09:50:00-04:00,90.025,90.38,90.025,90.38,1806.0
2024-10-11T09:55:00-04:00,90.445,90.77,90.445,90.765,1939.0
2024-10-11T10:00:00-04:00,90.765,90.8,90.62,90.65,2000.0
2024-10-11T10:05:00-04:00,90.6,90.76,90.6,90.76,962.0
2024-10-11T10:10:00-04:00,90.6,90.67,90.48,90.51,2083.0
2024-10-11T10:15:00-04:00,90.55,90.6,90.46,90.46,1860.0
2024-10-11T10:20:00-04:00,90.47,90.58,90.37,90.54,2426.0
2024-10-11T10:25:00-04:00,90.645,90.655,90.59,90.6,2463.0
2024-10-11T10:30:00-04:00,90.56,90.56,90.38,90.38,1112.0
2024-10-11T10:35:00-04:00,90.46,90.55,90.45,90.535,2815.0
2024-10-11T10:40:00-04:00,90.58,90.58,90.49,90.49,1430.0
2024-10-11T10:45:00-04:00,90.51,90.61,90.46,90.5,701.0
2024-10-11T10:50:00-04:00,90.49,90.56,90.49,90.56,729.0
2024-10-11T10:55:00-04:00,90.44,90.6,90.44,90.6,1219.0
2024-10-11T11:00:00-04:00,90.54,90.54,90.48,90.48,1548.0
2024-10-11T11:05:00-04:00,90.49,90.52,90.4,90.52,1879.0
2024-10-11T11:10:00-04:00,90.5,90.59,90.5,90.59,1552.0
2024-10-11T11:15:00-04:00,90.59,90.625,90.58,90.6,885.0
2024-10-11T11:20:00-04:00,90.59,90.59,90.54,90.56,1344.0
2024-10-11T11:25:00-04:00,90.62,90.685,89.55,90.075,20259.0
2024-10-11T11:30:00-04:00,90.075,90.31,89.78,89.895,14298.0
2024-10-11T11:35:00-04:00,89.79,89.98,89.79,89.825,4011.0
2024-10-11T11:40:00-04:00,89.845,89.98,89.845,89.98,2996.0
2024-10-11T11:45:00-04:00,89.965,90.2,89.96,90.1,12343.0
2024-10-11T11:50:00-04:00,90.1,90.19,89.915,89.915,3336.0
2024-10-11T11:55:00-04:00,89.92,89.92,89.44,89.68,5158.0
2024-10-11T12:00:00-04:00,89.67,89.69,89.59,89.59,302.0
2024-10-11T12:05:00-04:00,89.695,89.74,89.59,89.59,676.0
