time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,8.86,9.15,8.8,8.835,12268.0
2024-11-05T16:00:00-05:00,9.01,9.1,8.61,8.79,13604.0
2024-11-06T16:00:00-05:00,9.17,9.73,9.01,9.675,85240.0
2024-11-07T16:00:00-05:00,9.695,10.015,9.66,9.81,81079.0
2024-11-08T16:00:00-05:00,9.88,9.955,9.55,9.72,23484.0
2024-11-11T16:00:00-05:00,9.485,9.79,9.41,9.7,19791.0
2024-11-12T16:00:00-05:00,9.82,9.94,9.48,9.87,17198.0
2024-11-13T16:00:00-05:00,10.03,10.05,9.815,9.98,29541.0
2024-11-14T16:00:00-05:00,10.01,10.48,10.01,10.4,24266.0
2024-11-15T16:00:00-05:00,10.38,10.75,10.305,10.62,28951.0
2024-11-18T16:00:00-05:00,10.89,11.445,10.87,11.24,26292.0
2024-11-19T16:00:00-05:00,11.16,11.36,10.92,11.155,26045.0
2024-11-20T16:00:00-05:00,11.12,11.42,10.93,11.42,16917.0
2024-11-21T16:00:00-05:00,11.545,11.55,10.62,10.69,57124.0
2024-11-22T16:00:00-05:00,10.665,10.88,10.36,10.7,77893.0
2024-11-25T16:00:00-05:00,10.83,11.0,10.455,10.88,44133.0
2024-11-26T16:00:00-05:00,10.29,11.69,10.29,11.43,37471.0
2024-11-27T16:00:00-05:00,11.55,11.86,11.25,11.39,33272.0
2024-11-29T16:00:00-05:00,11.12,11.98,11.12,11.93,28960.0
2024-12-02T16:00:00-05:00,12.2,12.47,11.83,12.185,65183.0
2024-12-03T16:00:00-05:00,12.3,12.47,12.04,12.22,24798.0
2024-12-04T16:00:00-05:00,12.305,12.36,11.65,11.7,26449.0
2024-12-05T16:00:00-05:00,11.9,12.54,11.9,12.37,25349.0
2024-12-06T16:00:00-05:00,12.475,12.64,12.22,12.54,35169.0
2024-12-09T16:00:00-05:00,12.64,12.83,12.2,12.45,21950.0
2024-12-10T16:00:00-05:00,12.78,12.9,12.04,12.16,27559.0
2024-12-11T16:00:00-05:00,12.39,13.02,11.83,13.02,25017.0
2024-12-12T16:00:00-05:00,13.365,13.5,12.97,13.19,30903.0
2024-12-13T16:00:00-05:00,13.21,13.43,12.99,13.21,20838.0
2024-12-16T16:00:00-05:00,14.09,15.67,13.88,15.41,155762.0
2024-12-17T16:00:00-05:00,15.73,16.24,15.01,15.54,56869.0
2024-12-18T16:00:00-05:00,15.82,15.855,14.32,14.46,65653.0
2024-12-19T16:00:00-05:00,15.15,15.66,14.5,14.52,41537.0
2024-12-20T16:00:00-05:00,14.36,15.57,14.23,15.43,49898.0
2024-12-23T16:00:00-05:00,15.375,15.375,14.89,15.35,4531.0
2024-12-24T16:00:00-05:00,15.7,15.8,15.46,15.8,22557.0
2024-12-26T16:00:00-05:00,15.77,15.915,15.5,15.5,26766.0
2024-12-27T16:00:00-05:00,15.655,15.655,15.135,15.53,52395.0
2024-12-30T16:00:00-05:00,15.115,15.59,14.94,15.1,56548.0
2024-12-31T16:00:00-05:00,15.28,15.335,14.99,15.09,10312.0
2025-01-02T16:00:00-05:00,15.16,16.78,15.07,16.63,51680.0
2025-01-03T16:00:00-05:00,16.995,17.1,16.23,17.07,49899.0
2025-01-06T16:00:00-05:00,17.915,18.3,17.545,17.63,58141.0
2025-01-07T16:00:00-05:00,17.905,19.17,17.7,18.33,75472.0
2025-01-08T16:00:00-05:00,18.36,19.1,17.92,18.52,69675.0
2025-01-10T16:00:00-05:00,18.9,19.45,18.365,19.17,77019.0
2025-01-13T16:00:00-05:00,18.7,19.06,17.41,17.8,99624.0
2025-01-14T16:00:00-05:00,18.425,19.37,18.21,19.11,68452.0
2025-01-15T16:00:00-05:00,19.62,19.62,18.395,18.72,68729.0
2025-01-16T16:00:00-05:00,18.63,18.63,17.7,17.97,79894.0
2025-01-17T16:00:00-05:00,17.975,17.975,16.65,16.8,63937.0
2025-01-21T16:00:00-05:00,16.955,17.82,16.67,17.82,61737.0
2025-01-22T16:00:00-05:00,17.765,17.87,17.36,17.76,46447.0
2025-01-23T16:00:00-05:00,17.62,17.84,16.95,17.04,31141.0
2025-01-24T16:00:00-05:00,17.14,17.55,16.18,16.65,32903.0
2025-01-27T16:00:00-05:00,16.01,16.31,15.585,16.17,71090.0
2025-01-28T16:00:00-05:00,16.3,16.56,15.575,16.115,30328.0
2025-01-29T16:00:00-05:00,15.9,16.97,15.9,16.84,46006.0
2025-01-30T16:00:00-05:00,17.18,17.39,16.8,16.96,22058.0
2025-01-31T16:00:00-05:00,16.845,16.87,16.38,16.41,14899.0
2025-02-03T16:00:00-05:00,15.67,16.07,15.54,15.91,29532.0
2025-02-04T16:00:00-05:00,15.91,16.38,15.895,16.03,17062.0
2025-02-05T16:00:00-05:00,15.8,15.97,15.43,15.49,17700.0
2025-02-06T16:00:00-05:00,15.725,16.56,15.725,16.49,19074.0
2025-02-07T16:00:00-05:00,16.46,16.46,15.155,15.31,29079.0
2025-02-10T16:00:00-05:00,15.695,16.17,15.095,15.165,76540.0
2025-02-11T16:00:00-05:00,14.97,14.97,13.9,13.95,46051.0
2025-02-12T16:00:00-05:00,14.195,14.53,14.1,14.17,29088.0
2025-02-13T16:00:00-05:00,14.355,14.57,14.12,14.55,41408.0
2025-02-14T16:00:00-05:00,14.62,14.72,14.37,14.63,16105.0
2025-02-18T16:00:00-05:00,13.67,14.67,13.55,14.48,39766.0
2025-02-19T16:00:00-05:00,14.54,14.795,14.26,14.34,26268.0
2025-02-20T16:00:00-05:00,14.42,14.855,14.03,14.79,22795.0
2025-02-21T16:00:00-05:00,14.895,15.11,13.94,13.94,20320.0
