time,open,high,low,close,volume
2024-08-22T08:30:00-04:00,72.62,72.62,72.62,72.62,101.0
2024-08-22T08:45:00-04:00,72.4,72.4,72.4,72.4,401.0
2024-08-22T08:55:00-04:00,72.71,72.71,72.71,72.71,163.0
2024-08-22T09:15:00-04:00,72.88,72.88,72.88,72.88,500.0
2024-08-22T09:25:00-04:00,72.77,72.77,72.77,72.77,600.0
2024-08-22T09:30:00-04:00,72.85,73.14,72.79,72.875,9846.0
2024-08-22T09:35:00-04:00,72.775,72.85,72.595,72.71,6538.0
2024-08-22T09:40:00-04:00,72.74,72.865,72.63,72.72,3873.0
2024-08-22T09:45:00-04:00,72.72,72.9,72.505,72.605,10901.0
2024-08-22T09:50:00-04:00,72.47,72.755,72.34,72.755,9106.0
2024-08-22T09:55:00-04:00,72.77,72.96,72.59,72.635,7024.0
2024-08-22T10:00:00-04:00,72.57,72.59,72.355,72.45,6322.0
2024-08-22T10:05:00-04:00,72.575,72.575,71.905,71.99,5938.0
2024-08-22T10:10:00-04:00,71.91,71.96,71.68,71.93,7384.0
2024-08-22T10:15:00-04:00,71.945,71.945,71.67,71.85,3878.0
2024-08-22T10:20:00-04:00,71.82,72.02,71.67,72.005,4920.0
2024-08-22T10:25:00-04:00,72.02,72.13,71.89,71.89,7225.0
2024-08-22T10:30:00-04:00,71.86,71.86,71.49,71.71,4806.0
2024-08-22T10:35:00-04:00,71.755,71.865,71.74,71.74,1978.0
2024-08-22T10:40:00-04:00,71.85,71.87,71.67,71.67,1548.0
2024-08-22T10:45:00-04:00,71.81,71.81,71.37,71.4,13001.0
2024-08-22T10:50:00-04:00,71.45,71.68,71.43,71.68,3321.0
2024-08-22T10:55:00-04:00,71.615,71.76,71.58,71.61,5850.0
2024-08-22T11:00:00-04:00,71.55,71.82,71.55,71.82,1403.0
2024-08-22T11:05:00-04:00,71.85,71.93,71.565,71.605,3090.0
2024-08-22T11:10:00-04:00,71.595,71.605,71.38,71.5,2435.0
2024-08-22T11:15:00-04:00,71.52,71.52,71.22,71.25,1832.0
2024-08-22T11:20:00-04:00,71.15,71.16,70.84,70.96,14382.0
2024-08-22T11:25:00-04:00,70.91,70.99,70.805,70.845,3067.0
2024-08-22T11:30:00-04:00,70.805,70.83,70.46,70.5,6236.0
