time,open,high,low,close,volume
2024-11-05T09:30:00-05:00,16.56,16.56,16.27,16.27,1395.0
2024-11-05T09:35:00-05:00,16.27,16.27,15.78,15.78,1163.0
2024-11-05T09:40:00-05:00,15.83,15.98,15.72,15.72,1105.0
2024-11-05T09:45:00-05:00,15.88,15.88,15.81,15.81,650.0
2024-11-05T09:50:00-05:00,15.8,15.91,15.78,15.91,370.0
2024-11-05T09:55:00-05:00,15.92,15.92,15.81,15.92,400.0
2024-11-05T10:00:00-05:00,16.0,16.0,15.96,15.98,525.0
2024-11-05T10:05:00-05:00,15.67,15.7,15.67,15.7,200.0
2024-11-05T10:15:00-05:00,15.81,15.88,15.81,15.81,300.0
2024-11-05T10:20:00-05:00,15.86,15.97,15.86,15.97,500.0
2024-11-05T10:25:00-05:00,16.01,16.07,16.0,16.0,600.0
2024-11-05T10:30:00-05:00,16.04,16.04,16.0,16.0,500.0
2024-11-05T10:35:00-05:00,16.0,16.0,16.0,16.0,100.0
2024-11-05T10:45:00-05:00,15.9,15.9,15.9,15.9,100.0
2024-11-05T10:55:00-05:00,16.03,16.03,16.03,16.03,100.0
2024-11-05T11:05:00-05:00,16.0,16.0,16.0,16.0,100.0
2024-11-05T11:10:00-05:00,15.97,15.97,15.97,15.97,100.0
2024-11-05T11:15:00-05:00,15.925,15.925,15.925,15.925,100.0
2024-11-05T11:20:00-05:00,15.86,15.86,15.86,15.86,100.0
2024-11-05T11:25:00-05:00,15.85,15.865,15.85,15.865,200.0
2024-11-05T11:30:00-05:00,15.82,15.82,15.82,15.82,100.0
2024-11-05T11:35:00-05:00,15.735,15.735,15.68,15.71,400.0
2024-11-05T11:40:00-05:00,15.71,15.78,15.67,15.67,800.0
2024-11-05T11:45:00-05:00,15.67,15.67,15.67,15.67,101.0
2024-11-05T11:55:00-05:00,15.77,15.77,15.77,15.77,100.0
2024-11-05T12:00:00-05:00,15.7,15.7,15.7,15.7,100.0
2024-11-05T12:05:00-05:00,15.68,15.68,15.68,15.68,125.0
2024-11-05T12:15:00-05:00,15.61,15.67,15.6,15.67,712.0
