time,open,high,low,close,volume
2024-11-04T16:00:00-05:00,29.56,29.57,29.0,29.0,1598.0
2024-11-05T16:00:00-05:00,29.99,30.85,29.99,30.1,926.0
2024-11-06T16:00:00-05:00,28.88,29.54,28.02,29.42,3005.0
2024-11-07T16:00:00-05:00,30.98,31.83,30.84,31.79,4467.0
2024-11-08T16:00:00-05:00,32.64,33.23,31.43,31.61,1823.0
2024-11-11T16:00:00-05:00,29.9,29.98,28.73,28.99,5405.0
2024-11-12T16:00:00-05:00,28.89,29.05,28.21,28.78,1492.0
2024-11-13T16:00:00-05:00,28.65,28.65,27.26,27.26,2003.0
2024-11-14T16:00:00-05:00,27.95,28.28,27.61,27.63,1470.0
2024-11-15T16:00:00-05:00,27.64,27.64,26.9,26.9,1116.0
2024-11-18T16:00:00-05:00,26.56,27.44,26.56,27.44,804.0
2024-11-19T16:00:00-05:00,27.74,28.04,27.74,28.04,960.0
2024-11-20T16:00:00-05:00,27.11,27.62,26.69,27.62,1672.0
2024-11-21T16:00:00-05:00,28.305,28.49,27.93,28.49,1701.0
2024-11-22T16:00:00-05:00,28.385,28.385,28.04,28.04,2609.0
2024-11-25T16:00:00-05:00,27.22,27.22,26.36,26.62,3313.0
2024-11-26T16:00:00-05:00,26.73,26.73,25.95,25.95,518.0
2024-11-27T16:00:00-05:00,24.84,25.11,24.83,25.1,1477.0
2024-11-29T16:00:00-05:00,26.72,26.72,26.72,26.72,251.0
2024-12-02T16:00:00-05:00,27.74,29.28,27.74,29.25,1767.0
2024-12-03T16:00:00-05:00,29.3,30.18,29.3,30.0,2110.0
2024-12-04T16:00:00-05:00,30.84,31.63,30.55,31.09,11978.0
2024-12-05T16:00:00-05:00,31.21,32.36,31.21,32.18,1050.0
2024-12-06T16:00:00-05:00,31.2,31.45,31.02,31.22,3517.0
2024-12-09T16:00:00-05:00,31.01,31.51,30.52,30.52,6483.0
2024-12-10T16:00:00-05:00,30.53,30.53,28.0,28.33,4152.0
2024-12-11T16:00:00-05:00,29.165,29.165,29.02,29.02,408.0
2024-12-12T16:00:00-05:00,29.345,29.345,28.48,28.48,310.0
2024-12-13T16:00:00-05:00,30.53,31.43,30.16,30.965,1782.0
